number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.1195412278175354,2026-04-06 04:50:17.046217,2026-04-06 04:50:18.899298,0 days 00:00:01.853081,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[21, 22]","{'MAE_15m': 1.0521026849746704, 'RMSE_15m': 3.1578354583162365, 'sMAPE_15m': 46.39875736521319, 'R2_15m': 0.4090474664494206, 'MAE_30m': 1.1869797706604004, 'RMSE_30m': 3.6310029147679326, 'sMAPE_30m': 49.74435520450177, 'R2_30m': 0.21868329318426194, 'MAE_avg': 1.1195412278175354, 'RMSE_avg': 3.3944191865420845, 'sMAPE_avg': 48.07155628485748, 'R2_avg': 0.31386537981684126}",COMPLETE
1,1.0870586037635803,2026-04-06 04:50:18.903584,2026-04-06 04:50:21.970528,0 days 00:00:03.066944,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[181, 419]","{'MAE_15m': 1.0172806978225708, 'RMSE_15m': 3.0081927963216235, 'sMAPE_15m': 51.49477343752908, 'R2_15m': 0.46372820089140643, 'MAE_30m': 1.1568365097045898, 'RMSE_30m': 3.703882067588744, 'sMAPE_30m': 44.635555763468226, 'R2_30m': 0.1870043896629695, 'MAE_avg': 1.0870586037635803, 'RMSE_avg': 3.356037431955184, 'sMAPE_avg': 48.065164600498655, 'R2_avg': 0.32536629527718797}",COMPLETE
2,1.0664032697677612,2026-04-06 04:50:21.973017,2026-04-06 04:50:24.130601,0 days 00:00:02.157584,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[70, 117]","{'MAE_15m': 0.9769032001495361, 'RMSE_15m': 3.136430358930888, 'sMAPE_15m': 44.19566225210991, 'R2_15m': 0.41703177894424714, 'MAE_30m': 1.1559033393859863, 'RMSE_30m': 3.6296702587754393, 'sMAPE_30m': 43.705981774676395, 'R2_30m': 0.2192568160122278, 'MAE_avg': 1.0664032697677612, 'RMSE_avg': 3.3830503088531634, 'sMAPE_avg': 43.95082201339315, 'R2_avg': 0.31814429747823747}",COMPLETE
3,1.1068093180656433,2026-04-06 04:50:24.135660,2026-04-06 04:50:26.655085,0 days 00:00:02.519425,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[180, 117]","{'MAE_15m': 1.032874345779419, 'RMSE_15m': 3.2211287513920386, 'sMAPE_15m': 43.212069547685886, 'R2_15m': 0.38512085602181656, 'MAE_30m': 1.1807442903518677, 'RMSE_30m': 3.7113603531699186, 'sMAPE_30m': 53.69742166974248, 'R2_30m': 0.18371816048524447, 'MAE_avg': 1.1068093180656433, 'RMSE_avg': 3.466244552280979, 'sMAPE_avg': 48.454745608714184, 'R2_avg': 0.2844195082535305}",COMPLETE
4,1.0845685005187988,2026-04-06 04:50:26.657245,2026-04-06 04:50:28.337212,0 days 00:00:01.679967,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[13, 13]","{'MAE_15m': 0.9914795160293579, 'RMSE_15m': 3.232758048748097, 'sMAPE_15m': 38.43586495801723, 'R2_15m': 0.38067298118020987, 'MAE_30m': 1.1776574850082397, 'RMSE_30m': 3.8327152057899956, 'sMAPE_30m': 44.04914230135357, 'R2_30m': 0.12946348003055586, 'MAE_avg': 1.0845685005187988, 'RMSE_avg': 3.5327366272690464, 'sMAPE_avg': 41.2425036296854, 'R2_avg': 0.25506823060538286}",COMPLETE
5,1.0947874784469604,2026-04-06 04:50:28.338979,2026-04-06 04:50:30.694321,0 days 00:00:02.355342,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 190]","{'MAE_15m': 0.9910367727279663, 'RMSE_15m': 3.0757257240947866, 'sMAPE_15m': 49.110898188545306, 'R2_15m': 0.4393796847063631, 'MAE_30m': 1.1985381841659546, 'RMSE_30m': 3.6753225172042727, 'sMAPE_30m': 54.62131133108035, 'R2_30m': 0.19949367529615059, 'MAE_avg': 1.0947874784469604, 'RMSE_avg': 3.37552412064953, 'sMAPE_avg': 51.86610475981283, 'R2_avg': 0.31943668000125686}",COMPLETE
6,0.9923388659954071,2026-04-06 04:50:30.696836,2026-04-06 04:50:32.276606,0 days 00:00:01.579770,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[21, 20]","{'MAE_15m': 0.8768988251686096, 'RMSE_15m': 3.033259875766992, 'sMAPE_15m': 35.41987984105532, 'R2_15m': 0.4547535630860443, 'MAE_30m': 1.1077789068222046, 'RMSE_30m': 3.549571218250883, 'sMAPE_30m': 46.50809182520667, 'R2_30m': 0.25333515606472246, 'MAE_avg': 0.9923388659954071, 'RMSE_avg': 3.2914155470089375, 'sMAPE_avg': 40.96398583313099, 'R2_avg': 0.3540443595753834}",COMPLETE
7,1.060104787349701,2026-04-06 04:50:32.280259,2026-04-06 04:50:34.407985,0 days 00:00:02.127726,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.9473609924316406, 'RMSE_15m': 3.110414264232596, 'sMAPE_15m': 47.9856590071603, 'R2_15m': 0.42666291269373247, 'MAE_30m': 1.1728485822677612, 'RMSE_30m': 3.654142244983058, 'sMAPE_30m': 54.665005147139034, 'R2_30m': 0.20869344339612317, 'MAE_avg': 1.060104787349701, 'RMSE_avg': 3.3822782546078267, 'sMAPE_avg': 51.32533207714967, 'R2_avg': 0.3176781780449278}",COMPLETE
8,1.0664205253124237,2026-04-06 04:50:34.409590,2026-04-06 04:50:37.050361,0 days 00:00:02.640771,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[268, 222]","{'MAE_15m': 0.9479398131370544, 'RMSE_15m': 2.9533408757178767, 'sMAPE_15m': 42.41829590321032, 'R2_15m': 0.4831068439801032, 'MAE_30m': 1.184901237487793, 'RMSE_30m': 3.698261398938416, 'sMAPE_30m': 47.81339217637935, 'R2_30m': 0.18946997135690036, 'MAE_avg': 1.0664205253124237, 'RMSE_avg': 3.3258011373281464, 'sMAPE_avg': 45.11584403979484, 'R2_avg': 0.33628840766850177}",COMPLETE
9,1.086625576019287,2026-04-06 04:50:37.056317,2026-04-06 04:50:38.855388,0 days 00:00:01.799071,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[18, 53]","{'MAE_15m': 1.020910382270813, 'RMSE_15m': 3.07414041925898, 'sMAPE_15m': 53.49092583754628, 'R2_15m': 0.4399574505510613, 'MAE_30m': 1.1523407697677612, 'RMSE_30m': 3.75846263947821, 'sMAPE_30m': 42.73490891635602, 'R2_30m': 0.1628672122229291, 'MAE_avg': 1.086625576019287, 'RMSE_avg': 3.416301529368595, 'sMAPE_avg': 48.112917376951145, 'R2_avg': 0.3014123313869952}",COMPLETE
