number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,3.134954810142517,2026-04-06 04:50:48.436714,2026-04-06 04:50:50.755461,0 days 00:00:02.318747,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[106, 45]","{'MAE_15m': 2.817540407180786, 'RMSE_15m': 5.506100652360153, 'sMAPE_15m': 20.00996951987169, 'R2_15m': 0.7649849574633931, 'MAE_30m': 3.452369213104248, 'RMSE_30m': 6.327600528034526, 'sMAPE_30m': 36.46815624038612, 'R2_30m': 0.6938757788324563, 'MAE_avg': 3.134954810142517, 'RMSE_avg': 5.916850590197339, 'sMAPE_avg': 28.239062880128905, 'R2_avg': 0.7294303681479247}",COMPLETE
1,3.161185145378113,2026-04-06 04:50:50.763489,2026-04-06 04:50:55.199169,0 days 00:00:04.435680,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[534, 463]","{'MAE_15m': 2.98986554145813, 'RMSE_15m': 5.651676246652197, 'sMAPE_15m': 24.788521582279138, 'R2_15m': 0.7523935920924474, 'MAE_30m': 3.3325047492980957, 'RMSE_30m': 6.238588214504644, 'sMAPE_30m': 32.63374784487169, 'R2_30m': 0.7024278751386794, 'MAE_avg': 3.161185145378113, 'RMSE_avg': 5.94513223057842, 'sMAPE_avg': 28.711134713575415, 'R2_avg': 0.7274107336155634}",COMPLETE
2,3.158616542816162,2026-04-06 04:50:55.201058,2026-04-06 04:50:57.486919,0 days 00:00:02.285861,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[188, 118]","{'MAE_15m': 2.9126784801483154, 'RMSE_15m': 5.586678067713889, 'sMAPE_15m': 22.93192370903994, 'R2_15m': 0.7580561098110705, 'MAE_30m': 3.404554605484009, 'RMSE_30m': 6.24145870227287, 'sMAPE_30m': 36.64640746014894, 'R2_30m': 0.70215399755938, 'MAE_avg': 3.158616542816162, 'RMSE_avg': 5.91406838499338, 'sMAPE_avg': 29.789165584594443, 'R2_avg': 0.7301050536852253}",COMPLETE
3,3.174108624458313,2026-04-06 04:50:57.490629,2026-04-06 04:51:01.264604,0 days 00:00:03.773975,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[370, 312]","{'MAE_15m': 2.9099411964416504, 'RMSE_15m': 5.571571753482066, 'sMAPE_15m': 22.004883288523878, 'R2_15m': 0.7593627710206149, 'MAE_30m': 3.4382760524749756, 'RMSE_30m': 6.441530021741426, 'sMAPE_30m': 30.089125095382556, 'R2_30m': 0.6827529051727008, 'MAE_avg': 3.174108624458313, 'RMSE_avg': 6.006550887611746, 'sMAPE_avg': 26.047004191953217, 'R2_avg': 0.7210578380966579}",COMPLETE
4,3.1441863775253296,2026-04-06 04:51:01.266717,2026-04-06 04:51:03.234123,0 days 00:00:01.967406,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[49, 31]","{'MAE_15m': 2.8416812419891357, 'RMSE_15m': 5.477349022125637, 'sMAPE_15m': 19.816185198709125, 'R2_15m': 0.7674329407186968, 'MAE_30m': 3.4466915130615234, 'RMSE_30m': 6.48608787617775, 'sMAPE_30m': 28.273626811011315, 'R2_30m': 0.6783487376325045, 'MAE_avg': 3.1441863775253296, 'RMSE_avg': 5.9817184491516935, 'sMAPE_avg': 24.04490600486022, 'R2_avg': 0.7228908391756006}",COMPLETE
5,3.71782910823822,2026-04-06 04:51:03.237668,2026-04-06 04:51:05.596007,0 days 00:00:02.358339,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 3.5791242122650146, 'RMSE_15m': 6.053631775398892, 'sMAPE_15m': 73.63582332201351, 'R2_15m': 0.7159208596989608, 'MAE_30m': 3.856534004211426, 'RMSE_30m': 6.420417416036327, 'sMAPE_30m': 76.7027285654449, 'R2_30m': 0.6848291194145402, 'MAE_avg': 3.71782910823822, 'RMSE_avg': 6.237024595717609, 'sMAPE_avg': 75.1692759437292, 'R2_avg': 0.7003749895567505}",COMPLETE
6,3.2168883085250854,2026-04-06 04:51:05.597559,2026-04-06 04:51:07.250589,0 days 00:00:01.653030,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[21, 27]","{'MAE_15m': 3.0613503456115723, 'RMSE_15m': 5.712436547125197, 'sMAPE_15m': 34.703026728782405, 'R2_15m': 0.7470409871925594, 'MAE_30m': 3.3724262714385986, 'RMSE_30m': 6.232415754266816, 'sMAPE_30m': 36.42286953855005, 'R2_30m': 0.7030164527225269, 'MAE_avg': 3.2168883085250854, 'RMSE_avg': 5.972426150696006, 'sMAPE_avg': 35.562948133666225, 'R2_avg': 0.7250287199575431}",COMPLETE
7,3.720128893852234,2026-04-06 04:51:07.258396,2026-04-06 04:51:09.307537,0 days 00:00:02.049141,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 3.5806851387023926, 'RMSE_15m': 6.072422677086094, 'sMAPE_15m': 72.49662401302292, 'R2_15m': 0.714154498886055, 'MAE_30m': 3.859572649002075, 'RMSE_30m': 6.425900870372154, 'sMAPE_30m': 76.04355086434363, 'R2_30m': 0.6842904827057384, 'MAE_avg': 3.720128893852234, 'RMSE_avg': 6.249161773729124, 'sMAPE_avg': 74.27008743868328, 'R2_avg': 0.6992224907958967}",COMPLETE
8,3.152247428894043,2026-04-06 04:51:09.312013,2026-04-06 04:51:12.554769,0 days 00:00:03.242756,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 351]","{'MAE_15m': 2.952476978302002, 'RMSE_15m': 5.604261016996876, 'sMAPE_15m': 23.62177981187833, 'R2_15m': 0.7565307783282136, 'MAE_30m': 3.352017879486084, 'RMSE_30m': 6.244570700898933, 'sMAPE_30m': 33.459535168138224, 'R2_30m': 0.7018569310009695, 'MAE_avg': 3.152247428894043, 'RMSE_avg': 5.924415858947905, 'sMAPE_avg': 28.54065749000828, 'R2_avg': 0.7291938546645915}",COMPLETE
9,3.1628493070602417,2026-04-06 04:51:12.556441,2026-04-06 04:51:14.651386,0 days 00:00:02.094945,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[62, 69]","{'MAE_15m': 2.8703742027282715, 'RMSE_15m': 5.530092797216444, 'sMAPE_15m': 23.847944975345772, 'R2_15m': 0.7629324105528037, 'MAE_30m': 3.455324411392212, 'RMSE_30m': 6.479357586794298, 'sMAPE_30m': 26.95985738990632, 'R2_30m': 0.6790159407813084, 'MAE_avg': 3.1628493070602417, 'RMSE_avg': 6.00472519200537, 'sMAPE_avg': 25.403901182626043, 'R2_avg': 0.720974175667056}",COMPLETE
10,3.1139097213745117,2026-04-06 04:51:14.658623,2026-04-06 04:51:16.931663,0 days 00:00:02.273040,0.6061470949312417,4.8806994992899755,0.07139614686948192,8,5,1200,0.011219967035034627,0.6071847502459278,"[141, 62]","{'MAE_15m': 2.83664608001709, 'RMSE_15m': 5.529025907624472, 'sMAPE_15m': 21.00087939406663, 'R2_15m': 0.7630238386516663, 'MAE_30m': 3.3911733627319336, 'RMSE_30m': 6.3778114851098895, 'sMAPE_30m': 30.40135715130467, 'R2_30m': 0.6889981807738387, 'MAE_avg': 3.1139097213745117, 'RMSE_avg': 5.953418696367181, 'sMAPE_avg': 25.701118272685648, 'R2_avg': 0.7260110097127526}",COMPLETE
11,3.1334532499313354,2026-04-06 04:51:16.932872,2026-04-06 04:51:19.254143,0 days 00:00:02.321271,0.6098821354452019,4.842161069054375,0.07780410191665421,8,5,1200,0.01138195428310944,0.6068744601075835,"[107, 62]","{'MAE_15m': 2.8815696239471436, 'RMSE_15m': 5.550165624123319, 'sMAPE_15m': 20.60786773361246, 'R2_15m': 0.7612082826690338, 'MAE_30m': 3.3853368759155273, 'RMSE_30m': 6.364756114089974, 'sMAPE_30m': 29.44923569085049, 'R2_30m': 0.6902700815623496, 'MAE_avg': 3.1334532499313354, 'RMSE_avg': 5.957460869106646, 'sMAPE_avg': 25.028551712231476, 'R2_avg': 0.7257391821156918}",COMPLETE
12,3.155604839324951,2026-04-06 04:51:19.263616,2026-04-06 04:51:21.542515,0 days 00:00:02.278899,0.6180184684269457,3.746767969613729,0.05772982138421647,8,5,1200,0.013002296027679933,0.6014562981232444,"[81, 87]","{'MAE_15m': 2.914670705795288, 'RMSE_15m': 5.606780490846256, 'sMAPE_15m': 24.478204991272946, 'R2_15m': 0.7563118084623259, 'MAE_30m': 3.3965389728546143, 'RMSE_30m': 6.357252961945747, 'sMAPE_30m': 31.02503520691633, 'R2_30m': 0.6909999090695126, 'MAE_avg': 3.155604839324951, 'RMSE_avg': 5.982016726396001, 'sMAPE_avg': 27.751620099094637, 'R2_avg': 0.7236558587659192}",COMPLETE
13,3.1781450510025024,2026-04-06 04:51:21.551635,2026-04-06 04:51:24.360559,0 days 00:00:02.808924,0.6750130525733469,3.566397063111765,0.03246759239384836,7,6,1200,19.90331362835953,0.6040569883749647,"[216, 179]","{'MAE_15m': 2.955289363861084, 'RMSE_15m': 5.64265942011574, 'sMAPE_15m': 20.94379836796999, 'R2_15m': 0.7531830269773582, 'MAE_30m': 3.401000738143921, 'RMSE_30m': 6.363115190244194, 'sMAPE_30m': 29.976038006739024, 'R2_30m': 0.6904297948658775, 'MAE_avg': 3.1781450510025024, 'RMSE_avg': 6.002887305179967, 'sMAPE_avg': 25.459918187354507, 'R2_avg': 0.7218064109216178}",COMPLETE
