number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,2.222702383995056,2026-04-06 04:51:27.581318,2026-04-06 04:51:29.604764,0 days 00:00:02.023446,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[49, 46]","{'MAE_15m': 2.1519837379455566, 'RMSE_15m': 4.361397004256245, 'sMAPE_15m': 29.24408283772597, 'R2_15m': 0.7122886222984302, 'MAE_30m': 2.2934210300445557, 'RMSE_30m': 4.334361736824629, 'sMAPE_30m': 31.98330324288472, 'R2_30m': 0.7183906938181027, 'MAE_avg': 2.222702383995056, 'RMSE_avg': 4.347879370540437, 'sMAPE_avg': 30.613693040305343, 'R2_avg': 0.7153396580582665}",COMPLETE
1,2.1957931518554688,2026-04-06 04:51:29.607987,2026-04-06 04:51:33.933835,0 days 00:00:04.325848,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[534, 459]","{'MAE_15m': 2.142195224761963, 'RMSE_15m': 4.382258035059077, 'sMAPE_15m': 22.820227084060157, 'R2_15m': 0.7095297046266869, 'MAE_30m': 2.2493910789489746, 'RMSE_30m': 4.390704062622229, 'sMAPE_30m': 33.12408345575921, 'R2_30m': 0.7110218289959584, 'MAE_avg': 2.1957931518554688, 'RMSE_avg': 4.386481048840652, 'sMAPE_avg': 27.972155269909685, 'R2_avg': 0.7102757668113227}",COMPLETE
2,2.185313105583191,2026-04-06 04:51:33.938213,2026-04-06 04:51:36.318865,0 days 00:00:02.380652,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[161, 188]","{'MAE_15m': 2.133751153945923, 'RMSE_15m': 4.235826532084631, 'sMAPE_15m': 22.89974178129111, 'R2_15m': 0.7286172835275315, 'MAE_30m': 2.236875057220459, 'RMSE_30m': 4.343623975942757, 'sMAPE_30m': 32.7165712679974, 'R2_30m': 0.7171858631804249, 'MAE_avg': 2.185313105583191, 'RMSE_avg': 4.289725254013694, 'sMAPE_avg': 27.808156524644254, 'R2_avg': 0.7229015733539782}",COMPLETE
3,2.1986061334609985,2026-04-06 04:51:36.322979,2026-04-06 04:51:39.925880,0 days 00:00:03.602901,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[307, 281]","{'MAE_15m': 2.1573596000671387, 'RMSE_15m': 4.331389260083107, 'sMAPE_15m': 22.660368368897196, 'R2_15m': 0.7162340537891776, 'MAE_30m': 2.2398526668548584, 'RMSE_30m': 4.335073464023022, 'sMAPE_30m': 31.104774845103933, 'R2_30m': 0.7182981857339596, 'MAE_avg': 2.1986061334609985, 'RMSE_avg': 4.3332313620530645, 'sMAPE_avg': 26.882571607000564, 'R2_avg': 0.7172661197615686}",COMPLETE
4,2.2048234939575195,2026-04-06 04:51:39.927892,2026-04-06 04:51:41.773519,0 days 00:00:01.845627,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[30, 34]","{'MAE_15m': 2.071298837661743, 'RMSE_15m': 4.258460655225032, 'sMAPE_15m': 23.067264323338865, 'R2_15m': 0.7257092753122237, 'MAE_30m': 2.338348150253296, 'RMSE_30m': 4.520541672446909, 'sMAPE_30m': 31.917230568302735, 'R2_30m': 0.6936783709271215, 'MAE_avg': 2.2048234939575195, 'RMSE_avg': 4.389501163835971, 'sMAPE_avg': 27.4922474458208, 'R2_avg': 0.7096938231196726}",COMPLETE
5,2.535515069961548,2026-04-06 04:51:41.776326,2026-04-06 04:51:44.162877,0 days 00:00:02.386551,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 2.474896192550659, 'RMSE_15m': 4.389759996670563, 'sMAPE_15m': 85.32547104311409, 'R2_15m': 0.7085343281991188, 'MAE_30m': 2.5961339473724365, 'RMSE_30m': 4.524527146729176, 'sMAPE_30m': 87.09397171196407, 'R2_30m': 0.6931380032587425, 'MAE_avg': 2.535515069961548, 'RMSE_avg': 4.45714357169987, 'sMAPE_avg': 86.20972137753908, 'R2_avg': 0.7008361657289306}",COMPLETE
6,2.160595178604126,2026-04-06 04:51:44.164774,2026-04-06 04:51:45.916514,0 days 00:00:01.751740,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[58, 48]","{'MAE_15m': 2.1058382987976074, 'RMSE_15m': 4.304080428779455, 'sMAPE_15m': 24.458559164382564, 'R2_15m': 0.7198009949922954, 'MAE_30m': 2.2153520584106445, 'RMSE_30m': 4.2708518175174826, 'sMAPE_30m': 34.06389882704172, 'R2_30m': 0.7265828737637765, 'MAE_avg': 2.160595178604126, 'RMSE_avg': 4.287466123148469, 'sMAPE_avg': 29.26122899571214, 'R2_avg': 0.723191934378036}",COMPLETE
7,2.5655012130737305,2026-04-06 04:51:45.934575,2026-04-06 04:51:48.220749,0 days 00:00:02.286174,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 2.507225513458252, 'RMSE_15m': 4.374594751390305, 'sMAPE_15m': 84.2877989293249, 'R2_15m': 0.7105447020788576, 'MAE_30m': 2.623776912689209, 'RMSE_30m': 4.490011361496448, 'sMAPE_30m': 86.39161887223662, 'R2_30m': 0.6978020077755585, 'MAE_avg': 2.5655012130737305, 'RMSE_avg': 4.432303056443376, 'sMAPE_avg': 85.33970890078075, 'R2_avg': 0.704173354927208}",COMPLETE
8,2.1947215795516968,2026-04-06 04:51:48.222275,2026-04-06 04:51:51.351783,0 days 00:00:03.129508,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[398, 324]","{'MAE_15m': 2.116833209991455, 'RMSE_15m': 4.235582017774756, 'sMAPE_15m': 25.340270925952936, 'R2_15m': 0.7286485954899067, 'MAE_30m': 2.2726099491119385, 'RMSE_30m': 4.360275339654327, 'sMAPE_30m': 33.208301736732906, 'R2_30m': 0.7150133038693582, 'MAE_avg': 2.1947215795516968, 'RMSE_avg': 4.297928678714541, 'sMAPE_avg': 29.27428633134292, 'R2_avg': 0.7218309496796325}",COMPLETE
9,2.305359363555908,2026-04-06 04:51:51.353490,2026-04-06 04:51:53.457488,0 days 00:00:02.103998,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[67, 83]","{'MAE_15m': 2.283839225769043, 'RMSE_15m': 4.521007458311737, 'sMAPE_15m': 23.3044656142726, 'R2_15m': 0.690844976782043, 'MAE_30m': 2.3268795013427734, 'RMSE_30m': 4.4610262192223065, 'sMAPE_30m': 34.30930654125619, 'R2_30m': 0.7016910455052165, 'MAE_avg': 2.305359363555908, 'RMSE_avg': 4.491016838767022, 'sMAPE_avg': 28.806886077764396, 'R2_avg': 0.6962680111436298}",COMPLETE
10,2.160134434700012,2026-04-06 04:51:53.459152,2026-04-06 04:51:55.254702,0 days 00:00:01.795550,0.9935496864584779,4.883839283223654,0.18255631599020614,2,10,1200,14.73099293843444,0.6071847502459278,"[87, 65]","{'MAE_15m': 2.069915771484375, 'RMSE_15m': 4.022613500270514, 'sMAPE_15m': 30.673709893356705, 'R2_15m': 0.7552501315057352, 'MAE_30m': 2.2503530979156494, 'RMSE_30m': 4.257514369221315, 'sMAPE_30m': 33.23885984668548, 'R2_30m': 0.7282879155296855, 'MAE_avg': 2.160134434700012, 'RMSE_avg': 4.140063934745914, 'sMAPE_avg': 31.956284870021094, 'R2_avg': 0.7417690235177103}",COMPLETE
11,2.1406068801879883,2026-04-06 04:51:55.267423,2026-04-06 04:51:57.251559,0 days 00:00:01.984136,0.9895680834513327,4.842465731220766,0.19550037029615167,2,10,1200,18.046579829697965,0.6068744601075835,"[127, 89]","{'MAE_15m': 2.0527260303497314, 'RMSE_15m': 3.998553849107988, 'sMAPE_15m': 27.539029807855908, 'R2_15m': 0.7581691239383778, 'MAE_30m': 2.228487730026245, 'RMSE_30m': 4.200245604827073, 'sMAPE_30m': 36.52911901351115, 'R2_30m': 0.7355484791537188, 'MAE_avg': 2.1406068801879883, 'RMSE_avg': 4.099399726967531, 'sMAPE_avg': 32.03407441068353, 'R2_avg': 0.7468588015460482}",COMPLETE
12,2.195843815803528,2026-04-06 04:51:57.255355,2026-04-06 04:51:59.167305,0 days 00:00:01.911950,0.9934384626352483,3.746733168204598,0.11750339105581886,2,8,1200,19.56551112533575,0.6014562981232444,"[127, 124]","{'MAE_15m': 2.1444835662841797, 'RMSE_15m': 4.1698054634658215, 'sMAPE_15m': 27.372974547014955, 'R2_15m': 0.7370110949016302, 'MAE_30m': 2.247204065322876, 'RMSE_30m': 4.257050668297953, 'sMAPE_30m': 38.61786455600003, 'R2_30m': 0.7283470890009134, 'MAE_avg': 2.195843815803528, 'RMSE_avg': 4.213428065881887, 'sMAPE_avg': 32.995419551507496, 'R2_avg': 0.7326790919512718}",COMPLETE
13,2.207295060157776,2026-04-06 04:51:59.168995,2026-04-06 04:52:01.288433,0 days 00:00:02.119438,0.8985218327841324,3.5663533787793633,0.047058086218168906,2,6,1200,19.90331362835953,0.6040569883749647,"[184, 208]","{'MAE_15m': 2.1427042484283447, 'RMSE_15m': 4.136310215013403, 'sMAPE_15m': 26.2797797154393, 'R2_15m': 0.7412191862918996, 'MAE_30m': 2.271885871887207, 'RMSE_30m': 4.288245284808306, 'sMAPE_30m': 31.387606010386694, 'R2_30m': 0.7243513372479209, 'MAE_avg': 2.207295060157776, 'RMSE_avg': 4.212277749910854, 'sMAPE_avg': 28.833692862912997, 'R2_avg': 0.7327852617699102}",COMPLETE
14,2.180593729019165,2026-04-06 04:52:01.299247,2026-04-06 04:52:03.106917,0 days 00:00:01.807670,0.9968170717875128,4.980084946806066,0.1253266491347137,3,10,1000,7.236464581376934,0.6638123593227387,"[77, 97]","{'MAE_15m': 2.1525819301605225, 'RMSE_15m': 4.228474803137249, 'sMAPE_15m': 26.443891429350742, 'R2_15m': 0.7295585062014924, 'MAE_30m': 2.2086055278778076, 'RMSE_30m': 4.240784920788222, 'sMAPE_30m': 33.75005663271181, 'R2_30m': 0.7304190662726875, 'MAE_avg': 2.180593729019165, 'RMSE_avg': 4.234629861962736, 'sMAPE_avg': 30.096974031031277, 'R2_avg': 0.72998878623709}",COMPLETE
