number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,5.060824394226074,2026-04-06 04:52:03.674515,2026-04-06 04:52:05.333355,0 days 00:00:01.658840,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[17, 3]","{'MAE_15m': 5.061740398406982, 'RMSE_15m': 6.048129639098988, 'sMAPE_15m': 34.32495065870973, 'R2_15m': 0.038291347727275604, 'MAE_30m': 5.059908390045166, 'RMSE_30m': 5.993066278150663, 'sMAPE_30m': 34.59463855151895, 'R2_30m': 0.010955587564843494, 'MAE_avg': 5.060824394226074, 'RMSE_avg': 6.020597958624826, 'sMAPE_avg': 34.45979460511434, 'R2_avg': 0.02462346764605955}",COMPLETE
1,5.077367544174194,2026-04-06 04:52:05.336720,2026-04-06 04:52:07.032458,0 days 00:00:01.695738,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[86, 1]","{'MAE_15m': 5.026433944702148, 'RMSE_15m': 6.034671109647263, 'sMAPE_15m': 34.0770667721392, 'R2_15m': 0.04256665928247039, 'MAE_30m': 5.12830114364624, 'RMSE_30m': 6.068748478835256, 'sMAPE_30m': 34.99258413194609, 'R2_30m': -0.014181837797284214, 'MAE_avg': 5.077367544174194, 'RMSE_avg': 6.05170979424126, 'sMAPE_avg': 34.53482545204264, 'R2_avg': 0.014192410742593087}",COMPLETE
2,4.9340739250183105,2026-04-06 04:52:07.037395,2026-04-06 04:52:08.946385,0 days 00:00:01.908990,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[136, 14]","{'MAE_15m': 4.7905802726745605, 'RMSE_15m': 5.914001867671358, 'sMAPE_15m': 32.45453899199564, 'R2_15m': 0.08047354142520957, 'MAE_30m': 5.0775675773620605, 'RMSE_30m': 6.065283696646084, 'sMAPE_30m': 34.65345514805176, 'R2_30m': -0.01302420321418385, 'MAE_avg': 4.9340739250183105, 'RMSE_avg': 5.989642782158721, 'sMAPE_avg': 33.5539970700237, 'R2_avg': 0.03372466910551286}",COMPLETE
3,5.019275665283203,2026-04-06 04:52:08.951614,2026-04-06 04:52:10.866099,0 days 00:00:01.914485,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[70, 34]","{'MAE_15m': 4.974626064300537, 'RMSE_15m': 5.937395275597828, 'sMAPE_15m': 33.78780796511131, 'R2_15m': 0.07318455516898381, 'MAE_30m': 5.063925266265869, 'RMSE_30m': 6.036822812978112, 'sMAPE_30m': 34.57675096037335, 'R2_30m': -0.0035394445315508616, 'MAE_avg': 5.019275665283203, 'RMSE_avg': 5.98710904428797, 'sMAPE_avg': 34.18227946274233, 'R2_avg': 0.034822555318716475}",COMPLETE
4,4.935403108596802,2026-04-06 04:52:10.868208,2026-04-06 04:52:12.482871,0 days 00:00:01.614663,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[10, 4]","{'MAE_15m': 5.055395126342773, 'RMSE_15m': 6.071978837409854, 'sMAPE_15m': 34.27842066214809, 'R2_15m': 0.03069195270624059, 'MAE_30m': 4.81541109085083, 'RMSE_30m': 5.973651251734047, 'sMAPE_30m': 33.03680783708698, 'R2_30m': 0.017353451497782002, 'MAE_avg': 4.935403108596802, 'RMSE_avg': 6.022815044571951, 'sMAPE_avg': 33.65761424961754, 'R2_avg': 0.024022702102011295}",COMPLETE
5,5.060238361358643,2026-04-06 04:52:12.488075,2026-04-06 04:52:14.372540,0 days 00:00:01.884465,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[139, 44]","{'MAE_15m': 5.02480411529541, 'RMSE_15m': 6.019884221684041, 'sMAPE_15m': 34.05423978533075, 'R2_15m': 0.04725293751543547, 'MAE_30m': 5.095672607421875, 'RMSE_30m': 6.0501586514943515, 'sMAPE_30m': 34.777190263714154, 'R2_30m': -0.007978095863605983, 'MAE_avg': 5.060238361358643, 'RMSE_avg': 6.035021436589196, 'sMAPE_avg': 34.415715024522456, 'R2_avg': 0.019637420825914742}",COMPLETE
6,4.987412214279175,2026-04-06 04:52:14.385398,2026-04-06 04:52:15.906289,0 days 00:00:01.520891,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[18, 6]","{'MAE_15m': 4.975110054016113, 'RMSE_15m': 5.939537903250588, 'sMAPE_15m': 33.809651943763235, 'R2_15m': 0.0725154290852087, 'MAE_30m': 4.999714374542236, 'RMSE_30m': 5.9908552417079495, 'sMAPE_30m': 34.19879347388664, 'R2_30m': 0.011685432420444508, 'MAE_avg': 4.987412214279175, 'RMSE_avg': 5.965196572479268, 'sMAPE_avg': 34.00422270882494, 'R2_avg': 0.0421004307528266}",COMPLETE
7,5.033578395843506,2026-04-06 04:52:15.907734,2026-04-06 04:52:18.008140,0 days 00:00:02.100406,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[158, 169]","{'MAE_15m': 5.014736175537109, 'RMSE_15m': 6.024356677900833, 'sMAPE_15m': 33.985716741288165, 'R2_15m': 0.04583678949196879, 'MAE_30m': 5.052420616149902, 'RMSE_30m': 5.996653259217119, 'sMAPE_30m': 34.53295963842191, 'R2_30m': 0.009771391092833315, 'MAE_avg': 5.033578395843506, 'RMSE_avg': 6.010504968558976, 'sMAPE_avg': 34.259338189855036, 'R2_avg': 0.02780409029240105}",COMPLETE
8,5.034726858139038,2026-04-06 04:52:18.009975,2026-04-06 04:52:20.174181,0 days 00:00:02.164206,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[117, 51]","{'MAE_15m': 5.008869171142578, 'RMSE_15m': 6.0271769789184955, 'sMAPE_15m': 33.95927501767118, 'R2_15m': 0.044943076220933076, 'MAE_30m': 5.060584545135498, 'RMSE_30m': 6.027986424239072, 'sMAPE_30m': 34.56755102674424, 'R2_30m': -0.0006037485466237058, 'MAE_avg': 5.034726858139038, 'RMSE_avg': 6.027581701578784, 'sMAPE_avg': 34.263413022207715, 'R2_avg': 0.022169663837154685}",COMPLETE
9,4.960336208343506,2026-04-06 04:52:20.184783,2026-04-06 04:52:22.185557,0 days 00:00:02.000774,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[15, 15]","{'MAE_15m': 4.973744869232178, 'RMSE_15m': 5.92800497477499, 'sMAPE_15m': 33.78165865175717, 'R2_15m': 0.07611387870482511, 'MAE_30m': 4.946927547454834, 'RMSE_30m': 5.960298476457936, 'sMAPE_30m': 33.82060581603976, 'R2_30m': 0.021741647546552834, 'MAE_avg': 4.960336208343506, 'RMSE_avg': 5.944151725616463, 'sMAPE_avg': 33.801132233898464, 'R2_avg': 0.04892776312568897}",COMPLETE
