number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,4.998766183853149,2026-04-06 04:52:32.057050,2026-04-06 04:52:33.818800,0 days 00:00:01.761750,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[32, 10]","{'MAE_15m': 4.998708724975586, 'RMSE_15m': 6.365809678857171, 'sMAPE_15m': 47.44402570992042, 'R2_15m': 0.19734692458392655, 'MAE_30m': 4.998823642730713, 'RMSE_30m': 6.609350759042425, 'sMAPE_30m': 47.295731112969754, 'R2_30m': 0.13360779873940565, 'MAE_avg': 4.998766183853149, 'RMSE_avg': 6.487580218949798, 'sMAPE_avg': 47.369878411445086, 'R2_avg': 0.1654773616616661}",COMPLETE
1,4.927338361740112,2026-04-06 04:52:33.824244,2026-04-06 04:52:36.412357,0 days 00:00:02.588113,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[166, 225]","{'MAE_15m': 4.934927940368652, 'RMSE_15m': 6.3520309444413625, 'sMAPE_15m': 47.523976737244766, 'R2_15m': 0.2008178174906693, 'MAE_30m': 4.919748783111572, 'RMSE_30m': 6.439416988827937, 'sMAPE_30m': 47.08082353148808, 'R2_30m': 0.177586972497919, 'MAE_avg': 4.927338361740112, 'RMSE_avg': 6.39572396663465, 'sMAPE_avg': 47.30240013436642, 'R2_avg': 0.18920239499429414}",COMPLETE
2,4.950164794921875,2026-04-06 04:52:36.423422,2026-04-06 04:52:38.105256,0 days 00:00:01.681834,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[41, 41]","{'MAE_15m': 4.94412088394165, 'RMSE_15m': 6.390565904563258, 'sMAPE_15m': 47.5004066654963, 'R2_15m': 0.1910919129522909, 'MAE_30m': 4.9562087059021, 'RMSE_30m': 6.497314485233074, 'sMAPE_30m': 47.254381122217225, 'R2_30m': 0.16273152470543506, 'MAE_avg': 4.950164794921875, 'RMSE_avg': 6.4439401948981665, 'sMAPE_avg': 47.37739389385676, 'R2_avg': 0.17691171882886297}",COMPLETE
3,4.96340537071228,2026-04-06 04:52:38.110047,2026-04-06 04:52:40.254592,0 days 00:00:02.144545,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[100, 73]","{'MAE_15m': 4.955697059631348, 'RMSE_15m': 6.358593941976898, 'sMAPE_15m': 47.686578512649064, 'R2_15m': 0.19916556548019926, 'MAE_30m': 4.971113681793213, 'RMSE_30m': 6.53076608133616, 'sMAPE_30m': 47.20442624087855, 'R2_30m': 0.15408802978697367, 'MAE_avg': 4.96340537071228, 'RMSE_avg': 6.444680011656529, 'sMAPE_avg': 47.445502376763805, 'R2_avg': 0.17662679763358646}",COMPLETE
4,4.981853246688843,2026-04-06 04:52:40.266671,2026-04-06 04:52:41.863163,0 days 00:00:01.596492,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[4, 5]","{'MAE_15m': 5.0066609382629395, 'RMSE_15m': 6.516677295776961, 'sMAPE_15m': 47.78900376091163, 'R2_15m': 0.15885085831872303, 'MAE_30m': 4.957045555114746, 'RMSE_30m': 6.51821284508627, 'sMAPE_30m': 46.838010394512494, 'R2_30m': 0.1573368316217072, 'MAE_avg': 4.981853246688843, 'RMSE_avg': 6.517445070431616, 'sMAPE_avg': 47.31350707771206, 'R2_avg': 0.1580938449702151}",COMPLETE
5,4.942512273788452,2026-04-06 04:52:41.865730,2026-04-06 04:52:44.220431,0 days 00:00:02.354701,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[130, 199]","{'MAE_15m': 4.958095073699951, 'RMSE_15m': 6.411612001917674, 'sMAPE_15m': 47.54926594928257, 'R2_15m': 0.1857552192576789, 'MAE_30m': 4.926929473876953, 'RMSE_30m': 6.431318555935472, 'sMAPE_30m': 47.104553227841095, 'R2_30m': 0.1796542054837681, 'MAE_avg': 4.942512273788452, 'RMSE_avg': 6.421465278926573, 'sMAPE_avg': 47.32690958856183, 'R2_avg': 0.1827047123707235}",COMPLETE
6,4.927138566970825,2026-04-06 04:52:44.222061,2026-04-06 04:52:45.924231,0 days 00:00:01.702170,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[8, 9]","{'MAE_15m': 4.938133239746094, 'RMSE_15m': 6.3798656968477365, 'sMAPE_15m': 47.523501430681065, 'R2_15m': 0.19379835392880895, 'MAE_30m': 4.916143894195557, 'RMSE_30m': 6.45396436354117, 'sMAPE_30m': 47.00991942402205, 'R2_30m': 0.17386684983193046, 'MAE_avg': 4.927138566970825, 'RMSE_avg': 6.416915030194453, 'sMAPE_avg': 47.266710427351555, 'R2_avg': 0.1838326018803697}",COMPLETE
7,4.942564010620117,2026-04-06 04:52:45.930814,2026-04-06 04:52:47.961823,0 days 00:00:02.031009,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[185, 125]","{'MAE_15m': 4.948049068450928, 'RMSE_15m': 6.370692274961636, 'sMAPE_15m': 47.55535383249567, 'R2_15m': 0.19611522525024594, 'MAE_30m': 4.937078952789307, 'RMSE_30m': 6.498730168650768, 'sMAPE_30m': 47.18034985786791, 'R2_30m': 0.16236666784008635, 'MAE_avg': 4.942564010620117, 'RMSE_avg': 6.434711221806202, 'sMAPE_avg': 47.36785184518179, 'R2_avg': 0.17924094654516615}",COMPLETE
8,4.952872037887573,2026-04-06 04:52:47.963635,2026-04-06 04:52:50.261486,0 days 00:00:02.297851,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[118, 132]","{'MAE_15m': 4.9640021324157715, 'RMSE_15m': 6.3709512457238775, 'sMAPE_15m': 47.76029858528412, 'R2_15m': 0.19604984339792375, 'MAE_30m': 4.941741943359375, 'RMSE_30m': 6.450536767670149, 'sMAPE_30m': 47.2731074103085, 'R2_30m': 0.17474409882411346, 'MAE_avg': 4.952872037887573, 'RMSE_avg': 6.410744006697014, 'sMAPE_avg': 47.51670299779631, 'R2_avg': 0.1853969711110186}",COMPLETE
9,4.961286783218384,2026-04-06 04:52:50.273342,2026-04-06 04:52:51.957490,0 days 00:00:01.684148,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[21, 23]","{'MAE_15m': 4.9503984451293945, 'RMSE_15m': 6.355222353763201, 'sMAPE_15m': 47.714269406745466, 'R2_15m': 0.20001461903989093, 'MAE_30m': 4.972175121307373, 'RMSE_30m': 6.527701404025554, 'sMAPE_30m': 47.270681156259904, 'R2_30m': 0.15488176519028107, 'MAE_avg': 4.961286783218384, 'RMSE_avg': 6.441461878894378, 'sMAPE_avg': 47.492475281502685, 'R2_avg': 0.177448192115086}",COMPLETE
