number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,2.0371301770210266,2026-04-06 04:53:00.829723,2026-04-06 04:53:02.446872,0 days 00:00:01.617149,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[6, 8]","{'MAE_15m': 1.9991182088851929, 'RMSE_15m': 3.217027369882292, 'sMAPE_15m': 4.742729281072975, 'R2_15m': 0.02242324192740608, 'MAE_30m': 2.0751421451568604, 'RMSE_30m': 3.2168637276276506, 'sMAPE_30m': 4.92963357721766, 'R2_30m': 0.026027007335570507, 'MAE_avg': 2.0371301770210266, 'RMSE_avg': 3.216945548754971, 'sMAPE_avg': 4.836181429145318, 'R2_avg': 0.024225124631488293}",COMPLETE
1,2.050863742828369,2026-04-06 04:53:02.448391,2026-04-06 04:53:04.333639,0 days 00:00:01.885248,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[48, 43]","{'MAE_15m': 2.0084052085876465, 'RMSE_15m': 3.193249024517281, 'sMAPE_15m': 4.7668174627945445, 'R2_15m': 0.03682111801707144, 'MAE_30m': 2.093322277069092, 'RMSE_30m': 3.2906613484663727, 'sMAPE_30m': 4.9765828273757835, 'R2_30m': -0.019173104859428358, 'MAE_avg': 2.050863742828369, 'RMSE_avg': 3.241955186491827, 'sMAPE_avg': 4.871700145085164, 'R2_avg': 0.008824006578821542}",COMPLETE
2,2.049652338027954,2026-04-06 04:53:04.337138,2026-04-06 04:53:06.078597,0 days 00:00:01.741459,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[12, 10]","{'MAE_15m': 2.0122861862182617, 'RMSE_15m': 3.2117660455879715, 'sMAPE_15m': 4.776883081316135, 'R2_15m': 0.025618206407752253, 'MAE_30m': 2.0870184898376465, 'RMSE_30m': 3.302846842361771, 'sMAPE_30m': 4.961721619633685, 'R2_30m': -0.02673515464221632, 'MAE_avg': 2.049652338027954, 'RMSE_avg': 3.2573064439748713, 'sMAPE_avg': 4.86930235047491, 'R2_avg': -0.0005584741172320329}",COMPLETE
3,2.043161392211914,2026-04-06 04:53:06.080299,2026-04-06 04:53:07.903590,0 days 00:00:01.823291,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[31, 29]","{'MAE_15m': 2.0033905506134033, 'RMSE_15m': 3.1899853161321405, 'sMAPE_15m': 4.753501138166562, 'R2_15m': 0.03878904933231653, 'MAE_30m': 2.082932233810425, 'RMSE_30m': 3.2794537668599886, 'sMAPE_30m': 4.950532093670743, 'R2_30m': -0.012242614046549694, 'MAE_avg': 2.043161392211914, 'RMSE_avg': 3.2347195414960646, 'sMAPE_avg': 4.852016615918652, 'R2_avg': 0.013273217642883417}",COMPLETE
4,2.0748530626296997,2026-04-06 04:53:07.905276,2026-04-06 04:53:09.628430,0 days 00:00:01.723154,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[2, 3]","{'MAE_15m': 2.046754837036133, 'RMSE_15m': 3.235004750739122, 'sMAPE_15m': 4.861307658199909, 'R2_15m': 0.011466946472439177, 'MAE_30m': 2.1029512882232666, 'RMSE_30m': 3.2324125814160207, 'sMAPE_30m': 4.994836388041222, 'R2_30m': 0.01658886880429078, 'MAE_avg': 2.0748530626296997, 'RMSE_avg': 3.2337086660775713, 'sMAPE_avg': 4.928072023120565, 'R2_avg': 0.014027907638364978}",COMPLETE
5,2.054404139518738,2026-04-06 04:53:09.631950,2026-04-06 04:53:11.290102,0 days 00:00:01.658152,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[37, 32]","{'MAE_15m': 2.016968250274658, 'RMSE_15m': 3.209871806737153, 'sMAPE_15m': 4.789485373098515, 'R2_15m': 0.026767169166652338, 'MAE_30m': 2.0918400287628174, 'RMSE_30m': 3.3165503157202516, 'sMAPE_30m': 4.973532670121015, 'R2_30m': -0.035272691885480434, 'MAE_avg': 2.054404139518738, 'RMSE_avg': 3.263211061228702, 'sMAPE_avg': 4.881509021609765, 'R2_avg': -0.004252761359414048}",COMPLETE
6,2.1224929094314575,2026-04-06 04:53:11.301932,2026-04-06 04:53:12.844331,0 days 00:00:01.542399,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[0, 0]","{'MAE_15m': 2.1245744228363037, 'RMSE_15m': 3.320071510096329, 'sMAPE_15m': 5.0580302854611, 'R2_15m': -0.04120494318888901, 'MAE_30m': 2.1204113960266113, 'RMSE_30m': 3.3297905850933285, 'sMAPE_30m': 5.045512355886437, 'R2_30m': -0.04355514208875988, 'MAE_avg': 2.1224929094314575, 'RMSE_avg': 3.324931047594829, 'sMAPE_avg': 5.051771320673769, 'R2_avg': -0.042380042638824444}",COMPLETE
7,2.0622185468673706,2026-04-06 04:53:12.850154,2026-04-06 04:53:14.502049,0 days 00:00:01.651895,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[46, 27]","{'MAE_15m': 2.044363021850586, 'RMSE_15m': 3.1404464443178943, 'sMAPE_15m': 4.85931923924132, 'R2_15m': 0.06841148411407338, 'MAE_30m': 2.0800740718841553, 'RMSE_30m': 3.2835139139414156, 'sMAPE_30m': 4.9452614749601596, 'R2_30m': -0.01475054296493239, 'MAE_avg': 2.0622185468673706, 'RMSE_avg': 3.2119801791296547, 'sMAPE_avg': 4.90229035710074, 'R2_avg': 0.026830470574570497}",COMPLETE
8,2.053903579711914,2026-04-06 04:53:14.505475,2026-04-06 04:53:16.154802,0 days 00:00:01.649327,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[28, 27]","{'MAE_15m': 2.0252020359039307, 'RMSE_15m': 3.22379877356042, 'sMAPE_15m': 4.8100575750108945, 'R2_15m': 0.018303578587781644, 'MAE_30m': 2.0826051235198975, 'RMSE_30m': 3.2688013718253464, 'sMAPE_30m': 4.9519131762792545, 'R2_30m': -0.005677199956909185, 'MAE_avg': 2.053903579711914, 'RMSE_avg': 3.2463000726928835, 'sMAPE_avg': 4.880985375645075, 'R2_avg': 0.0063131893154362295}",COMPLETE
9,2.057862401008606,2026-04-06 04:53:16.159973,2026-04-06 04:53:17.729060,0 days 00:00:01.569087,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[6, 5]","{'MAE_15m': 2.0111217498779297, 'RMSE_15m': 3.1946782086481766, 'sMAPE_15m': 4.770721516313435, 'R2_15m': 0.035958854207220226, 'MAE_30m': 2.1046030521392822, 'RMSE_30m': 3.3061168276065507, 'sMAPE_30m': 5.003027558212301, 'R2_30m': -0.02876918986149546, 'MAE_avg': 2.057862401008606, 'RMSE_avg': 3.2503975181273637, 'sMAPE_avg': 4.886874537262868, 'R2_avg': 0.0035948321728623833}",COMPLETE
