number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,12.600440502166748,2026-04-06 04:53:26.811879,2026-04-06 04:53:28.394965,0 days 00:00:01.583086,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[18, 3]","{'MAE_15m': 12.516009330749512, 'RMSE_15m': 14.378140579145548, 'sMAPE_15m': 35.72660552294475, 'R2_15m': 0.012524441113004992, 'MAE_30m': 12.684871673583984, 'RMSE_30m': 14.434305209123062, 'sMAPE_30m': 36.34757518382775, 'R2_30m': -0.0068396923256985875, 'MAE_avg': 12.600440502166748, 'RMSE_avg': 14.406222894134306, 'sMAPE_avg': 36.03709035338625, 'R2_avg': 0.002842374393653202}",COMPLETE
1,12.631475925445557,2026-04-06 04:53:28.401973,2026-04-06 04:53:30.379434,0 days 00:00:01.977461,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[107, 6]","{'MAE_15m': 12.547882080078125, 'RMSE_15m': 14.246538779208795, 'sMAPE_15m': 35.88779532961505, 'R2_15m': 0.03051831088367618, 'MAE_30m': 12.715069770812988, 'RMSE_30m': 14.381500631881385, 'sMAPE_30m': 36.42444596826474, 'R2_30m': 0.0005134168814352469, 'MAE_avg': 12.631475925445557, 'RMSE_avg': 14.314019705545089, 'sMAPE_avg': 36.1561206489399, 'R2_avg': 0.015515863882555714}",COMPLETE
2,12.569167137145996,2026-04-06 04:53:30.392041,2026-04-06 04:53:32.118402,0 days 00:00:01.726361,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[31, 26]","{'MAE_15m': 12.455334663391113, 'RMSE_15m': 14.111038735138187, 'sMAPE_15m': 35.67169802048497, 'R2_15m': 0.04887222301293692, 'MAE_30m': 12.682999610900879, 'RMSE_30m': 14.3776470898351, 'sMAPE_30m': 36.31068456417882, 'R2_30m': 0.0010489097947369297, 'MAE_avg': 12.569167137145996, 'RMSE_avg': 14.244342912486644, 'sMAPE_avg': 35.99119129233189, 'R2_avg': 0.024960566403836926}",COMPLETE
3,12.603677749633789,2026-04-06 04:53:32.123072,2026-04-06 04:53:34.017642,0 days 00:00:01.894570,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[60, 41]","{'MAE_15m': 12.551630020141602, 'RMSE_15m': 14.224571159884476, 'sMAPE_15m': 35.91567809648671, 'R2_15m': 0.03350575764875763, 'MAE_30m': 12.655725479125977, 'RMSE_30m': 14.376169704448182, 'sMAPE_30m': 36.24672955594587, 'R2_30m': 0.0012541891291824037, 'MAE_avg': 12.603677749633789, 'RMSE_avg': 14.300370432166329, 'sMAPE_avg': 36.08120382621629, 'R2_avg': 0.017379973388970016}",COMPLETE
4,12.695525646209717,2026-04-06 04:53:34.024516,2026-04-06 04:53:35.653598,0 days 00:00:01.629082,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[11, 0]","{'MAE_15m': 12.636295318603516, 'RMSE_15m': 14.636494089382047, 'sMAPE_15m': 36.03355711263924, 'R2_15m': -0.023281324210342458, 'MAE_30m': 12.754755973815918, 'RMSE_30m': 14.46657735442501, 'sMAPE_30m': 36.52214239287107, 'R2_30m': -0.011346929835228226, 'MAE_avg': 12.695525646209717, 'RMSE_avg': 14.551535721903528, 'sMAPE_avg': 36.27784975275515, 'R2_avg': -0.01731412702278534}",COMPLETE
5,12.598418712615967,2026-04-06 04:53:35.655347,2026-04-06 04:53:37.609965,0 days 00:00:01.954618,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[126, 35]","{'MAE_15m': 12.515904426574707, 'RMSE_15m': 14.137480766627334, 'sMAPE_15m': 35.81991066684448, 'R2_15m': 0.04530434487026702, 'MAE_30m': 12.680932998657227, 'RMSE_30m': 14.350215344026092, 'sMAPE_30m': 36.330481997453354, 'R2_30m': 0.004857236539840715, 'MAE_avg': 12.598418712615967, 'RMSE_avg': 14.243848055326712, 'sMAPE_avg': 36.07519633214892, 'R2_avg': 0.025080790705053868}",COMPLETE
6,12.53515625,2026-04-06 04:53:37.621767,2026-04-06 04:53:39.152907,0 days 00:00:01.531140,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[8, 3]","{'MAE_15m': 12.453577995300293, 'RMSE_15m': 14.046771803361196, 'sMAPE_15m': 35.66892637995432, 'R2_15m': 0.05751615533425192, 'MAE_30m': 12.616734504699707, 'RMSE_30m': 14.286857188691924, 'sMAPE_30m': 36.157368361215575, 'R2_30m': 0.013625185410442331, 'MAE_avg': 12.53515625, 'RMSE_avg': 14.16681449602656, 'sMAPE_avg': 35.91314737058495, 'R2_avg': 0.035570670372347124}",COMPLETE
7,12.548546314239502,2026-04-06 04:53:39.161463,2026-04-06 04:53:41.283153,0 days 00:00:02.121690,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[198, 133]","{'MAE_15m': 12.478856086730957, 'RMSE_15m': 14.073783450630266, 'sMAPE_15m': 35.72967035061488, 'R2_15m': 0.05388780870583931, 'MAE_30m': 12.618236541748047, 'RMSE_30m': 14.283654342361773, 'sMAPE_30m': 36.15034800056438, 'R2_30m': 0.014067425256856891, 'MAE_avg': 12.548546314239502, 'RMSE_avg': 14.178718896496019, 'sMAPE_avg': 35.94000917558963, 'R2_avg': 0.0339776169813481}",COMPLETE
8,12.545730590820312,2026-04-06 04:53:41.284749,2026-04-06 04:53:43.206328,0 days 00:00:01.921579,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[91, 46]","{'MAE_15m': 12.459036827087402, 'RMSE_15m': 14.091738267592957, 'sMAPE_15m': 35.656534481042726, 'R2_15m': 0.05147226424231954, 'MAE_30m': 12.632424354553223, 'RMSE_30m': 14.320401471866273, 'sMAPE_30m': 36.192915674520584, 'R2_30m': 0.008987997950505644, 'MAE_avg': 12.545730590820312, 'RMSE_avg': 14.206069869729614, 'sMAPE_avg': 35.92472507778166, 'R2_avg': 0.030230131096412594}",COMPLETE
9,12.60572624206543,2026-04-06 04:53:43.207618,2026-04-06 04:53:44.847524,0 days 00:00:01.639906,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[18, 12]","{'MAE_15m': 12.592988014221191, 'RMSE_15m': 14.43632258118281, 'sMAPE_15m': 35.97003104533093, 'R2_15m': 0.004516572911228756, 'MAE_30m': 12.618464469909668, 'RMSE_30m': 14.415175050221055, 'sMAPE_30m': 36.11867233738651, 'R2_30m': -0.0041726897592750944, 'MAE_avg': 12.60572624206543, 'RMSE_avg': 14.425748815701933, 'sMAPE_avg': 36.04435169135872, 'R2_avg': 0.00017194157597683057}",COMPLETE
