number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.9404388666152954,2026-04-06 04:53:54.257325,2026-04-06 04:53:56.247403,0 days 00:00:01.990078,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[62, 36]","{'MAE_15m': 1.5353858470916748, 'RMSE_15m': 2.0100261196887605, 'sMAPE_15m': 21.099916586410668, 'R2_15m': 0.6663033858283591, 'MAE_30m': 2.345491886138916, 'RMSE_30m': 2.8865598394817975, 'sMAPE_30m': 31.258524059786996, 'R2_30m': 0.31527859394571645, 'MAE_avg': 1.9404388666152954, 'RMSE_avg': 2.448292979585279, 'sMAPE_avg': 26.179220323098832, 'R2_avg': 0.4907909898870378}",COMPLETE
1,1.8455340266227722,2026-04-06 04:53:56.249016,2026-04-06 04:54:00.729522,0 days 00:00:04.480506,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[795, 249]","{'MAE_15m': 1.434395432472229, 'RMSE_15m': 1.9637100862541919, 'sMAPE_15m': 19.5956698952158, 'R2_15m': 0.6815046379418863, 'MAE_30m': 2.2566726207733154, 'RMSE_30m': 2.84990704702746, 'sMAPE_30m': 30.328399052963245, 'R2_30m': 0.3325569250094327, 'MAE_avg': 1.8455340266227722, 'RMSE_avg': 2.406808566640826, 'sMAPE_avg': 24.96203447408952, 'R2_avg': 0.5070307814756595}",COMPLETE
2,1.771609902381897,2026-04-06 04:54:00.731267,2026-04-06 04:54:03.532141,0 days 00:00:02.800874,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[267, 224]","{'MAE_15m': 1.443795919418335, 'RMSE_15m': 1.981412222686061, 'sMAPE_15m': 19.773976743666864, 'R2_15m': 0.6757364950225455, 'MAE_30m': 2.099423885345459, 'RMSE_30m': 2.7412678189792206, 'sMAPE_30m': 27.485211493919998, 'R2_30m': 0.3824732975181423, 'MAE_avg': 1.771609902381897, 'RMSE_avg': 2.3613400208326407, 'sMAPE_avg': 23.62959411879343, 'R2_avg': 0.529104896270344}",COMPLETE
3,1.841171681880951,2026-04-06 04:54:03.533875,2026-04-06 04:54:07.225529,0 days 00:00:03.691654,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[373, 248]","{'MAE_15m': 1.488761067390442, 'RMSE_15m': 1.9373312845912811, 'sMAPE_15m': 20.444005653970223, 'R2_15m': 0.6900039495289714, 'MAE_30m': 2.19358229637146, 'RMSE_30m': 2.847435208756541, 'sMAPE_30m': 28.998494523914587, 'R2_30m': 0.33371429591468116, 'MAE_avg': 1.841171681880951, 'RMSE_avg': 2.3923832466739112, 'sMAPE_avg': 24.721250088942405, 'R2_avg': 0.5118591227218263}",COMPLETE
4,1.8988645672798157,2026-04-06 04:54:07.227183,2026-04-06 04:54:09.052641,0 days 00:00:01.825458,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[25, 18]","{'MAE_15m': 1.6094838380813599, 'RMSE_15m': 2.209213825050097, 'sMAPE_15m': 21.56806567965543, 'R2_15m': 0.596889651611614, 'MAE_30m': 2.1882452964782715, 'RMSE_30m': 2.912844815123557, 'sMAPE_30m': 28.87230604073727, 'R2_30m': 0.30275167078318366, 'MAE_avg': 1.8988645672798157, 'RMSE_avg': 2.561029320086827, 'sMAPE_avg': 25.220185860196352, 'R2_avg': 0.44982066119739883}",COMPLETE
5,2.102731466293335,2026-04-06 04:54:09.056170,2026-04-06 04:54:11.434979,0 days 00:00:02.378809,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1.7753987312316895, 'RMSE_15m': 2.245121116684524, 'sMAPE_15m': 24.03099010201624, 'R2_15m': 0.5836793532230462, 'MAE_30m': 2.4300642013549805, 'RMSE_30m': 2.943613062951699, 'sMAPE_30m': 33.169283800793394, 'R2_30m': 0.2879438937914617, 'MAE_avg': 2.102731466293335, 'RMSE_avg': 2.5943670898181113, 'sMAPE_avg': 28.600136951404817, 'R2_avg': 0.43581162350725394}",COMPLETE
6,1.8918595910072327,2026-04-06 04:54:11.436615,2026-04-06 04:54:13.296690,0 days 00:00:01.860075,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[95, 87]","{'MAE_15m': 1.5625685453414917, 'RMSE_15m': 2.086785190657103, 'sMAPE_15m': 20.782589279704126, 'R2_15m': 0.6403302681507332, 'MAE_30m': 2.2211506366729736, 'RMSE_30m': 2.8296683299754437, 'sMAPE_30m': 29.43406588060631, 'R2_30m': 0.3420030434029675, 'MAE_avg': 1.8918595910072327, 'RMSE_avg': 2.4582267603162733, 'sMAPE_avg': 25.10832758015522, 'R2_avg': 0.49116665577685037}",COMPLETE
7,2.3339353799819946,2026-04-06 04:54:13.298333,2026-04-06 04:54:15.410709,0 days 00:00:02.112376,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 2.0093960762023926, 'RMSE_15m': 2.459604828891552, 'sMAPE_15m': 27.63210650192487, 'R2_15m': 0.5003348580758384, 'MAE_30m': 2.6584746837615967, 'RMSE_30m': 3.107956605910255, 'sMAPE_30m': 36.673052530308404, 'R2_30m': 0.20621538245630622, 'MAE_avg': 2.3339353799819946, 'RMSE_avg': 2.7837807174009033, 'sMAPE_avg': 32.15257951611664, 'R2_avg': 0.35327512026607233}",COMPLETE
8,1.8814754486083984,2026-04-06 04:54:15.422759,2026-04-06 04:54:18.818611,0 days 00:00:03.395852,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[393, 385]","{'MAE_15m': 1.5021789073944092, 'RMSE_15m': 2.0178933797444802, 'sMAPE_15m': 20.09696509472573, 'R2_15m': 0.6636860872301212, 'MAE_30m': 2.2607719898223877, 'RMSE_30m': 2.854632671395504, 'sMAPE_30m': 30.204511855408978, 'R2_30m': 0.3303416861318673, 'MAE_avg': 1.8814754486083984, 'RMSE_avg': 2.436263025569992, 'sMAPE_avg': 25.150738475067353, 'R2_avg': 0.4970138866809943}",COMPLETE
9,1.7724162340164185,2026-04-06 04:54:18.828051,2026-04-06 04:54:21.067657,0 days 00:00:02.239606,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[99, 44]","{'MAE_15m': 1.492558479309082, 'RMSE_15m': 2.015023903338164, 'sMAPE_15m': 20.65108694084767, 'R2_15m': 0.6646418953132887, 'MAE_30m': 2.052273988723755, 'RMSE_30m': 2.698808873547273, 'sMAPE_30m': 26.909380487858524, 'R2_30m': 0.4014546701634465, 'MAE_avg': 1.7724162340164185, 'RMSE_avg': 2.3569163884427184, 'sMAPE_avg': 23.780233714353095, 'R2_avg': 0.5330482827383676}",COMPLETE
