number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.4690741896629333,2026-04-06 04:54:33.622254,2026-04-06 04:54:35.613094,0 days 00:00:01.990840,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[50, 52]","{'MAE_15m': 1.3062055110931396, 'RMSE_15m': 2.308144875922981, 'sMAPE_15m': 10.29303767025545, 'R2_15m': 0.4799561743809644, 'MAE_30m': 1.631942868232727, 'RMSE_30m': 2.714015565421349, 'sMAPE_30m': 12.981329279476011, 'R2_30m': 0.27837683463929785, 'MAE_avg': 1.4690741896629333, 'RMSE_avg': 2.5110802206721647, 'sMAPE_avg': 11.63718347486573, 'R2_avg': 0.3791665045101311}",COMPLETE
1,1.4542918801307678,2026-04-06 04:54:35.624752,2026-04-06 04:54:40.236041,0 days 00:00:04.611289,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[546, 542]","{'MAE_15m': 1.287717580795288, 'RMSE_15m': 2.335923108723175, 'sMAPE_15m': 10.06195074719674, 'R2_15m': 0.4673634920527281, 'MAE_30m': 1.6208661794662476, 'RMSE_30m': 2.7531855079678484, 'sMAPE_30m': 12.747658635881344, 'R2_30m': 0.2573968620234671, 'MAE_avg': 1.4542918801307678, 'RMSE_avg': 2.5445543083455116, 'sMAPE_avg': 11.404804691539042, 'R2_avg': 0.3623801770380976}",COMPLETE
2,1.4446987509727478,2026-04-06 04:54:40.241632,2026-04-06 04:54:42.564637,0 days 00:00:02.323005,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[146, 173]","{'MAE_15m': 1.2904479503631592, 'RMSE_15m': 2.3515409044053546, 'sMAPE_15m': 10.074490045219397, 'R2_15m': 0.46021738716970373, 'MAE_30m': 1.5989495515823364, 'RMSE_30m': 2.687924018944027, 'sMAPE_30m': 12.625626074866828, 'R2_30m': 0.2921849440526839, 'MAE_avg': 1.4446987509727478, 'RMSE_avg': 2.519732461674691, 'sMAPE_avg': 11.350058060043112, 'R2_avg': 0.3762011656111938}",COMPLETE
3,1.4494662284851074,2026-04-06 04:54:42.566275,2026-04-06 04:54:46.315816,0 days 00:00:03.749541,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[328, 298]","{'MAE_15m': 1.2894771099090576, 'RMSE_15m': 2.322165009778935, 'sMAPE_15m': 10.119605078881424, 'R2_15m': 0.47361927080400057, 'MAE_30m': 1.6094553470611572, 'RMSE_30m': 2.7208616452888514, 'sMAPE_30m': 12.72605024486895, 'R2_30m': 0.27473168231972844, 'MAE_avg': 1.4494662284851074, 'RMSE_avg': 2.521513327533893, 'sMAPE_avg': 11.422827661875187, 'R2_avg': 0.3741754765618645}",COMPLETE
4,1.4679036736488342,2026-04-06 04:54:46.317846,2026-04-06 04:54:48.269039,0 days 00:00:01.951193,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[31, 28]","{'MAE_15m': 1.3332056999206543, 'RMSE_15m': 2.375701298821964, 'sMAPE_15m': 10.382972366430316, 'R2_15m': 0.44906865457926703, 'MAE_30m': 1.6026016473770142, 'RMSE_30m': 2.685185966515945, 'sMAPE_30m': 12.682715699625707, 'R2_30m': 0.2936261424228711, 'MAE_avg': 1.4679036736488342, 'RMSE_avg': 2.5304436326689546, 'sMAPE_avg': 11.532844033028011, 'R2_avg': 0.37134739850106907}",COMPLETE
5,1.6640986800193787,2026-04-06 04:54:48.272799,2026-04-06 04:54:50.749883,0 days 00:00:02.477084,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1.5179816484451294, 'RMSE_15m': 2.3891578111416805, 'sMAPE_15m': 12.382209702613205, 'R2_15m': 0.44280975551328083, 'MAE_30m': 1.810215711593628, 'RMSE_30m': 2.7235012412477215, 'sMAPE_30m': 14.759436810529309, 'R2_30m': 0.27332376794943036, 'MAE_avg': 1.6640986800193787, 'RMSE_avg': 2.556329526194701, 'sMAPE_avg': 13.570823256571256, 'R2_avg': 0.3580667617313556}",COMPLETE
6,1.419771432876587,2026-04-06 04:54:50.752644,2026-04-06 04:54:52.563961,0 days 00:00:01.811317,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[42, 62]","{'MAE_15m': 1.2752662897109985, 'RMSE_15m': 2.38685939642877, 'sMAPE_15m': 9.830536410386111, 'R2_15m': 0.4438812844515019, 'MAE_30m': 1.5642765760421753, 'RMSE_30m': 2.69608337877877, 'sMAPE_30m': 12.281187108192956, 'R2_30m': 0.28788121509336817, 'MAE_avg': 1.419771432876587, 'RMSE_avg': 2.54147138760377, 'sMAPE_avg': 11.055861759289535, 'R2_avg': 0.365881249772435}",COMPLETE
7,1.6561599969863892,2026-04-06 04:54:52.571828,2026-04-06 04:54:54.634019,0 days 00:00:02.062191,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1.520656943321228, 'RMSE_15m': 2.419895766196675, 'sMAPE_15m': 12.337000763275881, 'R2_15m': 0.42838036390412193, 'MAE_30m': 1.7916630506515503, 'RMSE_30m': 2.7092965296169202, 'sMAPE_30m': 14.576311623367518, 'R2_30m': 0.2808841684769542, 'MAE_avg': 1.6561599969863892, 'RMSE_avg': 2.564596147906798, 'sMAPE_avg': 13.456656193321699, 'R2_avg': 0.35463226619053806}",COMPLETE
8,1.4791048765182495,2026-04-06 04:54:54.635686,2026-04-06 04:54:57.768588,0 days 00:00:03.132902,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[397, 320]","{'MAE_15m': 1.316362738609314, 'RMSE_15m': 2.3700250419871085, 'sMAPE_15m': 10.320111797549014, 'R2_15m': 0.45169820579770903, 'MAE_30m': 1.641847014427185, 'RMSE_30m': 2.706408848846881, 'sMAPE_30m': 13.049539650837632, 'R2_30m': 0.28241625844144136, 'MAE_avg': 1.4791048765182495, 'RMSE_avg': 2.5382169454169947, 'sMAPE_avg': 11.684825724193324, 'R2_avg': 0.3670572321195752}",COMPLETE
9,1.4656972885131836,2026-04-06 04:54:57.773297,2026-04-06 04:54:59.761242,0 days 00:00:01.987945,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[62, 64]","{'MAE_15m': 1.3148555755615234, 'RMSE_15m': 2.3764696091775983, 'sMAPE_15m': 10.24663777038822, 'R2_15m': 0.44871224913795127, 'MAE_30m': 1.6165390014648438, 'RMSE_30m': 2.7912381445858863, 'sMAPE_30m': 12.684539400368724, 'R2_30m': 0.236727562609911, 'MAE_avg': 1.4656972885131836, 'RMSE_avg': 2.5838538768817423, 'sMAPE_avg': 11.465588585378473, 'R2_avg': 0.34271990587393114}",COMPLETE
