number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,6.975687026977539,2026-04-06 04:55:09.803118,2026-04-06 04:55:11.899308,0 days 00:00:02.096190,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[61, 65]","{'MAE_15m': 6.392062187194824, 'RMSE_15m': 9.614536691692347, 'sMAPE_15m': 41.381596236831314, 'R2_15m': 0.6669259170409328, 'MAE_30m': 7.559311866760254, 'RMSE_30m': 11.166451713049373, 'sMAPE_30m': 60.63730406326303, 'R2_30m': 0.5499611696742429, 'MAE_avg': 6.975687026977539, 'RMSE_avg': 10.39049420237086, 'sMAPE_avg': 51.00945015004717, 'R2_avg': 0.6084435433575879}",COMPLETE
1,6.628228425979614,2026-04-06 04:55:11.909510,2026-04-06 04:55:16.227193,0 days 00:00:04.317683,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[509, 500]","{'MAE_15m': 6.0500383377075195, 'RMSE_15m': 9.234989255559151, 'sMAPE_15m': 43.871395715042375, 'R2_15m': 0.6927039941978324, 'MAE_30m': 7.206418514251709, 'RMSE_30m': 10.75199091018565, 'sMAPE_30m': 53.060390039816305, 'R2_30m': 0.5827490161450619, 'MAE_avg': 6.628228425979614, 'RMSE_avg': 9.993490082872402, 'sMAPE_avg': 48.46589287742934, 'R2_avg': 0.6377265051714471}",COMPLETE
2,6.4935994148254395,2026-04-06 04:55:16.229155,2026-04-06 04:55:18.771061,0 days 00:00:02.541906,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[185, 160]","{'MAE_15m': 6.022406101226807, 'RMSE_15m': 9.240434391660493, 'sMAPE_15m': 39.89369285091918, 'R2_15m': 0.6923415061208975, 'MAE_30m': 6.964792728424072, 'RMSE_30m': 10.488325986287274, 'sMAPE_30m': 49.51887854513781, 'R2_30m': 0.6029621199972877, 'MAE_avg': 6.4935994148254395, 'RMSE_avg': 9.864380188973882, 'sMAPE_avg': 44.706285698028495, 'R2_avg': 0.6476518130590926}",COMPLETE
3,6.643624782562256,2026-04-06 04:55:18.772634,2026-04-06 04:55:22.656697,0 days 00:00:03.884063,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[321, 330]","{'MAE_15m': 6.134797096252441, 'RMSE_15m': 9.324452352933598, 'sMAPE_15m': 41.24856656541313, 'R2_15m': 0.6867213391454933, 'MAE_30m': 7.15245246887207, 'RMSE_30m': 10.693899993468824, 'sMAPE_30m': 53.27238754196868, 'R2_30m': 0.5872455030600765, 'MAE_avg': 6.643624782562256, 'RMSE_avg': 10.009176173201212, 'sMAPE_avg': 47.260477053690906, 'R2_avg': 0.6369834211027849}",COMPLETE
4,6.655086278915405,2026-04-06 04:55:22.658246,2026-04-06 04:55:24.583479,0 days 00:00:01.925233,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[27, 43]","{'MAE_15m': 6.088002681732178, 'RMSE_15m': 9.368786189421014, 'sMAPE_15m': 40.23268089529636, 'R2_15m': 0.6837352836877744, 'MAE_30m': 7.222169876098633, 'RMSE_30m': 10.824567290152663, 'sMAPE_30m': 52.394632722752455, 'R2_30m': 0.5770970763423361, 'MAE_avg': 6.655086278915405, 'RMSE_avg': 10.096676739786838, 'sMAPE_avg': 46.31365680902441, 'R2_avg': 0.6304161800150552}",COMPLETE
5,7.545756578445435,2026-04-06 04:55:24.595567,2026-04-06 04:55:27.104934,0 days 00:00:02.509367,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 7.184085369110107, 'RMSE_15m': 10.162358814868176, 'sMAPE_15m': 75.9207478724259, 'R2_15m': 0.6278884465290164, 'MAE_30m': 7.907427787780762, 'RMSE_30m': 11.085528010627824, 'sMAPE_30m': 79.82576021069436, 'R2_30m': 0.5564604412056962, 'MAE_avg': 7.545756578445435, 'RMSE_avg': 10.623943412748, 'sMAPE_avg': 77.87325404156013, 'R2_avg': 0.5921744438673563}",COMPLETE
6,6.455463647842407,2026-04-06 04:55:27.108001,2026-04-06 04:55:28.983982,0 days 00:00:01.875981,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[98, 73]","{'MAE_15m': 5.879734516143799, 'RMSE_15m': 9.162314011584355, 'sMAPE_15m': 46.77318478315903, 'R2_15m': 0.6975215551471137, 'MAE_30m': 7.031192779541016, 'RMSE_30m': 10.54939350717095, 'sMAPE_30m': 58.64115399058163, 'R2_30m': 0.5983252058651483, 'MAE_avg': 6.455463647842407, 'RMSE_avg': 9.855853759377652, 'sMAPE_avg': 52.70716938687033, 'R2_avg': 0.647923380506131}",COMPLETE
7,7.684963941574097,2026-04-06 04:55:28.987867,2026-04-06 04:55:31.117310,0 days 00:00:02.129443,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 7.3797736167907715, 'RMSE_15m': 10.427014229031332, 'sMAPE_15m': 75.84173682790448, 'R2_15m': 0.6082544102714708, 'MAE_30m': 7.990154266357422, 'RMSE_30m': 11.289071285679972, 'sMAPE_30m': 79.16575078869984, 'R2_30m': 0.5400231379134351, 'MAE_avg': 7.684963941574097, 'RMSE_avg': 10.858042757355651, 'sMAPE_avg': 77.50374380830216, 'R2_avg': 0.574138774092453}",COMPLETE
8,6.689716815948486,2026-04-06 04:55:31.125517,2026-04-06 04:55:34.342666,0 days 00:00:03.217149,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 305]","{'MAE_15m': 6.165975570678711, 'RMSE_15m': 9.413777631193058, 'sMAPE_15m': 42.49822082285848, 'R2_15m': 0.6806904002904937, 'MAE_30m': 7.213458061218262, 'RMSE_30m': 10.668963860467287, 'sMAPE_30m': 55.31179212444501, 'R2_30m': 0.5891681594688909, 'MAE_avg': 6.689716815948486, 'RMSE_avg': 10.041370745830172, 'sMAPE_avg': 48.905006473651746, 'R2_avg': 0.6349292798796923}",COMPLETE
9,6.4646196365356445,2026-04-06 04:55:34.355329,2026-04-06 04:55:36.180496,0 days 00:00:01.825167,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[53, 63]","{'MAE_15m': 5.868702411651611, 'RMSE_15m': 9.00453199086503, 'sMAPE_15m': 45.31293897620562, 'R2_15m': 0.7078496533923733, 'MAE_30m': 7.060536861419678, 'RMSE_30m': 10.618888623262874, 'sMAPE_30m': 52.885651353566786, 'R2_30m': 0.5930156182509838, 'MAE_avg': 6.4646196365356445, 'RMSE_avg': 9.81171030706395, 'sMAPE_avg': 49.0992951648862, 'R2_avg': 0.6504326358216785}",COMPLETE
