number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.3699083924293518,2026-04-06 04:13:03.892214,2026-04-06 04:13:06.302997,0 days 00:00:02.410783,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[55, 95]","{'MAE_15m': 1.1702901124954224, 'RMSE_15m': 1.9980899511561978, 'sMAPE_15m': 0.2990289022423555, 'R2_15m': 0.5505526311431983, 'MAE_30m': 1.5695266723632812, 'RMSE_30m': 2.2342723476064434, 'sMAPE_30m': 0.3999580411440164, 'R2_30m': 0.4370922273136991, 'MAE_avg': 1.3699083924293518, 'RMSE_avg': 2.1161811493813207, 'sMAPE_avg': 0.34949347169318595, 'R2_avg': 0.4938224292284487}",COMPLETE
1,1.1283104121685028,2026-04-06 04:13:06.304872,2026-04-06 04:13:11.557899,0 days 00:00:05.253027,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[539, 737]","{'MAE_15m': 0.9400815367698669, 'RMSE_15m': 1.3343830099468452, 'sMAPE_15m': 0.23981811576666737, 'R2_15m': 0.7995482857423825, 'MAE_30m': 1.3165392875671387, 'RMSE_30m': 1.7623019384468197, 'sMAPE_30m': 0.3354029467068492, 'R2_30m': 0.6497923401051406, 'MAE_avg': 1.1283104121685028, 'RMSE_avg': 1.5483424741968324, 'sMAPE_avg': 0.2876105312367583, 'R2_avg': 0.7246703129237615}",COMPLETE
2,1.237931489944458,2026-04-06 04:13:11.562810,2026-04-06 04:13:14.412903,0 days 00:00:02.850093,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[289, 218]","{'MAE_15m': 0.9876972436904907, 'RMSE_15m': 1.7126431955209422, 'sMAPE_15m': 0.2514951313702233, 'R2_15m': 0.6697958108232942, 'MAE_30m': 1.4881657361984253, 'RMSE_30m': 2.2560069114362755, 'sMAPE_30m': 0.37878731843093355, 'R2_30m': 0.42608723218403055, 'MAE_avg': 1.237931489944458, 'RMSE_avg': 1.9843250534786088, 'sMAPE_avg': 0.3151412249005784, 'R2_avg': 0.5479415215036624}",COMPLETE
3,1.0775592625141144,2026-04-06 04:13:14.414599,2026-04-06 04:13:18.729731,0 days 00:00:04.315132,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[443, 333]","{'MAE_15m': 0.8450738787651062, 'RMSE_15m': 1.1794911909659798, 'sMAPE_15m': 0.21548473167117146, 'R2_15m': 0.8433832562330095, 'MAE_30m': 1.3100446462631226, 'RMSE_30m': 1.7624091510490105, 'sMAPE_30m': 0.3337628211366943, 'R2_30m': 0.6497497419248968, 'MAE_avg': 1.0775592625141144, 'RMSE_avg': 1.470950171007495, 'sMAPE_avg': 0.2746237764039329, 'R2_avg': 0.7465664990789531}",COMPLETE
4,1.1372199654579163,2026-04-06 04:13:18.731458,2026-04-06 04:13:20.603040,0 days 00:00:01.871582,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[40, 50]","{'MAE_15m': 0.9293029308319092, 'RMSE_15m': 1.6517583292454776, 'sMAPE_15m': 0.23786849419663425, 'R2_15m': 0.6928561707702312, 'MAE_30m': 1.3451370000839233, 'RMSE_30m': 1.8625293550162154, 'sMAPE_30m': 0.3428523543167808, 'R2_30m': 0.6088248580142648, 'MAE_avg': 1.1372199654579163, 'RMSE_avg': 1.7571438421308465, 'sMAPE_avg': 0.2903604242567075, 'R2_avg': 0.650840514392248}",COMPLETE
5,5.806300640106201,2026-04-06 04:13:20.613003,2026-04-06 04:13:23.225718,0 days 00:00:02.612715,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 5.73118257522583, 'RMSE_15m': 6.532262696234528, 'sMAPE_15m': 1.450159305642871, 'R2_15m': -3.803701638132119, 'MAE_30m': 5.881418704986572, 'RMSE_30m': 6.705594690449751, 'sMAPE_30m': 1.48820546099618, 'R2_30m': -4.070369534104892, 'MAE_avg': 5.806300640106201, 'RMSE_avg': 6.61892869334214, 'sMAPE_avg': 1.4691823833195254, 'R2_avg': -3.9370355861185056}",COMPLETE
6,1.2235859036445618,2026-04-06 04:13:23.227714,2026-04-06 04:13:25.009157,0 days 00:00:01.781443,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[48, 38]","{'MAE_15m': 0.9947681427001953, 'RMSE_15m': 1.5401280001913045, 'sMAPE_15m': 0.2543932279240117, 'R2_15m': 0.7329685320872799, 'MAE_30m': 1.4524036645889282, 'RMSE_30m': 2.2224115595690646, 'sMAPE_30m': 0.371149742735041, 'R2_30m': 0.44305279807591835, 'MAE_avg': 1.2235859036445618, 'RMSE_avg': 1.8812697798801845, 'sMAPE_avg': 0.31277148532952637, 'R2_avg': 0.588010665081599}",COMPLETE
7,6.28854775428772,2026-04-06 04:13:25.010911,2026-04-06 04:13:27.425265,0 days 00:00:02.414354,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 6.274350643157959, 'RMSE_15m': 7.449714952174502, 'sMAPE_15m': 1.5860172913283714, 'R2_15m': -5.247813745850592, 'MAE_30m': 6.3027448654174805, 'RMSE_30m': 7.4397377045859026, 'sMAPE_30m': 1.5932928835339772, 'R2_30m': -5.241374644135757, 'MAE_avg': 6.28854775428772, 'RMSE_avg': 7.444726328380202, 'sMAPE_avg': 1.5896550874311743, 'R2_avg': -5.244594194993175}",COMPLETE
8,1.5260750651359558,2026-04-06 04:13:27.429661,2026-04-06 04:13:30.954017,0 days 00:00:03.524356,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 399]","{'MAE_15m': 1.3335983753204346, 'RMSE_15m': 2.157604952808844, 'sMAPE_15m': 0.33901588926509507, 'R2_15m': 0.4759259883852429, 'MAE_30m': 1.718551754951477, 'RMSE_30m': 2.6756989180992288, 'sMAPE_30m': 0.4366430688990778, 'R2_30m': 0.19269158385009233, 'MAE_avg': 1.5260750651359558, 'RMSE_avg': 2.4166519354540363, 'sMAPE_avg': 0.3878294790820864, 'R2_avg': 0.3343087861176676}",COMPLETE
9,1.1082871854305267,2026-04-06 04:13:30.967180,2026-04-06 04:13:33.292068,0 days 00:00:02.324888,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[97, 56]","{'MAE_15m': 0.8411186337471008, 'RMSE_15m': 1.255250489514986, 'sMAPE_15m': 0.21458708229900486, 'R2_15m': 0.8226179873438992, 'MAE_30m': 1.3754557371139526, 'RMSE_30m': 1.9247100512630742, 'sMAPE_30m': 0.35041194242947826, 'R2_30m': 0.5822700301145951, 'MAE_avg': 1.1082871854305267, 'RMSE_avg': 1.58998027038903, 'sMAPE_avg': 0.28249951236424153, 'R2_avg': 0.7024440087292472}",COMPLETE
