number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.1278209388256073,2026-04-06 04:13:51.149123,2026-04-06 04:13:53.329804,0 days 00:00:02.180681,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[146, 106]","{'MAE_15m': 0.9398999810218811, 'RMSE_15m': 1.3888350979667015, 'sMAPE_15m': 0.4206826383649433, 'R2_15m': 0.935777793690519, 'MAE_30m': 1.3157418966293335, 'RMSE_30m': 2.0623157303307913, 'sMAPE_30m': 0.5907554292650831, 'R2_30m': 0.8581695670517029, 'MAE_avg': 1.1278209388256073, 'RMSE_avg': 1.7255754141487465, 'sMAPE_avg': 0.5057190338150132, 'R2_avg': 0.896973680371111}",COMPLETE
1,1.011898159980774,2026-04-06 04:13:53.333323,2026-04-06 04:13:58.346659,0 days 00:00:05.013336,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[623, 471]","{'MAE_15m': 0.8097885847091675, 'RMSE_15m': 1.355667803217425, 'sMAPE_15m': 0.3640617550094301, 'R2_15m': 0.9388085954734064, 'MAE_30m': 1.2140077352523804, 'RMSE_30m': 2.021697485558612, 'sMAPE_30m': 0.5458382120837667, 'R2_30m': 0.8637013795829034, 'MAE_avg': 1.011898159980774, 'RMSE_avg': 1.6886826443880185, 'sMAPE_avg': 0.45494998354659844, 'R2_avg': 0.9012549875281549}",COMPLETE
2,0.998420238494873,2026-04-06 04:13:58.349276,2026-04-06 04:14:01.097683,0 days 00:00:02.748407,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[170, 200]","{'MAE_15m': 0.8050880432128906, 'RMSE_15m': 1.3248174433633284, 'sMAPE_15m': 0.3619376600235758, 'R2_15m': 0.9415619264916988, 'MAE_30m': 1.1917524337768555, 'RMSE_30m': 2.034882686335912, 'sMAPE_30m': 0.5360944922178457, 'R2_30m': 0.8619177499837073, 'MAE_avg': 0.998420238494873, 'RMSE_avg': 1.6798500648496204, 'sMAPE_avg': 0.4490160761207107, 'R2_avg': 0.9017398382377031}",COMPLETE
3,1.0695252120494843,2026-04-06 04:14:01.099557,2026-04-06 04:14:05.174658,0 days 00:00:04.075101,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[403, 290]","{'MAE_15m': 0.8753222823143005, 'RMSE_15m': 1.3809654702269374, 'sMAPE_15m': 0.39261618643478713, 'R2_15m': 0.9365035498163663, 'MAE_30m': 1.263728141784668, 'RMSE_30m': 2.033569068480468, 'sMAPE_30m': 0.5675586275021046, 'R2_30m': 0.8620959614686896, 'MAE_avg': 1.0695252120494843, 'RMSE_avg': 1.7072672693537028, 'sMAPE_avg': 0.4800874069684459, 'R2_avg': 0.899299755642528}",COMPLETE
4,1.2461493015289307,2026-04-06 04:14:05.189837,2026-04-06 04:14:06.858088,0 days 00:00:01.668251,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[71, 26]","{'MAE_15m': 1.0583546161651611, 'RMSE_15m': 1.5191111633629886, 'sMAPE_15m': 0.47258140943536586, 'R2_15m': 0.9231643167766134, 'MAE_30m': 1.4339439868927002, 'RMSE_30m': 2.16619195383779, 'sMAPE_30m': 0.6421164977159588, 'R2_30m': 0.8435220883301129, 'MAE_avg': 1.2461493015289307, 'RMSE_avg': 1.8426515586003893, 'sMAPE_avg': 0.5573489535756624, 'R2_avg': 0.8833432025533632}",COMPLETE
5,1.2524044513702393,2026-04-06 04:14:06.860153,2026-04-06 04:14:09.593989,0 days 00:00:02.733836,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1.097057819366455, 'RMSE_15m': 1.5197488584845162, 'sMAPE_15m': 0.490619676339525, 'R2_15m': 0.9230997964785824, 'MAE_30m': 1.4077510833740234, 'RMSE_30m': 2.0695086376067993, 'sMAPE_30m': 0.6306889740014685, 'R2_30m': 0.857178487588272, 'MAE_avg': 1.2524044513702393, 'RMSE_avg': 1.7946287480456578, 'sMAPE_avg': 0.5606543251704967, 'R2_avg': 0.8901391420334273}",COMPLETE
6,0.9625313580036163,2026-04-06 04:14:09.600498,2026-04-06 04:14:11.320182,0 days 00:00:01.719684,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[25, 24]","{'MAE_15m': 0.7497156262397766, 'RMSE_15m': 1.299201945954895, 'sMAPE_15m': 0.3376315642341062, 'R2_15m': 0.9437998962000289, 'MAE_30m': 1.175347089767456, 'RMSE_30m': 2.0173903430506774, 'sMAPE_30m': 0.5287766527718083, 'R2_30m': 0.8642815038356828, 'MAE_avg': 0.9625313580036163, 'RMSE_avg': 1.6582961445027862, 'sMAPE_avg': 0.4332041085029572, 'R2_avg': 0.9040407000178559}",COMPLETE
7,1.2169641852378845,2026-04-06 04:14:11.329972,2026-04-06 04:14:13.631460,0 days 00:00:02.301488,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1.036473035812378, 'RMSE_15m': 1.4953100477495485, 'sMAPE_15m': 0.4644699423390869, 'R2_15m': 0.925553153958871, 'MAE_30m': 1.3974553346633911, 'RMSE_30m': 2.0919159784967674, 'sMAPE_30m': 0.6264711323275362, 'R2_30m': 0.8540689905366452, 'MAE_avg': 1.2169641852378845, 'RMSE_avg': 1.7936130131231578, 'sMAPE_avg': 0.5454705373333115, 'R2_avg': 0.8898110722477581}",COMPLETE
8,1.0414406061172485,2026-04-06 04:14:13.632750,2026-04-06 04:14:17.004814,0 days 00:00:03.372064,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 389]","{'MAE_15m': 0.8520107269287109, 'RMSE_15m': 1.3458228867699162, 'sMAPE_15m': 0.38223102891428967, 'R2_15m': 0.9396941241913611, 'MAE_30m': 1.2308704853057861, 'RMSE_30m': 2.0264228390324885, 'sMAPE_30m': 0.55298225945687, 'R2_30m': 0.8630634838029183, 'MAE_avg': 1.0414406061172485, 'RMSE_avg': 1.6861228629012024, 'sMAPE_avg': 0.46760664418557985, 'R2_avg': 0.9013788039971398}",COMPLETE
9,1.0687851309776306,2026-04-06 04:14:17.007489,2026-04-06 04:14:19.231990,0 days 00:00:02.224501,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[146, 53]","{'MAE_15m': 0.8654515743255615, 'RMSE_15m': 1.3943449692033534, 'sMAPE_15m': 0.3884784176676224, 'R2_15m': 0.9352672108819183, 'MAE_30m': 1.2721186876296997, 'RMSE_30m': 2.052368944563071, 'sMAPE_30m': 0.5712145478448548, 'R2_30m': 0.8595343958742253, 'MAE_avg': 1.0687851309776306, 'RMSE_avg': 1.723356956883212, 'sMAPE_avg': 0.47984648275623865, 'R2_avg': 0.8974008033780718}",COMPLETE
10,0.9942120313644409,2026-04-06 04:14:19.234301,2026-04-06 04:14:21.006284,0 days 00:00:01.771983,0.9935496864584779,4.883839283223654,0.18255631599020614,2,10,1200,14.73099293843444,0.6071847502459278,"[37, 54]","{'MAE_15m': 0.7858314514160156, 'RMSE_15m': 1.3619766770213064, 'sMAPE_15m': 0.3535183119667661, 'R2_15m': 0.9382377349129553, 'MAE_30m': 1.2025926113128662, 'RMSE_30m': 2.0773224392329004, 'sMAPE_30m': 0.5410767466094787, 'R2_30m': 0.8560979508651703, 'MAE_avg': 0.9942120313644409, 'RMSE_avg': 1.7196495581271034, 'sMAPE_avg': 0.4472975292881224, 'R2_avg': 0.8971678428890628}",COMPLETE
11,0.9861629605293274,2026-04-06 04:14:21.010068,2026-04-06 04:14:22.720294,0 days 00:00:01.710226,0.9895680834513327,4.842465731220766,0.19550037029615167,2,10,1200,18.046579829697965,0.6068744601075835,"[36, 55]","{'MAE_15m': 0.7804771661758423, 'RMSE_15m': 1.3588136851415795, 'sMAPE_15m': 0.3512299245045225, 'R2_15m': 0.9385242783711569, 'MAE_30m': 1.1918487548828125, 'RMSE_30m': 2.0584199024894314, 'sMAPE_30m': 0.5362038641683997, 'R2_30m': 0.8587049077377367, 'MAE_avg': 0.9861629605293274, 'RMSE_avg': 1.7086167938155055, 'sMAPE_avg': 0.4437168943364611, 'R2_avg': 0.8986145930544468}",COMPLETE
12,0.9648495316505432,2026-04-06 04:14:22.721889,2026-04-06 04:14:24.588031,0 days 00:00:01.866142,0.9881259105415678,3.6854705866392585,0.11750339105581886,3,8,1200,19.345947170509515,0.6026269635481769,"[54, 57]","{'MAE_15m': 0.7638329267501831, 'RMSE_15m': 1.3233160132052204, 'sMAPE_15m': 0.34386539213997724, 'R2_15m': 0.941694303612559, 'MAE_30m': 1.1658661365509033, 'RMSE_30m': 2.0315981053129653, 'sMAPE_30m': 0.524703953290212, 'R2_30m': 0.8623631474967554, 'MAE_avg': 0.9648495316505432, 'RMSE_avg': 1.6774570592590927, 'sMAPE_avg': 0.43428467271509463, 'R2_avg': 0.9020287255546572}",COMPLETE
