number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.8323934674263,2026-04-06 04:14:29.358895,2026-04-06 04:14:31.285775,0 days 00:00:01.926880,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[119, 71]","{'MAE_15m': 1.680887222290039, 'RMSE_15m': 2.1977155572324887, 'sMAPE_15m': 0.42658018621152893, 'R2_15m': 0.7032675172839644, 'MAE_30m': 1.983899712562561, 'RMSE_30m': 2.6142668412187664, 'sMAPE_30m': 0.5038102849990886, 'R2_30m': 0.5794843436624513, 'MAE_avg': 1.8323934674263, 'RMSE_avg': 2.4059911992256273, 'sMAPE_avg': 0.4651952356053088, 'R2_avg': 0.6413759304732078}",COMPLETE
1,1.6129368543624878,2026-04-06 04:14:31.289611,2026-04-06 04:14:34.618533,0 days 00:00:03.328922,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[289, 240]","{'MAE_15m': 1.3069096803665161, 'RMSE_15m': 1.8008898787099306, 'sMAPE_15m': 0.33181526583645937, 'R2_15m': 0.8007508825419571, 'MAE_30m': 1.9189640283584595, 'RMSE_30m': 2.4879825718198756, 'sMAPE_30m': 0.48678403836918416, 'R2_30m': 0.6191297724798144, 'MAE_avg': 1.6129368543624878, 'RMSE_avg': 2.144436225264903, 'sMAPE_avg': 0.40929965210282176, 'R2_avg': 0.7099403275108858}",COMPLETE
2,1.578993797302246,2026-04-06 04:14:34.622393,2026-04-06 04:14:36.747655,0 days 00:00:02.125262,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[90, 97]","{'MAE_15m': 1.379157543182373, 'RMSE_15m': 1.8570256497527764, 'sMAPE_15m': 0.3500655130208045, 'R2_15m': 0.7881356286371293, 'MAE_30m': 1.7788300514221191, 'RMSE_30m': 2.3286072916316605, 'sMAPE_30m': 0.4513547674361029, 'R2_30m': 0.6663625276476155, 'MAE_avg': 1.578993797302246, 'RMSE_avg': 2.0928164706922185, 'sMAPE_avg': 0.40071014022845375, 'R2_avg': 0.7272490781423724}",COMPLETE
3,1.7224161624908447,2026-04-06 04:14:36.767302,2026-04-06 04:14:40.008769,0 days 00:00:03.241467,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[236, 212]","{'MAE_15m': 1.4836305379867554, 'RMSE_15m': 1.9946543660400837, 'sMAPE_15m': 0.3764197607768319, 'R2_15m': 0.7555683723274793, 'MAE_30m': 1.961201786994934, 'RMSE_30m': 2.569432070132406, 'sMAPE_30m': 0.49754011446199053, 'R2_30m': 0.5937843718640607, 'MAE_avg': 1.7224161624908447, 'RMSE_avg': 2.282043218086245, 'sMAPE_avg': 0.43697993761941123, 'R2_avg': 0.67467637209577}",COMPLETE
4,1.8526229858398438,2026-04-06 04:14:40.020524,2026-04-06 04:14:41.848830,0 days 00:00:01.828306,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[60, 20]","{'MAE_15m': 1.6159133911132812, 'RMSE_15m': 2.102139645424915, 'sMAPE_15m': 0.40999973342827495, 'R2_15m': 0.7285153790273684, 'MAE_30m': 2.0893325805664062, 'RMSE_30m': 2.714810553697672, 'sMAPE_30m': 0.53009672962465, 'R2_30m': 0.5465166122411813, 'MAE_avg': 1.8526229858398438, 'RMSE_avg': 2.4084750995612936, 'sMAPE_avg': 0.47004823152646247, 'R2_avg': 0.6375159956342749}",COMPLETE
5,1.6819918751716614,2026-04-06 04:14:41.855245,2026-04-06 04:14:44.312194,0 days 00:00:02.456949,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1.4882766008377075, 'RMSE_15m': 1.9314094922029494, 'sMAPE_15m': 0.3773897902421948, 'R2_15m': 0.7708231163051645, 'MAE_30m': 1.8757071495056152, 'RMSE_30m': 2.3940457074256463, 'sMAPE_30m': 0.4756808113895972, 'R2_30m': 0.6473473288884874, 'MAE_avg': 1.6819918751716614, 'RMSE_avg': 2.162727599814298, 'sMAPE_avg': 0.426535300815896, 'R2_avg': 0.709085222596826}",COMPLETE
6,1.3656471371650696,2026-04-06 04:14:44.318394,2026-04-06 04:14:45.975620,0 days 00:00:01.657226,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[19, 23]","{'MAE_15m': 1.1518080234527588, 'RMSE_15m': 1.6487210287537752, 'sMAPE_15m': 0.29263805419554795, 'R2_15m': 0.8329999894747635, 'MAE_30m': 1.5794862508773804, 'RMSE_30m': 2.152691655504331, 'sMAPE_30m': 0.40105926445341267, 'R2_30m': 0.714868010061076, 'MAE_avg': 1.3656471371650696, 'RMSE_avg': 1.900706342129053, 'sMAPE_avg': 0.3468486593244803, 'R2_avg': 0.7739339997679198}",COMPLETE
7,1.538459300994873,2026-04-06 04:14:45.983105,2026-04-06 04:14:48.319391,0 days 00:00:02.336286,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1.3402225971221924, 'RMSE_15m': 1.7949961251559712, 'sMAPE_15m': 0.3399586499571225, 'R2_15m': 0.8020528957046018, 'MAE_30m': 1.7366960048675537, 'RMSE_30m': 2.270374870099925, 'sMAPE_30m': 0.440460796674111, 'R2_30m': 0.682840693918884, 'MAE_avg': 1.538459300994873, 'RMSE_avg': 2.032685497627948, 'sMAPE_avg': 0.39020972331561676, 'R2_avg': 0.7424467948117429}",COMPLETE
8,1.5814570784568787,2026-04-06 04:14:48.322025,2026-04-06 04:14:51.555269,0 days 00:00:03.233244,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[362, 354]","{'MAE_15m': 1.3523614406585693, 'RMSE_15m': 1.8221856168169035, 'sMAPE_15m': 0.34338762141735746, 'R2_15m': 0.7960107097328282, 'MAE_30m': 1.810552716255188, 'RMSE_30m': 2.3579745146625517, 'sMAPE_30m': 0.45947695448223047, 'R2_30m': 0.6578941125451023, 'MAE_avg': 1.5814570784568787, 'RMSE_avg': 2.090080065739728, 'sMAPE_avg': 0.40143228794979396, 'R2_avg': 0.7269524111389652}",COMPLETE
9,1.7580882906913757,2026-04-06 04:14:51.563975,2026-04-06 04:14:53.477603,0 days 00:00:01.913628,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[40, 29]","{'MAE_15m': 1.479814887046814, 'RMSE_15m': 2.043088599458682, 'sMAPE_15m': 0.3755826026426165, 'R2_15m': 0.743553663305343, 'MAE_30m': 2.0363616943359375, 'RMSE_30m': 2.691778990426365, 'sMAPE_30m': 0.5165702659588045, 'R2_30m': 0.5541783614283613, 'MAE_avg': 1.7580882906913757, 'RMSE_avg': 2.3674337949425235, 'sMAPE_avg': 0.44607643430071053, 'R2_avg': 0.6488660123668522}",COMPLETE
