number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.9291754066944122,2026-04-06 04:15:03.180466,2026-04-06 04:15:05.638154,0 days 00:00:02.457688,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[116, 59]","{'MAE_15m': 0.7670741677284241, 'RMSE_15m': 1.0810300967237605, 'sMAPE_15m': 0.19509398459871574, 'R2_15m': 0.8287722595950388, 'MAE_30m': 1.0912766456604004, 'RMSE_30m': 1.455263103017845, 'sMAPE_30m': 0.27756024761634995, 'R2_30m': 0.6906312088753686, 'MAE_avg': 0.9291754066944122, 'RMSE_avg': 1.2681465998708026, 'sMAPE_avg': 0.23632711610753285, 'R2_avg': 0.7597017342352037}",COMPLETE
1,0.8867675065994263,2026-04-06 04:15:05.642457,2026-04-06 04:15:09.552525,0 days 00:00:03.910068,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[391, 363]","{'MAE_15m': 0.7333182096481323, 'RMSE_15m': 1.0329363357704495, 'sMAPE_15m': 0.18651492562182373, 'R2_15m': 0.8436687996632299, 'MAE_30m': 1.0402168035507202, 'RMSE_30m': 1.464099094580842, 'sMAPE_30m': 0.26462735754153915, 'R2_30m': 0.6868629673086746, 'MAE_avg': 0.8867675065994263, 'RMSE_avg': 1.248517715175646, 'sMAPE_avg': 0.22557114158168146, 'R2_avg': 0.7652658834859523}",COMPLETE
2,0.8809869587421417,2026-04-06 04:15:09.565599,2026-04-06 04:15:12.422456,0 days 00:00:02.856857,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[152, 137]","{'MAE_15m': 0.7381575703620911, 'RMSE_15m': 1.0331985098550043, 'sMAPE_15m': 0.18774769690729515, 'R2_15m': 0.8435894282658047, 'MAE_30m': 1.0238163471221924, 'RMSE_30m': 1.4310637973450147, 'sMAPE_30m': 0.2604345917893867, 'R2_30m': 0.7008345542089276, 'MAE_avg': 0.8809869587421417, 'RMSE_avg': 1.2321311536000095, 'sMAPE_avg': 0.22409114434834093, 'R2_avg': 0.7722119912373662}",COMPLETE
3,0.9018119275569916,2026-04-06 04:15:12.424197,2026-04-06 04:15:16.112542,0 days 00:00:03.688345,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[286, 277]","{'MAE_15m': 0.745599091053009, 'RMSE_15m': 1.0435825784687554, 'sMAPE_15m': 0.1896511205864059, 'R2_15m': 0.8404296508622585, 'MAE_30m': 1.0580247640609741, 'RMSE_30m': 1.455477788941127, 'sMAPE_30m': 0.2691434020628484, 'R2_30m': 0.6905398915429275, 'MAE_avg': 0.9018119275569916, 'RMSE_avg': 1.249530183704941, 'sMAPE_avg': 0.22939726132462718, 'R2_avg': 0.765484771202593}",COMPLETE
4,0.9547257423400879,2026-04-06 04:15:16.116166,2026-04-06 04:15:17.864092,0 days 00:00:01.747926,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[23, 20]","{'MAE_15m': 0.8118551969528198, 'RMSE_15m': 1.1507641844769245, 'sMAPE_15m': 0.20653429725872183, 'R2_15m': 0.805968947824863, 'MAE_30m': 1.097596287727356, 'RMSE_30m': 1.501853433581957, 'sMAPE_30m': 0.27919257450807844, 'R2_30m': 0.6705051739302408, 'MAE_avg': 0.9547257423400879, 'RMSE_avg': 1.3263088090294408, 'sMAPE_avg': 0.24286343588340015, 'R2_avg': 0.7382370608775519}",COMPLETE
5,1.0229496955871582,2026-04-06 04:15:17.870675,2026-04-06 04:15:20.578865,0 days 00:00:02.708190,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.8930341005325317, 'RMSE_15m': 1.2112004148492643, 'sMAPE_15m': 0.22705654507401604, 'R2_15m': 0.7850533860332132, 'MAE_30m': 1.1528652906417847, 'RMSE_30m': 1.547731104835713, 'sMAPE_30m': 0.2932147369941068, 'R2_30m': 0.6500673569942542, 'MAE_avg': 1.0229496955871582, 'RMSE_avg': 1.3794657598424886, 'sMAPE_avg': 0.2601356410340614, 'R2_avg': 0.7175603715137338}",COMPLETE
6,0.860514372587204,2026-04-06 04:15:20.586781,2026-04-06 04:15:22.631037,0 days 00:00:02.044256,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[33, 81]","{'MAE_15m': 0.7175440192222595, 'RMSE_15m': 1.012352998682147, 'sMAPE_15m': 0.18250380807564212, 'R2_15m': 0.8498371550500555, 'MAE_30m': 1.0034847259521484, 'RMSE_30m': 1.3984477293183832, 'sMAPE_30m': 0.25521019449894955, 'R2_30m': 0.7143159876420351, 'MAE_avg': 0.860514372587204, 'RMSE_avg': 1.205400364000265, 'sMAPE_avg': 0.21885700128729585, 'R2_avg': 0.7820765713460454}",COMPLETE
7,0.9680456221103668,2026-04-06 04:15:22.632506,2026-04-06 04:15:25.303463,0 days 00:00:02.670957,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.8401240706443787, 'RMSE_15m': 1.1646568266051311, 'sMAPE_15m': 0.2135506892453157, 'R2_15m': 0.8012557693604585, 'MAE_30m': 1.095967173576355, 'RMSE_30m': 1.504829182990501, 'sMAPE_30m': 0.27868663130123633, 'R2_30m': 0.6691981861812135, 'MAE_avg': 0.9680456221103668, 'RMSE_avg': 1.334743004797816, 'sMAPE_avg': 0.246118660273276, 'R2_avg': 0.735226977770836}",COMPLETE
8,0.8776659965515137,2026-04-06 04:15:25.308761,2026-04-06 04:15:28.914907,0 days 00:00:03.606146,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[398, 398]","{'MAE_15m': 0.7334043979644775, 'RMSE_15m': 1.0352400259989751, 'sMAPE_15m': 0.18652951164100176, 'R2_15m': 0.8429707090390817, 'MAE_30m': 1.0219275951385498, 'RMSE_30m': 1.4153113988331736, 'sMAPE_30m': 0.25995161690062885, 'R2_30m': 0.7073844059888199, 'MAE_avg': 0.8776659965515137, 'RMSE_avg': 1.2252757124160745, 'sMAPE_avg': 0.2232405642708153, 'R2_avg': 0.7751775575139508}",COMPLETE
9,0.9275109767913818,2026-04-06 04:15:28.918890,2026-04-06 04:15:31.242412,0 days 00:00:02.323522,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[56, 41]","{'MAE_15m': 0.7668378353118896, 'RMSE_15m': 1.0707860302898424, 'sMAPE_15m': 0.1950770169221233, 'R2_15m': 0.8320020613070671, 'MAE_30m': 1.088184118270874, 'RMSE_30m': 1.49593653238782, 'sMAPE_30m': 0.2768499805727732, 'R2_30m': 0.6730963233375142, 'MAE_avg': 0.9275109767913818, 'RMSE_avg': 1.283361281338831, 'sMAPE_avg': 0.23596349874744826, 'R2_avg': 0.7525491923222907}",COMPLETE
