number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.4390734434127808,2026-04-06 04:15:45.114913,2026-04-06 04:15:48.375567,0 days 00:00:03.260654,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[75, 56]","{'MAE_15m': 1.2355836629867554, 'RMSE_15m': 1.9679986640258844, 'sMAPE_15m': 0.3137386890575121, 'R2_15m': 0.9593015369899016, 'MAE_30m': 1.6425632238388062, 'RMSE_30m': 2.6495866561111354, 'sMAPE_30m': 0.416542868369074, 'R2_30m': 0.926656909004315, 'MAE_avg': 1.4390734434127808, 'RMSE_avg': 2.30879266006851, 'sMAPE_avg': 0.3651407787132931, 'R2_avg': 0.9429792229971083}",COMPLETE
1,1.3908809423446655,2026-04-06 04:15:48.381082,2026-04-06 04:15:55.144552,0 days 00:00:06.763470,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[460, 413]","{'MAE_15m': 1.1837425231933594, 'RMSE_15m': 1.852884392130933, 'sMAPE_15m': 0.3004206419082592, 'R2_15m': 0.96392344337455, 'MAE_30m': 1.5980193614959717, 'RMSE_30m': 2.4881964508889873, 'sMAPE_30m': 0.40559675712103244, 'R2_30m': 0.9353196594134991, 'MAE_avg': 1.3908809423446655, 'RMSE_avg': 2.17054042150996, 'sMAPE_avg': 0.3530086995146458, 'R2_avg': 0.9496215513940246}",COMPLETE
2,1.3356597423553467,2026-04-06 04:15:55.149847,2026-04-06 04:15:58.177844,0 days 00:00:03.027997,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[158, 141]","{'MAE_15m': 1.1459972858428955, 'RMSE_15m': 1.7852063328501804, 'sMAPE_15m': 0.29094971673887293, 'R2_15m': 0.9665107604405535, 'MAE_30m': 1.5253221988677979, 'RMSE_30m': 2.427782004542082, 'sMAPE_30m': 0.38693303601299517, 'R2_30m': 0.9384224610519002, 'MAE_avg': 1.3356597423553467, 'RMSE_avg': 2.1064941686961314, 'sMAPE_avg': 0.338941376375934, 'R2_avg': 0.9524666107462268}",COMPLETE
3,1.4163461327552795,2026-04-06 04:15:58.184974,2026-04-06 04:16:02.471353,0 days 00:00:04.286379,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[241, 258]","{'MAE_15m': 1.2295163869857788, 'RMSE_15m': 1.928938067619157, 'sMAPE_15m': 0.31216563532742314, 'R2_15m': 0.9609010602875337, 'MAE_30m': 1.6031758785247803, 'RMSE_30m': 2.5331012878889365, 'sMAPE_30m': 0.4069020190318082, 'R2_30m': 0.9329640080046693, 'MAE_avg': 1.4163461327552795, 'RMSE_avg': 2.2310196777540465, 'sMAPE_avg': 0.3595338271796157, 'R2_avg': 0.9469325341461015}",COMPLETE
4,1.4906628727912903,2026-04-06 04:16:02.477353,2026-04-06 04:16:05.669678,0 days 00:00:03.192325,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[28, 22]","{'MAE_15m': 1.3228026628494263, 'RMSE_15m': 2.0279182693143833, 'sMAPE_15m': 0.33595341283982805, 'R2_15m': 0.9567855177173006, 'MAE_30m': 1.6585230827331543, 'RMSE_30m': 2.664710360420367, 'sMAPE_30m': 0.42107867206989696, 'R2_30m': 0.9258172416049859, 'MAE_avg': 1.4906628727912903, 'RMSE_avg': 2.3463143148673753, 'sMAPE_avg': 0.3785160424548625, 'R2_avg': 0.9413013796611432}",COMPLETE
5,1.9496723413467407,2026-04-06 04:16:05.683436,2026-04-06 04:16:09.211918,0 days 00:00:03.528482,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1.7246367931365967, 'RMSE_15m': 2.2517250653573355, 'sMAPE_15m': 0.4345509330756051, 'R2_15m': 0.9467206253662187, 'MAE_30m': 2.1747078895568848, 'RMSE_30m': 2.874700115983568, 'sMAPE_30m': 0.5488855863226073, 'R2_30m': 0.9136647776567076, 'MAE_avg': 1.9496723413467407, 'RMSE_avg': 2.5632125906704517, 'sMAPE_avg': 0.4917182596991062, 'R2_avg': 0.9301927015114632}",COMPLETE
6,1.3052406311035156,2026-04-06 04:16:09.217072,2026-04-06 04:16:11.683487,0 days 00:00:02.466415,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[34, 41]","{'MAE_15m': 1.1097614765167236, 'RMSE_15m': 1.7464786250447033, 'sMAPE_15m': 0.2813761875664702, 'R2_15m': 0.9679480123621202, 'MAE_30m': 1.5007197856903076, 'RMSE_30m': 2.4200986192643748, 'sMAPE_30m': 0.3801608710563368, 'R2_30m': 0.9388116029809265, 'MAE_avg': 1.3052406311035156, 'RMSE_avg': 2.083288622154539, 'sMAPE_avg': 0.3307685293114035, 'R2_avg': 0.9533798076715234}",COMPLETE
7,1.9401063919067383,2026-04-06 04:16:11.685737,2026-04-06 04:16:15.246323,0 days 00:00:03.560586,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1.7053837776184082, 'RMSE_15m': 2.2552589839565647, 'sMAPE_15m': 0.42942474693981003, 'R2_15m': 0.9465532580287834, 'MAE_30m': 2.1748290061950684, 'RMSE_30m': 2.9877204717901087, 'sMAPE_30m': 0.548368874383359, 'R2_30m': 0.9067426879588271, 'MAE_avg': 1.9401063919067383, 'RMSE_avg': 2.6214897278733367, 'sMAPE_avg': 0.4888968106615845, 'R2_avg': 0.9266479729938053}",COMPLETE
8,1.3086451888084412,2026-04-06 04:16:15.250437,2026-04-06 04:16:19.541286,0 days 00:00:04.290849,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[395, 398]","{'MAE_15m': 1.121717929840088, 'RMSE_15m': 1.7566078635959546, 'sMAPE_15m': 0.2845941629892189, 'R2_15m': 0.9675751408747875, 'MAE_30m': 1.4955724477767944, 'RMSE_30m': 2.403590330156062, 'sMAPE_30m': 0.37916412274416167, 'R2_30m': 0.9396435225985053, 'MAE_avg': 1.3086451888084412, 'RMSE_avg': 2.0800990968760082, 'sMAPE_avg': 0.3318791428666903, 'R2_avg': 0.9536093317366463}",COMPLETE
9,1.4400506019592285,2026-04-06 04:16:19.545763,2026-04-06 04:16:23.464682,0 days 00:00:03.918919,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[50, 50]","{'MAE_15m': 1.2662848234176636, 'RMSE_15m': 2.0004480575305337, 'sMAPE_15m': 0.3212798082335466, 'R2_15m': 0.9579483569976106, 'MAE_30m': 1.6138163805007935, 'RMSE_30m': 2.5658416359215668, 'sMAPE_30m': 0.409637488283934, 'R2_30m': 0.9312199234764074, 'MAE_avg': 1.4400506019592285, 'RMSE_avg': 2.2831448467260502, 'sMAPE_avg': 0.3654586482587403, 'R2_avg': 0.944584140237009}",COMPLETE
