number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.8277372121810913,2026-04-06 04:16:40.684643,2026-04-06 04:16:43.129676,0 days 00:00:02.445033,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[31, 36]","{'MAE_15m': 1.7661412954330444, 'RMSE_15m': 2.5159426660357935, 'sMAPE_15m': 0.4521243997437614, 'R2_15m': 0.4150798487314179, 'MAE_30m': 1.8893331289291382, 'RMSE_30m': 2.3002223322012534, 'sMAPE_30m': 0.4832090174101325, 'R2_30m': 0.4895562695838037, 'MAE_avg': 1.8277372121810913, 'RMSE_avg': 2.4080824991185237, 'sMAPE_avg': 0.4676667085769469, 'R2_avg': 0.4523180591576108}",COMPLETE
1,1.9211565256118774,2026-04-06 04:16:43.133390,2026-04-06 04:16:46.616596,0 days 00:00:03.483206,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[241, 64]","{'MAE_15m': 1.3350963592529297, 'RMSE_15m': 1.6466749992751804, 'sMAPE_15m': 0.3419401009469037, 'R2_15m': 0.7494404567355175, 'MAE_30m': 2.507216691970825, 'RMSE_30m': 3.238331756381994, 'sMAPE_30m': 0.6426222451229774, 'R2_30m': -0.011698038028872482, 'MAE_avg': 1.9211565256118774, 'RMSE_avg': 2.4425033778285874, 'sMAPE_avg': 0.49228117303494057, 'R2_avg': 0.3688712093533225}",COMPLETE
2,1.820108711719513,2026-04-06 04:16:46.617703,2026-04-06 04:16:50.523951,0 days 00:00:03.906248,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[79, 69]","{'MAE_15m': 1.3555349111557007, 'RMSE_15m': 1.7012542809762563, 'sMAPE_15m': 0.3468947554347741, 'R2_15m': 0.7325555516177995, 'MAE_30m': 2.284682512283325, 'RMSE_30m': 3.371782252438809, 'sMAPE_30m': 0.5864707272999867, 'R2_30m': -0.09679970853030784, 'MAE_avg': 1.820108711719513, 'RMSE_avg': 2.5365182667075326, 'sMAPE_avg': 0.4666827413673804, 'R2_avg': 0.31787792154374583}",COMPLETE
3,1.6223109364509583,2026-04-06 04:16:50.529369,2026-04-06 04:16:53.937311,0 days 00:00:03.407942,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[285, 150]","{'MAE_15m': 1.1948941946029663, 'RMSE_15m': 1.5666314246224682, 'sMAPE_15m': 0.3058722022975427, 'R2_15m': 0.7732074503041035, 'MAE_30m': 2.04972767829895, 'RMSE_30m': 2.519362333091286, 'sMAPE_30m': 0.5247164520277005, 'R2_30m': 0.3876643801070796, 'MAE_avg': 1.6223109364509583, 'RMSE_avg': 2.042996878856877, 'sMAPE_avg': 0.4152943271626216, 'R2_avg': 0.5804359152055916}",COMPLETE
4,1.5484803318977356,2026-04-06 04:16:53.938990,2026-04-06 04:16:55.812173,0 days 00:00:01.873183,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[39, 47]","{'MAE_15m': 1.3272978067398071, 'RMSE_15m': 1.6690835197994989, 'sMAPE_15m': 0.33985252604719174, 'R2_15m': 0.7425746775094003, 'MAE_30m': 1.769662857055664, 'RMSE_30m': 2.2186116994817713, 'sMAPE_30m': 0.4526339239328478, 'R2_30m': 0.5251342552110754, 'MAE_avg': 1.5484803318977356, 'RMSE_avg': 1.9438476096406352, 'sMAPE_avg': 0.39624322499001974, 'R2_avg': 0.6338544663602379}",COMPLETE
5,2.346735954284668,2026-04-06 04:16:55.821083,2026-04-06 04:16:57.886640,0 days 00:00:02.065557,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[196, 61]","{'MAE_15m': 2.0773746967315674, 'RMSE_15m': 3.3669937679911746, 'sMAPE_15m': 0.5333100944343322, 'R2_15m': -0.04756209623485019, 'MAE_30m': 2.6160972118377686, 'RMSE_30m': 3.016432263732201, 'sMAPE_30m': 0.6696364025462781, 'R2_30m': 0.12220031697881528, 'MAE_avg': 2.346735954284668, 'RMSE_avg': 3.191713015861688, 'sMAPE_avg': 0.6014732484903051, 'R2_avg': 0.037319110371982545}",COMPLETE
6,1.7974348068237305,2026-04-06 04:16:57.888529,2026-04-06 04:16:59.509565,0 days 00:00:01.621036,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[17, 27]","{'MAE_15m': 1.7183557748794556, 'RMSE_15m': 2.8615549251518213, 'sMAPE_15m': 0.4407881941260023, 'R2_15m': 0.24334250544179092, 'MAE_30m': 1.8765138387680054, 'RMSE_30m': 2.2310022895148074, 'sMAPE_30m': 0.4803429926242155, 'R2_30m': 0.5198153242219528, 'MAE_avg': 1.7974348068237305, 'RMSE_avg': 2.5462786073333143, 'sMAPE_avg': 0.4605655933751089, 'R2_avg': 0.38157891483187184}",COMPLETE
7,2.0468851923942566,2026-04-06 04:16:59.511206,2026-04-06 04:17:01.749930,0 days 00:00:02.238724,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[198, 60]","{'MAE_15m': 1.6006590127944946, 'RMSE_15m': 2.032076506090562, 'sMAPE_15m': 0.4098011591545128, 'R2_15m': 0.6184290914613276, 'MAE_30m': 2.4931113719940186, 'RMSE_30m': 2.8814808320694234, 'sMAPE_30m': 0.6380531134814584, 'R2_30m': 0.19898663912044046, 'MAE_avg': 2.0468851923942566, 'RMSE_avg': 2.4567786690799926, 'sMAPE_avg': 0.5239271363179856, 'R2_avg': 0.40870786529088404}",COMPLETE
8,2.1443233489990234,2026-04-06 04:17:01.752814,2026-04-06 04:17:03.943267,0 days 00:00:02.190453,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[258, 60]","{'MAE_15m': 1.7764759063720703, 'RMSE_15m': 2.700988542647567, 'sMAPE_15m': 0.4553148458110441, 'R2_15m': 0.32587471489685504, 'MAE_30m': 2.5121707916259766, 'RMSE_30m': 2.8967400281752105, 'sMAPE_30m': 0.6430683095420168, 'R2_30m': 0.1904804874660304, 'MAE_avg': 2.1443233489990234, 'RMSE_avg': 2.7988642854113888, 'sMAPE_avg': 0.5491915776765304, 'R2_avg': 0.25817760118144273}",COMPLETE
9,1.5122048258781433,2026-04-06 04:17:03.949099,2026-04-06 04:17:05.934307,0 days 00:00:01.985208,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[37, 31]","{'MAE_15m': 1.2768745422363281, 'RMSE_15m': 1.6807974053727341, 'sMAPE_15m': 0.32676693350736136, 'R2_15m': 0.7389486814693833, 'MAE_30m': 1.7475351095199585, 'RMSE_30m': 2.2010526176308995, 'sMAPE_30m': 0.4469605297633918, 'R2_30m': 0.5326210670292185, 'MAE_avg': 1.5122048258781433, 'RMSE_avg': 1.9409250115018168, 'sMAPE_avg': 0.3868637316353766, 'R2_avg': 0.6357848742493009}",COMPLETE
