number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,15.773067951202393,2026-04-06 04:17:16.063765,2026-04-06 04:17:19.006344,0 days 00:00:02.942579,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[64, 50]","{'MAE_15m': 13.913928031921387, 'RMSE_15m': 33.05070161060314, 'sMAPE_15m': 5.33332508110981, 'R2_15m': 0.8199787991061507, 'MAE_30m': 17.6322078704834, 'RMSE_30m': 41.718596383144146, 'sMAPE_30m': 6.510710754929594, 'R2_30m': 0.7132136907016353, 'MAE_avg': 15.773067951202393, 'RMSE_avg': 37.38464899687364, 'sMAPE_avg': 5.9220179180197015, 'R2_avg': 0.766596244903893}",COMPLETE
1,14.27712345123291,2026-04-06 04:17:19.016134,2026-04-06 04:17:23.408776,0 days 00:00:04.392642,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[428, 608]","{'MAE_15m': 10.95921516418457, 'RMSE_15m': 33.94706644634408, 'sMAPE_15m': 4.246734194837963, 'R2_15m': 0.8100817180906661, 'MAE_30m': 17.59503173828125, 'RMSE_30m': 44.63846605078615, 'sMAPE_30m': 6.52374603060263, 'R2_30m': 0.6716646875371681, 'MAE_avg': 14.27712345123291, 'RMSE_avg': 39.292766248565115, 'sMAPE_avg': 5.385240112720297, 'R2_avg': 0.7408732028139171}",COMPLETE
2,12.835964679718018,2026-04-06 04:17:23.413336,2026-04-06 04:17:25.696267,0 days 00:00:02.282931,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[111, 163]","{'MAE_15m': 9.835490226745605, 'RMSE_15m': 28.686301079590347, 'sMAPE_15m': 3.5737289534348875, 'R2_15m': 0.8643838514437947, 'MAE_30m': 15.83643913269043, 'RMSE_30m': 39.18433811506359, 'sMAPE_30m': 5.732612600005636, 'R2_30m': 0.7469979326930328, 'MAE_avg': 12.835964679718018, 'RMSE_avg': 33.935319597326966, 'sMAPE_avg': 4.653170776720262, 'R2_avg': 0.8056908920684138}",COMPLETE
3,12.696402072906494,2026-04-06 04:17:25.703384,2026-04-06 04:17:28.950256,0 days 00:00:03.246872,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[290, 229]","{'MAE_15m': 9.081034660339355, 'RMSE_15m': 31.40166905334711, 'sMAPE_15m': 3.3059954350302734, 'R2_15m': 0.8374946101640366, 'MAE_30m': 16.311769485473633, 'RMSE_30m': 42.638333290834815, 'sMAPE_30m': 5.867597709937294, 'R2_30m': 0.7004292213314016, 'MAE_avg': 12.696402072906494, 'RMSE_avg': 37.020001172090964, 'sMAPE_avg': 4.586796572483784, 'R2_avg': 0.7689619157477191}",COMPLETE
4,12.690229892730713,2026-04-06 04:17:28.952068,2026-04-06 04:17:30.779460,0 days 00:00:01.827392,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[15, 29]","{'MAE_15m': 11.283385276794434, 'RMSE_15m': 27.229315230283632, 'sMAPE_15m': 4.135022448127226, 'R2_15m': 0.8778099878708715, 'MAE_30m': 14.097074508666992, 'RMSE_30m': 38.988007095331575, 'sMAPE_30m': 5.052733692995282, 'R2_30m': 0.7495268813832281, 'MAE_avg': 12.690229892730713, 'RMSE_avg': 33.10866116280761, 'sMAPE_avg': 4.593878070561255, 'R2_avg': 0.8136684346270497}",COMPLETE
5,18.008925437927246,2026-04-06 04:17:30.786159,2026-04-06 04:17:33.057224,0 days 00:00:02.271065,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 16.08450698852539, 'RMSE_15m': 26.436778534408155, 'sMAPE_15m': 5.518569685156864, 'R2_15m': 0.8848193940435872, 'MAE_30m': 19.9333438873291, 'RMSE_30m': 37.07668461435283, 'sMAPE_30m': 6.671043594769239, 'R2_30m': 0.7734829914424363, 'MAE_avg': 18.008925437927246, 'RMSE_avg': 31.756731574380492, 'sMAPE_avg': 6.094806639963052, 'R2_avg': 0.8291511927430117}",COMPLETE
6,9.428739070892334,2026-04-06 04:17:33.058842,2026-04-06 04:17:34.684542,0 days 00:00:01.625700,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[38, 31]","{'MAE_15m': 7.237890243530273, 'RMSE_15m': 24.415914929722966, 'sMAPE_15m': 2.5339832282457215, 'R2_15m': 0.901755489411603, 'MAE_30m': 11.619587898254395, 'RMSE_30m': 35.131013511590616, 'sMAPE_30m': 3.965124862310293, 'R2_30m': 0.796633028328952, 'MAE_avg': 9.428739070892334, 'RMSE_avg': 29.77346422065679, 'sMAPE_avg': 3.249554045278007, 'R2_avg': 0.8491942588702774}",COMPLETE
7,17.41314172744751,2026-04-06 04:17:34.686056,2026-04-06 04:17:37.019250,0 days 00:00:02.333194,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 15.08991527557373, 'RMSE_15m': 25.61893983218275, 'sMAPE_15m': 5.11309302074138, 'R2_15m': 0.8918355258777266, 'MAE_30m': 19.73636817932129, 'RMSE_30m': 37.090409627397285, 'sMAPE_30m': 6.636024658948532, 'R2_30m': 0.7733152314614127, 'MAE_avg': 17.41314172744751, 'RMSE_avg': 31.35467472979002, 'sMAPE_avg': 5.874558839844957, 'R2_avg': 0.8325753786695697}",COMPLETE
8,10.826190948486328,2026-04-06 04:17:37.021880,2026-04-06 04:17:40.291694,0 days 00:00:03.269814,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[372, 356]","{'MAE_15m': 8.361900329589844, 'RMSE_15m': 23.628078038159256, 'sMAPE_15m': 3.0182591893790507, 'R2_15m': 0.9079933860828437, 'MAE_30m': 13.290481567382812, 'RMSE_30m': 35.39333081543665, 'sMAPE_30m': 4.683976008163791, 'R2_30m': 0.7935846899052217, 'MAE_avg': 10.826190948486328, 'RMSE_avg': 29.51070442679795, 'sMAPE_avg': 3.851117598771421, 'R2_avg': 0.8507890379940327}",COMPLETE
9,14.253035068511963,2026-04-06 04:17:40.293290,2026-04-06 04:17:42.233165,0 days 00:00:01.939875,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[34, 78]","{'MAE_15m': 11.430651664733887, 'RMSE_15m': 35.94481752946539, 'sMAPE_15m': 4.092248343494044, 'R2_15m': 0.7870709980921778, 'MAE_30m': 17.07541847229004, 'RMSE_30m': 46.748710084142964, 'sMAPE_30m': 6.41054559532273, 'R2_30m': 0.6398874232672043, 'MAE_avg': 14.253035068511963, 'RMSE_avg': 41.34676380680418, 'sMAPE_avg': 5.251396969408387, 'R2_avg': 0.713479210679691}",COMPLETE
10,11.600013256072998,2026-04-06 04:17:42.236797,2026-04-06 04:17:43.936772,0 days 00:00:01.699975,0.9935496864584779,4.883839283223654,0.18255631599020614,2,10,1200,14.73099293843444,0.6071847502459278,"[35, 43]","{'MAE_15m': 8.660412788391113, 'RMSE_15m': 24.503014203932647, 'sMAPE_15m': 3.323156810546414, 'R2_15m': 0.901053307256885, 'MAE_30m': 14.539613723754883, 'RMSE_30m': 36.86161369844143, 'sMAPE_30m': 5.2464105656403515, 'R2_30m': 0.7761032755801412, 'MAE_avg': 11.600013256072998, 'RMSE_avg': 30.68231395118704, 'sMAPE_avg': 4.284783688093382, 'R2_avg': 0.8385782914185131}",COMPLETE
