number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,7.898510217666626,2026-04-06 04:17:53.521776,2026-04-06 04:17:55.552877,0 days 00:00:02.031101,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[74, 53]","{'MAE_15m': 8.77330207824707, 'RMSE_15m': 18.474897520119193, 'sMAPE_15m': 2.1371396982150146, 'R2_15m': -34.767914182596094, 'MAE_30m': 7.023718357086182, 'RMSE_30m': 13.906192942298675, 'sMAPE_30m': 1.7367392021345753, 'R2_30m': -19.271966727692018, 'MAE_avg': 7.898510217666626, 'RMSE_avg': 16.190545231208933, 'sMAPE_avg': 1.936939450174795, 'R2_avg': -27.019940455144056}",COMPLETE
1,2.4162757396698,2026-04-06 04:17:55.568366,2026-04-06 04:18:00.266837,0 days 00:00:04.698471,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[646, 534]","{'MAE_15m': 1.9197380542755127, 'RMSE_15m': 5.054601276493632, 'sMAPE_15m': 0.48435272082793673, 'R2_15m': -1.6773389332702338, 'MAE_30m': 2.912813425064087, 'RMSE_30m': 6.710699892112014, 'sMAPE_30m': 0.7324257321253586, 'R2_30m': -3.720793956444317, 'MAE_avg': 2.4162757396698, 'RMSE_avg': 5.882650584302823, 'sMAPE_avg': 0.6083892264766476, 'R2_avg': -2.6990664448572756}",COMPLETE
2,2.150354266166687,2026-04-06 04:18:00.272673,2026-04-06 04:18:02.506002,0 days 00:00:02.233329,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[162, 159]","{'MAE_15m': 1.7513797283172607, 'RMSE_15m': 2.9693649458188056, 'sMAPE_15m': 0.4463948018659381, 'R2_15m': 0.0760326113788633, 'MAE_30m': 2.5493288040161133, 'RMSE_30m': 4.194198034148865, 'sMAPE_30m': 0.6485258253319314, 'R2_30m': -0.8440691480944755, 'MAE_avg': 2.150354266166687, 'RMSE_avg': 3.581781489983835, 'sMAPE_avg': 0.5474603135989348, 'R2_avg': -0.3840182683578061}",COMPLETE
3,2.4814905524253845,2026-04-06 04:18:02.519372,2026-04-06 04:18:05.941977,0 days 00:00:03.422605,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[348, 332]","{'MAE_15m': 1.9788986444473267, 'RMSE_15m': 5.051336153235439, 'sMAPE_15m': 0.49866483604491857, 'R2_15m': -1.6738810493332985, 'MAE_30m': 2.9840824604034424, 'RMSE_30m': 8.03324752487426, 'sMAPE_30m': 0.744191533453494, 'R2_30m': -5.7649046749411585, 'MAE_avg': 2.4814905524253845, 'RMSE_avg': 6.542291839054849, 'sMAPE_avg': 0.6214281847492062, 'R2_avg': -3.7193928621372283}",COMPLETE
4,4.803657412528992,2026-04-06 04:18:05.946731,2026-04-06 04:18:07.858906,0 days 00:00:01.912175,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[40, 47]","{'MAE_15m': 2.5673105716705322, 'RMSE_15m': 7.304927719980577, 'sMAPE_15m': 0.6404920094249774, 'R2_15m': -4.591925059241215, 'MAE_30m': 7.040004253387451, 'RMSE_30m': 14.395876378806092, 'sMAPE_30m': 1.7365553223827628, 'R2_30m': -20.724788165653695, 'MAE_avg': 4.803657412528992, 'RMSE_avg': 10.850402049393335, 'sMAPE_avg': 1.18852366590387, 'R2_avg': -12.658356612447456}",COMPLETE
5,24.911887168884277,2026-04-06 04:18:07.862852,2026-04-06 04:18:10.302531,0 days 00:00:02.439679,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 24.373424530029297, 'RMSE_15m': 24.51472373263668, 'sMAPE_15m': 6.0550199649368, 'R2_15m': -61.977231739283226, 'MAE_30m': 25.450349807739258, 'RMSE_30m': 25.733078813364788, 'sMAPE_30m': 6.311566174004198, 'R2_30m': -68.41652543763897, 'MAE_avg': 24.911887168884277, 'RMSE_avg': 25.123901273000733, 'sMAPE_avg': 6.1832930694704995, 'R2_avg': -65.19687858846109}",COMPLETE
6,1.8907951712608337,2026-04-06 04:18:10.304291,2026-04-06 04:18:12.026089,0 days 00:00:01.721798,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[62, 58]","{'MAE_15m': 1.454342246055603, 'RMSE_15m': 2.0074170387389447, 'sMAPE_15m': 0.3720250017589691, 'R2_15m': 0.5777158898560988, 'MAE_30m': 2.3272480964660645, 'RMSE_30m': 3.9773028870467053, 'sMAPE_30m': 0.5922984272373141, 'R2_30m': -0.6582757062677391, 'MAE_avg': 1.8907951712608337, 'RMSE_avg': 2.992359962892825, 'sMAPE_avg': 0.4821617144981416, 'R2_avg': -0.04027990820582017}",COMPLETE
7,25.105290412902832,2026-04-06 04:18:12.027659,2026-04-06 04:18:14.203019,0 days 00:00:02.175360,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 24.86766242980957, 'RMSE_15m': 25.05489943783139, 'sMAPE_15m': 6.1752193349177436, 'R2_15m': -64.78318030783086, 'MAE_30m': 25.342918395996094, 'RMSE_30m': 25.534889438046942, 'sMAPE_30m': 6.288910523071202, 'R2_30m': -67.35138613972636, 'MAE_avg': 25.105290412902832, 'RMSE_avg': 25.294894437939167, 'sMAPE_avg': 6.232064928994473, 'R2_avg': -66.06728322377862}",COMPLETE
8,2.2637418508529663,2026-04-06 04:18:14.204577,2026-04-06 04:18:17.271067,0 days 00:00:03.066490,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[337, 335]","{'MAE_15m': 1.682013988494873, 'RMSE_15m': 2.5242075970331603, 'sMAPE_15m': 0.42970493508519453, 'R2_15m': 0.3323026640121789, 'MAE_30m': 2.8454697132110596, 'RMSE_30m': 4.245382380972171, 'sMAPE_30m': 0.724562380909199, 'R2_30m': -0.8893526052472149, 'MAE_avg': 2.2637418508529663, 'RMSE_avg': 3.384794989002666, 'sMAPE_avg': 0.5771336579971967, 'R2_avg': -0.278524970617518}",COMPLETE
9,2.919505476951599,2026-04-06 04:18:17.277705,2026-04-06 04:18:19.562482,0 days 00:00:02.284777,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[87, 64]","{'MAE_15m': 2.3610479831695557, 'RMSE_15m': 7.984860161002914, 'sMAPE_15m': 0.5840013935673418, 'R2_15m': -5.681349368718849, 'MAE_30m': 3.4779629707336426, 'RMSE_30m': 11.034862758818392, 'sMAPE_30m': 0.8511227683547602, 'R2_30m': -11.764777002087476, 'MAE_avg': 2.919505476951599, 'RMSE_avg': 9.509861459910653, 'sMAPE_avg': 0.717562080961051, 'R2_avg': -8.723063185403163}",COMPLETE
