number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.7445812821388245,2026-04-06 04:18:58.762604,2026-04-06 04:19:01.092967,0 days 00:00:02.330363,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[111, 60]","{'MAE_15m': 1.3626607656478882, 'RMSE_15m': 1.8110066543027143, 'sMAPE_15m': 0.3550286948771535, 'R2_15m': 0.678233943906072, 'MAE_30m': 2.1265017986297607, 'RMSE_30m': 2.496597836118196, 'sMAPE_30m': 0.5544346261317139, 'R2_30m': 0.39148298289053607, 'MAE_avg': 1.7445812821388245, 'RMSE_avg': 2.1538022452104553, 'sMAPE_avg': 0.4547316605044337, 'R2_avg': 0.534858463398304}",COMPLETE
1,1.568201720714569,2026-04-06 04:19:01.094694,2026-04-06 04:19:04.778469,0 days 00:00:03.683775,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[308, 415]","{'MAE_15m': 1.3351024389266968, 'RMSE_15m': 1.7454929214154802, 'sMAPE_15m': 0.3478840895064601, 'R2_15m': 0.7010928486761692, 'MAE_30m': 1.8013010025024414, 'RMSE_30m': 2.2685586811872938, 'sMAPE_30m': 0.4696320934131944, 'R2_30m': 0.4975700175894412, 'MAE_avg': 1.568201720714569, 'RMSE_avg': 2.007025801301387, 'sMAPE_avg': 0.4087580914598272, 'R2_avg': 0.5993314331328052}",COMPLETE
2,1.4913265705108643,2026-04-06 04:19:04.779907,2026-04-06 04:19:07.089814,0 days 00:00:02.309907,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[99, 191]","{'MAE_15m': 1.2548264265060425, 'RMSE_15m': 1.6629948302674353, 'sMAPE_15m': 0.32695437074789235, 'R2_15m': 0.7286799358424172, 'MAE_30m': 1.727826714515686, 'RMSE_30m': 2.2086196449901854, 'sMAPE_30m': 0.4504276441037309, 'R2_30m': 0.5237692452447837, 'MAE_avg': 1.4913265705108643, 'RMSE_avg': 1.9358072376288105, 'sMAPE_avg': 0.38869100742581164, 'R2_avg': 0.6262245905436005}",COMPLETE
3,1.5792893171310425,2026-04-06 04:19:07.091420,2026-04-06 04:19:10.402816,0 days 00:00:03.311396,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[229, 249]","{'MAE_15m': 1.3037793636322021, 'RMSE_15m': 1.7750664846299609, 'sMAPE_15m': 0.33971801485791514, 'R2_15m': 0.6908783922943432, 'MAE_30m': 1.8547992706298828, 'RMSE_30m': 2.3253282992012467, 'sMAPE_30m': 0.4836981604647672, 'R2_30m': 0.47210918603736085, 'MAE_avg': 1.5792893171310425, 'RMSE_avg': 2.050197391915604, 'sMAPE_avg': 0.41170808766134115, 'R2_avg': 0.581493789165852}",COMPLETE
4,1.642543911933899,2026-04-06 04:19:10.404253,2026-04-06 04:19:12.262304,0 days 00:00:01.858051,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[17, 20]","{'MAE_15m': 1.3370213508605957, 'RMSE_15m': 1.8400334545908865, 'sMAPE_15m': 0.3486471283020233, 'R2_15m': 0.6678367998465251, 'MAE_30m': 1.9480664730072021, 'RMSE_30m': 2.290566012467378, 'sMAPE_30m': 0.5081841658006153, 'R2_30m': 0.4877745060387184, 'MAE_avg': 1.642543911933899, 'RMSE_avg': 2.065299733529132, 'sMAPE_avg': 0.4284156470513193, 'R2_avg': 0.5778056529426218}",COMPLETE
5,1.8408535718917847,2026-04-06 04:19:12.264165,2026-04-06 04:19:14.705894,0 days 00:00:02.441729,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[198, 199]","{'MAE_15m': 1.5965890884399414, 'RMSE_15m': 2.0191964143059233, 'sMAPE_15m': 0.4167797303499418, 'R2_15m': 0.6000025144191996, 'MAE_30m': 2.085118055343628, 'RMSE_30m': 2.4693260969312743, 'sMAPE_30m': 0.5441847669692672, 'R2_30m': 0.40470476866266514, 'MAE_avg': 1.8408535718917847, 'RMSE_avg': 2.244261255618599, 'sMAPE_avg': 0.48048224865960454, 'R2_avg': 0.5023536415409324}",COMPLETE
6,1.4415324926376343,2026-04-06 04:19:14.709493,2026-04-06 04:19:16.481929,0 days 00:00:01.772436,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[50, 55]","{'MAE_15m': 1.1715624332427979, 'RMSE_15m': 1.599575466220459, 'sMAPE_15m': 0.30517187760264197, 'R2_15m': 0.7489792677365534, 'MAE_30m': 1.7115025520324707, 'RMSE_30m': 2.1672288336521666, 'sMAPE_30m': 0.4461360965053169, 'R2_30m': 0.5414516781523783, 'MAE_avg': 1.4415324926376343, 'RMSE_avg': 1.883402149936313, 'sMAPE_avg': 0.37565398705397945, 'R2_avg': 0.6452154729444659}",COMPLETE
7,1.8335136771202087,2026-04-06 04:19:16.489297,2026-04-06 04:19:18.597590,0 days 00:00:02.108293,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1.571964144706726, 'RMSE_15m': 1.9599928689359836, 'sMAPE_15m': 0.4104192511784001, 'R2_15m': 0.6231147696060918, 'MAE_30m': 2.0950632095336914, 'RMSE_30m': 2.4892412426809734, 'sMAPE_30m': 0.5467265501879844, 'R2_30m': 0.3950639012121647, 'MAE_avg': 1.8335136771202087, 'RMSE_avg': 2.2246170558084786, 'sMAPE_avg': 0.47857290068319225, 'R2_avg': 0.5090893354091283}",COMPLETE
8,1.4806578755378723,2026-04-06 04:19:18.601083,2026-04-06 04:19:21.848585,0 days 00:00:03.247502,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[325, 377]","{'MAE_15m': 1.2616928815841675, 'RMSE_15m': 1.753143892509402, 'sMAPE_15m': 0.3287666128168139, 'R2_15m': 0.6984667014271175, 'MAE_30m': 1.6996228694915771, 'RMSE_30m': 2.1016069712418317, 'sMAPE_30m': 0.4431930393885181, 'R2_30m': 0.5688002223399737, 'MAE_avg': 1.4806578755378723, 'RMSE_avg': 1.9273754318756169, 'sMAPE_avg': 0.385979826102666, 'R2_avg': 0.6336334618835456}",COMPLETE
9,1.581892967224121,2026-04-06 04:19:21.852308,2026-04-06 04:19:23.894351,0 days 00:00:02.042043,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[55, 75]","{'MAE_15m': 1.3496084213256836, 'RMSE_15m': 1.795485315728645, 'sMAPE_15m': 0.3515766643071717, 'R2_15m': 0.6837257236556941, 'MAE_30m': 1.8141775131225586, 'RMSE_30m': 2.3299093896822765, 'sMAPE_30m': 0.47298999450172063, 'R2_30m': 0.4700272018972109, 'MAE_avg': 1.581892967224121, 'RMSE_avg': 2.062697352705461, 'sMAPE_avg': 0.4122833294044462, 'R2_avg': 0.5768764627764524}",COMPLETE
