number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,4.623403191566467,2026-04-06 04:20:10.998841,2026-04-06 04:20:14.043642,0 days 00:00:03.044801,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[60, 328]","{'MAE_15m': 3.8870508670806885, 'RMSE_15m': 6.505513420515091, 'sMAPE_15m': 1.0065380006116158, 'R2_15m': 0.8139612252980991, 'MAE_30m': 5.359755516052246, 'RMSE_30m': 9.477036680480037, 'sMAPE_30m': 1.398470734245519, 'R2_30m': 0.6003039393560285, 'MAE_avg': 4.623403191566467, 'RMSE_avg': 7.991275050497563, 'sMAPE_avg': 1.2025043674285674, 'R2_avg': 0.7071325823270638}",COMPLETE
1,3.859496593475342,2026-04-06 04:20:14.045351,2026-04-06 04:20:18.825664,0 days 00:00:04.780313,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[538, 632]","{'MAE_15m': 3.1908297538757324, 'RMSE_15m': 5.269662639091234, 'sMAPE_15m': 0.8236698207369029, 'R2_15m': 0.8779308544434481, 'MAE_30m': 4.528163433074951, 'RMSE_30m': 7.912711778551629, 'sMAPE_30m': 1.1749227814021577, 'R2_30m': 0.7213651536235401, 'MAE_avg': 3.859496593475342, 'RMSE_avg': 6.591187208821431, 'sMAPE_avg': 0.9992963010695303, 'R2_avg': 0.7996480040334941}",COMPLETE
2,4.1424219608306885,2026-04-06 04:20:18.828701,2026-04-06 04:20:21.022687,0 days 00:00:02.193986,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[161, 157]","{'MAE_15m': 3.401622772216797, 'RMSE_15m': 5.4492108744902765, 'sMAPE_15m': 0.8774316803222895, 'R2_15m': 0.8694708395511579, 'MAE_30m': 4.88322114944458, 'RMSE_30m': 7.916031286608613, 'sMAPE_30m': 1.265845846445145, 'R2_30m': 0.7211312977193782, 'MAE_avg': 4.1424219608306885, 'RMSE_avg': 6.682621080549445, 'sMAPE_avg': 1.0716387633837172, 'R2_avg': 0.7953010686352681}",COMPLETE
3,3.8405816555023193,2026-04-06 04:20:21.028198,2026-04-06 04:20:25.623279,0 days 00:00:04.595081,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[422, 473]","{'MAE_15m': 3.29311466217041, 'RMSE_15m': 5.667397321083068, 'sMAPE_15m': 0.8511623291696645, 'R2_15m': 0.8588088103076038, 'MAE_30m': 4.3880486488342285, 'RMSE_30m': 7.139668673994198, 'sMAPE_30m': 1.1376736999504868, 'R2_30m': 0.7731489109425629, 'MAE_avg': 3.8405816555023193, 'RMSE_avg': 6.403532997538633, 'sMAPE_avg': 0.9944180145600756, 'R2_avg': 0.8159788606250833}",COMPLETE
4,4.39875054359436,2026-04-06 04:20:25.624580,2026-04-06 04:20:27.606210,0 days 00:00:01.981630,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[62, 27]","{'MAE_15m': 3.483232021331787, 'RMSE_15m': 6.545554526364988, 'sMAPE_15m': 0.9054443243292791, 'R2_15m': 0.8116640727726537, 'MAE_30m': 5.314269065856934, 'RMSE_30m': 10.292088879613281, 'sMAPE_30m': 1.3921999461931962, 'R2_30m': 0.5285976095650979, 'MAE_avg': 4.39875054359436, 'RMSE_avg': 8.418821702989135, 'sMAPE_avg': 1.1488221352612378, 'R2_avg': 0.6701308411688758}",COMPLETE
5,9.639634609222412,2026-04-06 04:20:27.620402,2026-04-06 04:20:30.044168,0 days 00:00:02.423766,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 8.958466529846191, 'RMSE_15m': 10.065695308616213, 'sMAPE_15m': 2.305019591160286, 'R2_15m': 0.5546229647995327, 'MAE_30m': 10.320802688598633, 'RMSE_30m': 11.983873339402573, 'sMAPE_30m': 2.6654906796870033, 'R2_30m': 0.3608847898970935, 'MAE_avg': 9.639634609222412, 'RMSE_avg': 11.024784324009392, 'sMAPE_avg': 2.4852551354236447, 'R2_avg': 0.4577538773483131}",COMPLETE
6,3.453896164894104,2026-04-06 04:20:30.047958,2026-04-06 04:20:31.773747,0 days 00:00:01.725789,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[43, 35]","{'MAE_15m': 2.5765960216522217, 'RMSE_15m': 3.8521208136003784, 'sMAPE_15m': 0.6627829756525977, 'R2_15m': 0.934771089523011, 'MAE_30m': 4.331196308135986, 'RMSE_30m': 6.240140233053567, 'sMAPE_30m': 1.1178424706023078, 'R2_30m': 0.8267100040027981, 'MAE_avg': 3.453896164894104, 'RMSE_avg': 5.046130523326973, 'sMAPE_avg': 0.8903127231274528, 'R2_avg': 0.8807405467629046}",COMPLETE
7,8.586158275604248,2026-04-06 04:20:31.777805,2026-04-06 04:20:33.825621,0 days 00:00:02.047816,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 7.890202522277832, 'RMSE_15m': 8.888953187498021, 'sMAPE_15m': 2.0252125513614447, 'R2_15m': 0.6526706079801543, 'MAE_30m': 9.282114028930664, 'RMSE_30m': 10.574369905065746, 'sMAPE_30m': 2.3897346242995954, 'R2_30m': 0.502384667591246, 'MAE_avg': 8.586158275604248, 'RMSE_avg': 9.731661546281885, 'sMAPE_avg': 2.20747358783052, 'R2_avg': 0.5775276377857002}",COMPLETE
8,4.680205583572388,2026-04-06 04:20:33.827316,2026-04-06 04:20:37.161248,0 days 00:00:03.333932,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 395]","{'MAE_15m': 3.9891204833984375, 'RMSE_15m': 5.3519673660720315, 'sMAPE_15m': 1.02565848933039, 'R2_15m': 0.8740879721206058, 'MAE_30m': 5.371290683746338, 'RMSE_30m': 7.618438899609935, 'sMAPE_30m': 1.3871516527163956, 'R2_30m': 0.7417045644028364, 'MAE_avg': 4.680205583572388, 'RMSE_avg': 6.485203132840983, 'sMAPE_avg': 1.2064050710233927, 'R2_avg': 0.8078962682617211}",COMPLETE
9,3.7140369415283203,2026-04-06 04:20:37.168207,2026-04-06 04:20:39.264883,0 days 00:00:02.096676,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[81, 61]","{'MAE_15m': 3.126680374145508, 'RMSE_15m': 6.320101249946105, 'sMAPE_15m': 0.8115544214506243, 'R2_15m': 0.8244146177133682, 'MAE_30m': 4.301393508911133, 'RMSE_30m': 7.523790392813984, 'sMAPE_30m': 1.1172109572317026, 'R2_30m': 0.7480826131798886, 'MAE_avg': 3.7140369415283203, 'RMSE_avg': 6.921945821380044, 'sMAPE_avg': 0.9643826893411634, 'R2_avg': 0.7862486154466284}",COMPLETE
