number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,293675802624.0,2026-04-06 04:57:54.694447,2026-04-06 04:57:57.043747,0 days 00:00:02.349300,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[12, 26]","{'MAE_15m': 368692264960.0, 'RMSE_15m': 369130853044.2785, 'sMAPE_15m': 200.0, 'R2_15m': -1.9969888541596634e+27, 'MAE_30m': 218659340288.0, 'RMSE_30m': 1303818173607.571, 'sMAPE_30m': 199.99999999995015, 'R2_30m': -2.4874739023944655e+28, 'MAE_avg': 293675802624.0, 'RMSE_avg': 836474513325.9248, 'sMAPE_avg': 199.99999999997507, 'R2_avg': -1.3435863939052159e+28}",COMPLETE
1,126546493440.0,2026-04-06 04:57:57.045566,2026-04-06 04:58:00.110613,0 days 00:00:03.065047,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[272, 347]","{'MAE_15m': 137771155456.0, 'RMSE_15m': 252391655439.14148, 'sMAPE_15m': 199.99999999986716, 'R2_15m': -9.336088258567302e+26, 'MAE_30m': 115321831424.0, 'RMSE_30m': 1222374839868.572, 'sMAPE_30m': 199.999999997711, 'R2_30m': -2.18641853288183e+28, 'MAE_avg': 126546493440.0, 'RMSE_avg': 737383247653.8567, 'sMAPE_avg': 199.99999999878906, 'R2_avg': -1.1398897077337514e+28}",COMPLETE
2,159397445632.0,2026-04-06 04:58:00.115418,2026-04-06 04:58:01.955891,0 days 00:00:01.840473,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[76, 89]","{'MAE_15m': 207926312960.0, 'RMSE_15m': 942009435508.638, 'sMAPE_15m': 199.99999999886097, 'R2_15m': -1.3005451727418455e+28, 'MAE_30m': 110868578304.0, 'RMSE_30m': 844287419202.7888, 'sMAPE_30m': 199.99999999656325, 'R2_30m': -1.0430498740719868e+28, 'MAE_avg': 159397445632.0, 'RMSE_avg': 893148427355.7134, 'sMAPE_avg': 199.9999999977121, 'R2_avg': -1.1717975234069163e+28}",COMPLETE
3,2843945696.0,2026-04-06 04:58:01.960322,2026-04-06 04:58:05.520999,0 days 00:00:03.560677,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[351, 424]","{'MAE_15m': 4984615424.0, 'RMSE_15m': 22532730186.81899, 'sMAPE_15m': 199.99999991185763, 'R2_15m': -7.441192811523216e+24, 'MAE_30m': 703275968.0, 'RMSE_30m': 1706733562.686877, 'sMAPE_30m': 199.9999998860792, 'R2_30m': -4.2624174137630114e+22, 'MAE_avg': 2843945696.0, 'RMSE_avg': 12119731874.752934, 'sMAPE_avg': 199.9999998989684, 'R2_avg': -3.741908492830423e+24}",COMPLETE
4,11653951.125,2026-04-06 04:58:05.522407,2026-04-06 04:58:07.576967,0 days 00:00:02.054560,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[58, 79]","{'MAE_15m': 22703412.0, 'RMSE_15m': 57656993.0389631, 'sMAPE_15m': 199.99998313407673, 'R2_15m': -4.87213106444243e+19, 'MAE_30m': 604490.25, 'RMSE_30m': 1053633.9884570923, 'sMAPE_30m': 199.9998819474559, 'R2_30m': -1.6244416215634004e+16, 'MAE_avg': 11653951.125, 'RMSE_avg': 29355313.513710096, 'sMAPE_avg': 199.9999325407663, 'R2_avg': -2.436877753031997e+19}",COMPLETE
5,192369577984.0,2026-04-06 04:58:07.578514,2026-04-06 04:58:10.075613,0 days 00:00:02.497099,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[196, 199]","{'MAE_15m': 250633191424.0, 'RMSE_15m': 1290101471786.6523, 'sMAPE_15m': 199.99999998891934, 'R2_15m': -2.4392857003180103e+28, 'MAE_30m': 134105964544.0, 'RMSE_30m': 153873147292.69934, 'sMAPE_30m': 199.99999999969486, 'R2_30m': -3.464576635338847e+26, 'MAE_avg': 192369577984.0, 'RMSE_avg': 721987309539.6758, 'sMAPE_avg': 199.9999999943071, 'R2_avg': -1.2369657333356994e+28}",COMPLETE
6,295434436608.0,2026-04-06 04:58:10.077828,2026-04-06 04:58:11.578160,0 days 00:00:01.500332,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[11, 13]","{'MAE_15m': 501339521024.0, 'RMSE_15m': 6956032026551.232, 'sMAPE_15m': 199.999999999825, 'R2_15m': -7.091499985798856e+29, 'MAE_30m': 89529352192.0, 'RMSE_30m': 192157645523.2738, 'sMAPE_30m': 199.99999999993165, 'R2_30m': -5.4030602925090265e+26, 'MAE_avg': 295434436608.0, 'RMSE_avg': 3574094836037.253, 'sMAPE_avg': 199.99999999987833, 'R2_avg': -3.5484515230456826e+29}",COMPLETE
7,138619863040.0,2026-04-06 04:58:11.579682,2026-04-06 04:58:13.784804,0 days 00:00:02.205122,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 161682898944.0, 'RMSE_15m': 447723906660.0516, 'sMAPE_15m': 199.99999999994688, 'R2_15m': -2.937889909962373e+27, 'MAE_30m': 115556827136.0, 'RMSE_30m': 115831206635.27307, 'sMAPE_30m': 200.0, 'R2_30m': -1.9632502958158758e+26, 'MAE_avg': 138619863040.0, 'RMSE_avg': 281777556647.66235, 'sMAPE_avg': 199.99999999997345, 'R2_avg': -1.5671074697719804e+27}",COMPLETE
8,274419359744.0,2026-04-06 04:58:13.790548,2026-04-06 04:58:15.891067,0 days 00:00:02.100519,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[94, 180]","{'MAE_15m': 440599216128.0, 'RMSE_15m': 3317817757236.141, 'sMAPE_15m': 199.99999999893365, 'R2_15m': -1.6133182109197074e+29, 'MAE_30m': 108239503360.0, 'RMSE_30m': 192854108866.4216, 'sMAPE_30m': 199.9999999945551, 'R2_30m': -5.442297710501233e+26, 'MAE_avg': 274419359744.0, 'RMSE_avg': 1755335933051.2812, 'sMAPE_avg': 199.99999999674438, 'R2_avg': -8.093802543151043e+28}",COMPLETE
9,126617387.25,2026-04-06 04:58:15.894827,2026-04-06 04:58:18.327389,0 days 00:00:02.432562,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[118, 183]","{'MAE_15m': 248412608.0, 'RMSE_15m': 1512859574.307308, 'sMAPE_15m': 199.9999996963964, 'R2_15m': -3.3543795875806815e+22, 'MAE_30m': 4822166.5, 'RMSE_30m': 15002928.974307917, 'sMAPE_30m': 199.99975166020104, 'R2_30m': -3.293643745552574e+18, 'MAE_avg': 126617387.25, 'RMSE_avg': 763931251.640808, 'sMAPE_avg': 199.99987567829874, 'R2_avg': -1.6773544759776183e+22}",COMPLETE
