number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.06251570582389832,2026-04-06 04:58:29.292673,2026-04-06 04:58:31.074704,0 days 00:00:01.782031,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[36, 39]","{'MAE_15m': 0.05081431567668915, 'RMSE_15m': 0.09054560286851843, 'sMAPE_15m': 137.57069278216994, 'R2_15m': 0.9599765300311489, 'MAE_30m': 0.07421709597110748, 'RMSE_30m': 0.14965252142073154, 'sMAPE_30m': 139.2560327108123, 'R2_30m': 0.8906678094199354, 'MAE_avg': 0.06251570582389832, 'RMSE_avg': 0.12009906214462499, 'sMAPE_avg': 138.41336274649112, 'R2_avg': 0.9253221697255422}",COMPLETE
1,0.04274936020374298,2026-04-06 04:58:31.075982,2026-04-06 04:58:33.714414,0 days 00:00:02.638432,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[343, 358]","{'MAE_15m': 0.030276436358690262, 'RMSE_15m': 0.07360609882868321, 'sMAPE_15m': 136.463264071332, 'R2_15m': 0.9735511048642254, 'MAE_30m': 0.0552222840487957, 'RMSE_30m': 0.14261081399209363, 'sMAPE_30m': 138.62410860866555, 'R2_30m': 0.9007147095698738, 'MAE_avg': 0.04274936020374298, 'RMSE_avg': 0.10810845641038842, 'sMAPE_avg': 137.54368633999877, 'R2_avg': 0.9371329072170496}",COMPLETE
2,0.05068598873913288,2026-04-06 04:58:33.719671,2026-04-06 04:58:35.516008,0 days 00:00:01.796337,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[134, 134]","{'MAE_15m': 0.03880840167403221, 'RMSE_15m': 0.08437292738859029, 'sMAPE_15m': 137.10674713814538, 'R2_15m': 0.9652474885707276, 'MAE_30m': 0.06256357580423355, 'RMSE_30m': 0.14508921942866562, 'sMAPE_30m': 138.87100325723017, 'R2_30m': 0.8972338209145581, 'MAE_avg': 0.05068598873913288, 'RMSE_avg': 0.11473107340862795, 'sMAPE_avg': 137.98887519768778, 'R2_avg': 0.9312406547426428}",COMPLETE
3,0.04213390592485666,2026-04-06 04:58:35.522871,2026-04-06 04:58:37.817595,0 days 00:00:02.294724,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[232, 287]","{'MAE_15m': 0.03077966906130314, 'RMSE_15m': 0.07649264895814535, 'sMAPE_15m': 136.6280919403392, 'R2_15m': 0.9714359771945807, 'MAE_30m': 0.05348814278841019, 'RMSE_30m': 0.1415655221784908, 'sMAPE_30m': 138.48951734041353, 'R2_30m': 0.9021648408919529, 'MAE_avg': 0.04213390592485666, 'RMSE_avg': 0.10902908556831808, 'sMAPE_avg': 137.55880464037637, 'R2_avg': 0.9368004090432669}",COMPLETE
4,0.0481236781924963,2026-04-06 04:58:37.823394,2026-04-06 04:58:39.510809,0 days 00:00:01.687415,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[34, 40]","{'MAE_15m': 0.03582136332988739, 'RMSE_15m': 0.0804698336398667, 'sMAPE_15m': 136.88272773945206, 'R2_15m': 0.9683884237378466, 'MAE_30m': 0.06042599305510521, 'RMSE_30m': 0.1444050779429233, 'sMAPE_30m': 138.71019029418352, 'R2_30m': 0.8982006737949955, 'MAE_avg': 0.0481236781924963, 'RMSE_avg': 0.112437455791395, 'sMAPE_avg': 137.79645901681778, 'R2_avg': 0.933294548766421}",COMPLETE
5,0.07808719202876091,2026-04-06 04:58:39.522456,2026-04-06 04:58:41.846421,0 days 00:00:02.323965,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.06637541949748993, 'RMSE_15m': 0.09613073924160656, 'sMAPE_15m': 138.17637170549966, 'R2_15m': 0.9548867060725282, 'MAE_30m': 0.08979896456003189, 'RMSE_30m': 0.15277929279691238, 'sMAPE_30m': 139.82885408226846, 'R2_30m': 0.8860514166344494, 'MAE_avg': 0.07808719202876091, 'RMSE_avg': 0.12445501601925947, 'sMAPE_avg': 139.00261289388408, 'R2_avg': 0.9204690613534888}",COMPLETE
6,0.0625925324857235,2026-04-06 04:58:41.859099,2026-04-06 04:58:43.567188,0 days 00:00:01.708089,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[34, 36]","{'MAE_15m': 0.050047338008880615, 'RMSE_15m': 0.0877482426554347, 'sMAPE_15m': 137.63576239745674, 'R2_15m': 0.9624113402721355, 'MAE_30m': 0.07513772696256638, 'RMSE_30m': 0.15163543067301916, 'sMAPE_30m': 139.36744487251656, 'R2_30m': 0.8877512984793574, 'MAE_avg': 0.0625925324857235, 'RMSE_avg': 0.11969183666422692, 'sMAPE_avg': 138.50160363498665, 'R2_avg': 0.9250813193757464}",COMPLETE
7,0.07492533698678017,2026-04-06 04:58:43.568949,2026-04-06 04:58:45.850417,0 days 00:00:02.281468,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.06311973929405212, 'RMSE_15m': 0.09443282765153677, 'sMAPE_15m': 138.09994803477025, 'R2_15m': 0.9564662657285543, 'MAE_30m': 0.08673093467950821, 'RMSE_30m': 0.15215041045451014, 'sMAPE_30m': 139.74315609215728, 'R2_30m': 0.8869875589814147, 'MAE_avg': 0.07492533698678017, 'RMSE_avg': 0.12329161905302345, 'sMAPE_avg': 138.92155206346376, 'R2_avg': 0.9217269123549845}",COMPLETE
8,0.04373176582157612,2026-04-06 04:58:45.852054,2026-04-06 04:58:48.436191,0 days 00:00:02.584137,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[287, 296]","{'MAE_15m': 0.03189194202423096, 'RMSE_15m': 0.0796349286591917, 'sMAPE_15m': 136.70969705188867, 'R2_15m': 0.9690409876523537, 'MAE_30m': 0.05557158961892128, 'RMSE_30m': 0.14288040021309342, 'sMAPE_30m': 138.49684904061814, 'R2_30m': 0.90033898166915, 'MAE_avg': 0.04373176582157612, 'RMSE_avg': 0.11125766443614256, 'sMAPE_avg': 137.6032730462534, 'R2_avg': 0.9346899846607519}",COMPLETE
9,0.037561419419944286,2026-04-06 04:58:48.442104,2026-04-06 04:58:50.349337,0 days 00:00:01.907233,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[44, 72]","{'MAE_15m': 0.02582237683236599, 'RMSE_15m': 0.07130451557468466, 'sMAPE_15m': 136.28018430390028, 'R2_15m': 0.975179300159106, 'MAE_30m': 0.04930046200752258, 'RMSE_30m': 0.13703589440220873, 'sMAPE_30m': 138.0592329774307, 'R2_30m': 0.9083254838984346, 'MAE_avg': 0.037561419419944286, 'RMSE_avg': 0.1041702049884467, 'sMAPE_avg': 137.16970864066548, 'R2_avg': 0.9417523920287703}",COMPLETE
10,0.03131645638495684,2026-04-06 04:58:50.353967,2026-04-06 04:58:52.197239,0 days 00:00:01.843272,0.9016552640704525,0.05557192411355649,0.06832074860620659,2,5,1200,14.73099293843444,0.6071847502459278,"[88, 105]","{'MAE_15m': 0.019422436133027077, 'RMSE_15m': 0.07730111876255064, 'sMAPE_15m': 136.3422578644259, 'R2_15m': 0.9708289877651368, 'MAE_30m': 0.0432104766368866, 'RMSE_30m': 0.14288682049274434, 'sMAPE_30m': 138.14027954642324, 'R2_30m': 0.9003300393189081, 'MAE_avg': 0.03131645638495684, 'RMSE_avg': 0.11009396962764749, 'sMAPE_avg': 137.24126870542457, 'R2_avg': 0.9355795135420224}",COMPLETE
