number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.06344318017363548,2026-04-06 04:59:00.400263,2026-04-06 04:59:01.929127,0 days 00:00:01.528864,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[23, 21]","{'MAE_15m': 0.06090272217988968, 'RMSE_15m': 0.1335154331712589, 'sMAPE_15m': 178.33545914012925, 'R2_15m': 0.28094435899578085, 'MAE_30m': 0.06598363816738129, 'RMSE_30m': 0.14637433687437762, 'sMAPE_30m': 179.29122990991414, 'R2_30m': 0.13565186768051918, 'MAE_avg': 0.06344318017363548, 'RMSE_avg': 0.13994488502281827, 'sMAPE_avg': 178.8133445250217, 'R2_avg': 0.20829811333815001}",COMPLETE
1,0.05601547285914421,2026-04-06 04:59:01.930741,2026-04-06 04:59:04.199808,0 days 00:00:02.269067,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[283, 204]","{'MAE_15m': 0.05134895071387291, 'RMSE_15m': 0.12086381925020105, 'sMAPE_15m': 177.18729231163326, 'R2_15m': 0.4107600479995205, 'MAE_30m': 0.06068199500441551, 'RMSE_30m': 0.1408107841643674, 'sMAPE_30m': 179.1034772046953, 'R2_30m': 0.2001093624228999, 'MAE_avg': 0.05601547285914421, 'RMSE_avg': 0.13083730170728422, 'sMAPE_avg': 178.14538475816428, 'R2_avg': 0.3054347052112102}",COMPLETE
2,0.05864889360964298,2026-04-06 04:59:04.201406,2026-04-06 04:59:05.984010,0 days 00:00:01.782604,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[106, 68]","{'MAE_15m': 0.054129403084516525, 'RMSE_15m': 0.12382624185496045, 'sMAPE_15m': 177.47534471855366, 'R2_15m': 0.3815210744119709, 'MAE_30m': 0.06316838413476944, 'RMSE_30m': 0.14316156627149357, 'sMAPE_30m': 179.28307946568006, 'R2_30m': 0.17317866158852369, 'MAE_avg': 0.05864889360964298, 'RMSE_avg': 0.133493904063227, 'sMAPE_avg': 178.37921209211686, 'R2_avg': 0.2773498680002473}",COMPLETE
3,0.055070316419005394,2026-04-06 04:59:05.992358,2026-04-06 04:59:08.105210,0 days 00:00:02.112852,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[282, 135]","{'MAE_15m': 0.04986180365085602, 'RMSE_15m': 0.11981092735262326, 'sMAPE_15m': 177.2850992619284, 'R2_15m': 0.4209815154888953, 'MAE_30m': 0.06027882918715477, 'RMSE_30m': 0.13941774453741007, 'sMAPE_30m': 179.0288857729693, 'R2_30m': 0.21585759397834747, 'MAE_avg': 0.055070316419005394, 'RMSE_avg': 0.12961433594501667, 'sMAPE_avg': 178.15699251744883, 'R2_avg': 0.3184195547336214}",COMPLETE
4,0.0588886383920908,2026-04-06 04:59:08.107106,2026-04-06 04:59:09.721593,0 days 00:00:01.614487,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[22, 24]","{'MAE_15m': 0.055084291845560074, 'RMSE_15m': 0.12437439245645901, 'sMAPE_15m': 177.77625980757983, 'R2_15m': 0.3760331960531518, 'MAE_30m': 0.06269298493862152, 'RMSE_30m': 0.14304106816704507, 'sMAPE_30m': 179.24573269425568, 'R2_30m': 0.17457001159116992, 'MAE_avg': 0.0588886383920908, 'RMSE_avg': 0.13370773031175204, 'sMAPE_avg': 178.51099625091774, 'R2_avg': 0.27530160382216085}",COMPLETE
5,0.060484379529953,2026-04-06 04:59:09.722887,2026-04-06 04:59:12.040738,0 days 00:00:02.317851,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[163, 160]","{'MAE_15m': 0.05676954239606857, 'RMSE_15m': 0.12727942714467616, 'sMAPE_15m': 177.68985710873704, 'R2_15m': 0.34654457786291426, 'MAE_30m': 0.06419921666383743, 'RMSE_30m': 0.14464986933845028, 'sMAPE_30m': 179.25529450961523, 'R2_30m': 0.15589815341984437, 'MAE_avg': 0.060484379529953, 'RMSE_avg': 0.13596464824156324, 'sMAPE_avg': 178.47257580917613, 'R2_avg': 0.2512213656413793}",COMPLETE
6,0.06295092031359673,2026-04-06 04:59:12.042402,2026-04-06 04:59:13.860907,0 days 00:00:01.818505,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[11, 21]","{'MAE_15m': 0.05978982895612717, 'RMSE_15m': 0.1307457387787797, 'sMAPE_15m': 178.44454492187666, 'R2_15m': 0.31046768485956533, 'MAE_30m': 0.06611201167106628, 'RMSE_30m': 0.14687406204816944, 'sMAPE_30m': 179.16960334907105, 'R2_30m': 0.129740133378488, 'MAE_avg': 0.06295092031359673, 'RMSE_avg': 0.13880990041347457, 'sMAPE_avg': 178.80707413547384, 'R2_avg': 0.22010390911902666}",COMPLETE
7,0.05885608308017254,2026-04-06 04:59:13.862699,2026-04-06 04:59:15.885053,0 days 00:00:02.022354,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[198, 199]","{'MAE_15m': 0.05472395941615105, 'RMSE_15m': 0.1255893226274098, 'sMAPE_15m': 177.57777143093568, 'R2_15m': 0.3637834982861686, 'MAE_30m': 0.06298820674419403, 'RMSE_30m': 0.143100415506716, 'sMAPE_30m': 179.30083636528516, 'R2_30m': 0.1738848649442386, 'MAE_avg': 0.05885608308017254, 'RMSE_avg': 0.1343448690670629, 'sMAPE_avg': 178.43930389811044, 'R2_avg': 0.2688341816152036}",COMPLETE
8,0.055341968312859535,2026-04-06 04:59:15.891318,2026-04-06 04:59:18.789823,0 days 00:00:02.898505,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[228, 184]","{'MAE_15m': 0.05040755122900009, 'RMSE_15m': 0.12058898102651676, 'sMAPE_15m': 177.2557333160325, 'R2_15m': 0.4134368339301433, 'MAE_30m': 0.06027638539671898, 'RMSE_30m': 0.14001231370357872, 'sMAPE_30m': 179.08694603484554, 'R2_30m': 0.2091552218088053, 'MAE_avg': 0.055341968312859535, 'RMSE_avg': 0.13030064736504773, 'sMAPE_avg': 178.17133967543901, 'R2_avg': 0.3112960278694743}",COMPLETE
9,0.0534758735448122,2026-04-06 04:59:18.793831,2026-04-06 04:59:21.308685,0 days 00:00:02.514854,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[75, 24]","{'MAE_15m': 0.04777170345187187, 'RMSE_15m': 0.11729258752764037, 'sMAPE_15m': 177.11881256270854, 'R2_15m': 0.4450668493168495, 'MAE_30m': 0.05918004363775253, 'RMSE_30m': 0.13965335250421448, 'sMAPE_30m': 179.0386422805517, 'R2_30m': 0.21320516382535204, 'MAE_avg': 0.0534758735448122, 'RMSE_avg': 0.12847297001592742, 'sMAPE_avg': 178.0787274216301, 'R2_avg': 0.32913600657110076}",COMPLETE
