number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.06479742005467415,2026-04-06 04:59:35.407000,2026-04-06 04:59:38.019427,0 days 00:00:02.612427,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[83, 51]","{'MAE_15m': 0.052090778946876526, 'RMSE_15m': 0.07756062443249918, 'sMAPE_15m': 111.01967808878308, 'R2_15m': 0.9725019868647454, 'MAE_30m': 0.07750406116247177, 'RMSE_30m': 0.1272841393016154, 'sMAPE_30m': 113.17436965509606, 'R2_30m': 0.9263330058332047, 'MAE_avg': 0.06479742005467415, 'RMSE_avg': 0.1024223818670573, 'sMAPE_avg': 112.09702387193957, 'R2_avg': 0.949417496348975}",COMPLETE
1,0.04538946598768234,2026-04-06 04:59:38.020922,2026-04-06 04:59:41.666046,0 days 00:00:03.645124,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[381, 410]","{'MAE_15m': 0.03443765267729759, 'RMSE_15m': 0.05265634556543751, 'sMAPE_15m': 110.47510007591241, 'R2_15m': 0.9873258124676529, 'MAE_30m': 0.05634127929806709, 'RMSE_30m': 0.10997148483536473, 'sMAPE_30m': 111.89709971185444, 'R2_30m': 0.9450098965068282, 'MAE_avg': 0.04538946598768234, 'RMSE_avg': 0.08131391520040113, 'sMAPE_avg': 111.18609989388342, 'R2_avg': 0.9661678544872405}",COMPLETE
2,0.05420422926545143,2026-04-06 04:59:41.680980,2026-04-06 04:59:44.561758,0 days 00:00:02.880778,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[107, 99]","{'MAE_15m': 0.043033480644226074, 'RMSE_15m': 0.06602397800960526, 'sMAPE_15m': 110.22956339445582, 'R2_15m': 0.9800739084393966, 'MAE_30m': 0.06537497788667679, 'RMSE_30m': 0.1166968165832746, 'sMAPE_30m': 112.10800414738759, 'R2_30m': 0.9380783776059096, 'MAE_avg': 0.05420422926545143, 'RMSE_avg': 0.09136039729643994, 'sMAPE_avg': 111.1687837709217, 'R2_avg': 0.9590761430226531}",COMPLETE
3,0.04448149912059307,2026-04-06 04:59:44.568410,2026-04-06 04:59:47.549815,0 days 00:00:02.981405,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[288, 298]","{'MAE_15m': 0.03383548930287361, 'RMSE_15m': 0.0526052368443913, 'sMAPE_15m': 110.3854043971037, 'R2_15m': 0.9873504028563858, 'MAE_30m': 0.05512750893831253, 'RMSE_30m': 0.1104154317564854, 'sMAPE_30m': 111.87540300740353, 'R2_30m': 0.9445650238950463, 'MAE_avg': 0.04448149912059307, 'RMSE_avg': 0.08151033430043834, 'sMAPE_avg': 111.13040370225362, 'R2_avg': 0.965957713375716}",COMPLETE
4,0.05304391123354435,2026-04-06 04:59:47.551247,2026-04-06 04:59:49.381127,0 days 00:00:01.829880,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[25, 25]","{'MAE_15m': 0.0414649061858654, 'RMSE_15m': 0.06352391677425115, 'sMAPE_15m': 110.1374526826418, 'R2_15m': 0.9815543787534917, 'MAE_30m': 0.0646229162812233, 'RMSE_30m': 0.1165466428458544, 'sMAPE_30m': 112.02811159145413, 'R2_30m': 0.9382376467846657, 'MAE_avg': 0.05304391123354435, 'RMSE_avg': 0.09003527981005277, 'sMAPE_avg': 111.08278213704796, 'R2_avg': 0.9598960127690788}",COMPLETE
5,0.08618293330073357,2026-04-06 04:59:49.382913,2026-04-06 04:59:51.410861,0 days 00:00:02.027948,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.07466365396976471, 'RMSE_15m': 0.08989494357915634, 'sMAPE_15m': 113.45841158128225, 'R2_15m': 0.9630606461294487, 'MAE_30m': 0.09770221263170242, 'RMSE_30m': 0.13431739903280446, 'sMAPE_30m': 115.70372764876049, 'R2_30m': 0.9179669519708566, 'MAE_avg': 0.08618293330073357, 'RMSE_avg': 0.1121061713059804, 'sMAPE_avg': 114.58106961502136, 'R2_avg': 0.9405137990501526}",COMPLETE
6,0.061855532228946686,2026-04-06 04:59:51.412438,2026-04-06 04:59:53.367587,0 days 00:00:01.955149,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[81, 52]","{'MAE_15m': 0.049361176788806915, 'RMSE_15m': 0.07902560884940504, 'sMAPE_15m': 110.63584501901235, 'R2_15m': 0.9714533982225932, 'MAE_30m': 0.07434988766908646, 'RMSE_30m': 0.12343657936887627, 'sMAPE_30m': 113.12914771925348, 'R2_30m': 0.9307193181290621, 'MAE_avg': 0.061855532228946686, 'RMSE_avg': 0.10123109410914066, 'sMAPE_avg': 111.88249636913292, 'R2_avg': 0.9510863581758277}",COMPLETE
7,0.08257174491882324,2026-04-06 04:59:53.369157,2026-04-06 04:59:55.606621,0 days 00:00:02.237464,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.0715075209736824, 'RMSE_15m': 0.08998731359004676, 'sMAPE_15m': 113.07627657180134, 'R2_15m': 0.9629846985331518, 'MAE_30m': 0.09363596886396408, 'RMSE_30m': 0.13296341035882162, 'sMAPE_30m': 115.17593472199732, 'R2_30m': 0.9196124900212838, 'MAE_avg': 0.08257174491882324, 'RMSE_avg': 0.1114753619744342, 'sMAPE_avg': 114.12610564689933, 'R2_avg': 0.9412985942772178}",COMPLETE
8,0.04694484733045101,2026-04-06 04:59:55.609870,2026-04-06 04:59:58.209423,0 days 00:00:02.599553,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[287, 334]","{'MAE_15m': 0.036125548183918, 'RMSE_15m': 0.05866466839871544, 'sMAPE_15m': 110.28732747442156, 'R2_15m': 0.9842684314558907, 'MAE_30m': 0.057764146476984024, 'RMSE_30m': 0.11401331654397294, 'sMAPE_30m': 111.8502184365076, 'R2_30m': 0.940893468064856, 'MAE_avg': 0.04694484733045101, 'RMSE_avg': 0.08633899247134419, 'sMAPE_avg': 111.06877295546458, 'R2_avg': 0.9625809497603733}",COMPLETE
9,0.04090498946607113,2026-04-06 04:59:58.211952,2026-04-06 04:59:59.890807,0 days 00:00:01.678855,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[83, 67]","{'MAE_15m': 0.02920042723417282, 'RMSE_15m': 0.04600058005254885, 'sMAPE_15m': 110.52452052508323, 'R2_15m': 0.9903273521227159, 'MAE_30m': 0.05260955169796944, 'RMSE_30m': 0.10928698813362067, 'sMAPE_30m': 112.26703960024508, 'R2_30m': 0.9456923203682285, 'MAE_avg': 0.04090498946607113, 'RMSE_avg': 0.07764378409308476, 'sMAPE_avg': 111.39578006266416, 'R2_avg': 0.9680098362454722}",COMPLETE
