number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.08789807558059692,2026-04-06 05:00:11.009331,2026-04-06 05:00:12.798454,0 days 00:00:01.789123,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[55, 69]","{'MAE_15m': 0.08581129461526871, 'RMSE_15m': 0.13437606650306283, 'sMAPE_15m': 12.297365944604701, 'R2_15m': -0.1381380624192876, 'MAE_30m': 0.08998485654592514, 'RMSE_30m': 0.13513370364448263, 'sMAPE_30m': 12.683029718542874, 'R2_30m': -0.1505433507171412, 'MAE_avg': 0.08789807558059692, 'RMSE_avg': 0.13475488507377273, 'sMAPE_avg': 12.490197831573788, 'R2_avg': -0.1443407065682144}",COMPLETE
1,0.07396319136023521,2026-04-06 05:00:12.806783,2026-04-06 05:00:16.244924,0 days 00:00:03.438141,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[544, 311]","{'MAE_15m': 0.0703359842300415, 'RMSE_15m': 0.12867464587176033, 'sMAPE_15m': 10.477705889753043, 'R2_15m': -0.043607214896035584, 'MAE_30m': 0.07759039849042892, 'RMSE_30m': 0.12898413877043877, 'sMAPE_30m': 11.209913755151387, 'R2_30m': -0.04820997141635419, 'MAE_avg': 0.07396319136023521, 'RMSE_avg': 0.12882939232109955, 'sMAPE_avg': 10.843809822452215, 'R2_avg': -0.04590859315619489}",COMPLETE
2,0.07841561362147331,2026-04-06 05:00:16.252264,2026-04-06 05:00:18.362384,0 days 00:00:02.110120,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[176, 117]","{'MAE_15m': 0.07372089475393295, 'RMSE_15m': 0.12946408399791695, 'sMAPE_15m': 10.83671400074163, 'R2_15m': -0.05645169942906514, 'MAE_30m': 0.08311033248901367, 'RMSE_30m': 0.13197335040226205, 'sMAPE_30m': 11.847675944217517, 'R2_30m': -0.0973574779883315, 'MAE_avg': 0.07841561362147331, 'RMSE_avg': 0.13071871720008948, 'sMAPE_avg': 11.342194972479573, 'R2_avg': -0.07690458870869832}",COMPLETE
3,0.07340971380472183,2026-04-06 05:00:18.373184,2026-04-06 05:00:20.913828,0 days 00:00:02.540644,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[262, 190]","{'MAE_15m': 0.07012322545051575, 'RMSE_15m': 0.1293048980044625, 'sMAPE_15m': 10.470261607004549, 'R2_15m': -0.05385556868219199, 'MAE_30m': 0.07669620215892792, 'RMSE_30m': 0.12893536267841302, 'sMAPE_30m': 11.120083240228686, 'R2_30m': -0.04741724241453693, 'MAE_avg': 0.07340971380472183, 'RMSE_avg': 0.12912013034143777, 'sMAPE_avg': 10.795172423616616, 'R2_avg': -0.05063640554836446}",COMPLETE
4,0.07719580084085464,2026-04-06 05:00:20.915413,2026-04-06 05:00:22.546482,0 days 00:00:01.631069,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[22, 20]","{'MAE_15m': 0.07246074080467224, 'RMSE_15m': 0.12959178787992387, 'sMAPE_15m': 10.692523715493014, 'R2_15m': -0.05853717684978621, 'MAE_30m': 0.08193086087703705, 'RMSE_30m': 0.1309313433868113, 'sMAPE_30m': 11.691702142828037, 'R2_30m': -0.08009736370127007, 'MAE_avg': 0.07719580084085464, 'RMSE_avg': 0.1302615656333676, 'sMAPE_avg': 11.192112929160526, 'R2_avg': -0.06931727027552814}",COMPLETE
5,0.0850120559334755,2026-04-06 05:00:22.548092,2026-04-06 05:00:24.920006,0 days 00:00:02.371914,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.08173374831676483, 'RMSE_15m': 0.13151246406044173, 'sMAPE_15m': 11.756959432354677, 'R2_15m': -0.09014681253059664, 'MAE_30m': 0.08829036355018616, 'RMSE_30m': 0.13315593269442835, 'sMAPE_30m': 12.436747328710428, 'R2_30m': -0.11711187150829394, 'MAE_avg': 0.0850120559334755, 'RMSE_avg': 0.13233419837743504, 'sMAPE_avg': 12.096853380532552, 'R2_avg': -0.10362934201944529}",COMPLETE
6,0.084060188382864,2026-04-06 05:00:24.921842,2026-04-06 05:00:26.562553,0 days 00:00:01.640711,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[22, 20]","{'MAE_15m': 0.0814276859164238, 'RMSE_15m': 0.13167231260439496, 'sMAPE_15m': 11.74256823460227, 'R2_15m': -0.09279835847061979, 'MAE_30m': 0.0866926908493042, 'RMSE_30m': 0.13364661074412507, 'sMAPE_30m': 12.241167674865949, 'R2_30m': -0.12536009742784726, 'MAE_avg': 0.084060188382864, 'RMSE_avg': 0.13265946167426002, 'sMAPE_avg': 11.99186795473411, 'R2_avg': -0.10907922794923353}",COMPLETE
7,0.08401414752006531,2026-04-06 05:00:26.564126,2026-04-06 05:00:28.701387,0 days 00:00:02.137261,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.08093755692243576, 'RMSE_15m': 0.1311909119683456, 'sMAPE_15m': 11.679479500065034, 'R2_15m': -0.08482240697360521, 'MAE_30m': 0.08709073811769485, 'RMSE_30m': 0.13270575777885185, 'sMAPE_30m': 12.30041662759471, 'R2_30m': -0.10957123406846381, 'MAE_avg': 0.08401414752006531, 'RMSE_avg': 0.13194833487359872, 'sMAPE_avg': 11.989948063829871, 'R2_avg': -0.09719682052103451}",COMPLETE
8,0.07417383044958115,2026-04-06 05:00:28.703297,2026-04-06 05:00:31.208335,0 days 00:00:02.505038,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[370, 335]","{'MAE_15m': 0.07072067260742188, 'RMSE_15m': 0.1291390902617842, 'sMAPE_15m': 10.508128442725656, 'R2_15m': -0.051154499131885744, 'MAE_30m': 0.07762698829174042, 'RMSE_30m': 0.1292989197652888, 'sMAPE_30m': 11.208973614958232, 'R2_30m': -0.05333242013153461, 'MAE_avg': 0.07417383044958115, 'RMSE_avg': 0.1292190050135365, 'sMAPE_avg': 10.858551028841944, 'R2_avg': -0.052243459631710176}",COMPLETE
9,0.07167387381196022,2026-04-06 05:00:31.209675,2026-04-06 05:00:33.044103,0 days 00:00:01.834428,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[49, 69]","{'MAE_15m': 0.06726838648319244, 'RMSE_15m': 0.12895708093384262, 'sMAPE_15m': 10.142951750889532, 'R2_15m': -0.04819359477510088, 'MAE_30m': 0.076079361140728, 'RMSE_30m': 0.12956962973984337, 'sMAPE_30m': 11.094757061116598, 'R2_30m': -0.05774770901498405, 'MAE_avg': 0.07167387381196022, 'RMSE_avg': 0.129263355336843, 'sMAPE_avg': 10.618854406003065, 'R2_avg': -0.052970651895042464}",COMPLETE
10,0.07390885800123215,2026-04-06 05:00:33.046989,2026-04-06 05:00:35.019372,0 days 00:00:01.972383,0.9016552640704525,0.05557192411355649,0.06832074860620659,2,5,1200,14.73099293843444,0.6071847502459278,"[181, 75]","{'MAE_15m': 0.06802234798669815, 'RMSE_15m': 0.12897394310247745, 'sMAPE_15m': 10.226681412326618, 'R2_15m': -0.048467863552731805, 'MAE_30m': 0.07979536801576614, 'RMSE_30m': 0.1307078238336355, 'sMAPE_30m': 11.436436003856903, 'R2_30m': -0.0764126629773858, 'MAE_avg': 0.07390885800123215, 'RMSE_avg': 0.12984088346805647, 'sMAPE_avg': 10.83155870809176, 'R2_avg': -0.062440263265058804}",COMPLETE
