number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.01747818384319544,2026-04-06 05:00:45.194313,2026-04-06 05:00:46.834377,0 days 00:00:01.640064,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[17, 36]","{'MAE_15m': 0.017858022823929787, 'RMSE_15m': 0.0211058309130985, 'sMAPE_15m': 1.8651129149639682, 'R2_15m': -0.08233176238355333, 'MAE_30m': 0.01709834486246109, 'RMSE_30m': 0.02031087189692285, 'sMAPE_30m': 1.7870064340601985, 'R2_30m': -0.05104977899874563, 'MAE_avg': 0.01747818384319544, 'RMSE_avg': 0.020708351405010674, 'sMAPE_avg': 1.8260596745120834, 'R2_avg': -0.06669077069114948}",COMPLETE
1,0.017473634332418442,2026-04-06 05:00:46.837746,2026-04-06 05:00:48.500928,0 days 00:00:01.663182,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[73, 20]","{'MAE_15m': 0.017845099791884422, 'RMSE_15m': 0.02108457476689085, 'sMAPE_15m': 1.8637562233647331, 'R2_15m': -0.08015280803350078, 'MAE_30m': 0.01710216887295246, 'RMSE_30m': 0.020290839126646195, 'sMAPE_30m': 1.787408217615653, 'R2_30m': -0.048977565845957916, 'MAE_avg': 0.017473634332418442, 'RMSE_avg': 0.020687706946768525, 'sMAPE_avg': 1.825582220490193, 'R2_avg': -0.06456518693972935}",COMPLETE
2,0.01747941691428423,2026-04-06 05:00:48.503501,2026-04-06 05:00:50.250458,0 days 00:00:01.746957,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[17, 0]","{'MAE_15m': 0.017855748534202576, 'RMSE_15m': 0.021102069498917936, 'sMAPE_15m': 1.8648741046521973, 'R2_15m': -0.08194610226681998, 'MAE_30m': 0.017103085294365883, 'RMSE_30m': 0.020286097383190455, 'sMAPE_30m': 1.787504482149815, 'R2_30m': -0.04848740610052715, 'MAE_avg': 0.01747941691428423, 'RMSE_avg': 0.020694083441054195, 'sMAPE_avg': 1.826189293401006, 'R2_avg': -0.06521675418367356}",COMPLETE
3,0.017468567937612534,2026-04-06 05:00:50.254076,2026-04-06 05:00:51.911544,0 days 00:00:01.657468,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[49, 3]","{'MAE_15m': 0.01783471740782261, 'RMSE_15m': 0.021067691310023787, 'sMAPE_15m': 1.8626665658196904, 'R2_15m': -0.07842378205677236, 'MAE_30m': 0.017102418467402458, 'RMSE_30m': 0.020289551771484907, 'sMAPE_30m': 1.7874343058318258, 'R2_30m': -0.04884446875468407, 'MAE_avg': 0.017468567937612534, 'RMSE_avg': 0.020678621540754345, 'sMAPE_avg': 1.8250504358257582, 'R2_avg': -0.06363412540572821}",COMPLETE
4,0.01748090237379074,2026-04-06 05:00:51.915404,2026-04-06 05:00:53.692262,0 days 00:00:01.776858,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[17, 36]","{'MAE_15m': 0.01786498725414276, 'RMSE_15m': 0.021117392288835166, 'sMAPE_15m': 1.8658439657420418, 'R2_15m': -0.08351792907478472, 'MAE_30m': 0.01709681749343872, 'RMSE_30m': 0.020318980598789414, 'sMAPE_30m': 1.7868459684025804, 'R2_30m': -0.05188929798974207, 'MAE_avg': 0.01748090237379074, 'RMSE_avg': 0.020718186443812292, 'sMAPE_avg': 1.826344967072311, 'R2_avg': -0.0677036135322634}",COMPLETE
5,0.01749367918819189,2026-04-06 05:00:53.694995,2026-04-06 05:00:55.246428,0 days 00:00:01.551433,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[18, 19]","{'MAE_15m': 0.017885452136397362, 'RMSE_15m': 0.021151810094022585, 'sMAPE_15m': 1.8679924499832536, 'R2_15m': -0.08705275073712193, 'MAE_30m': 0.01710190623998642, 'RMSE_30m': 0.020292206717558273, 'sMAPE_30m': 1.7873805638901457, 'R2_30m': -0.04911883617061963, 'MAE_avg': 0.01749367918819189, 'RMSE_avg': 0.02072200840579043, 'sMAPE_avg': 1.8276865069366997, 'R2_avg': -0.06808579345387078}",COMPLETE
6,0.017483741976320744,2026-04-06 05:00:55.258645,2026-04-06 05:00:56.810691,0 days 00:00:01.552046,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[10, 7]","{'MAE_15m': 0.017867788672447205, 'RMSE_15m': 0.02112206453344185, 'sMAPE_15m': 1.8661380631836921, 'R2_15m': -0.0839974812623503, 'MAE_30m': 0.017099695280194283, 'RMSE_30m': 0.020303749758167847, 'sMAPE_30m': 1.7871483681658678, 'R2_30m': -0.050312859799597875, 'MAE_avg': 0.017483741976320744, 'RMSE_avg': 0.02071290714580485, 'sMAPE_avg': 1.82664321567478, 'R2_avg': -0.06715517053097408}",COMPLETE
7,0.017490854486823082,2026-04-06 05:00:56.813112,2026-04-06 05:00:58.388754,0 days 00:00:01.575642,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[17, 0]","{'MAE_15m': 0.017879033461213112, 'RMSE_15m': 0.021140946243774786, 'sMAPE_15m': 1.8673186738653824, 'R2_15m': -0.08593636845187946, 'MAE_30m': 0.017102675512433052, 'RMSE_30m': 0.020288214843790345, 'sMAPE_30m': 1.7874614373664282, 'R2_30m': -0.04870627240069769, 'MAE_avg': 0.017490854486823082, 'RMSE_avg': 0.020714580543782564, 'sMAPE_avg': 1.8273900556159053, 'R2_avg': -0.06732132042628858}",COMPLETE
8,0.017492756247520447,2026-04-06 05:00:58.390316,2026-04-06 05:01:00.048694,0 days 00:00:01.658378,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[53, 36]","{'MAE_15m': 0.01788383163511753, 'RMSE_15m': 0.021149062143621205, 'sMAPE_15m': 1.867822439032046, 'R2_15m': -0.08677038344504928, 'MAE_30m': 0.017101680859923363, 'RMSE_30m': 0.020293379889381274, 'sMAPE_30m': 1.7873568232500494, 'R2_30m': -0.04924024500436697, 'MAE_avg': 0.017492756247520447, 'RMSE_avg': 0.02072122101650124, 'sMAPE_avg': 1.8275896311410476, 'R2_avg': -0.06800531422470812}",COMPLETE
9,0.017455114983022213,2026-04-06 05:01:00.050309,2026-04-06 05:01:01.715888,0 days 00:00:01.665579,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[17, 17]","{'MAE_15m': 0.017810389399528503, 'RMSE_15m': 0.021028797467864097, 'sMAPE_15m': 1.8601131726093196, 'R2_15m': -0.07444559839538933, 'MAE_30m': 0.017099840566515923, 'RMSE_30m': 0.020302992897534556, 'sMAPE_30m': 1.7871635005002402, 'R2_30m': -0.05023460755248221, 'MAE_avg': 0.017455114983022213, 'RMSE_avg': 0.020665895182699325, 'sMAPE_avg': 1.82363833655478, 'R2_avg': -0.062340102973935774}",COMPLETE
10,0.017455226741731167,2026-04-06 05:01:01.733944,2026-04-06 05:01:03.386168,0 days 00:00:01.652224,0.9016552640704525,0.05557192411355649,0.06832074860620659,2,5,1200,14.73099293843444,0.6071847502459278,"[3, 7]","{'MAE_15m': 0.01780848763883114, 'RMSE_15m': 0.02108883129826941, 'sMAPE_15m': 1.8599164325123811, 'R2_15m': -0.08058903579794063, 'MAE_30m': 0.017101965844631195, 'RMSE_30m': 0.020291895485777048, 'sMAPE_30m': 1.7873868251305154, 'R2_30m': -0.049086812634657306, 'MAE_avg': 0.017455226741731167, 'RMSE_avg': 0.02069036339202323, 'sMAPE_avg': 1.8236516288214482, 'R2_avg': -0.06483792421629897}",COMPLETE
11,0.017455345019698143,2026-04-06 05:01:03.387686,2026-04-06 05:01:04.959071,0 days 00:00:01.571385,0.9123149587522621,0.054410480359419824,0.06471865671451513,2,5,1200,14.534664934380187,0.6068744601075835,"[3, 7]","{'MAE_15m': 0.01780879683792591, 'RMSE_15m': 0.02109120486609617, 'sMAPE_15m': 1.859947955270401, 'R2_15m': -0.08083234936797212, 'MAE_30m': 0.017101893201470375, 'RMSE_30m': 0.020292269823881146, 'sMAPE_30m': 1.7873792594636322, 'R2_30m': -0.04912547664351452, 'MAE_avg': 0.017455345019698143, 'RMSE_avg': 0.020691737344988657, 'sMAPE_avg': 1.8236636073670165, 'R2_avg': -0.06497891300574332}",COMPLETE
