number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.05630738288164139,2026-04-06 05:01:10.283493,2026-04-06 05:01:12.174280,0 days 00:00:01.890787,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[51, 30]","{'MAE_15m': 0.04702172428369522, 'RMSE_15m': 0.10069991108106506, 'sMAPE_15m': 12.780904864872337, 'R2_15m': 0.8324547681843725, 'MAE_30m': 0.06559304147958755, 'RMSE_30m': 0.12770930811285455, 'sMAPE_30m': 15.194145970102998, 'R2_30m': 0.7318317232562574, 'MAE_avg': 0.05630738288164139, 'RMSE_avg': 0.1142046095969598, 'sMAPE_avg': 13.987525417487667, 'R2_avg': 0.782143245720315}",COMPLETE
1,0.05240689404308796,2026-04-06 05:01:12.175876,2026-04-06 05:01:15.214993,0 days 00:00:03.039117,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[403, 455]","{'MAE_15m': 0.043394140899181366, 'RMSE_15m': 0.10574032557454366, 'sMAPE_15m': 11.7688016329984, 'R2_15m': 0.81526247325379, 'MAE_30m': 0.06141964718699455, 'RMSE_30m': 0.134393184285343, 'sMAPE_30m': 14.159853926363878, 'R2_30m': 0.7030271113804996, 'MAE_avg': 0.05240689404308796, 'RMSE_avg': 0.12006675492994333, 'sMAPE_avg': 12.964327779681138, 'R2_avg': 0.7591447923171448}",COMPLETE
2,0.053729819133877754,2026-04-06 05:01:15.226790,2026-04-06 05:01:17.542015,0 days 00:00:02.315225,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[102, 102]","{'MAE_15m': 0.044070031493902206, 'RMSE_15m': 0.09996642838155595, 'sMAPE_15m': 12.24064585878326, 'R2_15m': 0.8348866404295574, 'MAE_30m': 0.0633896067738533, 'RMSE_30m': 0.12814394647958757, 'sMAPE_30m': 14.917313873021929, 'R2_30m': 0.7300032489477943, 'MAE_avg': 0.053729819133877754, 'RMSE_avg': 0.11405518743057176, 'sMAPE_avg': 13.578979865902594, 'R2_avg': 0.7824449446886759}",COMPLETE
3,0.05113797448575497,2026-04-06 05:01:17.543570,2026-04-06 05:01:20.127861,0 days 00:00:02.584291,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[311, 226]","{'MAE_15m': 0.04213976860046387, 'RMSE_15m': 0.10119858981877349, 'sMAPE_15m': 11.889377218348447, 'R2_15m': 0.8307912608184993, 'MAE_30m': 0.060136180371046066, 'RMSE_30m': 0.1330648367221038, 'sMAPE_30m': 14.100838715225139, 'R2_30m': 0.7088686753648912, 'MAE_avg': 0.05113797448575497, 'RMSE_avg': 0.11713171327043864, 'sMAPE_avg': 12.995107966786794, 'R2_avg': 0.7698299680916952}",COMPLETE
4,0.05483339726924896,2026-04-06 05:01:20.138897,2026-04-06 05:01:21.709652,0 days 00:00:01.570755,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[42, 16]","{'MAE_15m': 0.045550212264060974, 'RMSE_15m': 0.10506646382316479, 'sMAPE_15m': 12.350574946118021, 'R2_15m': 0.8176095487984754, 'MAE_30m': 0.06411658227443695, 'RMSE_30m': 0.13073535280168605, 'sMAPE_30m': 14.786456136980725, 'R2_30m': 0.7189727624158047, 'MAE_avg': 0.05483339726924896, 'RMSE_avg': 0.11790090831242542, 'sMAPE_avg': 13.568515541549374, 'R2_avg': 0.76829115560714}",COMPLETE
5,0.06604048423469067,2026-04-06 05:01:21.721845,2026-04-06 05:01:24.174833,0 days 00:00:02.452988,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.05696802958846092, 'RMSE_15m': 0.10749633982437642, 'sMAPE_15m': 13.656052448219388, 'R2_15m': 0.8090757029170921, 'MAE_30m': 0.07511293888092041, 'RMSE_30m': 0.13408809850958708, 'sMAPE_30m': 16.03756998024798, 'R2_30m': 0.704373872035033, 'MAE_avg': 0.06604048423469067, 'RMSE_avg': 0.12079221916698175, 'sMAPE_avg': 14.846811214233684, 'R2_avg': 0.7567247874760625}",COMPLETE
6,0.05510514974594116,2026-04-06 05:01:24.176617,2026-04-06 05:01:25.734248,0 days 00:00:01.557631,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[67, 27]","{'MAE_15m': 0.04604945331811905, 'RMSE_15m': 0.10275801941340294, 'sMAPE_15m': 12.517539612053286, 'R2_15m': 0.8255362070307144, 'MAE_30m': 0.06416084617376328, 'RMSE_30m': 0.12708390908684095, 'sMAPE_30m': 15.019105396070087, 'R2_30m': 0.7344517311047203, 'MAE_avg': 0.05510514974594116, 'RMSE_avg': 0.11492096425012194, 'sMAPE_avg': 13.768322504061686, 'R2_avg': 0.7799939690677173}",COMPLETE
7,0.06450077332556248,2026-04-06 05:01:25.735579,2026-04-06 05:01:27.911762,0 days 00:00:02.176183,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.05520494654774666, 'RMSE_15m': 0.10597849334071464, 'sMAPE_15m': 13.48503109350796, 'R2_15m': 0.8144293342753268, 'MAE_30m': 0.0737966001033783, 'RMSE_30m': 0.1343549746739824, 'sMAPE_30m': 15.93985259831732, 'R2_30m': 0.7031959405530686, 'MAE_avg': 0.06450077332556248, 'RMSE_avg': 0.12016673400734854, 'sMAPE_avg': 14.71244184591264, 'R2_avg': 0.7588126374141977}",COMPLETE
8,0.05147090554237366,2026-04-06 05:01:27.913302,2026-04-06 05:01:30.374966,0 days 00:00:02.461664,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[338, 300]","{'MAE_15m': 0.043082620948553085, 'RMSE_15m': 0.10161063539121304, 'sMAPE_15m': 12.152200891844576, 'R2_15m': 0.8294105471861289, 'MAE_30m': 0.05985919013619423, 'RMSE_30m': 0.13034695319650566, 'sMAPE_30m': 14.143517788208253, 'R2_30m': 0.720640061541914, 'MAE_avg': 0.05147090554237366, 'RMSE_avg': 0.11597879429385935, 'sMAPE_avg': 13.147859340026415, 'R2_avg': 0.7750253043640214}",COMPLETE
9,0.051742272451519966,2026-04-06 05:01:30.383978,2026-04-06 05:01:32.138751,0 days 00:00:01.754773,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[58, 58]","{'MAE_15m': 0.04266038537025452, 'RMSE_15m': 0.10937451038932205, 'sMAPE_15m': 11.42682461027577, 'R2_15m': 0.8023457686653281, 'MAE_30m': 0.060824159532785416, 'RMSE_30m': 0.1377295390668716, 'sMAPE_30m': 14.079844209100104, 'R2_30m': 0.6880991757483783, 'MAE_avg': 0.051742272451519966, 'RMSE_avg': 0.12355202472809683, 'sMAPE_avg': 12.753334409687938, 'R2_avg': 0.7452224722068532}",COMPLETE
