number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.027048847638070583,2026-04-06 05:01:43.487737,2026-04-06 05:01:45.154739,0 days 00:00:01.667002,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[63, 37]","{'MAE_15m': 0.022553274407982826, 'RMSE_15m': 0.024121679461082367, 'sMAPE_15m': 2.386632442536641, 'R2_15m': -6.776986927974979, 'MAE_30m': 0.03154442086815834, 'RMSE_30m': 0.03269810034603182, 'sMAPE_30m': 3.355548958284466, 'R2_30m': -13.425696176390723, 'MAE_avg': 0.027048847638070583, 'RMSE_avg': 0.028409889903557094, 'sMAPE_avg': 2.8710907004105537, 'R2_avg': -10.10134155218285}",COMPLETE
1,0.014260673895478249,2026-04-06 05:01:45.158636,2026-04-06 05:01:47.971645,0 days 00:00:02.813009,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[356, 416]","{'MAE_15m': 0.010807564482092857, 'RMSE_15m': 0.01295583403347616, 'sMAPE_15m': 1.1349488396984972, 'R2_15m': -1.2435050428167806, 'MAE_30m': 0.01771378330886364, 'RMSE_30m': 0.01950372156626464, 'sMAPE_30m': 1.8688038026196716, 'R2_30m': -4.132473015452501, 'MAE_avg': 0.014260673895478249, 'RMSE_avg': 0.0162297777998704, 'sMAPE_avg': 1.5018763211590844, 'R2_avg': -2.6879890291346404}",COMPLETE
2,0.019829736091196537,2026-04-06 05:01:47.974116,2026-04-06 05:01:49.978074,0 days 00:00:02.003958,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[97, 131]","{'MAE_15m': 0.016399983316659927, 'RMSE_15m': 0.018302774369132302, 'sMAPE_15m': 1.7288056826203304, 'R2_15m': -3.4774438015767632, 'MAE_30m': 0.023259488865733147, 'RMSE_30m': 0.024772479565176902, 'sMAPE_30m': 2.462293614152097, 'R2_30m': -7.280006825436473, 'MAE_avg': 0.019829736091196537, 'RMSE_avg': 0.021537626967154604, 'sMAPE_avg': 2.0955496483862137, 'R2_avg': -5.378725313506618}",COMPLETE
3,0.014156596269458532,2026-04-06 05:01:49.979534,2026-04-06 05:01:52.430742,0 days 00:00:02.451208,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[244, 229]","{'MAE_15m': 0.010657896287739277, 'RMSE_15m': 0.012820228760249384, 'sMAPE_15m': 1.1191129689522605, 'R2_15m': -1.1967863128122374, 'MAE_30m': 0.017655296251177788, 'RMSE_30m': 0.019448865049206423, 'sMAPE_30m': 1.8625640790831997, 'R2_30m': -4.1036427323806, 'MAE_avg': 0.014156596269458532, 'RMSE_avg': 0.016134546904727903, 'sMAPE_avg': 1.4908385240177302, 'R2_avg': -2.6502145225964187}",COMPLETE
4,0.018957731314003468,2026-04-06 05:01:52.432360,2026-04-06 05:01:54.258328,0 days 00:00:01.825968,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[24, 24]","{'MAE_15m': 0.014858398586511612, 'RMSE_15m': 0.016854587920900756, 'sMAPE_15m': 1.5647009320424663, 'R2_15m': -2.796930111684609, 'MAE_30m': 0.023057064041495323, 'RMSE_30m': 0.02458138468281679, 'sMAPE_30m': 2.4405675964221962, 'R2_30m': -7.152754900913612, 'MAE_avg': 0.018957731314003468, 'RMSE_avg': 0.020717986301858775, 'sMAPE_avg': 2.002634264232331, 'R2_avg': -4.97484250629911}",COMPLETE
5,0.04011209309101105,2026-04-06 05:01:54.259881,2026-04-06 05:01:56.516950,0 days 00:00:02.257069,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.03615080937743187, 'RMSE_15m': 0.03717120879118656, 'sMAPE_15m': 3.8558314859335314, 'R2_15m': -17.46756526947921, 'MAE_30m': 0.044073376804590225, 'RMSE_30m': 0.04490632067786291, 'sMAPE_30m': 4.721467934596851, 'R2_30m': -26.208632040342035, 'MAE_avg': 0.04011209309101105, 'RMSE_avg': 0.04103876473452474, 'sMAPE_avg': 4.288649710265191, 'R2_avg': -21.838098654910624}",COMPLETE
6,0.02471950650215149,2026-04-06 05:01:56.522491,2026-04-06 05:01:58.254147,0 days 00:00:01.731656,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[24, 20]","{'MAE_15m': 0.02071949653327465, 'RMSE_15m': 0.022385174017551558, 'sMAPE_15m': 2.190123253207243, 'R2_15m': -5.697569281340992, 'MAE_30m': 0.028719516471028328, 'RMSE_30m': 0.02998209554377732, 'sMAPE_30m': 3.0500897310750434, 'R2_30m': -11.128740119765085, 'MAE_avg': 0.02471950650215149, 'RMSE_avg': 0.02618363478066444, 'sMAPE_avg': 2.620106492141143, 'R2_avg': -8.413154700553038}",COMPLETE
7,0.037647681310772896,2026-04-06 05:01:58.262984,2026-04-06 05:02:00.402036,0 days 00:00:02.139052,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.033595144748687744, 'RMSE_15m': 0.03469079401242498, 'sMAPE_15m': 3.578066648879208, 'R2_15m': -15.085137229410215, 'MAE_30m': 0.04170021787285805, 'RMSE_30m': 0.04257961328556416, 'sMAPE_30m': 4.461336941064322, 'R2_30m': -23.462179363451497, 'MAE_avg': 0.037647681310772896, 'RMSE_avg': 0.03863520364899457, 'sMAPE_avg': 4.019701794971764, 'R2_avg': -19.273658296430856}",COMPLETE
8,0.014108126517385244,2026-04-06 05:02:00.413247,2026-04-06 05:02:02.697372,0 days 00:00:02.284125,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[337, 273]","{'MAE_15m': 0.010786690749228, 'RMSE_15m': 0.012936852751657039, 'sMAPE_15m': 1.1327402006360419, 'R2_15m': -1.2369360237114853, 'MAE_30m': 0.017429562285542488, 'RMSE_30m': 0.019237499021467153, 'sMAPE_30m': 1.8384847162033269, 'R2_30m': -3.9933145612560743, 'MAE_avg': 0.014108126517385244, 'RMSE_avg': 0.016087175886562097, 'sMAPE_avg': 1.4856124584196844, 'R2_avg': -2.61512529248378}",COMPLETE
9,0.011798021849244833,2026-04-06 05:02:02.702652,2026-04-06 05:02:04.459052,0 days 00:00:01.756400,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[63, 65]","{'MAE_15m': 0.009054639376699924, 'RMSE_15m': 0.010879688809972707, 'sMAPE_15m': 0.9497379210922449, 'R2_15m': -0.5820829239306606, 'MAE_30m': 0.014541404321789742, 'RMSE_30m': 0.01652085006551243, 'sMAPE_30m': 1.5309352641442524, 'R2_30m': -2.6826165012080554, 'MAE_avg': 0.011798021849244833, 'RMSE_avg': 0.013700269437742569, 'sMAPE_avg': 1.2403365926182486, 'R2_avg': -1.632349712569358}",COMPLETE
