number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.01930954772979021,2026-04-06 05:02:15.143687,2026-04-06 05:02:16.801534,0 days 00:00:01.657847,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[44, 40]","{'MAE_15m': 0.019104497507214546, 'RMSE_15m': 0.032512462265778495, 'sMAPE_15m': 2.008172272765166, 'R2_15m': -0.22075817028737843, 'MAE_30m': 0.019514597952365875, 'RMSE_30m': 0.03160033324412423, 'sMAPE_30m': 2.0467692794761883, 'R2_30m': -0.16077142786134524, 'MAE_avg': 0.01930954772979021, 'RMSE_avg': 0.032056397754951366, 'sMAPE_avg': 2.027470776120677, 'R2_avg': -0.19076479907436183}",COMPLETE
1,0.017076178453862667,2026-04-06 05:02:16.803624,2026-04-06 05:02:19.047356,0 days 00:00:02.243732,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[186, 186]","{'MAE_15m': 0.017044134438037872, 'RMSE_15m': 0.03369777384307149, 'sMAPE_15m': 1.8025501993943265, 'R2_15m': -0.31139154114115075, 'MAE_30m': 0.017108222469687462, 'RMSE_30m': 0.03107751896972396, 'sMAPE_30m': 1.8002061489995385, 'R2_30m': -0.1226802268142333, 'MAE_avg': 0.017076178453862667, 'RMSE_avg': 0.03238764640639773, 'sMAPE_avg': 1.8013781741969326, 'R2_avg': -0.21703588397769202}",COMPLETE
2,0.017785310745239258,2026-04-06 05:02:19.049065,2026-04-06 05:02:21.130418,0 days 00:00:02.081353,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[93, 107]","{'MAE_15m': 0.017647596076130867, 'RMSE_15m': 0.03238767570990756, 'sMAPE_15m': 1.85924672149788, 'R2_15m': -0.2114053737156154, 'MAE_30m': 0.01792302541434765, 'RMSE_30m': 0.03097425374342203, 'sMAPE_30m': 1.882814963438123, 'R2_30m': -0.11523161033100915, 'MAE_avg': 0.017785310745239258, 'RMSE_avg': 0.0316809647266648, 'sMAPE_avg': 1.8710308424680016, 'R2_avg': -0.16331849202331228}",COMPLETE
3,0.01697635930031538,2026-04-06 05:02:21.142641,2026-04-06 05:02:23.019661,0 days 00:00:01.877020,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[111, 165]","{'MAE_15m': 0.017063764855265617, 'RMSE_15m': 0.034715108320696686, 'sMAPE_15m': 1.8082709027147665, 'R2_15m': -0.3917685382498919, 'MAE_30m': 0.016888953745365143, 'RMSE_30m': 0.031234005098003614, 'sMAPE_30m': 1.7784094301443965, 'R2_30m': -0.13401486749198077, 'MAE_avg': 0.01697635930031538, 'RMSE_avg': 0.03297455670935015, 'sMAPE_avg': 1.7933401664295814, 'R2_avg': -0.26289170287093633}",COMPLETE
4,0.01798613090068102,2026-04-06 05:02:23.021528,2026-04-06 05:02:24.872788,0 days 00:00:01.851260,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[6, 14]","{'MAE_15m': 0.018158072605729103, 'RMSE_15m': 0.0333192963322226, 'sMAPE_15m': 1.9144882146561502, 'R2_15m': -0.2820989840339152, 'MAE_30m': 0.017814189195632935, 'RMSE_30m': 0.03094765971809485, 'sMAPE_30m': 1.871653484959416, 'R2_30m': -0.11331738790729995, 'MAE_avg': 0.01798613090068102, 'RMSE_avg': 0.03213347802515873, 'sMAPE_avg': 1.893070849807783, 'R2_avg': -0.19770818597060758}",COMPLETE
5,0.01859889179468155,2026-04-06 05:02:24.877083,2026-04-06 05:02:27.027353,0 days 00:00:02.150270,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[187, 158]","{'MAE_15m': 0.018481099978089333, 'RMSE_15m': 0.032540964174627776, 'sMAPE_15m': 1.9447657145138697, 'R2_15m': -0.2228994794980086, 'MAE_30m': 0.018716683611273766, 'RMSE_30m': 0.031235273251383908, 'sMAPE_30m': 1.9644173862173697, 'R2_30m': -0.13410692179793493, 'MAE_avg': 0.01859889179468155, 'RMSE_avg': 0.03188811871300584, 'sMAPE_avg': 1.9545915503656197, 'R2_avg': -0.17850320064797176}",COMPLETE
6,0.019117183983325958,2026-04-06 05:02:27.029093,2026-04-06 05:02:28.884618,0 days 00:00:01.855525,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[14, 14]","{'MAE_15m': 0.019226010888814926, 'RMSE_15m': 0.03225902165368402, 'sMAPE_15m': 2.019646280033496, 'R2_15m': -0.20180040570800295, 'MAE_30m': 0.01900835707783699, 'RMSE_30m': 0.0313390751261471, 'sMAPE_30m': 1.9944658011262821, 'R2_30m': -0.141657227409838, 'MAE_avg': 0.019117183983325958, 'RMSE_avg': 0.03179904838991556, 'sMAPE_avg': 2.007056040579889, 'R2_avg': -0.17172881655892047}",COMPLETE
7,0.018014026805758476,2026-04-06 05:02:28.892062,2026-04-06 05:02:30.951074,0 days 00:00:02.059012,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[185, 165]","{'MAE_15m': 0.017908865585923195, 'RMSE_15m': 0.03333488260675963, 'sMAPE_15m': 1.8893674389471342, 'R2_15m': -0.28329897201839693, 'MAE_30m': 0.018119188025593758, 'RMSE_30m': 0.031300860977214136, 'sMAPE_30m': 1.9037609617510338, 'R2_30m': -0.1388747641303234, 'MAE_avg': 0.018014026805758476, 'RMSE_avg': 0.032317871791986884, 'sMAPE_avg': 1.8965642003490841, 'R2_avg': -0.21108686807436017}",COMPLETE
8,0.017354912124574184,2026-04-06 05:02:30.952676,2026-04-06 05:02:32.735999,0 days 00:00:01.783323,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[134, 127]","{'MAE_15m': 0.0176442489027977, 'RMSE_15m': 0.03841725688879885, 'sMAPE_15m': 1.8847517812012882, 'R2_15m': -0.7044436299185073, 'MAE_30m': 0.01706557534635067, 'RMSE_30m': 0.0312657726240033, 'sMAPE_30m': 1.7964843757625086, 'R2_30m': -0.13632272449448535, 'MAE_avg': 0.017354912124574184, 'RMSE_avg': 0.03484151475640107, 'sMAPE_avg': 1.8406180784818984, 'R2_avg': -0.4203831772064963}",COMPLETE
9,0.016969154588878155,2026-04-06 05:02:32.737286,2026-04-06 05:02:34.294516,0 days 00:00:01.557230,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[20, 40]","{'MAE_15m': 0.017690125852823257, 'RMSE_15m': 0.03658392927741898, 'sMAPE_15m': 1.878742681571441, 'R2_15m': -0.5456481432823088, 'MAE_30m': 0.016248183324933052, 'RMSE_30m': 0.030936964342267708, 'sMAPE_30m': 1.7122359878888476, 'R2_30m': -0.11254803610305819, 'MAE_avg': 0.016969154588878155, 'RMSE_avg': 0.033760446809843345, 'sMAPE_avg': 1.7954893347301444, 'R2_avg': -0.3290980896926835}",COMPLETE
