number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.010660334024578333,2026-04-06 05:02:43.648750,2026-04-06 05:02:45.249590,0 days 00:00:01.600840,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[12, 56]","{'MAE_15m': 0.010390308685600758, 'RMSE_15m': 0.012316352560105976, 'sMAPE_15m': 1.054994128908792, 'R2_15m': -0.0022000329776383776, 'MAE_30m': 0.010930359363555908, 'RMSE_30m': 0.01264268887666687, 'sMAPE_30m': 1.1092970508376092, 'R2_30m': -3.1652160066286683e-06, 'MAE_avg': 0.010660334024578333, 'RMSE_avg': 0.012479520718386424, 'sMAPE_avg': 1.0821455898732006, 'R2_avg': -0.0011015990968225031}",COMPLETE
1,0.010661420412361622,2026-04-06 05:02:45.253697,2026-04-06 05:02:46.819783,0 days 00:00:01.566086,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[5, 0]","{'MAE_15m': 0.010391674004495144, 'RMSE_15m': 0.012315657811603913, 'sMAPE_15m': 1.0551324992880895, 'R2_15m': -0.002086983858747171, 'MAE_30m': 0.0109311668202281, 'RMSE_30m': 0.012642676791011326, 'sMAPE_30m': 1.1093788642127032, 'R2_30m': -1.161801333138257e-06, 'MAE_avg': 0.010661420412361622, 'RMSE_avg': 0.01247916730130762, 'sMAPE_avg': 1.0822556817503963, 'R2_avg': -0.0010440728300401547}",COMPLETE
2,0.01066117687150836,2026-04-06 05:02:46.821326,2026-04-06 05:02:48.575971,0 days 00:00:01.754645,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[12, 56]","{'MAE_15m': 0.010391690768301487, 'RMSE_15m': 0.012315649540552349, 'sMAPE_15m': 1.0551341465664577, 'R2_15m': -0.002085663682993566, 'MAE_30m': 0.010930662974715233, 'RMSE_30m': 0.012642683697101623, 'sMAPE_30m': 1.1093277994075685, 'R2_30m': -2.299474821443326e-06, 'MAE_avg': 0.01066117687150836, 'RMSE_avg': 0.012479166618826986, 'sMAPE_avg': 1.0822309729870132, 'R2_avg': -0.0010439815789075046}",COMPLETE
3,0.010661331005394459,2026-04-06 05:02:48.577648,2026-04-06 05:02:50.468814,0 days 00:00:01.891166,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[12, 0]","{'MAE_15m': 0.010391300544142723, 'RMSE_15m': 0.012315846862696595, 'sMAPE_15m': 1.0550946119632112, 'R2_15m': -0.002117648126669147, 'MAE_30m': 0.010931361466646194, 'RMSE_30m': 0.012642675064488162, 'sMAPE_30m': 1.1093986313063475, 'R2_30m': -8.347963584842688e-07, 'MAE_avg': 0.010661331005394459, 'RMSE_avg': 0.012479260963592378, 'sMAPE_avg': 1.0822466216347792, 'R2_avg': -0.0010592414615138157}",COMPLETE
4,0.01066035870462656,2026-04-06 05:02:50.473687,2026-04-06 05:02:52.053843,0 days 00:00:01.580156,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[12, 3]","{'MAE_15m': 0.010389425791800022, 'RMSE_15m': 0.01231681097813254, 'sMAPE_15m': 1.0549046284897903, 'R2_15m': -0.002274743341218688, 'MAE_30m': 0.010931291617453098, 'RMSE_30m': 0.012642674488980389, 'sMAPE_30m': 1.1093914931845428, 'R2_30m': -9.261907922830659e-07, 'MAE_avg': 0.01066035870462656, 'RMSE_avg': 0.012479742733556464, 'sMAPE_avg': 1.0821480608371665, 'R2_avg': -0.0011378347660054855}",COMPLETE
5,0.010661393404006958,2026-04-06 05:02:52.065611,2026-04-06 05:02:53.611702,0 days 00:00:01.546091,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[10, 3]","{'MAE_15m': 0.010391604155302048, 'RMSE_15m': 0.012315693849692328, 'sMAPE_15m': 1.0551253610850753, 'R2_15m': -0.0020927469173950275, 'MAE_30m': 0.010931182652711868, 'RMSE_30m': 0.01264267621550363, 'sMAPE_30m': 1.1093805114689654, 'R2_30m': -1.1319624728667321e-06, 'MAE_avg': 0.010661393404006958, 'RMSE_avg': 0.01247918503259798, 'sMAPE_avg': 1.0822529362770203, 'R2_avg': -0.0010469394399339471}",COMPLETE
6,0.010659767780452967,2026-04-06 05:02:53.613423,2026-04-06 05:02:55.383813,0 days 00:00:01.770390,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[12, 3]","{'MAE_15m': 0.010388162918388844, 'RMSE_15m': 0.012317480852143235, 'sMAPE_15m': 1.0547766937490644, 'R2_15m': -0.002383693206117421, 'MAE_30m': 0.01093137264251709, 'RMSE_30m': 0.012642674488980389, 'sMAPE_30m': 1.1093997294794002, 'R2_30m': -7.94997740083403e-07, 'MAE_avg': 0.010659767780452967, 'RMSE_avg': 0.012480077670561812, 'sMAPE_avg': 1.0820882116142323, 'R2_avg': -0.0011922441019287522}",COMPLETE
7,0.010661463718861341,2026-04-06 05:02:55.385273,2026-04-06 05:02:56.849211,0 days 00:00:01.463938,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[12, 0]","{'MAE_15m': 0.010391641408205032, 'RMSE_15m': 0.012315674353690376, 'sMAPE_15m': 1.0551292047321963, 'R2_15m': -0.002089658428187313, 'MAE_30m': 0.01093128602951765, 'RMSE_30m': 0.012642675064488162, 'sMAPE_30m': 1.1093909440984682, 'R2_30m': -9.388676436294929e-07, 'MAE_avg': 0.010661463718861341, 'RMSE_avg': 0.012479174709089269, 'sMAPE_avg': 1.0822600744153323, 'R2_avg': -0.0010452986479154713}",COMPLETE
8,0.010661290492862463,2026-04-06 05:02:56.852529,2026-04-06 05:02:58.268665,0 days 00:00:01.416136,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[12, 3]","{'MAE_15m': 0.010391375981271267, 'RMSE_15m': 0.012315807871146273, 'sMAPE_15m': 1.0551022992344936, 'R2_15m': -0.0021114005927944657, 'MAE_30m': 0.010931205004453659, 'RMSE_30m': 0.01264267621550363, 'sMAPE_30m': 1.1093827078110843, 'R2_30m': -1.0870233344562052e-06, 'MAE_avg': 0.010661290492862463, 'RMSE_avg': 0.012479242043324953, 'sMAPE_avg': 1.082242503522789, 'R2_avg': -0.001056243808064461}",COMPLETE
9,0.010660732164978981,2026-04-06 05:02:58.272228,2026-04-06 05:02:59.689498,0 days 00:00:01.417270,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[12, 22]","{'MAE_15m': 0.010390568524599075, 'RMSE_15m': 0.012316218457792644, 'sMAPE_15m': 1.0550204850185807, 'R2_15m': -0.0021782659227356227, 'MAE_30m': 0.010930895805358887, 'RMSE_30m': 0.012642680244056946, 'sMAPE_30m': 1.1093514099829207, 'R2_30m': -1.7188365020182061e-06, 'MAE_avg': 0.010660732164978981, 'RMSE_avg': 0.012479449350924796, 'sMAPE_avg': 1.0821859475007507, 'R2_avg': -0.0010899923796188205}",COMPLETE
