number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.06100517883896828,2026-04-06 05:03:08.853262,2026-04-06 05:03:10.510683,0 days 00:00:01.657421,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[21, 23]","{'MAE_15m': 0.05862196534872055, 'RMSE_15m': 0.09077698689363568, 'sMAPE_15m': 18.79510792904446, 'R2_15m': 0.34305119776776904, 'MAE_30m': 0.063388392329216, 'RMSE_30m': 0.09612578850374388, 'sMAPE_30m': 20.277547858972383, 'R2_30m': 0.2589889624737365, 'MAE_avg': 0.06100517883896828, 'RMSE_avg': 0.09345138769868978, 'sMAPE_avg': 19.536327894008423, 'R2_avg': 0.30102008012075276}",COMPLETE
1,0.05994142219424248,2026-04-06 05:03:10.512625,2026-04-06 05:03:12.922667,0 days 00:00:02.410042,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[151, 175]","{'MAE_15m': 0.05679182708263397, 'RMSE_15m': 0.08853861567439118, 'sMAPE_15m': 18.301427024735638, 'R2_15m': 0.37504971479368465, 'MAE_30m': 0.06309101730585098, 'RMSE_30m': 0.09430585424974867, 'sMAPE_30m': 20.27231445641153, 'R2_30m': 0.2867822635988799, 'MAE_avg': 0.05994142219424248, 'RMSE_avg': 0.09142223496206993, 'sMAPE_avg': 19.286870740573583, 'R2_avg': 0.3309159891962823}",COMPLETE
2,0.05996237322688103,2026-04-06 05:03:12.929055,2026-04-06 05:03:14.699606,0 days 00:00:01.770551,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[51, 56]","{'MAE_15m': 0.057331524789333344, 'RMSE_15m': 0.08929206078402031, 'sMAPE_15m': 18.387033026528712, 'R2_15m': 0.3643680361491377, 'MAE_30m': 0.06259322166442871, 'RMSE_30m': 0.09443850815144637, 'sMAPE_30m': 20.063993634145284, 'R2_30m': 0.28477431416467613, 'MAE_avg': 0.05996237322688103, 'RMSE_avg': 0.09186528446773334, 'sMAPE_avg': 19.225513330336998, 'R2_avg': 0.3245711751569069}",COMPLETE
3,0.060979124158620834,2026-04-06 05:03:14.701135,2026-04-06 05:03:16.962305,0 days 00:00:02.261170,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[104, 137]","{'MAE_15m': 0.05805669724941254, 'RMSE_15m': 0.08868456510240293, 'sMAPE_15m': 18.72878443669315, 'R2_15m': 0.37298760757342686, 'MAE_30m': 0.06390155106782913, 'RMSE_30m': 0.09451049565034067, 'sMAPE_30m': 20.56434808367939, 'R2_30m': 0.2836835282255227, 'MAE_avg': 0.060979124158620834, 'RMSE_avg': 0.0915975303763718, 'sMAPE_avg': 19.64656626018627, 'R2_avg': 0.32833556789947477}",COMPLETE
4,0.061107080429792404,2026-04-06 05:03:16.968267,2026-04-06 05:03:18.562147,0 days 00:00:01.593880,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[10, 14]","{'MAE_15m': 0.058183856308460236, 'RMSE_15m': 0.08872872349414258, 'sMAPE_15m': 18.732914867810813, 'R2_15m': 0.37236306171975386, 'MAE_30m': 0.06403030455112457, 'RMSE_30m': 0.09483197825748103, 'sMAPE_30m': 20.545447009190163, 'R2_30m': 0.278802136901678, 'MAE_avg': 0.061107080429792404, 'RMSE_avg': 0.09178035087581181, 'sMAPE_avg': 19.639180938500488, 'R2_avg': 0.3255825993107159}",COMPLETE
5,0.05988621897995472,2026-04-06 05:03:18.573215,2026-04-06 05:03:22.370581,0 days 00:00:03.797366,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[170, 199]","{'MAE_15m': 0.05715188756585121, 'RMSE_15m': 0.08909427009251421, 'sMAPE_15m': 18.344375580914008, 'R2_15m': 0.36718091752731263, 'MAE_30m': 0.06262055039405823, 'RMSE_30m': 0.09435877730819373, 'sMAPE_30m': 20.081901373931856, 'R2_30m': 0.28598160484195445, 'MAE_avg': 0.05988621897995472, 'RMSE_avg': 0.09172652370035397, 'sMAPE_avg': 19.21313847742293, 'R2_avg': 0.32658126118463354}",COMPLETE
6,0.06053440272808075,2026-04-06 05:03:22.429059,2026-04-06 05:04:38.980627,0 days 00:01:16.551568,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[9, 13]","{'MAE_15m': 0.058968789875507355, 'RMSE_15m': 0.09053859291017423, 'sMAPE_15m': 18.90958744174072, 'R2_15m': 0.34649717507532396, 'MAE_30m': 0.062100015580654144, 'RMSE_30m': 0.09384814231500575, 'sMAPE_30m': 19.877074631988297, 'R2_30m': 0.29368864072006173, 'MAE_avg': 0.06053440272808075, 'RMSE_avg': 0.09219336761258999, 'sMAPE_avg': 19.39333103686451, 'R2_avg': 0.32009290789769285}",COMPLETE
7,0.06090981885790825,2026-04-06 05:04:39.003952,2026-04-06 05:04:42.236090,0 days 00:00:03.232138,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[194, 185]","{'MAE_15m': 0.05830051004886627, 'RMSE_15m': 0.08889494975803205, 'sMAPE_15m': 18.772189749714464, 'R2_15m': 0.370009212940823, 'MAE_30m': 0.06351912766695023, 'RMSE_30m': 0.09488340548019462, 'sMAPE_30m': 20.37589104059935, 'R2_30m': 0.2780196645868668, 'MAE_avg': 0.06090981885790825, 'RMSE_avg': 0.09188917761911333, 'sMAPE_avg': 19.574040395156906, 'R2_avg': 0.3240144387638449}",COMPLETE
8,0.06237039156258106,2026-04-06 05:04:42.239257,2026-04-06 05:04:45.692294,0 days 00:00:03.453037,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[178, 157]","{'MAE_15m': 0.05943695828318596, 'RMSE_15m': 0.08766556375409817, 'sMAPE_15m': 19.287546687363157, 'R2_15m': 0.3873138446028217, 'MAE_30m': 0.06530382484197617, 'RMSE_30m': 0.09494073978606857, 'sMAPE_30m': 21.061317066335743, 'R2_30m': 0.27714689872632425, 'MAE_avg': 0.06237039156258106, 'RMSE_avg': 0.09130315177008337, 'sMAPE_avg': 20.17443187684945, 'R2_avg': 0.332230371664573}",COMPLETE
9,0.060999756678938866,2026-04-06 05:04:45.707159,2026-04-06 05:04:49.224642,0 days 00:00:03.517483,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[28, 33]","{'MAE_15m': 0.05711754038929939, 'RMSE_15m': 0.08786450368754756, 'sMAPE_15m': 18.397855483678722, 'R2_15m': 0.3845299241060892, 'MAE_30m': 0.06488197296857834, 'RMSE_30m': 0.09527387012072222, 'sMAPE_30m': 20.936282086231497, 'R2_30m': 0.27206518510800415, 'MAE_avg': 0.060999756678938866, 'RMSE_avg': 0.09156918690413489, 'sMAPE_avg': 19.66706878495511, 'R2_avg': 0.3282975546070467}",COMPLETE
