number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.18652962893247604,2026-04-06 05:05:08.557896,2026-04-06 05:05:10.857626,0 days 00:00:02.299730,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[52, 49]","{'MAE_15m': 0.16887076199054718, 'RMSE_15m': 0.2439411340115884, 'sMAPE_15m': 90.99362524257302, 'R2_15m': 0.6776683739593412, 'MAE_30m': 0.2041884958744049, 'RMSE_30m': 0.2890633763480434, 'sMAPE_30m': 94.05132243587059, 'R2_30m': 0.5475971577745715, 'MAE_avg': 0.18652962893247604, 'RMSE_avg': 0.2665022551798159, 'sMAPE_avg': 92.5224738392218, 'R2_avg': 0.6126327658669564}",COMPLETE
1,0.17601808160543442,2026-04-06 05:05:10.860734,2026-04-06 05:05:14.302817,0 days 00:00:03.442083,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[374, 421]","{'MAE_15m': 0.15983808040618896, 'RMSE_15m': 0.2373013829758626, 'sMAPE_15m': 90.04310740153836, 'R2_15m': 0.6949764481594933, 'MAE_30m': 0.19219808280467987, 'RMSE_30m': 0.27962001700346073, 'sMAPE_30m': 93.4702085284727, 'R2_30m': 0.5766732058271317, 'MAE_avg': 0.17601808160543442, 'RMSE_avg': 0.25846069998966165, 'sMAPE_avg': 91.75665796500553, 'R2_avg': 0.6358248269933124}",COMPLETE
2,0.17924391478300095,2026-04-06 05:05:14.307116,2026-04-06 05:05:16.405616,0 days 00:00:02.098500,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[162, 145]","{'MAE_15m': 0.1621587574481964, 'RMSE_15m': 0.23842840653574154, 'sMAPE_15m': 90.03285493169113, 'R2_15m': 0.6920722460098011, 'MAE_30m': 0.19632907211780548, 'RMSE_30m': 0.28227925056282355, 'sMAPE_30m': 93.46355721688322, 'R2_30m': 0.568583119370037, 'MAE_avg': 0.17924391478300095, 'RMSE_avg': 0.2603538285492826, 'sMAPE_avg': 91.74820607428717, 'R2_avg': 0.6303276826899191}",COMPLETE
3,0.17543654888868332,2026-04-06 05:05:16.410363,2026-04-06 05:05:19.104240,0 days 00:00:02.693877,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[306, 309]","{'MAE_15m': 0.16001243889331818, 'RMSE_15m': 0.23757986902903286, 'sMAPE_15m': 90.05045101593664, 'R2_15m': 0.6942600943240584, 'MAE_30m': 0.19086065888404846, 'RMSE_30m': 0.27957822060683324, 'sMAPE_30m': 93.56362258803392, 'R2_30m': 0.5767998029803092, 'MAE_avg': 0.17543654888868332, 'RMSE_avg': 0.25857904481793303, 'sMAPE_avg': 91.80703680198528, 'R2_avg': 0.6355299486521838}",COMPLETE
4,0.17997334152460098,2026-04-06 05:05:19.108282,2026-04-06 05:05:20.721184,0 days 00:00:01.612902,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[64, 28]","{'MAE_15m': 0.16377457976341248, 'RMSE_15m': 0.24042948111580265, 'sMAPE_15m': 90.26285473750649, 'R2_15m': 0.6868818013612998, 'MAE_30m': 0.1961721032857895, 'RMSE_30m': 0.28488510775324727, 'sMAPE_30m': 93.53141967286447, 'R2_30m': 0.560581137137058, 'MAE_avg': 0.17997334152460098, 'RMSE_avg': 0.26265729443452496, 'sMAPE_avg': 91.89713720518549, 'R2_avg': 0.6237314692491789}",COMPLETE
5,0.19614771008491516,2026-04-06 05:05:20.722456,2026-04-06 05:05:23.196053,0 days 00:00:02.473597,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.18052265048027039, 'RMSE_15m': 0.24207611752921554, 'sMAPE_15m': 91.43998255178592, 'R2_15m': 0.6825781930679172, 'MAE_30m': 0.21177276968955994, 'RMSE_30m': 0.2836448513050897, 'sMAPE_30m': 94.05127218272979, 'R2_30m': 0.5643989242708691, 'MAE_avg': 0.19614771008491516, 'RMSE_avg': 0.2628604844171526, 'sMAPE_avg': 92.74562736725785, 'R2_avg': 0.6234885586693932}",COMPLETE
6,0.18468571454286575,2026-04-06 05:05:23.199782,2026-04-06 05:05:24.862577,0 days 00:00:01.662795,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[64, 28]","{'MAE_15m': 0.1693582981824875, 'RMSE_15m': 0.24271239037185868, 'sMAPE_15m': 90.91060750543446, 'R2_15m': 0.6809074331864189, 'MAE_30m': 0.20001313090324402, 'RMSE_30m': 0.28528381786346146, 'sMAPE_30m': 93.33151896706735, 'R2_30m': 0.559350252130816, 'MAE_avg': 0.18468571454286575, 'RMSE_avg': 0.26399810411766006, 'sMAPE_avg': 92.1210632362509, 'R2_avg': 0.6201288426586175}",COMPLETE
7,0.19445788115262985,2026-04-06 05:05:24.864269,2026-04-06 05:05:26.948412,0 days 00:00:02.084143,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.1784404069185257, 'RMSE_15m': 0.24211145560745242, 'sMAPE_15m': 91.2940505020299, 'R2_15m': 0.6824855227258941, 'MAE_30m': 0.210475355386734, 'RMSE_30m': 0.28495696694508105, 'sMAPE_30m': 94.05760372383331, 'R2_30m': 0.5603594902152581, 'MAE_avg': 0.19445788115262985, 'RMSE_avg': 0.26353421127626675, 'sMAPE_avg': 92.67582711293161, 'R2_avg': 0.6214225064705761}",COMPLETE
8,0.17846567183732986,2026-04-06 05:05:26.954755,2026-04-06 05:05:30.370645,0 days 00:00:03.415890,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[348, 320]","{'MAE_15m': 0.16186097264289856, 'RMSE_15m': 0.23968917730458245, 'sMAPE_15m': 90.10479492834449, 'R2_15m': 0.6888071096429823, 'MAE_30m': 0.19507037103176117, 'RMSE_30m': 0.28249578603622966, 'sMAPE_30m': 93.66260813196138, 'R2_30m': 0.5679210340008234, 'MAE_avg': 0.17846567183732986, 'RMSE_avg': 0.26109248167040605, 'sMAPE_avg': 91.88370153015293, 'R2_avg': 0.6283640718219028}",COMPLETE
9,0.1723938286304474,2026-04-06 05:05:30.377344,2026-04-06 05:05:34.646532,0 days 00:00:04.269188,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[65, 76]","{'MAE_15m': 0.1571880578994751, 'RMSE_15m': 0.23787495102633816, 'sMAPE_15m': 90.1625304746846, 'R2_15m': 0.6935001745397131, 'MAE_30m': 0.18759959936141968, 'RMSE_30m': 0.27866107090913095, 'sMAPE_30m': 93.6144493418993, 'R2_30m': 0.5795718270381445, 'MAE_avg': 0.1723938286304474, 'RMSE_avg': 0.25826801096773455, 'sMAPE_avg': 91.88848990829194, 'R2_avg': 0.6365360007889288}",COMPLETE
10,0.17039183527231216,2026-04-06 05:05:34.653951,2026-04-06 05:05:38.523949,0 days 00:00:03.869998,0.9016552640704525,0.05557192411355649,0.06832074860620659,2,5,1200,14.73099293843444,0.6071847502459278,"[163, 264]","{'MAE_15m': 0.15453676879405975, 'RMSE_15m': 0.23810876794744315, 'sMAPE_15m': 90.74116081637057, 'R2_15m': 0.6928973270594811, 'MAE_30m': 0.18624690175056458, 'RMSE_30m': 0.28123840996915356, 'sMAPE_30m': 93.61372231102327, 'R2_30m': 0.5717587465204927, 'MAE_avg': 0.17039183527231216, 'RMSE_avg': 0.25967358895829834, 'sMAPE_avg': 92.17744156369692, 'R2_avg': 0.632328036789987}",COMPLETE
11,0.170588918030262,2026-04-06 05:05:38.528905,2026-04-06 05:05:41.139027,0 days 00:00:02.610122,0.9123149587522621,0.054410480359419824,0.06471865671451513,2,5,1200,14.534664934380187,0.6068744601075835,"[153, 223]","{'MAE_15m': 0.15497338771820068, 'RMSE_15m': 0.23884697498758103, 'sMAPE_15m': 90.60650811126577, 'R2_15m': 0.6909901256351196, 'MAE_30m': 0.1862044483423233, 'RMSE_30m': 0.2808212349876909, 'sMAPE_30m': 93.4860624967001, 'R2_30m': 0.5730282667339942, 'MAE_avg': 0.170588918030262, 'RMSE_avg': 0.259834104987636, 'sMAPE_avg': 92.04628530398293, 'R2_avg': 0.6320091961845569}",COMPLETE
12,0.1712339073419571,2026-04-06 05:05:41.156213,2026-04-06 05:05:44.044238,0 days 00:00:02.888025,0.889464853125117,0.22756156512444167,0.05162186860223474,2,5,1200,19.214058355022164,0.6014562981232444,"[262, 299]","{'MAE_15m': 0.15362906455993652, 'RMSE_15m': 0.23727598134419586, 'sMAPE_15m': 90.4886482174923, 'R2_15m': 0.6950417654468519, 'MAE_30m': 0.18883875012397766, 'RMSE_30m': 0.28234930570252587, 'sMAPE_30m': 93.50596986262585, 'R2_30m': 0.5683689759381532, 'MAE_avg': 0.1712339073419571, 'RMSE_avg': 0.25981264352336086, 'sMAPE_avg': 91.99730904005906, 'R2_avg': 0.6317053706925025}",COMPLETE
13,0.1703631728887558,2026-04-06 05:05:44.046285,2026-04-06 05:05:46.991192,0 days 00:00:02.944907,0.9917759562187831,0.012267986327510437,0.042283484153404174,2,6,1200,19.90331362835953,0.6040569883749647,"[238, 261]","{'MAE_15m': 0.15373030304908752, 'RMSE_15m': 0.23760671978528855, 'sMAPE_15m': 90.43101099325737, 'R2_15m': 0.6941909911573867, 'MAE_30m': 0.18699604272842407, 'RMSE_30m': 0.28109214909486224, 'sMAPE_30m': 93.57319223432728, 'R2_30m': 0.5722040891276867, 'MAE_avg': 0.1703631728887558, 'RMSE_avg': 0.2593494344400754, 'sMAPE_avg': 92.00210161379232, 'R2_avg': 0.6331975401425367}",COMPLETE
14,0.18545948714017868,2026-04-06 05:05:47.008576,2026-04-06 05:05:51.408023,0 days 00:00:04.399447,0.9945931788842156,3.462675344726849,0.03290272513324505,3,7,1000,7.236464581376934,0.6638123593227387,"[117, 122]","{'MAE_15m': 0.16920188069343567, 'RMSE_15m': 0.24265038954221882, 'sMAPE_15m': 90.89109526741761, 'R2_15m': 0.6810703814963575, 'MAE_30m': 0.2017170935869217, 'RMSE_30m': 0.2874918356026437, 'sMAPE_30m': 93.7542982651319, 'R2_30m': 0.5525028610186966, 'MAE_avg': 0.18545948714017868, 'RMSE_avg': 0.26507111257243127, 'sMAPE_avg': 92.32269676627476, 'R2_avg': 0.616786621257527}",COMPLETE
