number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.5633909106254578,2026-04-06 04:22:39.287416,2026-04-06 04:22:43.508807,0 days 00:00:04.221391,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[9, 10]","{'MAE_15m': 1.598602533340454, 'RMSE_15m': 4.120695006257407, 'sMAPE_15m': 4.580505355460483, 'R2_15m': -0.14965140771734098, 'MAE_30m': 1.5281792879104614, 'RMSE_30m': 4.010361602537291, 'sMAPE_30m': 4.346760602112091, 'R2_30m': -0.08891096130000142, 'MAE_avg': 1.5633909106254578, 'RMSE_avg': 4.065528304397349, 'sMAPE_avg': 4.463632978786286, 'R2_avg': -0.1192811845086712}",COMPLETE
1,1.5697462558746338,2026-04-06 04:22:43.510349,2026-04-06 04:22:45.718201,0 days 00:00:02.207852,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[87, 96]","{'MAE_15m': 1.589255690574646, 'RMSE_15m': 4.088651321139342, 'sMAPE_15m': 4.548708105824573, 'R2_15m': -0.13184091861121594, 'MAE_30m': 1.5502368211746216, 'RMSE_30m': 4.026403071215614, 'sMAPE_30m': 4.420597652116771, 'R2_30m': -0.09763963477601934, 'MAE_avg': 1.5697462558746338, 'RMSE_avg': 4.057527196177478, 'sMAPE_avg': 4.484652878970672, 'R2_avg': -0.11474027669361764}",COMPLETE
2,1.5282759070396423,2026-04-06 04:22:45.719755,2026-04-06 04:22:47.617742,0 days 00:00:01.897987,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[26, 28]","{'MAE_15m': 1.535263180732727, 'RMSE_15m': 4.087108553653267, 'sMAPE_15m': 4.3695700109718745, 'R2_15m': -0.13098682207835388, 'MAE_30m': 1.5212886333465576, 'RMSE_30m': 4.034580481369102, 'sMAPE_30m': 4.324336978542202, 'R2_30m': -0.10210254352908077, 'MAE_avg': 1.5282759070396423, 'RMSE_avg': 4.0608445175111845, 'sMAPE_avg': 4.346953494757038, 'R2_avg': -0.11654468280371733}",COMPLETE
3,1.5704325437545776,2026-04-06 04:22:47.621612,2026-04-06 04:22:49.592834,0 days 00:00:01.971222,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[51, 54]","{'MAE_15m': 1.5928469896316528, 'RMSE_15m': 4.094479328445723, 'sMAPE_15m': 4.560714295101205, 'R2_15m': -0.1350697520949362, 'MAE_30m': 1.5480180978775024, 'RMSE_30m': 4.037251344942647, 'sMAPE_30m': 4.413307861684531, 'R2_30m': -0.1035621261576618, 'MAE_avg': 1.5704325437545776, 'RMSE_avg': 4.065865336694185, 'sMAPE_avg': 4.487011078392868, 'R2_avg': -0.11931593912629901}",COMPLETE
4,1.6113714575767517,2026-04-06 04:22:49.605171,2026-04-06 04:22:51.460451,0 days 00:00:01.855280,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[4, 4]","{'MAE_15m': 1.6317346096038818, 'RMSE_15m': 4.112762563376345, 'sMAPE_15m': 4.688917975749826, 'R2_15m': -0.14522945777411778, 'MAE_30m': 1.5910083055496216, 'RMSE_30m': 4.078389710937068, 'sMAPE_30m': 4.55508059022074, 'R2_30m': -0.12616670731092294, 'MAE_avg': 1.6113714575767517, 'RMSE_avg': 4.095576137156707, 'sMAPE_avg': 4.621999282985283, 'R2_avg': -0.13569808254252036}",COMPLETE
5,1.5396698117256165,2026-04-06 04:22:51.462066,2026-04-06 04:22:53.617479,0 days 00:00:02.155413,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[89, 95]","{'MAE_15m': 1.5596847534179688, 'RMSE_15m': 4.082418118629264, 'sMAPE_15m': 4.450873874424544, 'R2_15m': -0.1283924902051914, 'MAE_30m': 1.5196548700332642, 'RMSE_30m': 4.018541279025322, 'sMAPE_30m': 4.318915170456142, 'R2_30m': -0.09335734800176954, 'MAE_avg': 1.5396698117256165, 'RMSE_avg': 4.050479698827293, 'sMAPE_avg': 4.384894522440343, 'R2_avg': -0.11087491910348046}",COMPLETE
6,1.5102209448814392,2026-04-06 04:22:53.621512,2026-04-06 04:22:55.509508,0 days 00:00:01.887996,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[4, 4]","{'MAE_15m': 1.5033172369003296, 'RMSE_15m': 4.1012660328122355, 'sMAPE_15m': 4.263405994252014, 'R2_15m': -0.1388357981086783, 'MAE_30m': 1.5171246528625488, 'RMSE_30m': 4.1039550778345255, 'sMAPE_30m': 4.310228927769894, 'R2_30m': -0.14032967343743863, 'MAE_avg': 1.5102209448814392, 'RMSE_avg': 4.1026105553233805, 'sMAPE_avg': 4.286817461010954, 'R2_avg': -0.13958273577305846}",COMPLETE
7,1.4762206673622131,2026-04-06 04:22:55.511310,2026-04-06 04:22:57.772935,0 days 00:00:02.261625,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[87, 95]","{'MAE_15m': 1.4782830476760864, 'RMSE_15m': 4.091124646451479, 'sMAPE_15m': 4.180221175096306, 'R2_15m': -0.13321073430961605, 'MAE_30m': 1.4741582870483398, 'RMSE_30m': 4.054501685440065, 'sMAPE_30m': 4.167376756815059, 'R2_30m': -0.11301293578425797, 'MAE_avg': 1.4762206673622131, 'RMSE_avg': 4.072813165945772, 'sMAPE_avg': 4.173798965955682, 'R2_avg': -0.12311183504693701}",COMPLETE
8,1.5301257967948914,2026-04-06 04:22:57.776528,2026-04-06 04:22:59.755535,0 days 00:00:01.979007,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[62, 68]","{'MAE_15m': 1.5485526323318481, 'RMSE_15m': 4.096446539663289, 'sMAPE_15m': 4.414208519987108, 'R2_15m': -0.1361607196327015, 'MAE_30m': 1.5116989612579346, 'RMSE_30m': 4.019591750865743, 'sMAPE_30m': 4.29246587565689, 'R2_30m': -0.0939289689432925, 'MAE_avg': 1.5301257967948914, 'RMSE_avg': 4.058019145264517, 'sMAPE_avg': 4.353337197821999, 'R2_avg': -0.115044844287997}",COMPLETE
9,1.560516595840454,2026-04-06 04:22:59.762559,2026-04-06 04:23:01.765528,0 days 00:00:02.002969,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[10, 10]","{'MAE_15m': 1.5828183889389038, 'RMSE_15m': 4.061673124232825, 'sMAPE_15m': 4.528727325626898, 'R2_15m': -0.11695359162683072, 'MAE_30m': 1.5382148027420044, 'RMSE_30m': 4.055979263839534, 'sMAPE_30m': 4.380931240082525, 'R2_30m': -0.11382433356222355, 'MAE_avg': 1.560516595840454, 'RMSE_avg': 4.058826194036179, 'sMAPE_avg': 4.454829282854711, 'R2_avg': -0.11538896259452713}",COMPLETE
10,1.435722827911377,2026-04-06 04:23:01.777630,2026-04-06 04:23:03.630538,0 days 00:00:01.852908,0.768161603273759,3.382861898713898,0.03018055303192452,2,5,1200,16.035821770966244,0.6071847502459278,"[31, 34]","{'MAE_15m': 1.4352248907089233, 'RMSE_15m': 4.099884329303922, 'sMAPE_15m': 4.036750558966507, 'R2_15m': -0.13806862119011964, 'MAE_30m': 1.4362207651138306, 'RMSE_30m': 4.083603960268587, 'sMAPE_30m': 4.040543351223481, 'R2_30m': -0.12904815102812717, 'MAE_avg': 1.435722827911377, 'RMSE_avg': 4.091744144786254, 'sMAPE_avg': 4.038646955094994, 'R2_avg': -0.1335583861091234}",COMPLETE
