number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.0193061828613281,2026-04-06 04:23:13.066219,2026-04-06 04:23:15.193070,0 days 00:00:02.126851,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[85, 73]","{'MAE_15m': 0.6416761875152588, 'RMSE_15m': 1.6663010991038671, 'sMAPE_15m': 137.0048384080875, 'R2_15m': 0.9712858111163137, 'MAE_30m': 1.3969361782073975, 'RMSE_30m': 2.984896149993349, 'sMAPE_30m': 139.02345489115226, 'R2_30m': 0.9078600311952287, 'MAE_avg': 1.0193061828613281, 'RMSE_avg': 2.3255986245486078, 'sMAPE_avg': 138.01414664961987, 'R2_avg': 0.9395729211557713}",COMPLETE
1,0.8437484204769135,2026-04-06 04:23:15.194361,2026-04-06 04:23:20.315124,0 days 00:00:05.120763,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[633, 501]","{'MAE_15m': 0.5818634629249573, 'RMSE_15m': 1.7209207178547545, 'sMAPE_15m': 136.95521791965425, 'R2_15m': 0.9693725144756528, 'MAE_30m': 1.1056333780288696, 'RMSE_30m': 2.8498007989166294, 'sMAPE_30m': 138.0130218217286, 'R2_30m': 0.9160117363474735, 'MAE_avg': 0.8437484204769135, 'RMSE_avg': 2.285360758385692, 'sMAPE_avg': 137.48411987069142, 'R2_avg': 0.9426921254115631}",COMPLETE
2,0.8508924543857574,2026-04-06 04:23:20.317084,2026-04-06 04:23:23.430829,0 days 00:00:03.113745,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[182, 161]","{'MAE_15m': 0.5936420559883118, 'RMSE_15m': 1.7330859781103138, 'sMAPE_15m': 137.02176759876735, 'R2_15m': 0.9689379711085127, 'MAE_30m': 1.1081428527832031, 'RMSE_30m': 2.941484711146431, 'sMAPE_30m': 138.210760222934, 'R2_30m': 0.9105206550164691, 'MAE_avg': 0.8508924543857574, 'RMSE_avg': 2.3372853446283726, 'sMAPE_avg': 137.61626391085068, 'R2_avg': 0.9397293130624909}",COMPLETE
3,0.8880227506160736,2026-04-06 04:23:23.433320,2026-04-06 04:23:28.144711,0 days 00:00:04.711391,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[422, 313]","{'MAE_15m': 0.5740782618522644, 'RMSE_15m': 1.662153268093319, 'sMAPE_15m': 136.93016435681704, 'R2_15m': 0.971428585745893, 'MAE_30m': 1.2019672393798828, 'RMSE_30m': 2.94523235991146, 'sMAPE_30m': 137.99280157591807, 'R2_30m': 0.9102925036486983, 'MAE_avg': 0.8880227506160736, 'RMSE_avg': 2.30369281400239, 'sMAPE_avg': 137.46148296636756, 'R2_avg': 0.9408605446972956}",COMPLETE
4,0.8745185732841492,2026-04-06 04:23:28.372733,2026-04-06 04:23:31.057132,0 days 00:00:02.684399,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[29, 32]","{'MAE_15m': 0.5993578433990479, 'RMSE_15m': 1.6973756111425407, 'sMAPE_15m': 136.95440594418508, 'R2_15m': 0.9702048536788062, 'MAE_30m': 1.1496793031692505, 'RMSE_30m': 2.9028259123279705, 'sMAPE_30m': 138.03317607619672, 'R2_30m': 0.912857188706758, 'MAE_avg': 0.8745185732841492, 'RMSE_avg': 2.300100761735256, 'sMAPE_avg': 137.4937910101909, 'R2_avg': 0.9415310211927821}",COMPLETE
5,1.555151641368866,2026-04-06 04:23:31.059391,2026-04-06 04:23:34.363560,0 days 00:00:03.304169,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1.274821400642395, 'RMSE_15m': 1.926707263714615, 'sMAPE_15m': 137.20644544213448, 'R2_15m': 0.9616097381065445, 'MAE_30m': 1.835481882095337, 'RMSE_30m': 3.113708083928451, 'sMAPE_30m': 139.15166805240008, 'R2_30m': 0.8997359145723688, 'MAE_avg': 1.555151641368866, 'RMSE_avg': 2.520207673821533, 'sMAPE_avg': 138.17905674726728, 'R2_avg': 0.9306728263394566}",COMPLETE
6,0.8411908447742462,2026-04-06 04:23:34.368133,2026-04-06 04:23:38.604263,0 days 00:00:04.236130,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[31, 25]","{'MAE_15m': 0.5932819247245789, 'RMSE_15m': 1.7732224523087068, 'sMAPE_15m': 137.12043149932364, 'R2_15m': 0.9674825866543966, 'MAE_30m': 1.0890997648239136, 'RMSE_30m': 3.0357252297083948, 'sMAPE_30m': 138.32847896995213, 'R2_30m': 0.9046952567026646, 'MAE_avg': 0.8411908447742462, 'RMSE_avg': 2.4044738410085507, 'sMAPE_avg': 137.7244552346379, 'R2_avg': 0.9360889216785306}",COMPLETE
7,1.5137949585914612,2026-04-06 04:23:38.620736,2026-04-06 04:23:41.679778,0 days 00:00:03.059042,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1.2558434009552002, 'RMSE_15m': 2.0210376780384443, 'sMAPE_15m': 137.3948557605742, 'R2_15m': 0.9577585903216147, 'MAE_30m': 1.7717465162277222, 'RMSE_30m': 3.197786227039765, 'sMAPE_30m': 139.0887251150807, 'R2_30m': 0.8942480272643124, 'MAE_avg': 1.5137949585914612, 'RMSE_avg': 2.6094119525391046, 'sMAPE_avg': 138.24179043782743, 'R2_avg': 0.9260033087929636}",COMPLETE
8,0.8608843088150024,2026-04-06 04:23:41.681853,2026-04-06 04:23:45.411329,0 days 00:00:03.729476,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[375, 345]","{'MAE_15m': 0.6186230182647705, 'RMSE_15m': 1.722234349908821, 'sMAPE_15m': 137.04915560235122, 'R2_15m': 0.9693257444414973, 'MAE_30m': 1.1031455993652344, 'RMSE_30m': 2.93927516461919, 'sMAPE_30m': 138.30112604839303, 'R2_30m': 0.9106550365291192, 'MAE_avg': 0.8608843088150024, 'RMSE_avg': 2.3307547572640055, 'sMAPE_avg': 137.67514082537213, 'R2_avg': 0.9399903904853082}",COMPLETE
9,0.8948821723461151,2026-04-06 04:23:45.425517,2026-04-06 04:23:48.442213,0 days 00:00:03.016696,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[103, 89]","{'MAE_15m': 0.5618302226066589, 'RMSE_15m': 1.6082736200240413, 'sMAPE_15m': 136.9028583897427, 'R2_15m': 0.9732508815119328, 'MAE_30m': 1.2279341220855713, 'RMSE_30m': 2.945773546474572, 'sMAPE_30m': 138.22564272589563, 'R2_30m': 0.910259534353597, 'MAE_avg': 0.8948821723461151, 'RMSE_avg': 2.2770235832493064, 'sMAPE_avg': 137.56425055781915, 'R2_avg': 0.9417552079327649}",COMPLETE
