number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.42689312994480133,2026-04-06 04:24:04.351673,2026-04-06 04:24:08.486323,0 days 00:00:04.134650,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[40, 47]","{'MAE_15m': 0.4000392258167267, 'RMSE_15m': 1.0818895598367875, 'sMAPE_15m': 193.03366902015654, 'R2_15m': 0.3424828227845591, 'MAE_30m': 0.453747034072876, 'RMSE_30m': 1.2429103067925702, 'sMAPE_30m': 194.59683373521258, 'R2_30m': 0.13219761798637142, 'MAE_avg': 0.42689312994480133, 'RMSE_avg': 1.1623999333146788, 'sMAPE_avg': 193.81525137768455, 'R2_avg': 0.23734022038546526}",COMPLETE
1,0.4187425822019577,2026-04-06 04:24:08.488301,2026-04-06 04:24:12.239447,0 days 00:00:03.751146,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[217, 222]","{'MAE_15m': 0.37923189997673035, 'RMSE_15m': 1.0977078354412597, 'sMAPE_15m': 193.24346667021342, 'R2_15m': 0.3231150514396497, 'MAE_30m': 0.45825326442718506, 'RMSE_30m': 1.2167661610947345, 'sMAPE_30m': 194.75962405922854, 'R2_30m': 0.16832132882823791, 'MAE_avg': 0.4187425822019577, 'RMSE_avg': 1.157236998267997, 'sMAPE_avg': 194.00154536472098, 'R2_avg': 0.2457181901339438}",COMPLETE
2,0.39016810059547424,2026-04-06 04:24:12.247650,2026-04-06 04:24:15.330897,0 days 00:00:03.083247,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[165, 132]","{'MAE_15m': 0.35166171193122864, 'RMSE_15m': 1.0201382054400998, 'sMAPE_15m': 192.95314931856947, 'R2_15m': 0.4153993679706136, 'MAE_30m': 0.42867448925971985, 'RMSE_30m': 1.1734063887249744, 'sMAPE_30m': 194.38740573928945, 'R2_30m': 0.22653943257560472, 'MAE_avg': 0.39016810059547424, 'RMSE_avg': 1.096772297082537, 'sMAPE_avg': 193.67027752892946, 'R2_avg': 0.32096940027310916}",COMPLETE
3,0.41254234313964844,2026-04-06 04:24:15.335672,2026-04-06 04:24:18.723029,0 days 00:00:03.387357,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[159, 155]","{'MAE_15m': 0.3690154552459717, 'RMSE_15m': 1.0324050330391497, 'sMAPE_15m': 193.11142406671482, 'R2_15m': 0.4012555125088053, 'MAE_30m': 0.4560692310333252, 'RMSE_30m': 1.2267131834349654, 'sMAPE_30m': 194.54171847435873, 'R2_30m': 0.15466789812228865, 'MAE_avg': 0.41254234313964844, 'RMSE_avg': 1.1295591082370575, 'sMAPE_avg': 193.82657127053676, 'R2_avg': 0.277961705315547}",COMPLETE
4,0.41183093190193176,2026-04-06 04:24:18.725266,2026-04-06 04:24:20.842865,0 days 00:00:02.117599,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[17, 24]","{'MAE_15m': 0.38488689064979553, 'RMSE_15m': 1.0452556896880574, 'sMAPE_15m': 193.27969085870288, 'R2_15m': 0.38625718624628047, 'MAE_30m': 0.438774973154068, 'RMSE_30m': 1.2669903490109937, 'sMAPE_30m': 194.9601960395452, 'R2_30m': 0.09824631740234202, 'MAE_avg': 0.41183093190193176, 'RMSE_avg': 1.1561230193495255, 'sMAPE_avg': 194.11994344912404, 'R2_avg': 0.24225175182431125}",COMPLETE
5,0.40854035317897797,2026-04-06 04:24:20.847039,2026-04-06 04:24:24.325828,0 days 00:00:03.478789,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.37394800782203674, 'RMSE_15m': 1.0247005211228801, 'sMAPE_15m': 193.12108542718877, 'R2_15m': 0.41015861701079326, 'MAE_30m': 0.4431326985359192, 'RMSE_30m': 1.1858726192212024, 'sMAPE_30m': 194.67394210462203, 'R2_30m': 0.2100177294693617, 'MAE_avg': 0.40854035317897797, 'RMSE_avg': 1.1052865701720411, 'sMAPE_avg': 193.8975137659054, 'R2_avg': 0.3100881732400775}",COMPLETE
6,0.36587728559970856,2026-04-06 04:24:24.327423,2026-04-06 04:24:26.874140,0 days 00:00:02.546717,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[23, 17]","{'MAE_15m': 0.3200119137763977, 'RMSE_15m': 0.9639284062293296, 'sMAPE_15m': 192.91205398570784, 'R2_15m': 0.478047696826594, 'MAE_30m': 0.4117426574230194, 'RMSE_30m': 1.1561671562415583, 'sMAPE_30m': 194.35848343160686, 'R2_30m': 0.24909915399257043, 'MAE_avg': 0.36587728559970856, 'RMSE_avg': 1.0600477812354439, 'sMAPE_avg': 193.63526870865735, 'R2_avg': 0.3635734254095822}",COMPLETE
7,0.39529849588871,2026-04-06 04:24:26.875927,2026-04-06 04:24:29.932257,0 days 00:00:03.056330,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.3542555272579193, 'RMSE_15m': 1.016199272363016, 'sMAPE_15m': 193.35165161401534, 'R2_15m': 0.41990512372877786, 'MAE_30m': 0.43634146451950073, 'RMSE_30m': 1.1866927665794091, 'sMAPE_30m': 194.73853119075005, 'R2_30m': 0.20892461581583222, 'MAE_avg': 0.39529849588871, 'RMSE_avg': 1.1014460194712126, 'sMAPE_avg': 194.0450914023827, 'R2_avg': 0.31441486977230504}",COMPLETE
8,0.40163514018058777,2026-04-06 04:24:29.937940,2026-04-06 04:24:32.990855,0 days 00:00:03.052915,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[323, 265]","{'MAE_15m': 0.36996716260910034, 'RMSE_15m': 1.0148671183490916, 'sMAPE_15m': 193.00885323205983, 'R2_15m': 0.42142500504400326, 'MAE_30m': 0.4333031177520752, 'RMSE_30m': 1.1909224231319167, 'sMAPE_30m': 194.4510046270026, 'R2_30m': 0.20327533220879035, 'MAE_avg': 0.40163514018058777, 'RMSE_avg': 1.1028947707405041, 'sMAPE_avg': 193.7299289295312, 'R2_avg': 0.3123501686263968}",COMPLETE
9,0.4176758676767349,2026-04-06 04:24:32.997134,2026-04-06 04:24:34.773558,0 days 00:00:01.776424,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[40, 49]","{'MAE_15m': 0.368745893239975, 'RMSE_15m': 1.099911527977199, 'sMAPE_15m': 192.97615803699307, 'R2_15m': 0.3203946111102627, 'MAE_30m': 0.4666058421134949, 'RMSE_30m': 1.2403770064391824, 'sMAPE_30m': 194.46915954390747, 'R2_30m': 0.1357315060568558, 'MAE_avg': 0.4176758676767349, 'RMSE_avg': 1.1701442672081908, 'sMAPE_avg': 193.72265879045028, 'R2_avg': 0.22806305858355924}",COMPLETE
