number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.6022341549396515,2026-04-06 04:24:44.370306,2026-04-06 04:24:46.334455,0 days 00:00:01.964149,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[70, 128]","{'MAE_15m': 0.5366486310958862, 'RMSE_15m': 1.0697222007675078, 'sMAPE_15m': 121.34224934709785, 'R2_15m': 0.9360641651581026, 'MAE_30m': 0.6678196787834167, 'RMSE_30m': 1.4135314618695505, 'sMAPE_30m': 122.67913111943103, 'R2_30m': 0.8896607724650062, 'MAE_avg': 0.6022341549396515, 'RMSE_avg': 1.2416268313185292, 'sMAPE_avg': 122.01069023326444, 'R2_avg': 0.9128624688115544}",COMPLETE
1,0.5831228196620941,2026-04-06 04:24:46.336149,2026-04-06 04:24:50.461610,0 days 00:00:04.125461,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[490, 467]","{'MAE_15m': 0.5308180451393127, 'RMSE_15m': 1.0784150438339002, 'sMAPE_15m': 121.40304277724535, 'R2_15m': 0.9350208193594652, 'MAE_30m': 0.6354275941848755, 'RMSE_30m': 1.3610514246035468, 'sMAPE_30m': 122.1555382614006, 'R2_30m': 0.8977017889645404, 'MAE_avg': 0.5831228196620941, 'RMSE_avg': 1.2197332342187235, 'sMAPE_avg': 121.77929051932297, 'R2_avg': 0.9163613041620029}",COMPLETE
2,0.5795685648918152,2026-04-06 04:24:50.470776,2026-04-06 04:24:52.738931,0 days 00:00:02.268155,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[183, 144]","{'MAE_15m': 0.5202285647392273, 'RMSE_15m': 1.0569318274904684, 'sMAPE_15m': 121.25061665307359, 'R2_15m': 0.9375839423138671, 'MAE_30m': 0.6389085650444031, 'RMSE_30m': 1.3787859467068275, 'sMAPE_30m': 122.30587224392755, 'R2_30m': 0.8950185153389653, 'MAE_avg': 0.5795685648918152, 'RMSE_avg': 1.217858887098648, 'sMAPE_avg': 121.77824444850057, 'R2_avg': 0.9163012288264162}",COMPLETE
3,0.5985400378704071,2026-04-06 04:24:52.740431,2026-04-06 04:24:55.966949,0 days 00:00:03.226518,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[274, 250]","{'MAE_15m': 0.5395652055740356, 'RMSE_15m': 1.078831814153191, 'sMAPE_15m': 121.41413967976533, 'R2_15m': 0.9349705822563125, 'MAE_30m': 0.6575148701667786, 'RMSE_30m': 1.387399769504941, 'sMAPE_30m': 122.42955740869519, 'R2_30m': 0.8937027054676475, 'MAE_avg': 0.5985400378704071, 'RMSE_avg': 1.233115791829066, 'sMAPE_avg': 121.92184854423026, 'R2_avg': 0.91433664386198}",COMPLETE
4,0.6122126579284668,2026-04-06 04:24:55.970875,2026-04-06 04:24:57.790159,0 days 00:00:01.819284,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[30, 25]","{'MAE_15m': 0.5423580408096313, 'RMSE_15m': 1.0951888837726673, 'sMAPE_15m': 121.4554246412442, 'R2_15m': 0.9329837046416131, 'MAE_30m': 0.6820672750473022, 'RMSE_30m': 1.4310880377803636, 'sMAPE_30m': 122.9104646935642, 'R2_30m': 0.8869028359407863, 'MAE_avg': 0.6122126579284668, 'RMSE_avg': 1.2631384607765155, 'sMAPE_avg': 122.1829446674042, 'R2_avg': 0.9099432702911997}",COMPLETE
5,0.75093212723732,2026-04-06 04:24:57.791553,2026-04-06 04:25:00.183442,0 days 00:00:02.391889,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.6889696717262268, 'RMSE_15m': 1.2103895855148619, 'sMAPE_15m': 120.84003296701444, 'R2_15m': 0.9181435874416696, 'MAE_30m': 0.8128945827484131, 'RMSE_30m': 1.4905939830695953, 'sMAPE_30m': 121.97020917895343, 'R2_30m': 0.87730191308854, 'MAE_avg': 0.75093212723732, 'RMSE_avg': 1.3504917842922286, 'sMAPE_avg': 121.40512107298393, 'R2_avg': 0.8977227502651048}",COMPLETE
6,0.5832826197147369,2026-04-06 04:25:00.185076,2026-04-06 04:25:02.185695,0 days 00:00:02.000619,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[28, 37]","{'MAE_15m': 0.5273353457450867, 'RMSE_15m': 1.0890907229210456, 'sMAPE_15m': 121.07063951835384, 'R2_15m': 0.9337279395670782, 'MAE_30m': 0.6392298936843872, 'RMSE_30m': 1.3797854897423556, 'sMAPE_30m': 121.93652464832421, 'R2_30m': 0.8948662559869207, 'MAE_avg': 0.5832826197147369, 'RMSE_avg': 1.2344381063317007, 'sMAPE_avg': 121.50358208333903, 'R2_avg': 0.9142970977769995}",COMPLETE
7,0.7569094300270081,2026-04-06 04:25:02.195533,2026-04-06 04:25:04.370157,0 days 00:00:02.174624,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.6919698715209961, 'RMSE_15m': 1.2454742039475042, 'sMAPE_15m': 120.81283919593464, 'R2_15m': 0.913329393119361, 'MAE_30m': 0.82184898853302, 'RMSE_30m': 1.5339643593170302, 'sMAPE_30m': 121.84850655093761, 'R2_30m': 0.8700580215623106, 'MAE_avg': 0.7569094300270081, 'RMSE_avg': 1.3897192816322672, 'sMAPE_avg': 121.33067287343613, 'R2_avg': 0.8916937073408358}",COMPLETE
8,0.5826894342899323,2026-04-06 04:25:04.383301,2026-04-06 04:25:07.537161,0 days 00:00:03.153860,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[347, 397]","{'MAE_15m': 0.5279812812805176, 'RMSE_15m': 1.0661066773341024, 'sMAPE_15m': 121.2388516075882, 'R2_15m': 0.9364956243789577, 'MAE_30m': 0.6373975872993469, 'RMSE_30m': 1.3767431220760302, 'sMAPE_30m': 122.22801208818386, 'R2_30m': 0.8953293892957099, 'MAE_avg': 0.5826894342899323, 'RMSE_avg': 1.2214248997050663, 'sMAPE_avg': 121.73343184788604, 'R2_avg': 0.9159125068373338}",COMPLETE
9,0.5926236510276794,2026-04-06 04:25:07.540917,2026-04-06 04:25:09.677094,0 days 00:00:02.136177,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[88, 63]","{'MAE_15m': 0.5342075228691101, 'RMSE_15m': 1.0871042803179949, 'sMAPE_15m': 121.46659115519473, 'R2_15m': 0.9339694647690937, 'MAE_30m': 0.6510397791862488, 'RMSE_30m': 1.3868811283947464, 'sMAPE_30m': 122.58995248115589, 'R2_30m': 0.8937821604080467, 'MAE_avg': 0.5926236510276794, 'RMSE_avg': 1.2369927043563707, 'sMAPE_avg': 122.02827181817531, 'R2_avg': 0.9138758125885702}",COMPLETE
10,0.6047287285327911,2026-04-06 04:25:09.681084,2026-04-06 04:25:11.943689,0 days 00:00:02.262605,0.8277250010609204,3.3342913754128913,0.03018055303192452,2,5,1200,14.73099293843444,0.6071847502459278,"[204, 183]","{'MAE_15m': 0.5349390506744385, 'RMSE_15m': 1.1166642570944074, 'sMAPE_15m': 120.98223057502726, 'R2_15m': 0.9303297226376004, 'MAE_30m': 0.6745184063911438, 'RMSE_30m': 1.4429684988536937, 'sMAPE_30m': 121.83532338608426, 'R2_30m': 0.8850172533484514, 'MAE_avg': 0.6047287285327911, 'RMSE_avg': 1.2798163779740506, 'sMAPE_avg': 121.40877698055576, 'R2_avg': 0.9076734879930259}",COMPLETE
11,0.5815640985965729,2026-04-06 04:25:11.948664,2026-04-06 04:25:14.325314,0 days 00:00:02.376650,0.6286992778348623,0.10950335606324502,0.03252009848008517,5,9,400,0.18513778295403222,0.7078349435778688,"[184, 165]","{'MAE_15m': 0.527206540107727, 'RMSE_15m': 1.0649121335994312, 'sMAPE_15m': 121.27735195880103, 'R2_15m': 0.9366378458911954, 'MAE_30m': 0.6359216570854187, 'RMSE_30m': 1.3711418730286795, 'sMAPE_30m': 122.22240107666515, 'R2_30m': 0.8961793238877024, 'MAE_avg': 0.5815640985965729, 'RMSE_avg': 1.2180270033140554, 'sMAPE_avg': 121.7498765177331, 'R2_avg': 0.9164085848894489}",COMPLETE
