number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,2.5813863277435303,2026-04-06 04:26:23.573720,2026-04-06 04:26:25.266460,0 days 00:00:01.692740,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[16, 16]","{'MAE_15m': 2.5138330459594727, 'RMSE_15m': 3.427858321076377, 'sMAPE_15m': 24.86280353472073, 'R2_15m': 0.6050213001533802, 'MAE_30m': 2.648939609527588, 'RMSE_30m': 3.8392265188526613, 'sMAPE_30m': 24.835602576346513, 'R2_30m': 0.5044629251616798, 'MAE_avg': 2.5813863277435303, 'RMSE_avg': 3.6335424199645194, 'sMAPE_avg': 24.84920305553362, 'R2_avg': 0.55474211265753}",COMPLETE
1,2.5282750129699707,2026-04-06 04:26:25.268652,2026-04-06 04:26:27.872361,0 days 00:00:02.603709,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[198, 169]","{'MAE_15m': 2.4766132831573486, 'RMSE_15m': 3.3545986552882185, 'sMAPE_15m': 25.091696367658905, 'R2_15m': 0.6217237592485108, 'MAE_30m': 2.5799367427825928, 'RMSE_30m': 3.6835652711319575, 'sMAPE_30m': 24.8070375509068, 'R2_30m': 0.5438313594699795, 'MAE_avg': 2.5282750129699707, 'RMSE_avg': 3.519081963210088, 'sMAPE_avg': 24.94936695928285, 'R2_avg': 0.5827775593592451}",COMPLETE
2,2.5137362480163574,2026-04-06 04:26:27.873869,2026-04-06 04:26:29.718961,0 days 00:00:01.845092,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[58, 69]","{'MAE_15m': 2.448603630065918, 'RMSE_15m': 3.3014354531522447, 'sMAPE_15m': 24.69044992950194, 'R2_15m': 0.6336184650228638, 'MAE_30m': 2.578868865966797, 'RMSE_30m': 3.61777618429517, 'sMAPE_30m': 25.186744938769245, 'R2_30m': 0.559980346427864, 'MAE_avg': 2.5137362480163574, 'RMSE_avg': 3.4596058187237073, 'sMAPE_avg': 24.938597434135595, 'R2_avg': 0.5967994057253638}",COMPLETE
3,2.5542434453964233,2026-04-06 04:26:29.724595,2026-04-06 04:26:31.931106,0 days 00:00:02.206511,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[102, 87]","{'MAE_15m': 2.4774413108825684, 'RMSE_15m': 3.3618400578439074, 'sMAPE_15m': 24.735327196248488, 'R2_15m': 0.6200888490549967, 'MAE_30m': 2.6310455799102783, 'RMSE_30m': 3.79490641984919, 'sMAPE_30m': 24.939701501425247, 'R2_30m': 0.5158378687345091, 'MAE_avg': 2.5542434453964233, 'RMSE_avg': 3.578373238846549, 'sMAPE_avg': 24.83751434883687, 'R2_avg': 0.5679633588947529}",COMPLETE
4,2.5592784881591797,2026-04-06 04:26:31.935555,2026-04-06 04:26:33.890341,0 days 00:00:01.954786,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[8, 7]","{'MAE_15m': 2.4702818393707275, 'RMSE_15m': 3.3606062650947583, 'sMAPE_15m': 24.662645281172647, 'R2_15m': 0.6203676554564377, 'MAE_30m': 2.648275136947632, 'RMSE_30m': 3.7815917309907294, 'sMAPE_30m': 25.32185109775682, 'R2_30m': 0.5192293342120687, 'MAE_avg': 2.5592784881591797, 'RMSE_avg': 3.5710989980427437, 'sMAPE_avg': 24.992248189464732, 'R2_avg': 0.5697984948342532}",COMPLETE
5,2.5192476511001587,2026-04-06 04:26:33.892355,2026-04-06 04:26:36.533792,0 days 00:00:02.641437,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[194, 172]","{'MAE_15m': 2.464080572128296, 'RMSE_15m': 3.320843248021455, 'sMAPE_15m': 24.71141275096833, 'R2_15m': 0.6292981714975283, 'MAE_30m': 2.5744147300720215, 'RMSE_30m': 3.667129241779669, 'sMAPE_30m': 24.779498642109196, 'R2_30m': 0.5478931206537037, 'MAE_avg': 2.5192476511001587, 'RMSE_avg': 3.4939862449005616, 'sMAPE_avg': 24.745455696538762, 'R2_avg': 0.588595646075616}",COMPLETE
6,2.489699363708496,2026-04-06 04:26:36.546367,2026-04-06 04:26:38.077366,0 days 00:00:01.530999,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[14, 16]","{'MAE_15m': 2.4400062561035156, 'RMSE_15m': 3.293961670532685, 'sMAPE_15m': 24.873062843056786, 'R2_15m': 0.635275443739694, 'MAE_30m': 2.5393924713134766, 'RMSE_30m': 3.5779644126337717, 'sMAPE_30m': 25.137761374003624, 'R2_30m': 0.5696114282766273, 'MAE_avg': 2.489699363708496, 'RMSE_avg': 3.4359630415832285, 'sMAPE_avg': 25.005412108530205, 'R2_avg': 0.6024434360081606}",COMPLETE
7,2.486683964729309,2026-04-06 04:26:38.085668,2026-04-06 04:26:40.201683,0 days 00:00:02.116015,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[195, 155]","{'MAE_15m': 2.4289214611053467, 'RMSE_15m': 3.3054085884939624, 'sMAPE_15m': 24.461029695279677, 'R2_15m': 0.6327360887461033, 'MAE_30m': 2.5444464683532715, 'RMSE_30m': 3.674562420387391, 'sMAPE_30m': 24.596599123940376, 'R2_30m': 0.5460584565020639, 'MAE_avg': 2.486683964729309, 'RMSE_avg': 3.4899855044406767, 'sMAPE_avg': 24.52881440961003, 'R2_avg': 0.5893972726240836}",COMPLETE
8,2.5275540351867676,2026-04-06 04:26:40.203469,2026-04-06 04:26:42.245536,0 days 00:00:02.042067,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[114, 116]","{'MAE_15m': 2.472759962081909, 'RMSE_15m': 3.391861228767304, 'sMAPE_15m': 24.48371263379465, 'R2_15m': 0.6132734025248708, 'MAE_30m': 2.582348108291626, 'RMSE_30m': 3.6910646956733886, 'sMAPE_30m': 24.681430083852025, 'R2_30m': 0.5419720455810857, 'MAE_avg': 2.5275540351867676, 'RMSE_avg': 3.541462962220346, 'sMAPE_avg': 24.582571358823337, 'R2_avg': 0.5776227240529783}",COMPLETE
9,2.5568236112594604,2026-04-06 04:26:42.247035,2026-04-06 04:26:43.980842,0 days 00:00:01.733807,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[19, 19]","{'MAE_15m': 2.459235429763794, 'RMSE_15m': 3.378720952063313, 'sMAPE_15m': 24.628126236944244, 'R2_15m': 0.6162639713022123, 'MAE_30m': 2.654411792755127, 'RMSE_30m': 3.807606292262881, 'sMAPE_30m': 25.133807504877943, 'R2_30m': 0.5125918531432421, 'MAE_avg': 2.5568236112594604, 'RMSE_avg': 3.5931636221630967, 'sMAPE_avg': 24.880966870911095, 'R2_avg': 0.5644279122227271}",COMPLETE
