number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.6595554947853088,2026-04-06 04:26:54.049173,2026-04-06 04:26:55.771876,0 days 00:00:01.722703,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[22, 22]","{'MAE_15m': 0.6644201874732971, 'RMSE_15m': 1.011987009899918, 'sMAPE_15m': 6.220993339593488, 'R2_15m': 0.005515538766798667, 'MAE_30m': 0.6546908020973206, 'RMSE_30m': 0.9653428674764045, 'sMAPE_30m': 6.144066904777216, 'R2_30m': 0.0924865569417791, 'MAE_avg': 0.6595554947853088, 'RMSE_avg': 0.9886649386881612, 'sMAPE_avg': 6.182530122185352, 'R2_avg': 0.04900104785428888}",COMPLETE
1,0.6735092103481293,2026-04-06 04:26:55.773513,2026-04-06 04:26:58.518941,0 days 00:00:02.745428,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[210, 214]","{'MAE_15m': 0.6703222393989563, 'RMSE_15m': 1.0168600349286379, 'sMAPE_15m': 6.263484971857148, 'R2_15m': -0.004084903451104571, 'MAE_30m': 0.6766961812973022, 'RMSE_30m': 0.9867958093123563, 'sMAPE_30m': 6.341763716575814, 'R2_30m': 0.051702850172991144, 'MAE_avg': 0.6735092103481293, 'RMSE_avg': 1.001827922120497, 'sMAPE_avg': 6.302624344216481, 'R2_avg': 0.023808973360943286}",COMPLETE
2,0.6703818440437317,2026-04-06 04:26:58.523345,2026-04-06 04:27:00.390653,0 days 00:00:01.867308,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[58, 56]","{'MAE_15m': 0.6674709320068359, 'RMSE_15m': 1.012788656084131, 'sMAPE_15m': 6.232226823095763, 'R2_15m': 0.003939467683333309, 'MAE_30m': 0.6732927560806274, 'RMSE_30m': 0.990215805451425, 'sMAPE_30m': 6.315387223047574, 'R2_30m': 0.045118266980636035, 'MAE_avg': 0.6703818440437317, 'RMSE_avg': 1.0015022307677781, 'sMAPE_avg': 6.273807023071669, 'R2_avg': 0.02452886733198467}",COMPLETE
3,0.687335729598999,2026-04-06 04:27:00.395519,2026-04-06 04:27:02.766767,0 days 00:00:02.371248,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[125, 126]","{'MAE_15m': 0.67998206615448, 'RMSE_15m': 1.0270971430120286, 'sMAPE_15m': 6.35469571373612, 'R2_15m': -0.024403580173459227, 'MAE_30m': 0.6946893930435181, 'RMSE_30m': 1.0034774873999446, 'sMAPE_30m': 6.514753897687527, 'R2_30m': 0.019369958715958258, 'MAE_avg': 0.687335729598999, 'RMSE_avg': 1.0152873152059865, 'sMAPE_avg': 6.434724805711824, 'R2_avg': -0.002516810728750485}",COMPLETE
4,0.688929408788681,2026-04-06 04:27:02.769702,2026-04-06 04:27:04.675219,0 days 00:00:01.905517,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[10, 10]","{'MAE_15m': 0.6824251413345337, 'RMSE_15m': 1.033215758853966, 'sMAPE_15m': 6.3942879672054875, 'R2_15m': -0.036645153786835305, 'MAE_30m': 0.6954336762428284, 'RMSE_30m': 1.0065007507465442, 'sMAPE_30m': 6.534078980970465, 'R2_30m': 0.013452344973968633, 'MAE_avg': 0.688929408788681, 'RMSE_avg': 1.0198582548002553, 'sMAPE_avg': 6.464183474087976, 'R2_avg': -0.011596404406433336}",COMPLETE
5,0.6789530813694,2026-04-06 04:27:04.695272,2026-04-06 04:27:07.322074,0 days 00:00:02.626802,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 188]","{'MAE_15m': 0.6759008765220642, 'RMSE_15m': 1.0173227645075893, 'sMAPE_15m': 6.316180529247556, 'R2_15m': -0.0049989119728874876, 'MAE_30m': 0.6820052862167358, 'RMSE_30m': 1.0026510384572658, 'sMAPE_30m': 6.389291540390996, 'R2_30m': 0.020984750551564235, 'MAE_avg': 0.6789530813694, 'RMSE_avg': 1.0099869014824274, 'sMAPE_avg': 6.3527360348192765, 'R2_avg': 0.007992919289338374}",COMPLETE
6,0.6769967079162598,2026-04-06 04:27:07.323853,2026-04-06 04:27:09.094910,0 days 00:00:01.771057,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[9, 8]","{'MAE_15m': 0.6739093661308289, 'RMSE_15m': 1.0154433454771568, 'sMAPE_15m': 6.310589276592625, 'R2_15m': -0.0012889604727259751, 'MAE_30m': 0.6800840497016907, 'RMSE_30m': 1.0160837164578065, 'sMAPE_30m': 6.382955544688712, 'R2_30m': -0.00542302721997534, 'MAE_avg': 0.6769967079162598, 'RMSE_avg': 1.0157635309674817, 'sMAPE_avg': 6.346772410640668, 'R2_avg': -0.003355993846350658}",COMPLETE
7,0.667169451713562,2026-04-06 04:27:09.111104,2026-04-06 04:27:11.288484,0 days 00:00:02.177380,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[184, 168]","{'MAE_15m': 0.6663066744804382, 'RMSE_15m': 1.0027366385529086, 'sMAPE_15m': 6.227086656240168, 'R2_15m': 0.023613316583816824, 'MAE_30m': 0.6680322289466858, 'RMSE_30m': 1.0057995824726882, 'sMAPE_30m': 6.256856679282505, 'R2_30m': 0.014826251816997815, 'MAE_avg': 0.667169451713562, 'RMSE_avg': 1.0042681105127984, 'sMAPE_avg': 6.241971667761336, 'R2_avg': 0.01921978420040732}",COMPLETE
8,0.6735800802707672,2026-04-06 04:27:11.290134,2026-04-06 04:27:13.424868,0 days 00:00:02.134734,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[139, 135]","{'MAE_15m': 0.6688734292984009, 'RMSE_15m': 1.0106566756928075, 'sMAPE_15m': 6.249115669382314, 'R2_15m': 0.008128691671450583, 'MAE_30m': 0.6782867312431335, 'RMSE_30m': 0.9960132341941907, 'sMAPE_30m': 6.3566694395119905, 'R2_30m': 0.03390443844240876, 'MAE_avg': 0.6735800802707672, 'RMSE_avg': 1.0033349549434991, 'sMAPE_avg': 6.302892554447152, 'R2_avg': 0.02101656505692967}",COMPLETE
9,0.6958509385585785,2026-04-06 04:27:13.431929,2026-04-06 04:27:15.166854,0 days 00:00:01.734925,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[26, 25]","{'MAE_15m': 0.6770818829536438, 'RMSE_15m': 1.0191508785739405, 'sMAPE_15m': 6.3339731124867376, 'R2_15m': -0.008614182736191411, 'MAE_30m': 0.7146199941635132, 'RMSE_30m': 1.0397060953764186, 'sMAPE_30m': 6.723869842404262, 'R2_30m': -0.05271567803596766, 'MAE_avg': 0.6958509385585785, 'RMSE_avg': 1.0294284869751795, 'sMAPE_avg': 6.5289214774455, 'R2_avg': -0.030664930386079536}",COMPLETE
