number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.3097425699234009,2026-04-06 04:27:24.612173,2026-04-06 04:27:26.258400,0 days 00:00:01.646227,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[0, 0]","{'MAE_15m': 1.3132320642471313, 'RMSE_15m': 1.6504524535386051, 'sMAPE_15m': 11.417834931403322, 'R2_15m': -0.045739718073343205, 'MAE_30m': 1.3062530755996704, 'RMSE_30m': 1.6268045236194937, 'sMAPE_30m': 11.377219381869493, 'R2_30m': -0.028049257817269302, 'MAE_avg': 1.3097425699234009, 'RMSE_avg': 1.6386284885790494, 'sMAPE_avg': 11.397527156636407, 'R2_avg': -0.036894487945306254}",COMPLETE
1,1.3088898062705994,2026-04-06 04:27:26.269485,2026-04-06 04:27:27.872260,0 days 00:00:01.602775,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[17, 0]","{'MAE_15m': 1.312706470489502, 'RMSE_15m': 1.6367022893619614, 'sMAPE_15m': 11.415778332920999, 'R2_15m': -0.028387920384001175, 'MAE_30m': 1.3050731420516968, 'RMSE_30m': 1.634753957544983, 'sMAPE_30m': 11.365975891131477, 'R2_30m': -0.03812091336092216, 'MAE_avg': 1.3088898062705994, 'RMSE_avg': 1.6357281234534722, 'sMAPE_avg': 11.390877112026239, 'R2_avg': -0.03325441687246167}",COMPLETE
2,1.3069500923156738,2026-04-06 04:27:27.876021,2026-04-06 04:27:29.388640,0 days 00:00:01.512619,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[9, 0]","{'MAE_15m': 1.3084334135055542, 'RMSE_15m': 1.6274654319127404, 'sMAPE_15m': 11.376099477849037, 'R2_15m': -0.016813036686434968, 'MAE_30m': 1.3054667711257935, 'RMSE_30m': 1.6336913595496587, 'sMAPE_30m': 11.369644337228154, 'R2_30m': -0.03677182212024288, 'MAE_avg': 1.3069500923156738, 'RMSE_avg': 1.6305783957311997, 'sMAPE_avg': 11.372871907538595, 'R2_avg': -0.026792429403338924}",COMPLETE
3,1.3092268705368042,2026-04-06 04:27:29.390017,2026-04-06 04:27:31.020747,0 days 00:00:01.630730,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[17, 0]","{'MAE_15m': 1.3123911619186401, 'RMSE_15m': 1.6344965231302133, 'sMAPE_15m': 11.41132881688033, 'R2_15m': -0.02561785506342118, 'MAE_30m': 1.3060625791549683, 'RMSE_30m': 1.6359172306062086, 'sMAPE_30m': 11.374909108387424, 'R2_30m': -0.03959889985869958, 'MAE_avg': 1.3092268705368042, 'RMSE_avg': 1.635206876868211, 'sMAPE_avg': 11.393118962633878, 'R2_avg': -0.03260837746106038}",COMPLETE
4,1.3107723593711853,2026-04-06 04:27:31.022816,2026-04-06 04:27:32.598354,0 days 00:00:01.575538,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[0, 0]","{'MAE_15m': 1.3152263164520264, 'RMSE_15m': 1.644120624952601, 'sMAPE_15m': 11.436733168219119, 'R2_15m': -0.03773134097720243, 'MAE_30m': 1.3063184022903442, 'RMSE_30m': 1.628592554710672, 'sMAPE_30m': 11.377119180180118, 'R2_30m': -0.03031034176484315, 'MAE_avg': 1.3107723593711853, 'RMSE_avg': 1.6363565898316366, 'sMAPE_avg': 11.406926174199619, 'R2_avg': -0.03402084137102279}",COMPLETE
5,1.3081160187721252,2026-04-06 04:27:32.608288,2026-04-06 04:27:34.297085,0 days 00:00:01.688797,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[48, 0]","{'MAE_15m': 1.3111745119094849, 'RMSE_15m': 1.619905776474407, 'sMAPE_15m': 11.401286595069006, 'R2_15m': -0.007388600812689106, 'MAE_30m': 1.3050575256347656, 'RMSE_30m': 1.6351164848059838, 'sMAPE_30m': 11.365800321666361, 'R2_30m': -0.038581469273016644, 'MAE_avg': 1.3081160187721252, 'RMSE_avg': 1.6275111306401953, 'sMAPE_avg': 11.383543458367683, 'R2_avg': -0.022985035042852875}",COMPLETE
6,1.3113629817962646,2026-04-06 04:27:34.298435,2026-04-06 04:27:35.933179,0 days 00:00:01.634744,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[0, 0]","{'MAE_15m': 1.3141813278198242, 'RMSE_15m': 1.6353125164455513, 'sMAPE_15m': 11.42881820774448, 'R2_15m': -0.02664213878954702, 'MAE_30m': 1.308544635772705, 'RMSE_30m': 1.6261619668365954, 'sMAPE_30m': 11.398154597786556, 'R2_30m': -0.02723732239978549, 'MAE_avg': 1.3113629817962646, 'RMSE_avg': 1.6307372416410733, 'sMAPE_avg': 11.413486402765518, 'R2_avg': -0.026939730594666256}",COMPLETE
7,1.3096020221710205,2026-04-06 04:27:35.937382,2026-04-06 04:27:37.827820,0 days 00:00:01.890438,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[28, 0]","{'MAE_15m': 1.3142350912094116, 'RMSE_15m': 1.6261760417473416, 'sMAPE_15m': 11.429574537205674, 'R2_15m': -0.015202539392793257, 'MAE_30m': 1.3049689531326294, 'RMSE_30m': 1.6348891490723885, 'sMAPE_30m': 11.36501287199799, 'R2_30m': -0.0382926938535979, 'MAE_avg': 1.3096020221710205, 'RMSE_avg': 1.630532595409865, 'sMAPE_avg': 11.397293704601832, 'R2_avg': -0.02674761662319558}",COMPLETE
8,1.3071604371070862,2026-04-06 04:27:37.831341,2026-04-06 04:27:39.442176,0 days 00:00:01.610835,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[25, 0]","{'MAE_15m': 1.3090384006500244, 'RMSE_15m': 1.6201967262394152, 'sMAPE_15m': 11.382313911352602, 'R2_15m': -0.00775063226552164, 'MAE_30m': 1.305282473564148, 'RMSE_30m': 1.634911461162299, 'sMAPE_30m': 11.367865253927983, 'R2_30m': -0.038321024447057095, 'MAE_avg': 1.3071604371070862, 'RMSE_avg': 1.6275540937008572, 'sMAPE_avg': 11.375089582640292, 'R2_avg': -0.023035828356289367}",COMPLETE
9,1.3079219460487366,2026-04-06 04:27:39.448044,2026-04-06 04:27:41.069426,0 days 00:00:01.621382,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[0, 0]","{'MAE_15m': 1.310476303100586, 'RMSE_15m': 1.6424120661452568, 'sMAPE_15m': 11.393981970162494, 'R2_15m': -0.03557559906283614, 'MAE_30m': 1.3053675889968872, 'RMSE_30m': 1.6306829117199455, 'sMAPE_30m': 11.368931601303666, 'R2_30m': -0.03295692032940156, 'MAE_avg': 1.3079219460487366, 'RMSE_avg': 1.6365474889326013, 'sMAPE_avg': 11.38145678573308, 'R2_avg': -0.03426625969611885}",COMPLETE
