number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.3551935404539108,2026-04-06 04:27:49.543463,2026-04-06 04:27:51.218725,0 days 00:00:01.675262,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[27, 29]","{'MAE_15m': 0.33405646681785583, 'RMSE_15m': 0.6109167793057703, 'sMAPE_15m': 2.1223626087605347, 'R2_15m': 0.15275526420193408, 'MAE_30m': 0.3763306140899658, 'RMSE_30m': 0.6624238159352808, 'sMAPE_30m': 2.402069707633728, 'R2_30m': 0.0038686674448588088, 'MAE_avg': 0.3551935404539108, 'RMSE_avg': 0.6366702976205255, 'sMAPE_avg': 2.2622161581971314, 'R2_avg': 0.07831196582339645}",COMPLETE
1,0.328285351395607,2026-04-06 04:27:51.221000,2026-04-06 04:27:54.913191,0 days 00:00:03.692191,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[382, 510]","{'MAE_15m': 0.3154200613498688, 'RMSE_15m': 0.5650767540911776, 'sMAPE_15m': 1.9968133928255607, 'R2_15m': 0.27513076507657463, 'MAE_30m': 0.3411506414413452, 'RMSE_30m': 0.66238989274905, 'sMAPE_30m': 2.1694878417462995, 'R2_30m': 0.003970639858519198, 'MAE_avg': 0.328285351395607, 'RMSE_avg': 0.6137333234201139, 'sMAPE_avg': 2.08315061728593, 'R2_avg': 0.13955070246754692}",COMPLETE
2,0.35081081092357635,2026-04-06 04:27:54.916261,2026-04-06 04:27:56.796900,0 days 00:00:01.880639,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[82, 65]","{'MAE_15m': 0.33819910883903503, 'RMSE_15m': 0.5970077736458667, 'sMAPE_15m': 2.1461023612758336, 'R2_15m': 0.19089524845957961, 'MAE_30m': 0.3634225130081177, 'RMSE_30m': 0.6437470028631568, 'sMAPE_30m': 2.317231544532468, 'R2_30m': 0.05924783093360064, 'MAE_avg': 0.35081081092357635, 'RMSE_avg': 0.6203773882545117, 'sMAPE_avg': 2.231666952904151, 'R2_avg': 0.12507153969659013}",COMPLETE
3,0.3456876128911972,2026-04-06 04:27:56.798474,2026-04-06 04:27:59.346241,0 days 00:00:02.547767,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[185, 93]","{'MAE_15m': 0.32831716537475586, 'RMSE_15m': 0.6094132680370002, 'sMAPE_15m': 2.080347282642759, 'R2_15m': 0.15692043285519752, 'MAE_30m': 0.36305806040763855, 'RMSE_30m': 0.6523284910324763, 'sMAPE_30m': 2.3146982677707073, 'R2_30m': 0.033999250748777965, 'MAE_avg': 0.3456876128911972, 'RMSE_avg': 0.6308708795347382, 'sMAPE_avg': 2.1975227752067332, 'R2_avg': 0.09545984180198774}",COMPLETE
4,0.3225874751806259,2026-04-06 04:27:59.349479,2026-04-06 04:28:00.969981,0 days 00:00:01.620502,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[21, 23]","{'MAE_15m': 0.31170618534088135, 'RMSE_15m': 0.5744731624931632, 'sMAPE_15m': 1.9764960203610207, 'R2_15m': 0.25082338751757993, 'MAE_30m': 0.3334687650203705, 'RMSE_30m': 0.6244276764178776, 'sMAPE_30m': 2.1199070756534124, 'R2_30m': 0.11486593899069009, 'MAE_avg': 0.3225874751806259, 'RMSE_avg': 0.5994504194555204, 'sMAPE_avg': 2.0482015480072167, 'R2_avg': 0.182844663254135}",COMPLETE
5,0.36291106045246124,2026-04-06 04:28:00.976808,2026-04-06 04:28:03.355871,0 days 00:00:02.379063,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 198]","{'MAE_15m': 0.34927719831466675, 'RMSE_15m': 0.6084121776027341, 'sMAPE_15m': 2.22105709716408, 'R2_15m': 0.15968808318426686, 'MAE_30m': 0.37654492259025574, 'RMSE_30m': 0.6559419590188263, 'sMAPE_30m': 2.4035272274463106, 'R2_30m': 0.023267575047737465, 'MAE_avg': 0.36291106045246124, 'RMSE_avg': 0.6321770683107802, 'sMAPE_avg': 2.3122921623051953, 'R2_avg': 0.09147782911600216}",COMPLETE
6,0.368666335940361,2026-04-06 04:28:03.357571,2026-04-06 04:28:05.189453,0 days 00:00:01.831882,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[21, 51]","{'MAE_15m': 0.3563106656074524, 'RMSE_15m': 0.6126719807495359, 'sMAPE_15m': 2.2666434667656112, 'R2_15m': 0.14787985557503425, 'MAE_30m': 0.38102200627326965, 'RMSE_30m': 0.648249610428522, 'sMAPE_30m': 2.4328527744861663, 'R2_30m': 0.046041911395996116, 'MAE_avg': 0.368666335940361, 'RMSE_avg': 0.6304607955890289, 'sMAPE_avg': 2.349748120625889, 'R2_avg': 0.09696088348551518}",COMPLETE
7,0.3701285123825073,2026-04-06 04:28:05.191095,2026-04-06 04:28:07.359332,0 days 00:00:02.168237,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[198, 198]","{'MAE_15m': 0.35694897174835205, 'RMSE_15m': 0.6115022356518031, 'sMAPE_15m': 2.2722241267834278, 'R2_15m': 0.15113069373212873, 'MAE_30m': 0.3833080530166626, 'RMSE_30m': 0.6491728140948406, 'sMAPE_30m': 2.448345334920907, 'R2_30m': 0.04332283630549594, 'MAE_avg': 0.3701285123825073, 'RMSE_avg': 0.6303375248733218, 'sMAPE_avg': 2.3602847308521673, 'R2_avg': 0.09722676501881233}",COMPLETE
8,0.3398567736148834,2026-04-06 04:28:07.366199,2026-04-06 04:28:10.260931,0 days 00:00:02.894732,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[200, 281]","{'MAE_15m': 0.33418431878089905, 'RMSE_15m': 0.6015365149099973, 'sMAPE_15m': 2.121465096572865, 'R2_15m': 0.17857336608974073, 'MAE_30m': 0.3455292284488678, 'RMSE_30m': 0.6395774743705398, 'sMAPE_30m': 2.1992910970930613, 'R2_30m': 0.07139489803668775, 'MAE_avg': 0.3398567736148834, 'RMSE_avg': 0.6205569946402685, 'sMAPE_avg': 2.160378096832963, 'R2_avg': 0.12498413206321424}",COMPLETE
9,0.3381177634000778,2026-04-06 04:28:10.262612,2026-04-06 04:28:11.892398,0 days 00:00:01.629786,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[18, 15]","{'MAE_15m': 0.32103684544563293, 'RMSE_15m': 0.5652238013089836, 'sMAPE_15m': 2.0375121358524946, 'R2_15m': 0.2747534874450993, 'MAE_30m': 0.3551986813545227, 'RMSE_30m': 0.6339909448007081, 'sMAPE_30m': 2.263211886638151, 'R2_30m': 0.08754624779899967, 'MAE_avg': 0.3381177634000778, 'RMSE_avg': 0.5996073730548459, 'sMAPE_avg': 2.150362011245323, 'R2_avg': 0.1811498676220495}",COMPLETE
