number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,3.0562108755111694,2026-04-06 04:29:02.658306,2026-04-06 04:29:04.917024,0 days 00:00:02.258718,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[75, 51]","{'MAE_15m': 2.772733449935913, 'RMSE_15m': 4.318089056159429, 'sMAPE_15m': 95.99147614342928, 'R2_15m': 0.6480245288633986, 'MAE_30m': 3.339688301086426, 'RMSE_30m': 4.964464558813256, 'sMAPE_30m': 99.4837693553706, 'R2_30m': 0.5343819745200697, 'MAE_avg': 3.0562108755111694, 'RMSE_avg': 4.641276807486342, 'sMAPE_avg': 97.73762274939995, 'R2_avg': 0.5912032516917342}",COMPLETE
1,2.91357421875,2026-04-06 04:29:04.920778,2026-04-06 04:29:09.574290,0 days 00:00:04.653512,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[671, 435]","{'MAE_15m': 2.6262974739074707, 'RMSE_15m': 4.162710116928409, 'sMAPE_15m': 95.42555812283534, 'R2_15m': 0.6728992189856271, 'MAE_30m': 3.2008509635925293, 'RMSE_30m': 4.758461693381373, 'sMAPE_30m': 98.16714638097784, 'R2_30m': 0.5722223761371681, 'MAE_avg': 2.91357421875, 'RMSE_avg': 4.4605859051548915, 'sMAPE_avg': 96.7963522519066, 'R2_avg': 0.6225607975613976}",COMPLETE
2,2.91981840133667,2026-04-06 04:29:09.578136,2026-04-06 04:29:11.958069,0 days 00:00:02.379933,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[105, 136]","{'MAE_15m': 2.6702842712402344, 'RMSE_15m': 4.084732957607013, 'sMAPE_15m': 94.77947472139398, 'R2_15m': 0.6850391350768035, 'MAE_30m': 3.1693525314331055, 'RMSE_30m': 4.734201157402892, 'sMAPE_30m': 98.19163800028115, 'R2_30m': 0.5765731814386874, 'MAE_avg': 2.91981840133667, 'RMSE_avg': 4.409467057504953, 'sMAPE_avg': 96.48555636083756, 'R2_avg': 0.6308061582577454}",COMPLETE
3,2.958805203437805,2026-04-06 04:29:11.962340,2026-04-06 04:29:15.523491,0 days 00:00:03.561151,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[295, 313]","{'MAE_15m': 2.678915500640869, 'RMSE_15m': 4.133791484872607, 'sMAPE_15m': 95.73140173589294, 'R2_15m': 0.6774282238454744, 'MAE_30m': 3.238694906234741, 'RMSE_30m': 4.858304509927475, 'sMAPE_30m': 98.21620089643315, 'R2_30m': 0.5540826538480959, 'MAE_avg': 2.958805203437805, 'RMSE_avg': 4.496047997400041, 'sMAPE_avg': 96.97380131616305, 'R2_avg': 0.6157554388467852}",COMPLETE
4,2.908277153968811,2026-04-06 04:29:15.526345,2026-04-06 04:29:17.339592,0 days 00:00:01.813247,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[25, 29]","{'MAE_15m': 2.6665964126586914, 'RMSE_15m': 4.213064926708364, 'sMAPE_15m': 95.41536198854088, 'R2_15m': 0.6649377040292965, 'MAE_30m': 3.1499578952789307, 'RMSE_30m': 4.806474753334648, 'sMAPE_30m': 97.44581686845697, 'R2_30m': 0.5635462655251644, 'MAE_avg': 2.908277153968811, 'RMSE_avg': 4.509769840021506, 'sMAPE_avg': 96.43058942849893, 'R2_avg': 0.6142419847772305}",COMPLETE
5,3.284790277481079,2026-04-06 04:29:17.341397,2026-04-06 04:29:19.707901,0 days 00:00:02.366504,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 3.0294361114501953, 'RMSE_15m': 4.14773789305889, 'sMAPE_15m': 95.81670551826882, 'R2_15m': 0.6752479920668881, 'MAE_30m': 3.540144443511963, 'RMSE_30m': 4.7591308370817975, 'sMAPE_30m': 98.50861877301271, 'R2_30m': 0.5721020164552326, 'MAE_avg': 3.284790277481079, 'RMSE_avg': 4.453434365070343, 'sMAPE_avg': 97.16266214564077, 'R2_avg': 0.6236750042610604}",COMPLETE
6,2.964367389678955,2026-04-06 04:29:19.711283,2026-04-06 04:29:21.367000,0 days 00:00:01.655717,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[20, 38]","{'MAE_15m': 2.634965419769287, 'RMSE_15m': 4.090444380442324, 'sMAPE_15m': 94.97281847837272, 'R2_15m': 0.6841577442739962, 'MAE_30m': 3.293769359588623, 'RMSE_30m': 4.836855010964741, 'sMAPE_30m': 98.57293537121417, 'R2_30m': 0.5580113990465901, 'MAE_avg': 2.964367389678955, 'RMSE_avg': 4.463649695703532, 'sMAPE_avg': 96.77287692479345, 'R2_avg': 0.6210845716602932}",COMPLETE
7,3.223141312599182,2026-04-06 04:29:21.371322,2026-04-06 04:29:23.583662,0 days 00:00:02.212340,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 2.9790918827056885, 'RMSE_15m': 4.164036620097227, 'sMAPE_15m': 95.65492362045855, 'R2_15m': 0.6726907189711915, 'MAE_30m': 3.467190742492676, 'RMSE_30m': 4.752998409554287, 'sMAPE_30m': 97.95133639508128, 'R2_30m': 0.5732040665132915, 'MAE_avg': 3.223141312599182, 'RMSE_avg': 4.458517514825758, 'sMAPE_avg': 96.80313000776991, 'R2_avg': 0.6229473927422415}",COMPLETE
8,2.929093360900879,2026-04-06 04:29:23.584991,2026-04-06 04:29:26.677386,0 days 00:00:03.092395,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[377, 322]","{'MAE_15m': 2.6395339965820312, 'RMSE_15m': 4.087014984379669, 'sMAPE_15m': 95.25240039308494, 'R2_15m': 0.6846871331442581, 'MAE_30m': 3.2186527252197266, 'RMSE_30m': 4.743499926181365, 'sMAPE_30m': 98.1579852451824, 'R2_30m': 0.5749081864079835, 'MAE_avg': 2.929093360900879, 'RMSE_avg': 4.415257455280518, 'sMAPE_avg': 96.70519281913367, 'R2_avg': 0.6297976597761208}",COMPLETE
9,2.999891519546509,2026-04-06 04:29:26.679201,2026-04-06 04:29:28.605488,0 days 00:00:01.926287,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[62, 69]","{'MAE_15m': 2.7429728507995605, 'RMSE_15m': 4.200325299335667, 'sMAPE_15m': 96.45755330521405, 'R2_15m': 0.6669609887795753, 'MAE_30m': 3.256810188293457, 'RMSE_30m': 4.948862642575375, 'sMAPE_30m': 98.6570665293756, 'R2_30m': 0.5373039888588854, 'MAE_avg': 2.999891519546509, 'RMSE_avg': 4.574593970955521, 'sMAPE_avg': 97.55730991729482, 'R2_avg': 0.6021324888192303}",COMPLETE
