number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.2115337923169136,2026-04-06 04:40:22.014861,2026-04-06 04:40:24.356051,0 days 00:00:02.341190,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[33, 37]","{'MAE_15m': 0.21271127462387085, 'RMSE_15m': 0.2473471376111176, 'sMAPE_15m': 3.577392551609896, 'R2_15m': 0.027815714558493077, 'MAE_30m': 0.21035631000995636, 'RMSE_30m': 0.2457752437306308, 'sMAPE_30m': 3.5383175888376828, 'R2_30m': 0.04072234710942324, 'MAE_avg': 0.2115337923169136, 'RMSE_avg': 0.2465611906708742, 'sMAPE_avg': 3.5578550702237894, 'R2_avg': 0.03426903083395816}",COMPLETE
1,0.21436890959739685,2026-04-06 04:40:24.358628,2026-04-06 04:40:27.447758,0 days 00:00:03.089130,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[333, 311]","{'MAE_15m': 0.2152889519929886, 'RMSE_15m': 0.25230852831988065, 'sMAPE_15m': 3.6199152053514485, 'R2_15m': -0.011576276899033067, 'MAE_30m': 0.21344886720180511, 'RMSE_30m': 0.25087498490657106, 'sMAPE_30m': 3.5899816604278296, 'R2_30m': 0.0005000486755839528, 'MAE_avg': 0.21436890959739685, 'RMSE_avg': 0.25159175661322586, 'sMAPE_avg': 3.604948432889639, 'R2_avg': -0.005538114111724557}",COMPLETE
2,0.21158231049776077,2026-04-06 04:40:27.449528,2026-04-06 04:40:29.422772,0 days 00:00:01.973244,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[97, 93]","{'MAE_15m': 0.2122696340084076, 'RMSE_15m': 0.24872112249121633, 'sMAPE_15m': 3.56904961330766, 'R2_15m': 0.016985094315828175, 'MAE_30m': 0.21089498698711395, 'RMSE_30m': 0.24697201548863165, 'sMAPE_30m': 3.547454007869269, 'R2_30m': 0.03135742674795461, 'MAE_avg': 0.21158231049776077, 'RMSE_avg': 0.247846568989924, 'sMAPE_avg': 3.558251810588464, 'R2_avg': 0.024171260531891392}",COMPLETE
3,0.21602371335029602,2026-04-06 04:40:29.424744,2026-04-06 04:40:32.148718,0 days 00:00:02.723974,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[188, 169]","{'MAE_15m': 0.21748806536197662, 'RMSE_15m': 0.2531830685730819, 'sMAPE_15m': 3.659125113862151, 'R2_15m': -0.01860101381530077, 'MAE_30m': 0.21455936133861542, 'RMSE_30m': 0.252267537846642, 'sMAPE_30m': 3.6086630737902787, 'R2_30m': -0.010626915921344127, 'MAE_avg': 0.21602371335029602, 'RMSE_avg': 0.252725303209862, 'sMAPE_avg': 3.633894093826215, 'R2_avg': -0.014613964868322449}",COMPLETE
4,0.2141680270433426,2026-04-06 04:40:32.150654,2026-04-06 04:40:34.180759,0 days 00:00:02.030105,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[16, 17]","{'MAE_15m': 0.21472221612930298, 'RMSE_15m': 0.2498989049832173, 'sMAPE_15m': 3.610954150907785, 'R2_15m': 0.007653050725432431, 'MAE_30m': 0.2136138379573822, 'RMSE_30m': 0.24953751701267404, 'sMAPE_30m': 3.5930263037078767, 'R2_30m': 0.011128663636944425, 'MAE_avg': 0.2141680270433426, 'RMSE_avg': 0.24971821099794567, 'sMAPE_avg': 3.601990227307831, 'R2_avg': 0.009390857181188428}",COMPLETE
5,0.21482360363006592,2026-04-06 04:40:34.184514,2026-04-06 04:40:36.627116,0 days 00:00:02.442602,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.21471577882766724, 'RMSE_15m': 0.2518591742596115, 'sMAPE_15m': 3.6106779082593277, 'R2_15m': -0.00797628585221899, 'MAE_30m': 0.2149314284324646, 'RMSE_30m': 0.2500533404666632, 'sMAPE_30m': 3.6149594051534075, 'R2_30m': 0.007036227475234691, 'MAE_avg': 0.21482360363006592, 'RMSE_avg': 0.25095625736313737, 'sMAPE_avg': 3.6128186567063674, 'R2_avg': -0.00047002918849214925}",COMPLETE
6,0.21001193672418594,2026-04-06 04:40:36.630434,2026-04-06 04:40:38.197777,0 days 00:00:01.567343,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[32, 15]","{'MAE_15m': 0.21014219522476196, 'RMSE_15m': 0.24483568813632992, 'sMAPE_15m': 3.5339197902167006, 'R2_15m': 0.04745770120370363, 'MAE_30m': 0.20988167822360992, 'RMSE_30m': 0.24459071061046903, 'sMAPE_30m': 3.5306749754269013, 'R2_30m': 0.049946691063940896, 'MAE_avg': 0.21001193672418594, 'RMSE_avg': 0.24471319937339947, 'sMAPE_avg': 3.5322973828218007, 'R2_avg': 0.04870219613382226}",COMPLETE
7,0.21405773609876633,2026-04-06 04:40:38.206641,2026-04-06 04:40:40.641208,0 days 00:00:02.434567,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.21293875575065613, 'RMSE_15m': 0.251459851261689, 'sMAPE_15m': 3.5806891833297647, 'R2_15m': -0.004782612134587527, 'MAE_30m': 0.21517671644687653, 'RMSE_30m': 0.25078475985343673, 'sMAPE_30m': 3.619118261723241, 'R2_30m': 0.0012188297248730828, 'MAE_avg': 0.21405773609876633, 'RMSE_avg': 0.2511223055575629, 'sMAPE_avg': 3.599903722526503, 'R2_avg': -0.0017818912048572222}",COMPLETE
8,0.2125971019268036,2026-04-06 04:40:40.646883,2026-04-06 04:40:43.363631,0 days 00:00:02.716748,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[211, 218]","{'MAE_15m': 0.21444202959537506, 'RMSE_15m': 0.25036500570601394, 'sMAPE_15m': 3.6058470147999198, 'R2_15m': 0.003947783270010663, 'MAE_30m': 0.21075217425823212, 'RMSE_30m': 0.24729389884769362, 'sMAPE_30m': 3.545105996232678, 'R2_30m': 0.02883088889474028, 'MAE_avg': 0.2125971019268036, 'RMSE_avg': 0.24882945227685377, 'sMAPE_avg': 3.575476505516299, 'R2_avg': 0.016389336082375472}",COMPLETE
9,0.21779771149158478,2026-04-06 04:40:43.365504,2026-04-06 04:40:45.320772,0 days 00:00:01.955268,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[28, 45]","{'MAE_15m': 0.2209036499261856, 'RMSE_15m': 0.2588344318278973, 'sMAPE_15m': 3.721154540493406, 'R2_15m': -0.06458133900600105, 'MAE_30m': 0.21469177305698395, 'RMSE_30m': 0.2530882496705367, 'sMAPE_30m': 3.610923399049887, 'R2_30m': -0.017213275228632918, 'MAE_avg': 0.21779771149158478, 'RMSE_avg': 0.255961340749217, 'sMAPE_avg': 3.6660389697716464, 'R2_avg': -0.04089730711731698}",COMPLETE
