number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.3759760111570358,2026-04-06 04:40:54.918082,2026-04-06 04:40:56.903650,0 days 00:00:01.985568,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[104, 104]","{'MAE_15m': 0.2245253622531891, 'RMSE_15m': 0.5628099647138682, 'sMAPE_15m': 134.751010869476, 'R2_15m': 0.9746994810509304, 'MAE_30m': 0.5274266600608826, 'RMSE_30m': 1.1362870697756224, 'sMAPE_30m': 136.5895482920261, 'R2_30m': 0.896870707596846, 'MAE_avg': 0.3759760111570358, 'RMSE_avg': 0.8495485172447453, 'sMAPE_avg': 135.67027958075107, 'R2_avg': 0.9357850943238881}",COMPLETE
1,0.24733109027147293,2026-04-06 04:40:56.906316,2026-04-06 04:41:01.176763,0 days 00:00:04.270447,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[576, 657]","{'MAE_15m': 0.13586841523647308, 'RMSE_15m': 0.5023879309131665, 'sMAPE_15m': 134.5207729961946, 'R2_15m': 0.9798402903419295, 'MAE_30m': 0.3587937653064728, 'RMSE_30m': 0.9476624906103289, 'sMAPE_30m': 136.28621197016585, 'R2_30m': 0.9282679478098225, 'MAE_avg': 0.24733109027147293, 'RMSE_avg': 0.7250252107617476, 'sMAPE_avg': 135.40349248318023, 'R2_avg': 0.954054119075876}",COMPLETE
2,0.24884213507175446,2026-04-06 04:41:01.178435,2026-04-06 04:41:03.403562,0 days 00:00:02.225127,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[230, 136]","{'MAE_15m': 0.15384340286254883, 'RMSE_15m': 0.5112184597816485, 'sMAPE_15m': 134.7938953097084, 'R2_15m': 0.9791253645897549, 'MAE_30m': 0.3438408672809601, 'RMSE_30m': 1.0096989799656815, 'sMAPE_30m': 136.03655671239773, 'R2_30m': 0.9185690091930618, 'MAE_avg': 0.24884213507175446, 'RMSE_avg': 0.760458719873665, 'sMAPE_avg': 135.41522601105305, 'R2_avg': 0.9488471868914083}",COMPLETE
3,0.2669515386223793,2026-04-06 04:41:03.405247,2026-04-06 04:41:07.287909,0 days 00:00:03.882662,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[593, 580]","{'MAE_15m': 0.14547963440418243, 'RMSE_15m': 0.49596790910358346, 'sMAPE_15m': 134.42521530059088, 'R2_15m': 0.9803522390047424, 'MAE_30m': 0.38842344284057617, 'RMSE_30m': 0.9950571987350401, 'sMAPE_30m': 136.41010349027698, 'R2_30m': 0.9209135739621954, 'MAE_avg': 0.2669515386223793, 'RMSE_avg': 0.7455125539193117, 'sMAPE_avg': 135.41765939543393, 'R2_avg': 0.9506329064834689}",COMPLETE
4,0.303936205804348,2026-04-06 04:41:07.289676,2026-04-06 04:41:09.198063,0 days 00:00:01.908387,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[100, 43]","{'MAE_15m': 0.14674682915210724, 'RMSE_15m': 0.5419418449047307, 'sMAPE_15m': 134.25925063433354, 'R2_15m': 0.9765409040897367, 'MAE_30m': 0.46112558245658875, 'RMSE_30m': 1.0642146132045307, 'sMAPE_30m': 137.26315074880654, 'R2_30m': 0.9095383919522899, 'MAE_avg': 0.303936205804348, 'RMSE_avg': 0.8030782290546308, 'sMAPE_avg': 135.76120069157002, 'R2_avg': 0.9430396480210133}",COMPLETE
5,0.5977782905101776,2026-04-06 04:41:09.199806,2026-04-06 04:41:11.557483,0 days 00:00:02.357677,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.4950162172317505, 'RMSE_15m': 0.6616559571937688, 'sMAPE_15m': 135.91572388958565, 'R2_15m': 0.9650320385634494, 'MAE_30m': 0.7005403637886047, 'RMSE_30m': 1.1334165869782615, 'sMAPE_30m': 138.0406417798531, 'R2_30m': 0.8973911123997785, 'MAE_avg': 0.5977782905101776, 'RMSE_avg': 0.8975362720860152, 'sMAPE_avg': 136.97818283471938, 'R2_avg': 0.9312115754816139}",COMPLETE
6,0.25187987089157104,2026-04-06 04:41:11.561164,2026-04-06 04:41:13.281003,0 days 00:00:01.719839,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[65, 63]","{'MAE_15m': 0.16339996457099915, 'RMSE_15m': 0.5621187984691963, 'sMAPE_15m': 134.95479825961465, 'R2_15m': 0.97476158379903, 'MAE_30m': 0.34035977721214294, 'RMSE_30m': 1.082749331614804, 'sMAPE_30m': 136.2035049930168, 'R2_30m': 0.9063599318664641, 'MAE_avg': 0.25187987089157104, 'RMSE_avg': 0.8224340650420001, 'sMAPE_avg': 135.5791516263157, 'R2_avg': 0.9405607578327471}",COMPLETE
7,0.5668034255504608,2026-04-06 04:41:13.282578,2026-04-06 04:41:15.546122,0 days 00:00:02.263544,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.47253674268722534, 'RMSE_15m': 0.6650997587897828, 'sMAPE_15m': 135.89298456948958, 'R2_15m': 0.9646670861468558, 'MAE_30m': 0.6610701084136963, 'RMSE_30m': 1.1422694645185667, 'sMAPE_30m': 137.66172002518283, 'R2_30m': 0.8957819317560558, 'MAE_avg': 0.5668034255504608, 'RMSE_avg': 0.9036846116541748, 'sMAPE_avg': 136.77735229733622, 'R2_avg': 0.9302245089514558}",COMPLETE
8,0.27965325117111206,2026-04-06 04:41:15.550259,2026-04-06 04:41:18.641898,0 days 00:00:03.091639,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[389, 387]","{'MAE_15m': 0.16761857271194458, 'RMSE_15m': 0.5475036005659462, 'sMAPE_15m': 134.9397576499756, 'R2_15m': 0.976056928333679, 'MAE_30m': 0.39168792963027954, 'RMSE_30m': 1.0404930305999123, 'sMAPE_30m': 136.40646048193565, 'R2_30m': 0.9135262618018722, 'MAE_avg': 0.27965325117111206, 'RMSE_avg': 0.7939983155829292, 'sMAPE_avg': 135.67310906595563, 'R2_avg': 0.9447915950677757}",COMPLETE
9,0.27943287044763565,2026-04-06 04:41:18.644546,2026-04-06 04:41:20.739579,0 days 00:00:02.095033,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[85, 117]","{'MAE_15m': 0.14951510727405548, 'RMSE_15m': 0.5034199815445334, 'sMAPE_15m': 134.43609233195093, 'R2_15m': 0.9797573784772742, 'MAE_30m': 0.4093506336212158, 'RMSE_30m': 1.0162824410190832, 'sMAPE_30m': 136.34225881622314, 'R2_30m': 0.9175036421723723, 'MAE_avg': 0.27943287044763565, 'RMSE_avg': 0.7598512112818083, 'sMAPE_avg': 135.38917557408703, 'R2_avg': 0.9486305103248233}",COMPLETE
