number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.49958737194538116,2026-04-06 04:41:34.698419,2026-04-06 04:41:36.742279,0 days 00:00:02.043860,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[88, 149]","{'MAE_15m': 0.2995053231716156, 'RMSE_15m': 0.6415761306808623, 'sMAPE_15m': 130.39256823835376, 'R2_15m': 0.9739018332772521, 'MAE_30m': 0.6996694207191467, 'RMSE_30m': 1.4363123092216337, 'sMAPE_30m': 131.86055071743957, 'R2_30m': 0.8693468483194517, 'MAE_avg': 0.49958737194538116, 'RMSE_avg': 1.038944219951248, 'sMAPE_avg': 131.12655947789665, 'R2_avg': 0.921624340798352}",COMPLETE
1,0.4364171177148819,2026-04-06 04:41:36.744047,2026-04-06 04:41:40.672906,0 days 00:00:03.928859,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[519, 433]","{'MAE_15m': 0.2825513780117035, 'RMSE_15m': 0.6311720082287247, 'sMAPE_15m': 130.1799658227591, 'R2_15m': 0.9747414074678664, 'MAE_30m': 0.5902828574180603, 'RMSE_30m': 1.361918645599676, 'sMAPE_30m': 131.53107051301708, 'R2_30m': 0.8825306806837478, 'MAE_avg': 0.4364171177148819, 'RMSE_avg': 0.9965453269142003, 'sMAPE_avg': 130.85551816788808, 'R2_avg': 0.9286360440758071}",COMPLETE
2,0.44389455020427704,2026-04-06 04:41:40.674751,2026-04-06 04:41:43.073563,0 days 00:00:02.398812,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[205, 128]","{'MAE_15m': 0.24071118235588074, 'RMSE_15m': 0.578136031586842, 'sMAPE_15m': 130.02358882435544, 'R2_15m': 0.9788079102092185, 'MAE_30m': 0.6470779180526733, 'RMSE_30m': 1.3372767021378744, 'sMAPE_30m': 131.48805051644575, 'R2_30m': 0.8867430912255996, 'MAE_avg': 0.44389455020427704, 'RMSE_avg': 0.9577063668623582, 'sMAPE_avg': 130.7558196704006, 'R2_avg': 0.932775500717409}",COMPLETE
3,0.4872697591781616,2026-04-06 04:41:43.079393,2026-04-06 04:41:46.410786,0 days 00:00:03.331393,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[321, 279]","{'MAE_15m': 0.31608909368515015, 'RMSE_15m': 0.6869932604643784, 'sMAPE_15m': 130.23007837141353, 'R2_15m': 0.9700760690465356, 'MAE_30m': 0.6584504246711731, 'RMSE_30m': 1.4723657781958415, 'sMAPE_30m': 132.06194437466115, 'R2_30m': 0.8627053811091024, 'MAE_avg': 0.4872697591781616, 'RMSE_avg': 1.0796795193301099, 'sMAPE_avg': 131.14601137303734, 'R2_avg': 0.916390725077819}",COMPLETE
4,0.4823646694421768,2026-04-06 04:41:46.412861,2026-04-06 04:41:48.064748,0 days 00:00:01.651887,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[26, 25]","{'MAE_15m': 0.2972573935985565, 'RMSE_15m': 0.6937582238886943, 'sMAPE_15m': 130.37302165948245, 'R2_15m': 0.9694838341700966, 'MAE_30m': 0.6674719452857971, 'RMSE_30m': 1.4165070200704744, 'sMAPE_30m': 131.9753266374675, 'R2_30m': 0.8729251581044122, 'MAE_avg': 0.4823646694421768, 'RMSE_avg': 1.0551326219795842, 'sMAPE_avg': 131.17417414847498, 'R2_avg': 0.9212044961372544}",COMPLETE
5,0.7779212296009064,2026-04-06 04:41:48.066155,2026-04-06 04:41:50.468074,0 days 00:00:02.401919,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.6185105443000793, 'RMSE_15m': 0.7834431572958268, 'sMAPE_15m': 131.60655309632753, 'R2_15m': 0.961083959972223, 'MAE_30m': 0.9373319149017334, 'RMSE_30m': 1.3388058393072384, 'sMAPE_30m': 132.51890867295958, 'R2_30m': 0.8864839371522545, 'MAE_avg': 0.7779212296009064, 'RMSE_avg': 1.0611244983015327, 'sMAPE_avg': 132.06273088464354, 'R2_avg': 0.9237839485622388}",COMPLETE
6,0.354281410574913,2026-04-06 04:41:50.469878,2026-04-06 04:41:52.137119,0 days 00:00:01.667241,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[33, 21]","{'MAE_15m': 0.19308683276176453, 'RMSE_15m': 0.5593790256632432, 'sMAPE_15m': 129.58063191774758, 'R2_15m': 0.9801607141841179, 'MAE_30m': 0.5154759883880615, 'RMSE_30m': 1.1131035913960716, 'sMAPE_30m': 130.3528776392046, 'R2_30m': 0.9215318715669846, 'MAE_avg': 0.354281410574913, 'RMSE_avg': 0.8362413085296574, 'sMAPE_avg': 129.9667547784761, 'R2_avg': 0.9508462928755512}",COMPLETE
7,0.6788418591022491,2026-04-06 04:41:52.141734,2026-04-06 04:41:54.173369,0 days 00:00:02.031635,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.5621505379676819, 'RMSE_15m': 0.7429352858073879, 'sMAPE_15m': 131.09624898322792, 'R2_15m': 0.9650042192396896, 'MAE_30m': 0.7955331802368164, 'RMSE_30m': 1.2078896343675447, 'sMAPE_30m': 131.94775862025705, 'R2_30m': 0.9075990136573324, 'MAE_avg': 0.6788418591022491, 'RMSE_avg': 0.9754124600874663, 'sMAPE_avg': 131.52200380174247, 'R2_avg': 0.936301616448511}",COMPLETE
8,0.43607574701309204,2026-04-06 04:41:54.175919,2026-04-06 04:41:57.250445,0 days 00:00:03.074526,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[367, 367]","{'MAE_15m': 0.29092127084732056, 'RMSE_15m': 0.6056131990462049, 'sMAPE_15m': 130.21379458386798, 'R2_15m': 0.9767456434193186, 'MAE_30m': 0.5812302231788635, 'RMSE_30m': 1.1879105109344412, 'sMAPE_30m': 130.85483995092522, 'R2_30m': 0.9106304529357435, 'MAE_avg': 0.43607574701309204, 'RMSE_avg': 0.8967618549903231, 'sMAPE_avg': 130.5343172673966, 'R2_avg': 0.943688048177531}",COMPLETE
9,0.4769313484430313,2026-04-06 04:41:57.252094,2026-04-06 04:41:59.147499,0 days 00:00:01.895405,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[96, 50]","{'MAE_15m': 0.29711273312568665, 'RMSE_15m': 0.6662342909558772, 'sMAPE_15m': 130.4417811077567, 'R2_15m': 0.9718571776588656, 'MAE_30m': 0.656749963760376, 'RMSE_30m': 1.546014180191169, 'sMAPE_30m': 132.14055431447795, 'R2_30m': 0.8486267569476138, 'MAE_avg': 0.4769313484430313, 'RMSE_avg': 1.1061242355735232, 'sMAPE_avg': 131.29116771111734, 'R2_avg': 0.9102419673032397}",COMPLETE
