number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.25200488418340683,2026-04-06 04:42:08.968399,2026-04-06 04:42:11.074417,0 days 00:00:02.106018,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[84, 96]","{'MAE_15m': 0.18733848631381989, 'RMSE_15m': 0.4020746127189294, 'sMAPE_15m': 115.52392985320485, 'R2_15m': 0.9857711391176787, 'MAE_30m': 0.3166712820529938, 'RMSE_30m': 0.8115484828274606, 'sMAPE_30m': 116.61269549834657, 'R2_30m': 0.9422382047249187, 'MAE_avg': 0.25200488418340683, 'RMSE_avg': 0.606811547773195, 'sMAPE_avg': 116.0683126757757, 'R2_avg': 0.9640046719212987}",COMPLETE
1,0.2220354825258255,2026-04-06 04:42:11.076058,2026-04-06 04:42:15.647863,0 days 00:00:04.571805,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[558, 604]","{'MAE_15m': 0.16816842555999756, 'RMSE_15m': 0.358920141207851, 'sMAPE_15m': 115.11288356883543, 'R2_15m': 0.9886615811872903, 'MAE_30m': 0.27590253949165344, 'RMSE_30m': 0.759465881686305, 'sMAPE_30m': 116.18266123978269, 'R2_30m': 0.9494142379321778, 'MAE_avg': 0.2220354825258255, 'RMSE_avg': 0.559193011447078, 'sMAPE_avg': 115.64777240430905, 'R2_avg': 0.9690379095597341}",COMPLETE
2,0.21893268078565598,2026-04-06 04:42:15.649812,2026-04-06 04:42:17.981579,0 days 00:00:02.331767,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[157, 177]","{'MAE_15m': 0.16712935268878937, 'RMSE_15m': 0.35393074068798963, 'sMAPE_15m': 115.04443755736575, 'R2_15m': 0.988974622742482, 'MAE_30m': 0.2707360088825226, 'RMSE_30m': 0.7448488004596048, 'sMAPE_30m': 116.12520956577488, 'R2_30m': 0.9513426968990635, 'MAE_avg': 0.21893268078565598, 'RMSE_avg': 0.5493897705737972, 'sMAPE_avg': 115.58482356157032, 'R2_avg': 0.9701586598207728}",COMPLETE
3,0.22080694884061813,2026-04-06 04:42:17.983393,2026-04-06 04:42:21.942381,0 days 00:00:03.958988,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[477, 341]","{'MAE_15m': 0.1671769767999649, 'RMSE_15m': 0.3685623362222081, 'sMAPE_15m': 115.22143502562486, 'R2_15m': 0.9880441961695947, 'MAE_30m': 0.27443692088127136, 'RMSE_30m': 0.7544438318235407, 'sMAPE_30m': 116.3147543859464, 'R2_30m': 0.9500810356557793, 'MAE_avg': 0.22080694884061813, 'RMSE_avg': 0.5615030840228744, 'sMAPE_avg': 115.76809470578563, 'R2_avg': 0.9690626159126869}",COMPLETE
4,0.22925128042697906,2026-04-06 04:42:21.945546,2026-04-06 04:42:23.994638,0 days 00:00:02.049092,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[56, 71]","{'MAE_15m': 0.1760515570640564, 'RMSE_15m': 0.3877217742575681, 'sMAPE_15m': 115.40392791715315, 'R2_15m': 0.9867688611916571, 'MAE_30m': 0.28245100378990173, 'RMSE_30m': 0.8011542219265845, 'sMAPE_30m': 116.29355393430384, 'R2_30m': 0.9437083451781775, 'MAE_avg': 0.22925128042697906, 'RMSE_avg': 0.5944379980920763, 'sMAPE_avg': 115.84874092572849, 'R2_avg': 0.9652386031849173}",COMPLETE
5,0.524763360619545,2026-04-06 04:42:23.996481,2026-04-06 04:42:26.087168,0 days 00:00:02.090687,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.47125574946403503, 'RMSE_15m': 0.5819784050831734, 'sMAPE_15m': 117.38247688216492, 'R2_15m': 0.9701894106458856, 'MAE_30m': 0.5782709717750549, 'RMSE_30m': 0.8664581393362203, 'sMAPE_30m': 118.57188589246286, 'R2_30m': 0.9341574048225243, 'MAE_avg': 0.524763360619545, 'RMSE_avg': 0.7242182722096968, 'sMAPE_avg': 117.97718138731389, 'R2_avg': 0.952173407734205}",COMPLETE
6,0.22494440525770187,2026-04-06 04:42:26.088485,2026-04-06 04:42:27.761058,0 days 00:00:01.672573,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[56, 52]","{'MAE_15m': 0.17232023179531097, 'RMSE_15m': 0.37452063120914175, 'sMAPE_15m': 115.0275415321439, 'R2_15m': 0.9876545102648807, 'MAE_30m': 0.2775685787200928, 'RMSE_30m': 0.7512124513328478, 'sMAPE_30m': 115.95700617941596, 'R2_30m': 0.9505077351078185, 'MAE_avg': 0.22494440525770187, 'RMSE_avg': 0.5628665412709948, 'sMAPE_avg': 115.49227385577993, 'R2_avg': 0.9690811226863496}",COMPLETE
7,0.5280979871749878,2026-04-06 04:42:27.765415,2026-04-06 04:42:30.141250,0 days 00:00:02.375835,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.46688681840896606, 'RMSE_15m': 0.6307107850810639, 'sMAPE_15m': 117.15064004997247, 'R2_15m': 0.9649879657060139, 'MAE_30m': 0.5893091559410095, 'RMSE_30m': 0.9087959241741249, 'sMAPE_30m': 118.39459577257168, 'R2_30m': 0.9275656591585134, 'MAE_avg': 0.5280979871749878, 'RMSE_avg': 0.7697533546275944, 'sMAPE_avg': 117.77261791127208, 'R2_avg': 0.9462768124322636}",COMPLETE
8,0.21566937863826752,2026-04-06 04:42:30.142798,2026-04-06 04:42:33.659305,0 days 00:00:03.516507,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 398]","{'MAE_15m': 0.16377079486846924, 'RMSE_15m': 0.35161043476107257, 'sMAPE_15m': 115.06188296964919, 'R2_15m': 0.9891187104922755, 'MAE_30m': 0.2675679624080658, 'RMSE_30m': 0.7555374524536087, 'sMAPE_30m': 115.94786068581094, 'R2_30m': 0.9499362066050998, 'MAE_avg': 0.21566937863826752, 'RMSE_avg': 0.5535739436073406, 'sMAPE_avg': 115.50487182773006, 'R2_avg': 0.9695274585486877}",COMPLETE
9,0.22851088643074036,2026-04-06 04:42:33.661060,2026-04-06 04:42:35.696522,0 days 00:00:02.035462,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[127, 70]","{'MAE_15m': 0.1678563356399536, 'RMSE_15m': 0.38433472957396064, 'sMAPE_15m': 115.30827472791078, 'R2_15m': 0.9869990185352622, 'MAE_30m': 0.2891654372215271, 'RMSE_30m': 0.8069038977497288, 'sMAPE_30m': 116.75989605607846, 'R2_30m': 0.9428974671997231, 'MAE_avg': 0.22851088643074036, 'RMSE_avg': 0.5956193136618447, 'sMAPE_avg': 116.03408539199462, 'R2_avg': 0.9649482428674927}",COMPLETE
