number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.1980050504207611,2026-04-06 04:42:49.203764,2026-04-06 04:42:51.151228,0 days 00:00:01.947464,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[102, 124]","{'MAE_15m': 0.14171907305717468, 'RMSE_15m': 0.30176435543732055, 'sMAPE_15m': 121.93726810518166, 'R2_15m': 0.9929883007973128, 'MAE_30m': 0.25429102778434753, 'RMSE_30m': 0.5472493116845847, 'sMAPE_30m': 121.90694058575772, 'R2_30m': 0.9769838688147456, 'MAE_avg': 0.1980050504207611, 'RMSE_avg': 0.42450683356095265, 'sMAPE_avg': 121.92210434546969, 'R2_avg': 0.9849860848060292}",COMPLETE
1,0.19386176764965057,2026-04-06 04:42:51.158243,2026-04-06 04:42:55.671063,0 days 00:00:04.512820,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[645, 588]","{'MAE_15m': 0.14672020077705383, 'RMSE_15m': 0.31088057768541894, 'sMAPE_15m': 122.55785190000674, 'R2_15m': 0.9925582581018864, 'MAE_30m': 0.24100333452224731, 'RMSE_30m': 0.528018971245044, 'sMAPE_30m': 121.74061971135282, 'R2_30m': 0.9785730222094619, 'MAE_avg': 0.19386176764965057, 'RMSE_avg': 0.41944977446523146, 'sMAPE_avg': 122.14923580567978, 'R2_avg': 0.985565640155674}",COMPLETE
2,0.1852085068821907,2026-04-06 04:42:55.672815,2026-04-06 04:42:57.940731,0 days 00:00:02.267916,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[242, 151]","{'MAE_15m': 0.13330620527267456, 'RMSE_15m': 0.2734821828028435, 'sMAPE_15m': 121.79928122993158, 'R2_15m': 0.9942410212060236, 'MAE_30m': 0.23711080849170685, 'RMSE_30m': 0.508454284062692, 'sMAPE_30m': 121.89505613591585, 'R2_30m': 0.9801314737191532, 'MAE_avg': 0.1852085068821907, 'RMSE_avg': 0.39096823343276776, 'sMAPE_avg': 121.84716868292372, 'R2_avg': 0.9871862474625884}",COMPLETE
3,0.20078076422214508,2026-04-06 04:42:57.942417,2026-04-06 04:43:01.455421,0 days 00:00:03.513004,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[422, 305]","{'MAE_15m': 0.13572412729263306, 'RMSE_15m': 0.28023555379959403, 'sMAPE_15m': 122.0901226725466, 'R2_15m': 0.9939530844072164, 'MAE_30m': 0.2658374011516571, 'RMSE_30m': 0.5356507626973447, 'sMAPE_30m': 122.34034408911457, 'R2_30m': 0.9779491509364283, 'MAE_avg': 0.20078076422214508, 'RMSE_avg': 0.4079431582484694, 'sMAPE_avg': 122.21523338083058, 'R2_avg': 0.9859511176718223}",COMPLETE
4,0.1937481313943863,2026-04-06 04:43:01.457549,2026-04-06 04:43:03.186522,0 days 00:00:01.728973,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[105, 26]","{'MAE_15m': 0.14805534482002258, 'RMSE_15m': 0.3252722846686818, 'sMAPE_15m': 121.97570922809689, 'R2_15m': 0.9918533038596529, 'MAE_30m': 0.23944091796875, 'RMSE_30m': 0.5389357431624873, 'sMAPE_30m': 121.72687011611933, 'R2_30m': 0.9776778601521532, 'MAE_avg': 0.1937481313943863, 'RMSE_avg': 0.4321040139155845, 'sMAPE_avg': 121.85128967210811, 'R2_avg': 0.984765582005903}",COMPLETE
5,0.49128760397434235,2026-04-06 04:43:03.189564,2026-04-06 04:43:05.649011,0 days 00:00:02.459447,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.4424571096897125, 'RMSE_15m': 0.5100073990098124, 'sMAPE_15m': 123.39302323896607, 'R2_15m': 0.979971872563381, 'MAE_30m': 0.5401180982589722, 'RMSE_30m': 0.6826859468203014, 'sMAPE_30m': 123.64548061279889, 'R2_30m': 0.964181797387188, 'MAE_avg': 0.49128760397434235, 'RMSE_avg': 0.5963466729150568, 'sMAPE_avg': 123.51925192588249, 'R2_avg': 0.9720768349752845}",COMPLETE
6,0.1758146658539772,2026-04-06 04:43:05.650714,2026-04-06 04:43:07.441413,0 days 00:00:01.790699,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[74, 29]","{'MAE_15m': 0.1414114236831665, 'RMSE_15m': 0.2885871923018635, 'sMAPE_15m': 121.38734307214914, 'R2_15m': 0.9935872921847779, 'MAE_30m': 0.2102179080247879, 'RMSE_30m': 0.4880927370474755, 'sMAPE_30m': 121.33261699105893, 'R2_30m': 0.9816909173457599, 'MAE_avg': 0.1758146658539772, 'RMSE_avg': 0.3883399646746695, 'sMAPE_avg': 121.35998003160404, 'R2_avg': 0.9876391047652688}",COMPLETE
7,0.4742126613855362,2026-04-06 04:43:07.460020,2026-04-06 04:43:09.897797,0 days 00:00:02.437777,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.42745205760002136, 'RMSE_15m': 0.5063125465749981, 'sMAPE_15m': 123.14523585737864, 'R2_15m': 0.9802610162068949, 'MAE_30m': 0.520973265171051, 'RMSE_30m': 0.6935933322823598, 'sMAPE_30m': 123.40964018565725, 'R2_30m': 0.9630281067716878, 'MAE_avg': 0.4742126613855362, 'RMSE_avg': 0.5999529394286789, 'sMAPE_avg': 123.27743802151795, 'R2_avg': 0.9716445614892913}",COMPLETE
8,0.18163005262613297,2026-04-06 04:43:09.906841,2026-04-06 04:43:13.168434,0 days 00:00:03.261593,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 386]","{'MAE_15m': 0.1297629475593567, 'RMSE_15m': 0.2678731836897329, 'sMAPE_15m': 121.58658142702754, 'R2_15m': 0.9944748273111613, 'MAE_30m': 0.23349715769290924, 'RMSE_30m': 0.4891430687885199, 'sMAPE_30m': 121.62768218435656, 'R2_30m': 0.9816120347726698, 'MAE_avg': 0.18163005262613297, 'RMSE_avg': 0.3785081262391264, 'sMAPE_avg': 121.60713180569205, 'R2_avg': 0.9880434310419155}",COMPLETE
9,0.2314445748925209,2026-04-06 04:43:13.170217,2026-04-06 04:43:15.164663,0 days 00:00:01.994446,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[92, 59]","{'MAE_15m': 0.15536938607692719, 'RMSE_15m': 0.33470504372827975, 'sMAPE_15m': 122.20053337896135, 'R2_15m': 0.991373951371947, 'MAE_30m': 0.3075197637081146, 'RMSE_30m': 0.6173038855802554, 'sMAPE_30m': 122.97330840213468, 'R2_30m': 0.9707140071520688, 'MAE_avg': 0.2314445748925209, 'RMSE_avg': 0.4760044646542676, 'sMAPE_avg': 122.58692089054801, 'R2_avg': 0.9810439792620078}",COMPLETE
10,0.18972214311361313,2026-04-06 04:43:15.166316,2026-04-06 04:43:17.104686,0 days 00:00:01.938370,0.9935496864584779,4.883839283223654,0.18255631599020614,2,10,1200,14.73099293843444,0.6071847502459278,"[67, 38]","{'MAE_15m': 0.1379469931125641, 'RMSE_15m': 0.31009755528075894, 'sMAPE_15m': 121.33702347188118, 'R2_15m': 0.9925956989860685, 'MAE_30m': 0.24149729311466217, 'RMSE_30m': 0.5320926042713464, 'sMAPE_30m': 121.47391483512943, 'R2_30m': 0.9782411288967098, 'MAE_avg': 0.18972214311361313, 'RMSE_avg': 0.42109507977605265, 'sMAPE_avg': 121.40546915350531, 'R2_avg': 0.9854184139413891}",COMPLETE
11,0.18031418323516846,2026-04-06 04:43:17.106225,2026-04-06 04:43:19.621533,0 days 00:00:02.515308,0.6286992778348623,3.6989781966451307,0.029500725902140774,4,10,1000,0.5662718732097186,0.8788623593360378,"[283, 259]","{'MAE_15m': 0.13543932139873505, 'RMSE_15m': 0.2757943487973946, 'sMAPE_15m': 121.45850746511914, 'R2_15m': 0.9941432312197295, 'MAE_30m': 0.22518904507160187, 'RMSE_30m': 0.49406648162549993, 'sMAPE_30m': 121.46427472680661, 'R2_30m': 0.9812400075335973, 'MAE_avg': 0.18031418323516846, 'RMSE_avg': 0.3849304152114473, 'sMAPE_avg': 121.46139109596288, 'R2_avg': 0.9876916193766634}",COMPLETE
12,0.17656908929347992,2026-04-06 04:43:19.623922,2026-04-06 04:43:21.942565,0 days 00:00:02.318643,0.792803770201397,3.7139538133175356,0.03284434751918044,3,8,1000,0.3760341849538965,0.8583425762812965,"[263, 168]","{'MAE_15m': 0.13783706724643707, 'RMSE_15m': 0.27654827911108437, 'sMAPE_15m': 121.46856580138544, 'R2_15m': 0.9941111660706752, 'MAE_30m': 0.21530111134052277, 'RMSE_30m': 0.4902221708564413, 'sMAPE_30m': 121.41861643422394, 'R2_30m': 0.9815308106353121, 'MAE_avg': 0.17656908929347992, 'RMSE_avg': 0.3833852249837628, 'sMAPE_avg': 121.44359111780469, 'R2_avg': 0.9878209883529936}",COMPLETE
13,0.18810975551605225,2026-04-06 04:43:21.943736,2026-04-06 04:43:23.885295,0 days 00:00:01.941559,0.8056891692692756,3.4388064962240095,0.0516714545704875,2,7,1000,0.27943501488472383,0.7697514795538376,"[173, 112]","{'MAE_15m': 0.134109765291214, 'RMSE_15m': 0.30107711508487156, 'sMAPE_15m': 121.3837671101594, 'R2_15m': 0.9930202010136954, 'MAE_30m': 0.2421097457408905, 'RMSE_30m': 0.5562060617388177, 'sMAPE_30m': 121.5393898501384, 'R2_30m': 0.9762242995934942, 'MAE_avg': 0.18810975551605225, 'RMSE_avg': 0.42864158841184463, 'sMAPE_avg': 121.4615784801489, 'R2_avg': 0.9846222503035948}",COMPLETE
14,0.17892234027385712,2026-04-06 04:43:23.887022,2026-04-06 04:43:25.897861,0 days 00:00:02.010839,0.8919339318126805,3.513701722924101,0.059351495163553245,3,8,1000,0.7583496278773932,0.8350315163342347,"[172, 100]","{'MAE_15m': 0.139718160033226, 'RMSE_15m': 0.2814459250745917, 'sMAPE_15m': 121.56579232725461, 'R2_15m': 0.9939007373464178, 'MAE_30m': 0.21812652051448822, 'RMSE_30m': 0.4881451378892087, 'sMAPE_30m': 121.42306862801513, 'R2_30m': 0.9816869868382575, 'MAE_avg': 0.17892234027385712, 'RMSE_avg': 0.3847955314819002, 'sMAPE_avg': 121.49443047763486, 'R2_avg': 0.9877938620923377}",COMPLETE
