number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.1578584462404251,2026-04-06 04:43:26.437285,2026-04-06 04:43:27.951364,0 days 00:00:01.514079,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[0, 14]","{'MAE_15m': 0.15875212848186493, 'RMSE_15m': 0.20161429153818078, 'sMAPE_15m': 2.1119259903656973, 'R2_15m': -0.049958986246201764, 'MAE_30m': 0.1569647639989853, 'RMSE_30m': 0.20097400600635018, 'sMAPE_30m': 2.0918526735302647, 'R2_30m': -0.02740548235356255, 'MAE_avg': 0.1578584462404251, 'RMSE_avg': 0.20129414877226548, 'sMAPE_avg': 2.101889331947981, 'R2_avg': -0.03868223429988216}",COMPLETE
1,0.15821398794651031,2026-04-06 04:43:27.952544,2026-04-06 04:43:29.459465,0 days 00:00:01.506921,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[0, 2]","{'MAE_15m': 0.15912851691246033, 'RMSE_15m': 0.20286819840826936, 'sMAPE_15m': 2.1169748873870113, 'R2_15m': -0.06305966360475623, 'MAE_30m': 0.1572994589805603, 'RMSE_30m': 0.20116323619182297, 'sMAPE_30m': 2.0963454859346484, 'R2_30m': -0.02934105847922197, 'MAE_avg': 0.15821398794651031, 'RMSE_avg': 0.20201571730004617, 'sMAPE_avg': 2.1066601866608297, 'R2_avg': -0.0462003610419891}",COMPLETE
2,0.1577354520559311,2026-04-06 04:43:29.460962,2026-04-06 04:43:30.971130,0 days 00:00:01.510168,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[11, 1]","{'MAE_15m': 0.15843592584133148, 'RMSE_15m': 0.20103153407466534, 'sMAPE_15m': 2.107693087356276, 'R2_15m': -0.04389799247087045, 'MAE_30m': 0.1570349782705307, 'RMSE_30m': 0.20088303765261434, 'sMAPE_30m': 2.0927937246590793, 'R2_30m': -0.026475525090836838, 'MAE_avg': 0.1577354520559311, 'RMSE_avg': 0.20095728586363984, 'sMAPE_avg': 2.1002434060076776, 'R2_avg': -0.035186758780853644}",COMPLETE
3,0.15773411095142365,2026-04-06 04:43:30.982866,2026-04-06 04:43:32.539590,0 days 00:00:01.556724,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[5, 0]","{'MAE_15m': 0.15841977298259735, 'RMSE_15m': 0.20132133339205557, 'sMAPE_15m': 2.1074757976754785, 'R2_15m': -0.04690986966183086, 'MAE_30m': 0.15704844892024994, 'RMSE_30m': 0.20086576263941955, 'sMAPE_30m': 2.0929742571040704, 'R2_30m': -0.02629894506909025, 'MAE_avg': 0.15773411095142365, 'RMSE_avg': 0.20109354801573756, 'sMAPE_avg': 2.1002250273897745, 'R2_avg': -0.036604407365460556}",COMPLETE
4,0.15766923129558563,2026-04-06 04:43:32.541204,2026-04-06 04:43:34.167469,0 days 00:00:01.626265,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[0, 13]","{'MAE_15m': 0.15841619670391083, 'RMSE_15m': 0.2009247029888136, 'sMAPE_15m': 2.1074316035011362, 'R2_15m': -0.042788832162857116, 'MAE_30m': 0.15692226588726044, 'RMSE_30m': 0.2010298199613881, 'sMAPE_30m': 2.091283052670349, 'R2_30m': -0.027976147882214253, 'MAE_avg': 0.15766923129558563, 'RMSE_avg': 0.20097726147510087, 'sMAPE_avg': 2.099357328085743, 'R2_avg': -0.035382490022535684}",COMPLETE
5,0.15798407793045044,2026-04-06 04:43:34.172719,2026-04-06 04:43:35.688770,0 days 00:00:01.516051,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[0, 18]","{'MAE_15m': 0.15893913805484772, 'RMSE_15m': 0.20238321832565737, 'sMAPE_15m': 2.1144320267899754, 'R2_15m': -0.05798295023387223, 'MAE_30m': 0.15702901780605316, 'RMSE_30m': 0.2008906964155588, 'sMAPE_30m': 2.092713842144913, 'R2_30m': -0.026553840023036956, 'MAE_avg': 0.15798407793045044, 'RMSE_avg': 0.20163695737060808, 'sMAPE_avg': 2.1035729344674445, 'R2_avg': -0.042268395128454594}",COMPLETE
6,0.15783177316188812,2026-04-06 04:43:35.690318,2026-04-06 04:43:37.252807,0 days 00:00:01.562489,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[3, 13]","{'MAE_15m': 0.15876136720180511, 'RMSE_15m': 0.20169472571279984, 'sMAPE_15m': 2.112049696127567, 'R2_15m': -0.05079684201066681, 'MAE_30m': 0.15690217912197113, 'RMSE_30m': 0.20105639170711312, 'sMAPE_30m': 2.0910138111463046, 'R2_30m': -0.028247909974622232, 'MAE_avg': 0.15783177316188812, 'RMSE_avg': 0.2013755587099565, 'sMAPE_avg': 2.1015317536369356, 'R2_avg': -0.03952237599264452}",COMPLETE
7,0.15778929740190506,2026-04-06 04:43:37.254525,2026-04-06 04:43:39.050039,0 days 00:00:01.795514,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[1, 14]","{'MAE_15m': 0.15854015946388245, 'RMSE_15m': 0.2015873682960141, 'sMAPE_15m': 2.109086175322454, 'R2_15m': -0.04967865652899328, 'MAE_30m': 0.15703843533992767, 'RMSE_30m': 0.2008785961781113, 'sMAPE_30m': 2.0928400562639236, 'R2_30m': -0.026430148874748927, 'MAE_avg': 0.15778929740190506, 'RMSE_avg': 0.2012329822370627, 'sMAPE_avg': 2.1009631157931885, 'R2_avg': -0.038054402701871104}",COMPLETE
8,0.15780890733003616,2026-04-06 04:43:39.055347,2026-04-06 04:43:40.770526,0 days 00:00:01.715179,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[0, 14]","{'MAE_15m': 0.15887188911437988, 'RMSE_15m': 0.20223522626781223, 'sMAPE_15m': 2.1135301150400614, 'R2_15m': -0.056436223631202376, 'MAE_30m': 0.15674592554569244, 'RMSE_30m': 0.2007638348548509, 'sMAPE_30m': 2.08892112827934, 'R2_30m': -0.025257773641247372, 'MAE_avg': 0.15780890733003616, 'RMSE_avg': 0.20149953056133157, 'sMAPE_avg': 2.101225621659701, 'R2_avg': -0.040846998636224874}",COMPLETE
9,0.1576901525259018,2026-04-06 04:43:40.775348,2026-04-06 04:43:42.439435,0 days 00:00:01.664087,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[1, 0]","{'MAE_15m': 0.1584329605102539, 'RMSE_15m': 0.20172910458370336, 'sMAPE_15m': 2.107645277199005, 'R2_15m': -0.05115510903069387, 'MAE_30m': 0.15694734454154968, 'RMSE_30m': 0.2004423245817891, 'sMAPE_30m': 2.0916240847582395, 'R2_30m': -0.02197665255665404, 'MAE_avg': 0.1576901525259018, 'RMSE_avg': 0.2010857145827462, 'sMAPE_avg': 2.099634680978622, 'R2_avg': -0.036565880793673955}",COMPLETE
