number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.3891715556383133,2026-04-06 04:43:51.234244,2026-04-06 04:43:53.178151,0 days 00:00:01.943907,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[87, 89]","{'MAE_15m': 0.2969994843006134, 'RMSE_15m': 0.5195707435224681, 'sMAPE_15m': 12.991796455249357, 'R2_15m': 0.9092283147711244, 'MAE_30m': 0.4813436269760132, 'RMSE_30m': 0.8149638598567543, 'sMAPE_30m': 16.153243088980112, 'R2_30m': 0.7780006103282769, 'MAE_avg': 0.3891715556383133, 'RMSE_avg': 0.6672673016896112, 'sMAPE_avg': 14.572519772114735, 'R2_avg': 0.8436144625497006}",COMPLETE
1,0.3871934860944748,2026-04-06 04:43:53.179800,2026-04-06 04:43:57.111540,0 days 00:00:03.931740,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[538, 391]","{'MAE_15m': 0.3039419651031494, 'RMSE_15m': 0.5544443537822021, 'sMAPE_15m': 13.454877871721148, 'R2_15m': 0.8966341824111469, 'MAE_30m': 0.47044500708580017, 'RMSE_30m': 0.8156205553540259, 'sMAPE_30m': 16.277244658058255, 'R2_30m': 0.7776427112777717, 'MAE_avg': 0.3871934860944748, 'RMSE_avg': 0.685032454568114, 'sMAPE_avg': 14.866061264889701, 'R2_avg': 0.8371384468444594}",COMPLETE
2,0.372684583067894,2026-04-06 04:43:57.118895,2026-04-06 04:43:59.226522,0 days 00:00:02.107627,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[144, 97]","{'MAE_15m': 0.29312315583229065, 'RMSE_15m': 0.5214548281182099, 'sMAPE_15m': 12.994621327082653, 'R2_15m': 0.90856879888178, 'MAE_30m': 0.4522460103034973, 'RMSE_30m': 0.7815731905969054, 'sMAPE_30m': 15.858459320629583, 'R2_30m': 0.795819455782944, 'MAE_avg': 0.372684583067894, 'RMSE_avg': 0.6515140093575577, 'sMAPE_avg': 14.426540323856118, 'R2_avg': 0.852194127332362}",COMPLETE
3,0.39875008165836334,2026-04-06 04:43:59.229081,2026-04-06 04:44:02.595758,0 days 00:00:03.366677,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[412, 234]","{'MAE_15m': 0.31137120723724365, 'RMSE_15m': 0.563185433162664, 'sMAPE_15m': 13.447550286719888, 'R2_15m': 0.8933492626955347, 'MAE_30m': 0.48612895607948303, 'RMSE_30m': 0.8320715093051138, 'sMAPE_30m': 16.49681994282217, 'R2_30m': 0.7685823985610528, 'MAE_avg': 0.39875008165836334, 'RMSE_avg': 0.6976284712338889, 'sMAPE_avg': 14.97218511477103, 'R2_avg': 0.8309658306282938}",COMPLETE
4,0.4043746143579483,2026-04-06 04:44:02.597434,2026-04-06 04:44:04.197055,0 days 00:00:01.599621,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[27, 75]","{'MAE_15m': 0.3003980219364166, 'RMSE_15m': 0.5513625357928581, 'sMAPE_15m': 13.114777063919542, 'R2_15m': 0.8977800797831949, 'MAE_30m': 0.50835120677948, 'RMSE_30m': 0.8809414844348405, 'sMAPE_30m': 16.752301352863707, 'R2_30m': 0.7406004793117853, 'MAE_avg': 0.4043746143579483, 'RMSE_avg': 0.7161520101138493, 'sMAPE_avg': 14.933539208391625, 'R2_avg': 0.8191902795474901}",COMPLETE
5,0.44732628762722015,2026-04-06 04:44:04.200278,2026-04-06 04:44:06.515011,0 days 00:00:02.314733,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.3634244501590729, 'RMSE_15m': 0.5525245133308542, 'sMAPE_15m': 13.924539916519512, 'R2_15m': 0.8973487809744118, 'MAE_30m': 0.5312281250953674, 'RMSE_30m': 0.8206400989151573, 'sMAPE_30m': 16.474082009155303, 'R2_30m': 0.7748973757092992, 'MAE_avg': 0.44732628762722015, 'RMSE_avg': 0.6865823061230057, 'sMAPE_avg': 15.199310962837409, 'R2_avg': 0.8361230783418555}",COMPLETE
6,0.36038540303707123,2026-04-06 04:44:06.522759,2026-04-06 04:44:08.248965,0 days 00:00:01.726206,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[20, 23]","{'MAE_15m': 0.2966678738594055, 'RMSE_15m': 0.522060947070192, 'sMAPE_15m': 13.091676273265012, 'R2_15m': 0.9083561259271805, 'MAE_30m': 0.42410293221473694, 'RMSE_30m': 0.736647235720541, 'sMAPE_30m': 15.60745658075469, 'R2_30m': 0.8186180001240101, 'MAE_avg': 0.36038540303707123, 'RMSE_avg': 0.6293540913953666, 'sMAPE_avg': 14.34956642700985, 'R2_avg': 0.8634870630255953}",COMPLETE
7,0.4025669991970062,2026-04-06 04:44:08.250195,2026-04-06 04:44:10.675351,0 days 00:00:02.425156,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.3393504023551941, 'RMSE_15m': 0.5335093307179686, 'sMAPE_15m': 13.360479657823987, 'R2_15m': 0.9042927048949654, 'MAE_30m': 0.46578359603881836, 'RMSE_30m': 0.7420845361864414, 'sMAPE_30m': 15.680781348885125, 'R2_30m': 0.8159305027790402, 'MAE_avg': 0.4025669991970062, 'RMSE_avg': 0.637796933452205, 'sMAPE_avg': 14.520630503354557, 'R2_avg': 0.8601116038370028}",COMPLETE
8,0.3795138746500015,2026-04-06 04:44:10.688237,2026-04-06 04:44:13.823705,0 days 00:00:03.135468,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[324, 277]","{'MAE_15m': 0.30064135789871216, 'RMSE_15m': 0.5195716612737907, 'sMAPE_15m': 13.055406133900089, 'R2_15m': 0.9092280014972262, 'MAE_30m': 0.4583863914012909, 'RMSE_30m': 0.7690424649675929, 'sMAPE_30m': 15.82048638123965, 'R2_30m': 0.8023140982991119, 'MAE_avg': 0.3795138746500015, 'RMSE_avg': 0.6443070631206917, 'sMAPE_avg': 14.43794625756987, 'R2_avg': 0.855771049898169}",COMPLETE
9,0.42244090139865875,2026-04-06 04:44:13.825310,2026-04-06 04:44:15.770524,0 days 00:00:01.945214,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[97, 52]","{'MAE_15m': 0.3292092978954315, 'RMSE_15m': 0.6184651634347854, 'sMAPE_15m': 13.81872026112521, 'R2_15m': 0.8713850422656444, 'MAE_30m': 0.515672504901886, 'RMSE_30m': 0.8892108666059303, 'sMAPE_30m': 16.97553132497397, 'R2_30m': 0.7357076404515879, 'MAE_avg': 0.42244090139865875, 'RMSE_avg': 0.7538380150203579, 'sMAPE_avg': 15.39712579304959, 'R2_avg': 0.8035463413586161}",COMPLETE
