number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.08920869044959545,2026-04-06 04:44:25.370491,2026-04-06 04:44:27.229294,0 days 00:00:01.858803,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[93, 78]","{'MAE_15m': 0.055261168628931046, 'RMSE_15m': 0.06014802717078067, 'sMAPE_15m': 0.7818006600820767, 'R2_15m': -5.553204545643133, 'MAE_30m': 0.12315621227025986, 'RMSE_30m': 0.16447230089070183, 'sMAPE_30m': 1.7626420435938879, 'R2_30m': -47.66201864529991, 'MAE_avg': 0.08920869044959545, 'RMSE_avg': 0.11231016403074125, 'sMAPE_avg': 1.2722213518379824, 'R2_avg': -26.60761159547152}",COMPLETE
1,0.08198568038642406,2026-04-06 04:44:27.230940,2026-04-06 04:44:31.406252,0 days 00:00:04.175312,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[589, 528]","{'MAE_15m': 0.051418405026197433, 'RMSE_15m': 0.07667612103948523, 'sMAPE_15m': 0.7300803344959186, 'R2_15m': -9.649547176326312, 'MAE_30m': 0.1125529557466507, 'RMSE_30m': 0.22312425483718093, 'sMAPE_30m': 1.638978718191898, 'R2_30m': -88.5567233560616, 'MAE_avg': 0.08198568038642406, 'RMSE_avg': 0.1499001879383331, 'sMAPE_avg': 1.1845295263439084, 'R2_avg': -49.10313526619395}",COMPLETE
2,0.08567594923079014,2026-04-06 04:44:31.407960,2026-04-06 04:44:33.677994,0 days 00:00:02.270034,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[198, 173]","{'MAE_15m': 0.05668060854077339, 'RMSE_15m': 0.08296640990436042, 'sMAPE_15m': 0.8052700146913474, 'R2_15m': -11.468538797477812, 'MAE_30m': 0.11467128992080688, 'RMSE_30m': 0.16666457738659568, 'sMAPE_30m': 1.6436086819056388, 'R2_30m': -48.96791264920465, 'MAE_avg': 0.08567594923079014, 'RMSE_avg': 0.12481549364547806, 'sMAPE_avg': 1.224439348298493, 'R2_avg': -30.21822572334123}",COMPLETE
3,0.0791756696999073,2026-04-06 04:44:33.679591,2026-04-06 04:44:36.920376,0 days 00:00:03.240785,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[351, 306]","{'MAE_15m': 0.04342849552631378, 'RMSE_15m': 0.06007349596990834, 'sMAPE_15m': 0.6154254313108606, 'R2_15m': -5.536974081963765, 'MAE_30m': 0.11492284387350082, 'RMSE_30m': 0.19518775771115182, 'sMAPE_30m': 1.6585292375888931, 'R2_30m': -67.53458387365842, 'MAE_avg': 0.0791756696999073, 'RMSE_avg': 0.1276306268405301, 'sMAPE_avg': 1.1369773344498768, 'R2_avg': -36.53577897781109}",COMPLETE
4,0.09843923896551132,2026-04-06 04:44:36.922363,2026-04-06 04:44:38.582570,0 days 00:00:01.660207,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[27, 29]","{'MAE_15m': 0.0667911171913147, 'RMSE_15m': 0.10908598265154852, 'sMAPE_15m': 0.9528906947611961, 'R2_15m': -20.555039743301435, 'MAE_30m': 0.13008736073970795, 'RMSE_30m': 0.2399661574990557, 'sMAPE_30m': 1.8932615337519971, 'R2_30m': -102.58684071286744, 'MAE_avg': 0.09843923896551132, 'RMSE_avg': 0.1745260700753021, 'sMAPE_avg': 1.4230761142565966, 'R2_avg': -61.57094022808444}",COMPLETE
5,0.3908969461917877,2026-04-06 04:44:38.585944,2026-04-06 04:44:41.000541,0 days 00:00:02.414597,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.3524695932865143, 'RMSE_15m': 0.35432388051331964, 'sMAPE_15m': 5.094945669270219, 'R2_15m': -226.41116861988772, 'MAE_30m': 0.42932429909706116, 'RMSE_30m': 0.44343714095054754, 'sMAPE_30m': 6.252097412389651, 'R2_30m': -352.7274157070723, 'MAE_avg': 0.3908969461917877, 'RMSE_avg': 0.3988805107319336, 'sMAPE_avg': 5.673521540829935, 'R2_avg': -289.56929216348}",COMPLETE
6,0.09610873833298683,2026-04-06 04:44:41.002151,2026-04-06 04:44:42.876001,0 days 00:00:01.873850,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[27, 34]","{'MAE_15m': 0.06438516825437546, 'RMSE_15m': 0.06782408671340696, 'sMAPE_15m': 0.91132452166665, 'R2_15m': -7.332567737889912, 'MAE_30m': 0.1278323084115982, 'RMSE_30m': 0.16691835901866842, 'sMAPE_30m': 1.8288279268315124, 'R2_30m': -49.120201929752476, 'MAE_avg': 0.09610873833298683, 'RMSE_avg': 0.11737122286603768, 'sMAPE_avg': 1.3700762242490812, 'R2_avg': -28.226384833821193}",COMPLETE
7,0.3810105621814728,2026-04-06 04:44:42.877598,2026-04-06 04:44:44.950410,0 days 00:00:02.072812,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.3442497253417969, 'RMSE_15m': 0.3452371700680446, 'sMAPE_15m': 4.97252515285057, 'R2_15m': -214.89673123565302, 'MAE_30m': 0.4177713990211487, 'RMSE_30m': 0.41978675975093077, 'sMAPE_30m': 6.067493197748881, 'R2_30m': -316.0020276299666, 'MAE_avg': 0.3810105621814728, 'RMSE_avg': 0.3825119649094877, 'sMAPE_avg': 5.520009175299725, 'R2_avg': -265.4493794328098}",COMPLETE
8,0.07568520680069923,2026-04-06 04:44:44.954120,2026-04-06 04:44:48.264911,0 days 00:00:03.310791,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[390, 399]","{'MAE_15m': 0.04767760634422302, 'RMSE_15m': 0.058629630944089246, 'sMAPE_15m': 0.6748975416338754, 'R2_15m': -5.226518154998389, 'MAE_30m': 0.10369280725717545, 'RMSE_30m': 0.15095882089456988, 'sMAPE_30m': 1.4837573089416034, 'R2_30m': -39.99412246639712, 'MAE_avg': 0.07568520680069923, 'RMSE_avg': 0.10479422591932956, 'sMAPE_avg': 1.0793274252877394, 'R2_avg': -22.610320310697755}",COMPLETE
9,0.12073652632534504,2026-04-06 04:44:48.268403,2026-04-06 04:44:50.084020,0 days 00:00:01.815617,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[93, 36]","{'MAE_15m': 0.04138605669140816, 'RMSE_15m': 0.06270876677707618, 'sMAPE_15m': 0.5867902273092503, 'R2_15m': -6.12307388220769, 'MAE_30m': 0.20008699595928192, 'RMSE_30m': 0.2591373187622729, 'sMAPE_30m': 2.889472708722431, 'R2_30m': -119.79931934175569, 'MAE_avg': 0.12073652632534504, 'RMSE_avg': 0.16092304276967456, 'sMAPE_avg': 1.7381314680158406, 'R2_avg': -62.96119661198169}",COMPLETE
