number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.23999005556106567,2026-04-06 04:45:04.934384,2026-04-06 04:45:06.550131,0 days 00:00:01.615747,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[19, 24]","{'MAE_15m': 0.24968521296977997, 'RMSE_15m': 0.4186953174415323, 'sMAPE_15m': 3.499249185971951, 'R2_15m': -0.02774016829434478, 'MAE_30m': 0.23029489815235138, 'RMSE_30m': 0.28458548605529616, 'sMAPE_30m': 3.104919088092193, 'R2_30m': -0.07463850885686507, 'MAE_avg': 0.23999005556106567, 'RMSE_avg': 0.35164040174841427, 'sMAPE_avg': 3.3020841370320717, 'R2_avg': -0.051189338575604926}",COMPLETE
1,0.24835995584726334,2026-04-06 04:45:06.553155,2026-04-06 04:45:08.695556,0 days 00:00:02.142401,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[129, 168]","{'MAE_15m': 0.25842005014419556, 'RMSE_15m': 0.4278541466927377, 'sMAPE_15m': 3.623468171813008, 'R2_15m': -0.07319500289460179, 'MAE_30m': 0.23829986155033112, 'RMSE_30m': 0.29336738169140175, 'sMAPE_30m': 3.214303432515416, 'R2_30m': -0.1419852303091811, 'MAE_avg': 0.24835995584726334, 'RMSE_avg': 0.3606107641920697, 'sMAPE_avg': 3.418885802164212, 'R2_avg': -0.10759011660189144}",COMPLETE
2,0.24599115550518036,2026-04-06 04:45:08.702688,2026-04-06 04:45:10.450890,0 days 00:00:01.748202,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[38, 69]","{'MAE_15m': 0.2567826211452484, 'RMSE_15m': 0.4280535756697358, 'sMAPE_15m': 3.6013451597923996, 'R2_15m': -0.07419564702649639, 'MAE_30m': 0.2351996898651123, 'RMSE_30m': 0.2916525712467397, 'sMAPE_30m': 3.1732528512001466, 'R2_30m': -0.1286739922448199, 'MAE_avg': 0.24599115550518036, 'RMSE_avg': 0.35985307345823775, 'sMAPE_avg': 3.3872990054962733, 'R2_avg': -0.10143481963565815}",COMPLETE
3,0.24569159001111984,2026-04-06 04:45:10.452480,2026-04-06 04:45:12.584104,0 days 00:00:02.131624,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[76, 108]","{'MAE_15m': 0.2596619427204132, 'RMSE_15m': 0.43323364425489136, 'sMAPE_15m': 3.646626892195616, 'R2_15m': -0.10035155583216882, 'MAE_30m': 0.23172123730182648, 'RMSE_30m': 0.28464162452724545, 'sMAPE_30m': 3.1193488121244175, 'R2_30m': -0.07506247806604915, 'MAE_avg': 0.24569159001111984, 'RMSE_avg': 0.3589376343910684, 'sMAPE_avg': 3.3829878521600167, 'R2_avg': -0.08770701694910898}",COMPLETE
4,0.23619195818901062,2026-04-06 04:45:12.587927,2026-04-06 04:45:14.143435,0 days 00:00:01.555508,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[12, 15]","{'MAE_15m': 0.24651937186717987, 'RMSE_15m': 0.41483053915536977, 'sMAPE_15m': 3.456273553219516, 'R2_15m': -0.008854630768428073, 'MAE_30m': 0.22586454451084137, 'RMSE_30m': 0.27713598609143647, 'sMAPE_30m': 3.0393001959365122, 'R2_30m': -0.019113817542071754, 'MAE_avg': 0.23619195818901062, 'RMSE_avg': 0.3459832626234031, 'sMAPE_avg': 3.247786874578014, 'R2_avg': -0.013984224155249914}",COMPLETE
5,0.24109674990177155,2026-04-06 04:45:14.148817,2026-04-06 04:45:16.470243,0 days 00:00:02.321426,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.2534807324409485, 'RMSE_15m': 0.421158429275969, 'sMAPE_15m': 3.5553802655155566, 'R2_15m': -0.03986789531935364, 'MAE_30m': 0.2287127673625946, 'RMSE_30m': 0.279695133552591, 'sMAPE_30m': 3.0782400307615334, 'R2_30m': -0.03802232347472523, 'MAE_avg': 0.24109674990177155, 'RMSE_avg': 0.35042678141428, 'sMAPE_avg': 3.3168101481385452, 'R2_avg': -0.038945109397039435}",COMPLETE
6,0.24610771238803864,2026-04-06 04:45:16.496630,2026-04-06 04:45:18.356501,0 days 00:00:01.859871,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[7, 15]","{'MAE_15m': 0.2591731548309326, 'RMSE_15m': 0.44469631797534914, 'sMAPE_15m': 3.6593393626428314, 'R2_15m': -0.1593491323287204, 'MAE_30m': 0.23304226994514465, 'RMSE_30m': 0.3105237940242215, 'sMAPE_30m': 3.1662149165288747, 'R2_30m': -0.2794597501659297, 'MAE_avg': 0.24610771238803864, 'RMSE_avg': 0.3776100559997853, 'sMAPE_avg': 3.4127771395858533, 'R2_avg': -0.21940444124732505}",COMPLETE
7,0.24238721281290054,2026-04-06 04:45:18.358073,2026-04-06 04:45:20.504757,0 days 00:00:02.146684,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[130, 199]","{'MAE_15m': 0.25426915287971497, 'RMSE_15m': 0.4229716247246705, 'sMAPE_15m': 3.5661058536037062, 'R2_15m': -0.0488408224175616, 'MAE_30m': 0.23050527274608612, 'RMSE_30m': 0.2832645349678859, 'sMAPE_30m': 3.106246218595396, 'R2_30m': -0.06468535420999233, 'MAE_avg': 0.24238721281290054, 'RMSE_avg': 0.3531180798462782, 'sMAPE_avg': 3.336176036099551, 'R2_avg': -0.056763088313776966}",COMPLETE
8,0.24577268958091736,2026-04-06 04:45:20.515616,2026-04-06 04:45:22.725762,0 days 00:00:02.210146,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[102, 133]","{'MAE_15m': 0.2595597207546234, 'RMSE_15m': 0.4379251832282098, 'sMAPE_15m': 3.6540946602970985, 'R2_15m': -0.12431239197947375, 'MAE_30m': 0.2319856584072113, 'RMSE_30m': 0.28361158183549984, 'sMAPE_30m': 3.123835246813376, 'R2_30m': -0.06729572250765292, 'MAE_avg': 0.24577268958091736, 'RMSE_avg': 0.36076838253185484, 'sMAPE_avg': 3.388964953555237, 'R2_avg': -0.09580405724356333}",COMPLETE
9,0.2539713755249977,2026-04-06 04:45:22.741926,2026-04-06 04:45:24.763399,0 days 00:00:02.021473,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[34, 16]","{'MAE_15m': 0.26161617040634155, 'RMSE_15m': 0.4727581797002598, 'sMAPE_15m': 3.7342476985321977, 'R2_15m': -0.3102834967418797, 'MAE_30m': 0.24632658064365387, 'RMSE_30m': 0.3093398165685406, 'sMAPE_30m': 3.326738076308664, 'R2_30m': -0.26972162163493474, 'MAE_avg': 0.2539713755249977, 'RMSE_avg': 0.3910489981344002, 'sMAPE_avg': 3.530492887420431, 'R2_avg': -0.2900025591884072}",COMPLETE
10,0.2407912164926529,2026-04-06 04:45:24.764989,2026-04-06 04:45:26.697845,0 days 00:00:01.932856,0.7588836305457849,3.382861898713898,0.18255631599020614,8,5,1200,14.73099293843444,0.6071847502459278,"[14, 17]","{'MAE_15m': 0.2551613748073578, 'RMSE_15m': 0.4389899971176464, 'sMAPE_15m': 3.5953701698831884, 'R2_15m': -0.1297864578321306, 'MAE_30m': 0.226421058177948, 'RMSE_30m': 0.27990887687585886, 'sMAPE_30m': 3.049676854274363, 'R2_30m': -0.039609428825164716, 'MAE_avg': 0.2407912164926529, 'RMSE_avg': 0.35944943699675264, 'sMAPE_avg': 3.3225235120787757, 'R2_avg': -0.08469794332864766}",COMPLETE
11,0.2384951189160347,2026-04-06 04:45:26.701384,2026-04-06 04:45:28.705464,0 days 00:00:02.004080,0.6085582193565989,4.695776478353494,0.09428099118682269,8,5,1200,0.016744675598767453,0.8369993090060778,"[25, 48]","{'MAE_15m': 0.25066351890563965, 'RMSE_15m': 0.42682322474389617, 'sMAPE_15m': 3.520012811131949, 'R2_15m': -0.06802941563660347, 'MAE_30m': 0.22632671892642975, 'RMSE_30m': 0.2773279803453696, 'sMAPE_30m': 3.0450906035378282, 'R2_30m': -0.02052645211200188, 'MAE_avg': 0.2384951189160347, 'RMSE_avg': 0.3520756025446329, 'sMAPE_avg': 3.2825517073348887, 'R2_avg': -0.04427793387430268}",COMPLETE
12,0.24013704806566238,2026-04-06 04:45:28.719190,2026-04-06 04:45:30.905275,0 days 00:00:02.186085,0.6279569890044734,3.435837126284376,0.09879669837382758,8,5,1200,0.38991030126281867,0.8497078477448535,"[14, 48]","{'MAE_15m': 0.2539018988609314, 'RMSE_15m': 0.4265717508898881, 'sMAPE_15m': 3.5629772030947553, 'R2_15m': -0.06677119580674806, 'MAE_30m': 0.22637219727039337, 'RMSE_30m': 0.27804625553706275, 'sMAPE_30m': 3.0476865672189497, 'R2_30m': -0.025819520903525905, 'MAE_avg': 0.24013704806566238, 'RMSE_avg': 0.3523090032134754, 'sMAPE_avg': 3.3053318851568525, 'R2_avg': -0.046295358355136984}",COMPLETE
