number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.38704201579093933,2026-04-06 04:45:35.669079,2026-04-06 04:45:37.819550,0 days 00:00:02.150471,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[29, 36]","{'MAE_15m': 0.3298715651035309, 'RMSE_15m': 0.3786911304600167, 'sMAPE_15m': 5.061929303597773, 'R2_15m': 0.6207205506471597, 'MAE_30m': 0.4442124664783478, 'RMSE_30m': 0.5338366590901057, 'sMAPE_30m': 6.775499392431253, 'R2_30m': 0.2090501629450291, 'MAE_avg': 0.38704201579093933, 'RMSE_avg': 0.4562638947750612, 'sMAPE_avg': 5.918714348014513, 'R2_avg': 0.4148853567960944}",COMPLETE
1,0.35011130571365356,2026-04-06 04:45:37.827104,2026-04-06 04:45:41.003905,0 days 00:00:03.176801,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[350, 282]","{'MAE_15m': 0.30215156078338623, 'RMSE_15m': 0.3450713554134585, 'sMAPE_15m': 4.631494059259339, 'R2_15m': 0.6850751762008191, 'MAE_30m': 0.3980710506439209, 'RMSE_30m': 0.49996757402179814, 'sMAPE_30m': 6.071654819843061, 'R2_30m': 0.3062295064212768, 'MAE_avg': 0.35011130571365356, 'RMSE_avg': 0.42251946471762836, 'sMAPE_avg': 5.3515744395512, 'R2_avg': 0.49565234131104796}",COMPLETE
2,0.3619805872440338,2026-04-06 04:45:41.015776,2026-04-06 04:45:43.215399,0 days 00:00:02.199623,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[168, 181]","{'MAE_15m': 0.3102785050868988, 'RMSE_15m': 0.3532548332376407, 'sMAPE_15m': 4.764624888587077, 'R2_15m': 0.6699610068988578, 'MAE_30m': 0.4136826694011688, 'RMSE_30m': 0.5049280850977225, 'sMAPE_30m': 6.30622478124854, 'R2_30m': 0.292394537903626, 'MAE_avg': 0.3619805872440338, 'RMSE_avg': 0.42909145916768154, 'sMAPE_avg': 5.535424834917809, 'R2_avg': 0.48117777240124193}",COMPLETE
3,0.35306763648986816,2026-04-06 04:45:43.217255,2026-04-06 04:45:46.123190,0 days 00:00:02.905935,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[259, 175]","{'MAE_15m': 0.3047206699848175, 'RMSE_15m': 0.3448954484607727, 'sMAPE_15m': 4.67294728353436, 'R2_15m': 0.6853961989333868, 'MAE_30m': 0.4014146029949188, 'RMSE_30m': 0.4949550174975969, 'sMAPE_30m': 6.11885660045918, 'R2_30m': 0.3200709683795635, 'MAE_avg': 0.35306763648986816, 'RMSE_avg': 0.4199252329791848, 'sMAPE_avg': 5.395901941996771, 'R2_avg': 0.5027335836564751}",COMPLETE
4,0.37215130031108856,2026-04-06 04:45:46.128133,2026-04-06 04:45:48.018300,0 days 00:00:01.890167,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[21, 36]","{'MAE_15m': 0.3169499933719635, 'RMSE_15m': 0.35882397576808295, 'sMAPE_15m': 4.865816072785705, 'R2_15m': 0.659472675214188, 'MAE_30m': 0.4273526072502136, 'RMSE_30m': 0.5236030715299321, 'sMAPE_30m': 6.513686268569134, 'R2_30m': 0.2390844305734604, 'MAE_avg': 0.37215130031108856, 'RMSE_avg': 0.44121352364900757, 'sMAPE_avg': 5.68975117067742, 'R2_avg': 0.4492785528938242}",COMPLETE
5,0.3880365341901779,2026-04-06 04:45:48.032460,2026-04-06 04:45:50.311362,0 days 00:00:02.278902,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.3345111012458801, 'RMSE_15m': 0.38288878634419404, 'sMAPE_15m': 5.134275484217748, 'R2_15m': 0.6122656015905702, 'MAE_30m': 0.4415619671344757, 'RMSE_30m': 0.5369110851128966, 'sMAPE_30m': 6.732460811989334, 'R2_30m': 0.19991355842968994, 'MAE_avg': 0.3880365341901779, 'RMSE_avg': 0.4598999357285454, 'sMAPE_avg': 5.933368148103542, 'R2_avg': 0.40608958001013007}",COMPLETE
6,0.4002646505832672,2026-04-06 04:45:50.315050,2026-04-06 04:45:51.849566,0 days 00:00:01.534516,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[12, 14]","{'MAE_15m': 0.3468549847602844, 'RMSE_15m': 0.4039534063499456, 'sMAPE_15m': 5.331878686612966, 'R2_15m': 0.5684296493711114, 'MAE_30m': 0.45367431640625, 'RMSE_30m': 0.5502448208992822, 'sMAPE_30m': 6.91904738566223, 'R2_30m': 0.15968122677283825, 'MAE_avg': 0.4002646505832672, 'RMSE_avg': 0.4770991136246139, 'sMAPE_avg': 6.125463036137598, 'R2_avg': 0.3640554380719748}",COMPLETE
7,0.39697787165641785,2026-04-06 04:45:51.853605,2026-04-06 04:45:54.025019,0 days 00:00:02.171414,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 194]","{'MAE_15m': 0.3514891266822815, 'RMSE_15m': 0.41009517396590855, 'sMAPE_15m': 5.3987490785034975, 'R2_15m': 0.5552065417693629, 'MAE_30m': 0.4424666166305542, 'RMSE_30m': 0.5361474596256691, 'sMAPE_30m': 6.749206624661189, 'R2_30m': 0.2021878398782796, 'MAE_avg': 0.39697787165641785, 'RMSE_avg': 0.47312131679578884, 'sMAPE_avg': 6.0739778515823435, 'R2_avg': 0.37869719082382125}",COMPLETE
8,0.3627738952636719,2026-04-06 04:45:54.030819,2026-04-06 04:45:56.794023,0 days 00:00:02.763204,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[282, 272]","{'MAE_15m': 0.31086108088493347, 'RMSE_15m': 0.3539554115490653, 'sMAPE_15m': 4.775859139862682, 'R2_15m': 0.6686506234630898, 'MAE_30m': 0.4146867096424103, 'RMSE_30m': 0.5011002237385296, 'sMAPE_30m': 6.3243364012805445, 'R2_30m': 0.3030825614550494, 'MAE_avg': 0.3627738952636719, 'RMSE_avg': 0.42752781764379744, 'sMAPE_avg': 5.550097770571613, 'R2_avg': 0.4858665924590696}",COMPLETE
9,0.33877141773700714,2026-04-06 04:45:56.795359,2026-04-06 04:45:58.684579,0 days 00:00:01.889220,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[98, 43]","{'MAE_15m': 0.29075875878334045, 'RMSE_15m': 0.3320770905209836, 'sMAPE_15m': 4.456552544770981, 'R2_15m': 0.7083467135142894, 'MAE_30m': 0.38678407669067383, 'RMSE_30m': 0.4789470673881995, 'sMAPE_30m': 5.89272236118577, 'R2_30m': 0.3633406091153567, 'MAE_avg': 0.33877141773700714, 'RMSE_avg': 0.4055120789545915, 'sMAPE_avg': 5.174637452978375, 'R2_avg': 0.535843661314823}",COMPLETE
10,0.39224404096603394,2026-04-06 04:45:58.686245,2026-04-06 04:46:00.580335,0 days 00:00:01.894090,0.9016552640704525,0.05557192411355649,0.06832074860620659,2,5,1200,14.73099293843444,0.6071847502459278,"[105, 90]","{'MAE_15m': 0.35237935185432434, 'RMSE_15m': 0.4167437382784287, 'sMAPE_15m': 5.423020647001688, 'R2_15m': 0.5406674002084504, 'MAE_30m': 0.43210873007774353, 'RMSE_30m': 0.5242153764550803, 'sMAPE_30m': 6.591599142269708, 'R2_30m': 0.23730366686337978, 'MAE_avg': 0.39224404096603394, 'RMSE_avg': 0.4704795573667545, 'sMAPE_avg': 6.007309894635698, 'R2_avg': 0.3889855335359151}",COMPLETE
11,0.33907483518123627,2026-04-06 04:46:00.581671,2026-04-06 04:46:02.902932,0 days 00:00:02.321261,0.9774076024739909,0.07825160285127264,0.03344800176886155,6,4,1000,0.13510006853107392,0.9783238879894853,"[149, 115]","{'MAE_15m': 0.29975414276123047, 'RMSE_15m': 0.3469305823015607, 'sMAPE_15m': 4.594623325632053, 'R2_15m': 0.6816724463332666, 'MAE_30m': 0.37839552760124207, 'RMSE_30m': 0.47591102346112535, 'sMAPE_30m': 5.769015880014451, 'R2_30m': 0.37138649665694246, 'MAE_avg': 0.33907483518123627, 'RMSE_avg': 0.41142080288134303, 'sMAPE_avg': 5.181819602823252, 'R2_avg': 0.5265294714951045}",COMPLETE
