number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.4061737656593323,2026-04-06 04:46:10.037828,2026-04-06 04:46:12.035357,0 days 00:00:01.997529,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[102, 74]","{'MAE_15m': 0.33289167284965515, 'RMSE_15m': 0.5553191711935266, 'sMAPE_15m': 33.272492834570116, 'R2_15m': 0.8893734712684134, 'MAE_30m': 0.4794558584690094, 'RMSE_30m': 0.854441474499589, 'sMAPE_30m': 38.629264855079434, 'R2_30m': 0.7416373912527889, 'MAE_avg': 0.4061737656593323, 'RMSE_avg': 0.7048803228465578, 'sMAPE_avg': 35.95087884482477, 'R2_avg': 0.8155054312606012}",COMPLETE
1,0.33035818487405777,2026-04-06 04:46:12.041693,2026-04-06 04:46:16.129138,0 days 00:00:04.087445,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[485, 364]","{'MAE_15m': 0.23239381611347198, 'RMSE_15m': 0.5291361547168901, 'sMAPE_15m': 32.43883155225887, 'R2_15m': 0.8995595220201579, 'MAE_30m': 0.42832255363464355, 'RMSE_30m': 0.8355925374084505, 'sMAPE_30m': 37.08552460841062, 'R2_30m': 0.7529106291918941, 'MAE_avg': 0.33035818487405777, 'RMSE_avg': 0.6823643460626703, 'sMAPE_avg': 34.76217808033475, 'R2_avg': 0.8262350756060259}",COMPLETE
2,0.3437894284725189,2026-04-06 04:46:16.130534,2026-04-06 04:46:18.573790,0 days 00:00:02.443256,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[193, 120]","{'MAE_15m': 0.2518107295036316, 'RMSE_15m': 0.530275769869626, 'sMAPE_15m': 33.641023956090244, 'R2_15m': 0.8991264005746054, 'MAE_30m': 0.43576812744140625, 'RMSE_30m': 0.8320685006699442, 'sMAPE_30m': 37.603929631410914, 'R2_30m': 0.7549903592597383, 'MAE_avg': 0.3437894284725189, 'RMSE_avg': 0.681172135269785, 'sMAPE_avg': 35.62247679375058, 'R2_avg': 0.8270583799171718}",COMPLETE
3,0.34424319863319397,2026-04-06 04:46:18.575049,2026-04-06 04:46:21.561889,0 days 00:00:02.986840,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[270, 165]","{'MAE_15m': 0.25124242901802063, 'RMSE_15m': 0.524061912349765, 'sMAPE_15m': 32.79658046069171, 'R2_15m': 0.9014766634081747, 'MAE_30m': 0.4372439682483673, 'RMSE_30m': 0.8223620650397171, 'sMAPE_30m': 36.772696725334825, 'R2_30m': 0.7606732980725472, 'MAE_avg': 0.34424319863319397, 'RMSE_avg': 0.673211988694741, 'sMAPE_avg': 34.78463859301327, 'R2_avg': 0.831074980740361}",COMPLETE
4,0.43787509202957153,2026-04-06 04:46:21.563623,2026-04-06 04:46:23.246719,0 days 00:00:01.683096,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[52, 23]","{'MAE_15m': 0.3424363136291504, 'RMSE_15m': 0.5558870803244349, 'sMAPE_15m': 34.14222442157065, 'R2_15m': 0.8891470986613502, 'MAE_30m': 0.5333138704299927, 'RMSE_30m': 0.9074209146744979, 'sMAPE_30m': 40.47527066800542, 'R2_30m': 0.7086046559477871, 'MAE_avg': 0.43787509202957153, 'RMSE_avg': 0.7316539974994665, 'sMAPE_avg': 37.308747544788034, 'R2_avg': 0.7988758773045687}",COMPLETE
5,0.41243278980255127,2026-04-06 04:46:23.248446,2026-04-06 04:46:25.598139,0 days 00:00:02.349693,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.33348503708839417, 'RMSE_15m': 0.5705578681171942, 'sMAPE_15m': 33.39357488874657, 'R2_15m': 0.883218684561129, 'MAE_30m': 0.4913805425167084, 'RMSE_30m': 0.8414593083929381, 'sMAPE_30m': 37.059434405176184, 'R2_30m': 0.7494287355102051, 'MAE_avg': 0.41243278980255127, 'RMSE_avg': 0.7060085882550662, 'sMAPE_avg': 35.226504646961374, 'R2_avg': 0.8163237100356671}",COMPLETE
6,0.3737974613904953,2026-04-06 04:46:25.599808,2026-04-06 04:46:27.284988,0 days 00:00:01.685180,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[42, 81]","{'MAE_15m': 0.27927643060684204, 'RMSE_15m': 0.5678119185785352, 'sMAPE_15m': 34.471185354323595, 'R2_15m': 0.8843400584944492, 'MAE_30m': 0.46831849217414856, 'RMSE_30m': 0.8540557618752976, 'sMAPE_30m': 38.0309866787629, 'R2_30m': 0.7418706020246324, 'MAE_avg': 0.3737974613904953, 'RMSE_avg': 0.7109338402269164, 'sMAPE_avg': 36.25108601654325, 'R2_avg': 0.8131053302595408}",COMPLETE
7,0.4294096529483795,2026-04-06 04:46:27.286089,2026-04-06 04:46:29.452174,0 days 00:00:02.166085,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.34405428171157837, 'RMSE_15m': 0.5967043358040013, 'sMAPE_15m': 33.558070714229466, 'R2_15m': 0.872270171519754, 'MAE_30m': 0.5147650241851807, 'RMSE_30m': 0.8720247912513766, 'sMAPE_30m': 37.51011634152516, 'R2_30m': 0.7308944447514476, 'MAE_avg': 0.4294096529483795, 'RMSE_avg': 0.734364563527689, 'sMAPE_avg': 35.53409352787732, 'R2_avg': 0.8015823081356008}",COMPLETE
8,0.36869098246097565,2026-04-06 04:46:29.453931,2026-04-06 04:46:32.838363,0 days 00:00:03.384432,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 398]","{'MAE_15m': 0.2703128755092621, 'RMSE_15m': 0.5331922537006298, 'sMAPE_15m': 33.01856617932316, 'R2_15m': 0.8980137697739099, 'MAE_30m': 0.4670690894126892, 'RMSE_30m': 0.8423318601182022, 'sMAPE_30m': 38.139240369203485, 'R2_30m': 0.7489087976896776, 'MAE_avg': 0.36869098246097565, 'RMSE_avg': 0.687762056909416, 'sMAPE_avg': 35.578903274263325, 'R2_avg': 0.8234612837317937}",COMPLETE
9,0.356261670589447,2026-04-06 04:46:32.840647,2026-04-06 04:46:34.852230,0 days 00:00:02.011583,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[63, 34]","{'MAE_15m': 0.2565712034702301, 'RMSE_15m': 0.5337469101756087, 'sMAPE_15m': 33.28633690116457, 'R2_15m': 0.8978014683933799, 'MAE_30m': 0.45595213770866394, 'RMSE_30m': 0.8361982491507514, 'sMAPE_30m': 37.4957569950354, 'R2_30m': 0.7525522532770728, 'MAE_avg': 0.356261670589447, 'RMSE_avg': 0.68497257966318, 'sMAPE_avg': 35.391046948099984, 'R2_avg': 0.8251768608352263}",COMPLETE
