number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,0.6004450172185898,2026-04-06 04:46:48.881788,2026-04-06 04:46:50.885283,0 days 00:00:02.003495,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[68, 73]","{'MAE_15m': 0.422220379114151, 'RMSE_15m': 0.913711121667453, 'sMAPE_15m': 57.32335015015113, 'R2_15m': 0.9126002208842372, 'MAE_30m': 0.7786696553230286, 'RMSE_30m': 1.4971764533730785, 'sMAPE_30m': 62.73027546955113, 'R2_30m': 0.7668833747518821, 'MAE_avg': 0.6004450172185898, 'RMSE_avg': 1.2054437875202657, 'sMAPE_avg': 60.02681280985113, 'R2_avg': 0.8397417978180597}",COMPLETE
1,0.5581609457731247,2026-04-06 04:46:50.894564,2026-04-06 04:46:55.025673,0 days 00:00:04.131109,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[540, 465]","{'MAE_15m': 0.39899083971977234, 'RMSE_15m': 0.9805373513588458, 'sMAPE_15m': 56.855627603988864, 'R2_15m': 0.8993483794050461, 'MAE_30m': 0.717331051826477, 'RMSE_30m': 1.4792109558925226, 'sMAPE_30m': 62.68716847510968, 'R2_30m': 0.7724444009442544, 'MAE_avg': 0.5581609457731247, 'RMSE_avg': 1.2298741536256843, 'sMAPE_avg': 59.77139803954927, 'R2_avg': 0.8358963901746502}",COMPLETE
2,0.5552806258201599,2026-04-06 04:46:55.029311,2026-04-06 04:46:57.427839,0 days 00:00:02.398528,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[236, 155]","{'MAE_15m': 0.39461469650268555, 'RMSE_15m': 0.9179632957783445, 'sMAPE_15m': 56.71927773266654, 'R2_15m': 0.9117848554029356, 'MAE_30m': 0.7159465551376343, 'RMSE_30m': 1.4570403316102278, 'sMAPE_30m': 61.902256584913474, 'R2_30m': 0.7792145386597488, 'MAE_avg': 0.5552806258201599, 'RMSE_avg': 1.187501813694286, 'sMAPE_avg': 59.31076715879001, 'R2_avg': 0.8454996970313422}",COMPLETE
3,0.5494602173566818,2026-04-06 04:46:57.432036,2026-04-06 04:47:00.655286,0 days 00:00:03.223250,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[362, 277]","{'MAE_15m': 0.3831917941570282, 'RMSE_15m': 0.9239329949954057, 'sMAPE_15m': 56.80844023182352, 'R2_15m': 0.9106337592875633, 'MAE_30m': 0.7157286405563354, 'RMSE_30m': 1.4838141737110186, 'sMAPE_30m': 61.63207530258049, 'R2_30m': 0.7710259375646243, 'MAE_avg': 0.5494602173566818, 'RMSE_avg': 1.2038735843532122, 'sMAPE_avg': 59.220257767202, 'R2_avg': 0.8408298484260939}",COMPLETE
4,0.5693698525428772,2026-04-06 04:47:00.658550,2026-04-06 04:47:02.307789,0 days 00:00:01.649239,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[52, 26]","{'MAE_15m': 0.39224177598953247, 'RMSE_15m': 0.9525745866262876, 'sMAPE_15m': 57.04693230703758, 'R2_15m': 0.9050072396926025, 'MAE_30m': 0.7464979290962219, 'RMSE_30m': 1.4709955459205728, 'sMAPE_30m': 61.914122500120406, 'R2_30m': 0.7749650401963988, 'MAE_avg': 0.5693698525428772, 'RMSE_avg': 1.2117850662734302, 'sMAPE_avg': 59.48052740357899, 'R2_avg': 0.8399861399445007}",COMPLETE
5,0.7430388927459717,2026-04-06 04:47:02.313256,2026-04-06 04:47:04.742046,0 days 00:00:02.428790,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 0.5847707986831665, 'RMSE_15m': 0.9539455883715684, 'sMAPE_15m': 59.21949326282058, 'R2_15m': 0.9047336075114598, 'MAE_30m': 0.9013069868087769, 'RMSE_30m': 1.4862334814027962, 'sMAPE_30m': 62.751056573370825, 'R2_30m': 0.7702786222070628, 'MAE_avg': 0.7430388927459717, 'RMSE_avg': 1.2200895348871823, 'sMAPE_avg': 60.9852749180957, 'R2_avg': 0.8375061148592613}",COMPLETE
6,0.5358682125806808,2026-04-06 04:47:04.747684,2026-04-06 04:47:06.361186,0 days 00:00:01.613502,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[27, 25]","{'MAE_15m': 0.3862653076648712, 'RMSE_15m': 0.9415083074056322, 'sMAPE_15m': 57.270067530761956, 'R2_15m': 0.9072015385318282, 'MAE_30m': 0.6854711174964905, 'RMSE_30m': 1.4726577880203755, 'sMAPE_30m': 61.26543307045749, 'R2_30m': 0.7744561571241944, 'MAE_avg': 0.5358682125806808, 'RMSE_avg': 1.207083047713004, 'sMAPE_avg': 59.26775030060972, 'R2_avg': 0.8408288478280113}",COMPLETE
7,0.7381531596183777,2026-04-06 04:47:06.362717,2026-04-06 04:47:08.567493,0 days 00:00:02.204776,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 0.5745590329170227, 'RMSE_15m': 0.9892193409254122, 'sMAPE_15m': 58.92444761956976, 'R2_15m': 0.8975580767011619, 'MAE_30m': 0.9017472863197327, 'RMSE_30m': 1.5211503295093587, 'sMAPE_30m': 63.0539001956981, 'R2_30m': 0.7593579594538781, 'MAE_avg': 0.7381531596183777, 'RMSE_avg': 1.2551848352173853, 'sMAPE_avg': 60.989173907633926, 'R2_avg': 0.8284580180775201}",COMPLETE
8,0.557842344045639,2026-04-06 04:47:08.580277,2026-04-06 04:47:11.725589,0 days 00:00:03.145312,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 325]","{'MAE_15m': 0.38419240713119507, 'RMSE_15m': 0.8814106503954809, 'sMAPE_15m': 57.26991804403415, 'R2_15m': 0.9186703215567367, 'MAE_30m': 0.731492280960083, 'RMSE_30m': 1.469932648160304, 'sMAPE_30m': 62.17872903290863, 'R2_30m': 0.775290116657763, 'MAE_avg': 0.557842344045639, 'RMSE_avg': 1.1756716492778925, 'sMAPE_avg': 59.72432353847139, 'R2_avg': 0.8469802191072499}",COMPLETE
9,0.5734889805316925,2026-04-06 04:47:11.729367,2026-04-06 04:47:13.847859,0 days 00:00:02.118492,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[69, 55]","{'MAE_15m': 0.4078720211982727, 'RMSE_15m': 0.9848939345227353, 'sMAPE_15m': 57.39511155221055, 'R2_15m': 0.8984519909049218, 'MAE_30m': 0.7391059398651123, 'RMSE_30m': 1.4807036120445582, 'sMAPE_30m': 61.6443331525837, 'R2_30m': 0.7719849191419641, 'MAE_avg': 0.5734889805316925, 'RMSE_avg': 1.2327987732836467, 'sMAPE_avg': 59.519722352397125, 'R2_avg': 0.8352184550234429}",COMPLETE
