device,train_rows_raw,train_days,target_count,target_mean,target_std,target_nunique,target_nonzero_ratio,target_zero_ratio,target_p95,target_max,target_min,y_15_count,y_15_mean,y_15_std,y_15_nunique,y_15_nonzero_ratio,y_15_zero_ratio,y_15_p95,y_15_max,y_15_min,y_30_count,y_30_mean,y_30_std,y_30_nunique,y_30_nonzero_ratio,y_30_zero_ratio,y_30_p95,y_30_max,y_30_min,train_rows_labeled,min_y_nunique,min_y_std,min_y_nonzero_ratio,prefilter_reason,pass_target_prefilter
10020b75-e523-45b8-8905-4763865d6e19,17855,210,17855,3.5360954914589753,2.7042345422393876,366,0.6597031643797255,0.3402968356202744,6.3,6.5,0.0,11763,5.25750389639831,1.3577837830935509,363,0.9795120292442404,0.020487970755759585,6.3,6.5,0.0,11689,5.260411640573759,1.3556473818901573,362,0.9795534262982291,0.020446573701770894,6.3,6.5,0.0,11683,362,1.3556473818901573,0.9795120292442404,,True
e43f8a7a-2d75-4902-a1a0-27748f978ebd,12086,145,12086,2.7295059021457333,2.6875277916941958,602,0.588449445639583,0.411550554360417,7.0,7.400000000000001,0.0,11392,2.79862110838015,2.6893790593503986,602,0.6031425561797753,0.3968574438202247,7.016666666666667,7.400000000000001,0.0,11323,2.797280608790367,2.690693758522925,602,0.6027554535017221,0.39724454649827784,7.033333333333334,7.400000000000001,0.0,11312,602,2.6893790593503986,0.6027554535017221,,True
7f1a43fb-9559-4d4c-af83-aadca7fd6686,12980,157,12980,4.349057395993837,2.91445223988303,317,0.7100924499229584,0.2899075500770416,6.766666666666667,7.0,0.0,10996,4.976889929671396,2.5651693314624238,317,0.8131138595853038,0.18688614041469626,6.8,7.0,0.0,10925,4.970541418764302,2.5690378976066888,317,0.8121739130434783,0.18782608695652173,6.8,7.0,0.0,10919,317,2.5651693314624238,0.8121739130434783,,True
ea267c5-5e6f-4cd9-80d9-fd8817f4b807,17201,202,17201,2.8605967676297888,3.337332017172759,428,0.44945061333643394,0.5505493866635661,7.1,7.5,0.0,10241,4.716339550174137,3.0980473891128923,427,0.7420173811151255,0.2579826188848745,7.15,7.5,0.0,10214,4.716384374388095,3.0980891106172437,427,0.7420207558253378,0.2579792441746622,7.15,7.5,0.0,10213,427,3.0980473891128923,0.7420173811151255,,True
79e54d03-0f0f-41f8-a6a8-d6e2dbf7e012,11772,150,11772,2.356830898176464,3.3240032078425505,246,0.35524974515800206,0.644750254841998,7.6,8.0,0.0,10262,2.6674491652049634,3.415689845727869,246,0.4024556616643929,0.597544338335607,7.633333333333333,8.0,0.0,10184,2.6800558064938462,3.4186961190301517,246,0.40435978004713274,0.5956402199528672,7.633333333333333,8.0,0.0,10182,246,3.415689845727869,0.4024556616643929,,True
788824e1-39d8-468d-baa1-c0649a20fb08,13125,157,13125,1.8494368556311411,2.8152477244911034,398,0.3436952380952381,0.656304761904762,7.066666666666666,7.5,0.0,9134,2.5974345372774317,3.0296025683843353,398,0.48368732209327786,0.5163126779067221,7.1000000000000005,7.5,0.0,9070,2.6034932447804553,3.03234351973087,398,0.48434399117971333,0.5156560088202866,7.1000000000000005,7.5,0.0,9022,398,3.0296025683843353,0.48368732209327786,,True
e2387f36-6cbe-43de-84b4-539f74567499,11317,138,11317,5.262010250066272,2.6036775923004165,156,0.808429795882301,0.19157020411769904,7.35,7.8,0.0,8913,6.508818953588391,0.5152310573281222,155,1.0,0.0,7.4,7.8,2.2,8854,6.508670657330021,0.5146502335743852,155,1.0,0.0,7.4,7.8,2.2,8848,155,0.5146502335743852,1.0,,True
ade6f3b3-abdd-4343-9b96-3007337822ac,10828,140,10828,3.0508488794483433,3.3667700905863134,194,0.4680458071666051,0.531954192833395,7.15,7.7,0.0,7663,4.19979446691896,3.278835669585729,194,0.6454391230588542,0.35456087694114574,7.15,7.7,0.0,7613,4.200112745741933,3.277723447172901,193,0.6457375541836332,0.35426244581636673,7.15,7.533333333333334,0.0,7607,193,3.277723447172901,0.6454391230588542,,True
684ce2ca-716e-47f0-a3b8-5cc60395f4a2,8401,110,8401,2.447305876284569,3.783736021865342,163,0.3024639923818593,0.6975360076181407,8.533333333333333,8.7,0.0,5939,3.417073581411012,4.0836470475870215,163,0.4222933153729584,0.5777066846270416,8.566666666666666,8.7,0.0,5909,3.4093529644045804,4.082172210052155,163,0.4213910983245896,0.5786089016754103,8.566666666666666,8.7,0.0,5907,163,4.082172210052155,0.4213910983245896,,True
43509ccb-0613-415f-9115-b9a1732a9c0c,11913,144,11913,1.3726573211337754,2.9106748027993237,148,0.18786199949634852,0.8121380005036515,7.733333333333333,8.0,0.0,4882,3.2242455277891575,3.731121895781512,146,0.44182712003277347,0.5581728799672265,7.833333333333333,8.0,0.0,4836,3.2071546732837053,3.72845074867383,146,0.43961952026468154,0.5603804797353185,7.833333333333333,8.0,0.0,4833,146,3.72845074867383,0.43961952026468154,,True
