number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.0608347654342651,2026-04-06 04:31:05.228802,2026-04-06 04:31:08.225461,0 days 00:00:02.996659,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[101, 81]","{'MAE_15m': 1.064549207687378, 'RMSE_15m': 1.4755803631337048, 'sMAPE_15m': 1.0683501933920083, 'R2_15m': -1.5458503973645565, 'MAE_30m': 1.0571203231811523, 'RMSE_30m': 1.491910579210793, 'sMAPE_30m': 1.0602118871358783, 'R2_30m': -1.6059759203711663, 'MAE_avg': 1.0608347654342651, 'RMSE_avg': 1.4837454711722489, 'sMAPE_avg': 1.0642810402639433, 'R2_avg': -1.5759131588678614}",COMPLETE
1,0.554563581943512,2026-04-06 04:31:08.227375,2026-04-06 04:31:12.780058,0 days 00:00:04.552683,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[485, 526]","{'MAE_15m': 0.5548096299171448, 'RMSE_15m': 0.7866932263443601, 'sMAPE_15m': 0.5528184623337133, 'R2_15m': 0.2763677772187747, 'MAE_30m': 0.5543175339698792, 'RMSE_30m': 0.7907215089661269, 'sMAPE_30m': 0.5520199250544879, 'R2_30m': 0.2679648453422441, 'MAE_avg': 0.554563581943512, 'RMSE_avg': 0.7887073676552435, 'sMAPE_avg': 0.5524191936941006, 'R2_avg': 0.2721663112805094}",COMPLETE
2,0.5365808606147766,2026-04-06 04:31:12.781536,2026-04-06 04:31:15.425891,0 days 00:00:02.644355,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[144, 176]","{'MAE_15m': 0.5081576704978943, 'RMSE_15m': 0.7605333543544506, 'sMAPE_15m': 0.5059778865387698, 'R2_15m': 0.32369345142675865, 'MAE_30m': 0.5650040507316589, 'RMSE_30m': 0.779707759678052, 'sMAPE_30m': 0.5624674215986769, 'R2_30m': 0.28821548983120526, 'MAE_avg': 0.5365808606147766, 'RMSE_avg': 0.7701205570162513, 'sMAPE_avg': 0.5342226540687234, 'R2_avg': 0.30595447062898196}",COMPLETE
3,0.5789037346839905,2026-04-06 04:31:15.436476,2026-04-06 04:31:19.160754,0 days 00:00:03.724278,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[286, 371]","{'MAE_15m': 0.5254438519477844, 'RMSE_15m': 0.7678886348501806, 'sMAPE_15m': 0.5234622034137697, 'R2_15m': 0.31054877691679805, 'MAE_30m': 0.6323636174201965, 'RMSE_30m': 0.8604022735303194, 'sMAPE_30m': 0.630379768189213, 'R2_30m': 0.13326181993122377, 'MAE_avg': 0.5789037346839905, 'RMSE_avg': 0.81414545419025, 'sMAPE_avg': 0.5769209858014914, 'R2_avg': 0.2219052984240109}",COMPLETE
4,1.1460398435592651,2026-04-06 04:31:19.162463,2026-04-06 04:31:21.264536,0 days 00:00:02.102073,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[41, 76]","{'MAE_15m': 1.2462127208709717, 'RMSE_15m': 1.7166112597637904, 'sMAPE_15m': 1.2531144962290508, 'R2_15m': -2.4454902657346036, 'MAE_30m': 1.0458669662475586, 'RMSE_30m': 1.3651638640394113, 'sMAPE_30m': 1.0479028443925076, 'R2_30m': -1.1819983426305187, 'MAE_avg': 1.1460398435592651, 'RMSE_avg': 1.540887561901601, 'sMAPE_avg': 1.1505086703107792, 'R2_avg': -1.8137443041825612}",COMPLETE
5,2.510720133781433,2026-04-06 04:31:21.266183,2026-04-06 04:31:23.647813,0 days 00:00:02.381630,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 2.4894020557403564, 'RMSE_15m': 2.6404166054741944, 'sMAPE_15m': 2.5105197638647554, 'R2_15m': -7.151771825986069, 'MAE_30m': 2.5320382118225098, 'RMSE_30m': 2.6959180953208626, 'sMAPE_30m': 2.553982293970816, 'R2_30m': -7.509386494753272, 'MAE_avg': 2.510720133781433, 'RMSE_avg': 2.6681673503975283, 'sMAPE_avg': 2.532251028917786, 'R2_avg': -7.330579160369671}",COMPLETE
6,0.5317368805408478,2026-04-06 04:31:23.652838,2026-04-06 04:31:25.360966,0 days 00:00:01.708128,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[25, 28]","{'MAE_15m': 0.4916137456893921, 'RMSE_15m': 0.756505960701947, 'sMAPE_15m': 0.48931253631194493, 'R2_15m': 0.33083712390025344, 'MAE_30m': 0.5718600153923035, 'RMSE_30m': 0.805277487749031, 'sMAPE_30m': 0.5692963856283944, 'R2_30m': 0.24076545199434685, 'MAE_avg': 0.5317368805408478, 'RMSE_avg': 0.7808917242254889, 'sMAPE_avg': 0.5293044609701696, 'R2_avg': 0.28580128794730014}",COMPLETE
7,2.4506375789642334,2026-04-06 04:31:25.362756,2026-04-06 04:31:27.411010,0 days 00:00:02.048254,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 2.4564199447631836, 'RMSE_15m': 2.5714087655803324, 'sMAPE_15m': 2.4760712091291484, 'R2_15m': -6.731243384541271, 'MAE_30m': 2.444855213165283, 'RMSE_30m': 2.5909634984462366, 'sMAPE_30m': 2.464200507694735, 'R2_30m': -6.85972597624109, 'MAE_avg': 2.4506375789642334, 'RMSE_avg': 2.5811861320132845, 'sMAPE_avg': 2.4701358584119415, 'R2_avg': -6.79548468039118}",COMPLETE
8,0.6344703733921051,2026-04-06 04:31:27.414758,2026-04-06 04:31:30.833176,0 days 00:00:03.418418,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[397, 399]","{'MAE_15m': 0.5792957544326782, 'RMSE_15m': 0.8481000099070579, 'sMAPE_15m': 0.5775324048260307, 'R2_15m': 0.15898989780605188, 'MAE_30m': 0.689644992351532, 'RMSE_30m': 0.9458734408598025, 'sMAPE_30m': 0.6874745167931761, 'R2_30m': -0.04749246482030878, 'MAE_avg': 0.6344703733921051, 'RMSE_avg': 0.8969867253834303, 'sMAPE_avg': 0.6325034608096034, 'R2_avg': 0.05574871649287155}",COMPLETE
9,0.6006392240524292,2026-04-06 04:31:30.837317,2026-04-06 04:31:32.707874,0 days 00:00:01.870557,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[57, 67]","{'MAE_15m': 0.5652733445167542, 'RMSE_15m': 0.8073964122786054, 'sMAPE_15m': 0.5636675004519427, 'R2_15m': 0.23777931967965515, 'MAE_30m': 0.6360051035881042, 'RMSE_30m': 0.8742325005289378, 'sMAPE_30m': 0.6344746922117345, 'R2_30m': 0.10517381549247184, 'MAE_avg': 0.6006392240524292, 'RMSE_avg': 0.8408144564037716, 'sMAPE_avg': 0.5990710963318386, 'R2_avg': 0.1714765675860635}",COMPLETE
