number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,5.6341588497161865,2026-04-06 04:31:42.598358,2026-04-06 04:31:44.848596,0 days 00:00:02.250238,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[65, 54]","{'MAE_15m': 4.471096515655518, 'RMSE_15m': 6.560405287899819, 'sMAPE_15m': 22.72756263675082, 'R2_15m': 0.9469819639643031, 'MAE_30m': 6.7972211837768555, 'RMSE_30m': 10.307852512783299, 'sMAPE_30m': 26.570354339787368, 'R2_30m': 0.8689121354758259, 'MAE_avg': 5.6341588497161865, 'RMSE_avg': 8.434128900341559, 'sMAPE_avg': 24.648958488269095, 'R2_avg': 0.9079470497200646}",COMPLETE
1,2.84326833486557,2026-04-06 04:31:44.850008,2026-04-06 04:31:48.926487,0 days 00:00:04.076479,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[546, 387]","{'MAE_15m': 1.697485327720642, 'RMSE_15m': 4.431858613867937, 'sMAPE_15m': 6.471324406269993, 'R2_15m': 0.9758045309661092, 'MAE_30m': 3.989051342010498, 'RMSE_30m': 8.385940011004376, 'sMAPE_30m': 12.008804464726017, 'R2_30m': 0.9132379958522788, 'MAE_avg': 2.84326833486557, 'RMSE_avg': 6.408899312436157, 'sMAPE_avg': 9.240064435498006, 'R2_avg': 0.944521263409194}",COMPLETE
2,3.146491050720215,2026-04-06 04:31:48.931780,2026-04-06 04:31:51.142489,0 days 00:00:02.210709,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[158, 131]","{'MAE_15m': 2.204583168029785, 'RMSE_15m': 4.742979382632004, 'sMAPE_15m': 9.491786874436734, 'R2_15m': 0.9722881989476768, 'MAE_30m': 4.0883989334106445, 'RMSE_30m': 8.481175390152897, 'sMAPE_30m': 14.68477966555313, 'R2_30m': 0.9112561606833487, 'MAE_avg': 3.146491050720215, 'RMSE_avg': 6.612077386392451, 'sMAPE_avg': 12.088283269994932, 'R2_avg': 0.9417721798155128}",COMPLETE
3,3.5771113634109497,2026-04-06 04:31:51.148291,2026-04-06 04:31:54.564581,0 days 00:00:03.416290,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[350, 228]","{'MAE_15m': 2.5187785625457764, 'RMSE_15m': 4.919759434967244, 'sMAPE_15m': 11.019219545429168, 'R2_15m': 0.9701839569572425, 'MAE_30m': 4.635444164276123, 'RMSE_30m': 8.741347912655012, 'sMAPE_30m': 16.121135724065567, 'R2_30m': 0.9057279564033763, 'MAE_avg': 3.5771113634109497, 'RMSE_avg': 6.830553673811128, 'sMAPE_avg': 13.570177634747367, 'R2_avg': 0.9379559566803094}",COMPLETE
4,5.8884828090667725,2026-04-06 04:31:54.572583,2026-04-06 04:31:56.329833,0 days 00:00:01.757250,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[29, 30]","{'MAE_15m': 5.119657516479492, 'RMSE_15m': 7.178060419890707, 'sMAPE_15m': 26.55831672447684, 'R2_15m': 0.936528828637224, 'MAE_30m': 6.657308101654053, 'RMSE_30m': 10.473962015878165, 'sMAPE_30m': 29.02580260355559, 'R2_30m': 0.8646531765607415, 'MAE_avg': 5.8884828090667725, 'RMSE_avg': 8.826011217884435, 'sMAPE_avg': 27.792059664016215, 'R2_avg': 0.9005910025989827}",COMPLETE
5,5.4268224239349365,2026-04-06 04:31:56.333505,2026-04-06 04:31:58.707982,0 days 00:00:02.374477,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 4.720797538757324, 'RMSE_15m': 6.118438319995221, 'sMAPE_15m': 21.75068737263586, 'R2_15m': 0.9538848671966084, 'MAE_30m': 6.132847309112549, 'RMSE_30m': 9.351620424580421, 'sMAPE_30m': 24.050732957178752, 'R2_30m': 0.8921053755637124, 'MAE_avg': 5.4268224239349365, 'RMSE_avg': 7.735029372287821, 'sMAPE_avg': 22.900710164907306, 'R2_avg': 0.9229951213801604}",COMPLETE
6,3.00841748714447,2026-04-06 04:31:58.714386,2026-04-06 04:32:00.318435,0 days 00:00:01.604049,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[32, 26]","{'MAE_15m': 2.2317235469818115, 'RMSE_15m': 4.819749004745994, 'sMAPE_15m': 9.592732149681368, 'R2_15m': 0.9713838554176958, 'MAE_30m': 3.785111427307129, 'RMSE_30m': 8.703706184308697, 'sMAPE_30m': 12.81946879740794, 'R2_30m': 0.9065381121274867, 'MAE_avg': 3.00841748714447, 'RMSE_avg': 6.761727594527345, 'sMAPE_avg': 11.206100473544653, 'R2_avg': 0.9389609837725912}",COMPLETE
7,4.8187127113342285,2026-04-06 04:32:00.320170,2026-04-06 04:32:02.500052,0 days 00:00:02.179882,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 4.15737247467041, 'RMSE_15m': 5.815774302997685, 'sMAPE_15m': 19.578914765443642, 'R2_15m': 0.95833442717747, 'MAE_30m': 5.480052947998047, 'RMSE_30m': 9.227596473737291, 'sMAPE_30m': 21.601159629255047, 'R2_30m': 0.8949482501548198, 'MAE_avg': 4.8187127113342285, 'RMSE_avg': 7.521685388367488, 'sMAPE_avg': 20.590037197349346, 'R2_avg': 0.926641338666145}",COMPLETE
8,3.840281128883362,2026-04-06 04:32:02.502146,2026-04-06 04:32:05.533496,0 days 00:00:03.031350,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[393, 394]","{'MAE_15m': 3.1069533824920654, 'RMSE_15m': 5.46559008177677, 'sMAPE_15m': 16.12871259252475, 'R2_15m': 0.9632009704168315, 'MAE_30m': 4.573608875274658, 'RMSE_30m': 8.818423613761038, 'sMAPE_30m': 18.502408371469492, 'R2_30m': 0.9040581617915511, 'MAE_avg': 3.840281128883362, 'RMSE_avg': 7.142006847768904, 'sMAPE_avg': 17.31556048199712, 'R2_avg': 0.9336295661041913}",COMPLETE
9,3.8628417253494263,2026-04-06 04:32:05.548812,2026-04-06 04:32:07.578945,0 days 00:00:02.030133,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[63, 55]","{'MAE_15m': 2.926485300064087, 'RMSE_15m': 5.265735115688384, 'sMAPE_15m': 12.42136244408626, 'R2_15m': 0.9658429552700168, 'MAE_30m': 4.799198150634766, 'RMSE_30m': 8.811767114776615, 'sMAPE_30m': 17.58581617611485, 'R2_30m': 0.9042029524790125, 'MAE_avg': 3.8628417253494263, 'RMSE_avg': 7.038751115232499, 'sMAPE_avg': 15.003589310100555, 'R2_avg': 0.9350229538745147}",COMPLETE
