number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,4.228735446929932,2026-04-06 04:32:20.184629,2026-04-06 04:32:22.753568,0 days 00:00:02.568939,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[120, 116]","{'MAE_15m': 3.375467300415039, 'RMSE_15m': 5.294754909358024, 'sMAPE_15m': 12.381965724112007, 'R2_15m': 0.9093301338783734, 'MAE_30m': 5.082003593444824, 'RMSE_30m': 7.91921308287956, 'sMAPE_30m': 17.67050349278608, 'R2_30m': 0.7969338404562181, 'MAE_avg': 4.228735446929932, 'RMSE_avg': 6.606983996118792, 'sMAPE_avg': 15.026234608449043, 'R2_avg': 0.8531319871672958}",COMPLETE
1,2.901655435562134,2026-04-06 04:32:22.760277,2026-04-06 04:32:27.046277,0 days 00:00:04.286000,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[520, 369]","{'MAE_15m': 2.179766893386841, 'RMSE_15m': 4.358678399765017, 'sMAPE_15m': 6.7681593374439295, 'R2_15m': 0.9385558059947068, 'MAE_30m': 3.6235439777374268, 'RMSE_30m': 6.970865381885041, 'sMAPE_30m': 11.17788903423675, 'R2_30m': 0.8426572075625673, 'MAE_avg': 2.901655435562134, 'RMSE_avg': 5.664771890825029, 'sMAPE_avg': 8.973024185840341, 'R2_avg': 0.8906065067786371}",COMPLETE
2,2.950146436691284,2026-04-06 04:32:27.050049,2026-04-06 04:32:29.051950,0 days 00:00:02.001901,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[174, 137]","{'MAE_15m': 2.1956534385681152, 'RMSE_15m': 4.18959789959642, 'sMAPE_15m': 7.594782626408807, 'R2_15m': 0.9432303883682717, 'MAE_30m': 3.704639434814453, 'RMSE_30m': 6.718023784335281, 'sMAPE_30m': 12.305777710545426, 'R2_30m': 0.8538642148087741, 'MAE_avg': 2.950146436691284, 'RMSE_avg': 5.453810841965851, 'sMAPE_avg': 9.950280168477116, 'R2_avg': 0.8985473015885228}",COMPLETE
3,3.1757642030715942,2026-04-06 04:32:29.056702,2026-04-06 04:32:32.858421,0 days 00:00:03.801719,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[400, 290]","{'MAE_15m': 2.3728573322296143, 'RMSE_15m': 4.529322983969595, 'sMAPE_15m': 7.984355182754138, 'R2_15m': 0.9336504747382187, 'MAE_30m': 3.978671073913574, 'RMSE_30m': 7.130916882557074, 'sMAPE_30m': 12.944958877935694, 'R2_30m': 0.8353490440731599, 'MAE_avg': 3.1757642030715942, 'RMSE_avg': 5.830119933263335, 'sMAPE_avg': 10.464657030344917, 'R2_avg': 0.8844997594056894}",COMPLETE
4,4.596175789833069,2026-04-06 04:32:32.861056,2026-04-06 04:32:34.823115,0 days 00:00:01.962059,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[65, 49]","{'MAE_15m': 3.946986436843872, 'RMSE_15m': 6.014449205302515, 'sMAPE_15m': 14.54812881430432, 'R2_15m': 0.8830061677141711, 'MAE_30m': 5.245365142822266, 'RMSE_30m': 7.999978542299104, 'sMAPE_30m': 18.734841971343442, 'R2_30m': 0.7927706978175882, 'MAE_avg': 4.596175789833069, 'RMSE_avg': 7.00721387380081, 'sMAPE_avg': 16.64148539282388, 'R2_avg': 0.8378884327658797}",COMPLETE
5,4.537117123603821,2026-04-06 04:32:34.824497,2026-04-06 04:32:37.370677,0 days 00:00:02.546180,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 3.961869955062866, 'RMSE_15m': 5.6203807938016075, 'sMAPE_15m': 15.645972875870266, 'R2_15m': 0.8978348597305951, 'MAE_30m': 5.112364292144775, 'RMSE_30m': 7.544062562296767, 'sMAPE_30m': 18.87947062987164, 'R2_30m': 0.8157175147332715, 'MAE_avg': 4.537117123603821, 'RMSE_avg': 6.582221678049187, 'sMAPE_avg': 17.262721752870952, 'R2_avg': 0.8567761872319333}",COMPLETE
6,2.7948391437530518,2026-04-06 04:32:37.373805,2026-04-06 04:32:39.152827,0 days 00:00:01.779022,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[72, 95]","{'MAE_15m': 2.046236991882324, 'RMSE_15m': 3.955672577818811, 'sMAPE_15m': 6.63775099800333, 'R2_15m': 0.9493928467154291, 'MAE_30m': 3.5434412956237793, 'RMSE_30m': 6.588960906148549, 'sMAPE_30m': 11.249036704936799, 'R2_30m': 0.8594252465064868, 'MAE_avg': 2.7948391437530518, 'RMSE_avg': 5.27231674198368, 'sMAPE_avg': 8.943393851470065, 'R2_avg': 0.904409046610958}",COMPLETE
7,4.271698474884033,2026-04-06 04:32:39.154713,2026-04-06 04:32:41.370372,0 days 00:00:02.215659,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 3.717097759246826, 'RMSE_15m': 5.596858689855754, 'sMAPE_15m': 14.407100190146691, 'R2_15m': 0.898688218158347, 'MAE_30m': 4.82629919052124, 'RMSE_30m': 7.400905564032324, 'sMAPE_30m': 17.313652388343492, 'R2_30m': 0.82264507614478, 'MAE_avg': 4.271698474884033, 'RMSE_avg': 6.498882126944039, 'sMAPE_avg': 15.860376289245092, 'R2_avg': 0.8606666471515635}",COMPLETE
8,3.394287586212158,2026-04-06 04:32:41.371996,2026-04-06 04:32:44.669980,0 days 00:00:03.297984,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 399]","{'MAE_15m': 2.7007479667663574, 'RMSE_15m': 4.557812516739158, 'sMAPE_15m': 10.125895732928527, 'R2_15m': 0.932813167181175, 'MAE_30m': 4.087827205657959, 'RMSE_30m': 6.876598103055556, 'sMAPE_30m': 14.069568258179665, 'R2_30m': 0.8468839217200123, 'MAE_avg': 3.394287586212158, 'RMSE_avg': 5.717205309897357, 'sMAPE_avg': 12.097731995554096, 'R2_avg': 0.8898485444505937}",COMPLETE
9,3.397887110710144,2026-04-06 04:32:44.673591,2026-04-06 04:32:47.059593,0 days 00:00:02.386002,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[88, 63]","{'MAE_15m': 2.6138851642608643, 'RMSE_15m': 4.743907635347674, 'sMAPE_15m': 9.05353341835258, 'R2_15m': 0.9272146959075095, 'MAE_30m': 4.181889057159424, 'RMSE_30m': 7.312385232138904, 'sMAPE_30m': 13.76791800185842, 'R2_30m': 0.826862313695748, 'MAE_avg': 3.397887110710144, 'RMSE_avg': 6.028146433743289, 'sMAPE_avg': 11.4107257101055, 'R2_avg': 0.8770385048016287}",COMPLETE
