number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,3.1456210613250732,2026-04-06 04:32:58.025749,2026-04-06 04:33:00.371618,0 days 00:00:02.345869,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[82, 58]","{'MAE_15m': 2.4675509929656982, 'RMSE_15m': 3.9143861800498096, 'sMAPE_15m': 20.200222824764005, 'R2_15m': 0.9859914742999214, 'MAE_30m': 3.8236911296844482, 'RMSE_30m': 8.520481789448082, 'sMAPE_30m': 22.139604535323073, 'R2_30m': 0.9337364947655907, 'MAE_avg': 3.1456210613250732, 'RMSE_avg': 6.217433984748946, 'sMAPE_avg': 21.16991368004354, 'R2_avg': 0.9598639845327561}",COMPLETE
1,2.560282051563263,2026-04-06 04:33:00.373433,2026-04-06 04:33:05.414371,0 days 00:00:05.040938,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[559, 463]","{'MAE_15m': 1.9875420331954956, 'RMSE_15m': 3.365153466135976, 'sMAPE_15m': 16.34475467992542, 'R2_15m': 0.9896467949695869, 'MAE_30m': 3.1330220699310303, 'RMSE_30m': 8.021035671571902, 'sMAPE_30m': 18.182460682792147, 'R2_30m': 0.9412771684780163, 'MAE_avg': 2.560282051563263, 'RMSE_avg': 5.6930945688539385, 'sMAPE_avg': 17.263607681358785, 'R2_avg': 0.9654619817238016}",COMPLETE
2,2.6629005670547485,2026-04-06 04:33:05.416148,2026-04-06 04:33:08.046540,0 days 00:00:02.630392,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[186, 187]","{'MAE_15m': 2.110081911087036, 'RMSE_15m': 3.6141554316254516, 'sMAPE_15m': 17.560634267437493, 'R2_15m': 0.9880579546040948, 'MAE_30m': 3.215719223022461, 'RMSE_30m': 8.036842862759206, 'sMAPE_30m': 19.601314080682148, 'R2_30m': 0.941045488817855, 'MAE_avg': 2.6629005670547485, 'RMSE_avg': 5.825499147192329, 'sMAPE_avg': 18.58097417405982, 'R2_avg': 0.9645517217109749}",COMPLETE
3,2.6810061931610107,2026-04-06 04:33:08.048390,2026-04-06 04:33:12.066901,0 days 00:00:04.018511,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[369, 306]","{'MAE_15m': 2.0893137454986572, 'RMSE_15m': 3.609976053766098, 'sMAPE_15m': 16.746270610123222, 'R2_15m': 0.9880855583028142, 'MAE_30m': 3.2726986408233643, 'RMSE_30m': 8.272432750752506, 'sMAPE_30m': 18.767895613228582, 'R2_30m': 0.9375384721644936, 'MAE_avg': 2.6810061931610107, 'RMSE_avg': 5.941204402259302, 'sMAPE_avg': 17.757083111675904, 'R2_avg': 0.9628120152336539}",COMPLETE
4,2.9780505895614624,2026-04-06 04:33:12.069174,2026-04-06 04:33:14.294490,0 days 00:00:02.225316,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[103, 48]","{'MAE_15m': 2.3526525497436523, 'RMSE_15m': 3.8808279204185787, 'sMAPE_15m': 17.764462579546613, 'R2_15m': 0.9862306373992008, 'MAE_30m': 3.6034486293792725, 'RMSE_30m': 8.286387796699184, 'sMAPE_30m': 21.108591150231288, 'R2_30m': 0.9373275591948061, 'MAE_avg': 2.9780505895614624, 'RMSE_avg': 6.0836078585588815, 'sMAPE_avg': 19.43652686488895, 'R2_avg': 0.9617790982970035}",COMPLETE
5,5.977002859115601,2026-04-06 04:33:14.301171,2026-04-06 04:33:16.840696,0 days 00:00:02.539525,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 5.5206074714660645, 'RMSE_15m': 6.898300636117548, 'sMAPE_15m': 38.55799919842605, 'R2_15m': 0.9564939887757264, 'MAE_30m': 6.433398246765137, 'RMSE_30m': 9.7794566110007, 'sMAPE_30m': 39.0565150239591, 'R2_30m': 0.9127077765592757, 'MAE_avg': 5.977002859115601, 'RMSE_avg': 8.338878623559124, 'sMAPE_avg': 38.80725711119258, 'R2_avg': 0.9346008826675011}",COMPLETE
6,2.7230743169784546,2026-04-06 04:33:16.847876,2026-04-06 04:33:18.884619,0 days 00:00:02.036743,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[92, 53]","{'MAE_15m': 2.147759199142456, 'RMSE_15m': 3.863951035807351, 'sMAPE_15m': 16.818171141943097, 'R2_15m': 0.9863501371774732, 'MAE_30m': 3.298389434814453, 'RMSE_30m': 8.096466197828416, 'sMAPE_30m': 20.745753957405807, 'R2_30m': 0.940167508694098, 'MAE_avg': 2.7230743169784546, 'RMSE_avg': 5.980208616817883, 'sMAPE_avg': 18.781962549674454, 'R2_avg': 0.9632588229357857}",COMPLETE
7,6.485561847686768,2026-04-06 04:33:18.885894,2026-04-06 04:33:21.011703,0 days 00:00:02.125809,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 6.031811714172363, 'RMSE_15m': 8.27673354876818, 'sMAPE_15m': 40.00893633412068, 'R2_15m': 0.9373699144138709, 'MAE_30m': 6.939311981201172, 'RMSE_30m': 10.710234437401525, 'sMAPE_30m': 40.642550497356304, 'R2_30m': 0.8953006267508105, 'MAE_avg': 6.485561847686768, 'RMSE_avg': 9.493483993084851, 'sMAPE_avg': 40.32574341573849, 'R2_avg': 0.9163352705823407}",COMPLETE
8,2.894516110420227,2026-04-06 04:33:21.013102,2026-04-06 04:33:24.332108,0 days 00:00:03.319006,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 396]","{'MAE_15m': 2.361093282699585, 'RMSE_15m': 4.248861048056111, 'sMAPE_15m': 20.189444053373325, 'R2_15m': 0.983495205729354, 'MAE_30m': 3.427938938140869, 'RMSE_30m': 8.223578945409761, 'sMAPE_30m': 22.199063891813214, 'R2_30m': 0.9382740411847312, 'MAE_avg': 2.894516110420227, 'RMSE_avg': 6.236219996732936, 'sMAPE_avg': 21.19425397259327, 'R2_avg': 0.9608846234570426}",COMPLETE
9,2.887284517288208,2026-04-06 04:33:24.333904,2026-04-06 04:33:26.439028,0 days 00:00:02.105124,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[64, 60]","{'MAE_15m': 2.2377145290374756, 'RMSE_15m': 3.794812808037687, 'sMAPE_15m': 17.625446501348467, 'R2_15m': 0.9868342444143289, 'MAE_30m': 3.5368545055389404, 'RMSE_30m': 8.779060715330372, 'sMAPE_30m': 19.622642695237406, 'R2_30m': 0.9296535435181492, 'MAE_avg': 2.887284517288208, 'RMSE_avg': 6.2869367616840295, 'sMAPE_avg': 18.624044598292937, 'R2_avg': 0.958243893966239}",COMPLETE
10,2.7109886407852173,2026-04-06 04:33:26.446821,2026-04-06 04:33:29.553207,0 days 00:00:03.106386,0.993065495809967,0.06153773875051782,0.03018055303192452,2,5,1200,0.011258457726173733,0.6071847502459278,"[497, 410]","{'MAE_15m': 2.1354706287384033, 'RMSE_15m': 4.017641978481998, 'sMAPE_15m': 18.115729987341357, 'R2_15m': 0.9852426767214503, 'MAE_30m': 3.2865066528320312, 'RMSE_30m': 8.10403695938404, 'sMAPE_30m': 22.50236199364113, 'R2_30m': 0.9400555556973665, 'MAE_avg': 2.7109886407852173, 'RMSE_avg': 6.060839468933018, 'sMAPE_avg': 20.309045990491242, 'R2_avg': 0.9626491162094084}",COMPLETE
11,2.6728583574295044,2026-04-06 04:33:29.554530,2026-04-06 04:33:31.964137,0 days 00:00:02.409607,0.8388857253989859,3.097669715667996,0.037329022558038195,6,4,1000,0.07341176884709898,0.7087816896188164,"[149, 157]","{'MAE_15m': 2.0836923122406006, 'RMSE_15m': 3.393547661863231, 'sMAPE_15m': 17.384955959462154, 'R2_15m': 0.9894713422785393, 'MAE_30m': 3.262024402618408, 'RMSE_30m': 7.998202360362887, 'sMAPE_30m': 19.04609776678425, 'R2_30m': 0.9416110162111109, 'MAE_avg': 2.6728583574295044, 'RMSE_avg': 5.695875011113059, 'sMAPE_avg': 18.215526863123202, 'R2_avg': 0.9655411792448251}",COMPLETE
