number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.8737035393714905,2026-04-06 04:33:43.437134,2026-04-06 04:33:45.698344,0 days 00:00:02.261210,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[83, 52]","{'MAE_15m': 1.5011557340621948, 'RMSE_15m': 2.676589821377085, 'sMAPE_15m': 3.9732931414913177, 'R2_15m': 0.9896703354889707, 'MAE_30m': 2.246251344680786, 'RMSE_30m': 4.377879475823196, 'sMAPE_30m': 5.253721845619719, 'R2_30m': 0.972370058595223, 'MAE_avg': 1.8737035393714905, 'RMSE_avg': 3.5272346486001407, 'sMAPE_avg': 4.6135074935555185, 'R2_avg': 0.9810201970420969}",COMPLETE
1,1.2598911821842194,2026-04-06 04:33:45.710132,2026-04-06 04:33:50.370376,0 days 00:00:04.660244,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[567, 511]","{'MAE_15m': 0.992582380771637, 'RMSE_15m': 1.8281139145213443, 'sMAPE_15m': 2.251305368350574, 'R2_15m': 0.9951813088624369, 'MAE_30m': 1.5271999835968018, 'RMSE_30m': 2.949328207043728, 'sMAPE_30m': 3.8728943239995086, 'R2_30m': 0.9874599697416955, 'MAE_avg': 1.2598911821842194, 'RMSE_avg': 2.388721060782536, 'sMAPE_avg': 3.062099846175041, 'R2_avg': 0.9913206393020662}",COMPLETE
2,1.167209506034851,2026-04-06 04:33:50.372267,2026-04-06 04:33:52.706307,0 days 00:00:02.334040,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[187, 168]","{'MAE_15m': 0.9071130752563477, 'RMSE_15m': 1.45285622356786, 'sMAPE_15m': 2.3747549712138207, 'R2_15m': 0.9969565381873143, 'MAE_30m': 1.4273059368133545, 'RMSE_30m': 2.80605773606994, 'sMAPE_30m': 3.7559140161679676, 'R2_30m': 0.9886486994120235, 'MAE_avg': 1.167209506034851, 'RMSE_avg': 2.1294569798189, 'sMAPE_avg': 3.0653344936908944, 'R2_avg': 0.9928026187996689}",COMPLETE
3,1.5114542841911316,2026-04-06 04:33:52.708478,2026-04-06 04:33:56.411142,0 days 00:00:03.702664,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[346, 294]","{'MAE_15m': 1.0522820949554443, 'RMSE_15m': 1.8427602406622055, 'sMAPE_15m': 2.578822440805228, 'R2_15m': 0.9951037872627452, 'MAE_30m': 1.9706264734268188, 'RMSE_30m': 4.195584592040747, 'sMAPE_30m': 4.643274900666675, 'R2_30m': 0.9746231686587996, 'MAE_avg': 1.5114542841911316, 'RMSE_avg': 3.019172416351476, 'sMAPE_avg': 3.6110486707359515, 'R2_avg': 0.9848634779607723}",COMPLETE
4,1.8814061880111694,2026-04-06 04:33:56.413653,2026-04-06 04:33:58.477807,0 days 00:00:02.064154,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[45, 24]","{'MAE_15m': 1.435293436050415, 'RMSE_15m': 2.369423795100525, 'sMAPE_15m': 4.627651468286326, 'R2_15m': 0.9919051639272876, 'MAE_30m': 2.327518939971924, 'RMSE_30m': 4.456376879411954, 'sMAPE_30m': 6.518088589799412, 'R2_30m': 0.9713703385488852, 'MAE_avg': 1.8814061880111694, 'RMSE_avg': 3.4129003372562394, 'sMAPE_avg': 5.572870029042869, 'R2_avg': 0.9816377512380864}",COMPLETE
5,3.521783471107483,2026-04-06 04:33:58.486770,2026-04-06 04:34:00.965473,0 days 00:00:02.478703,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 3.187544822692871, 'RMSE_15m': 3.8076924514474078, 'sMAPE_15m': 9.704664644603604, 'R2_15m': 0.9790951841098091, 'MAE_30m': 3.8560221195220947, 'RMSE_30m': 4.995375783720485, 'sMAPE_30m': 11.340347862647054, 'R2_30m': 0.9640259992817407, 'MAE_avg': 3.521783471107483, 'RMSE_avg': 4.401534117583946, 'sMAPE_avg': 10.522506253625329, 'R2_avg': 0.9715605916957749}",COMPLETE
6,1.3001534938812256,2026-04-06 04:34:00.969354,2026-04-06 04:34:02.764790,0 days 00:00:01.795436,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[85, 71]","{'MAE_15m': 1.0468488931655884, 'RMSE_15m': 1.6865266182521033, 'sMAPE_15m': 2.8901876372141255, 'R2_15m': 0.9958988187829705, 'MAE_30m': 1.5534580945968628, 'RMSE_30m': 2.863263597212807, 'sMAPE_30m': 4.367603440884248, 'R2_30m': 0.9881811545984188, 'MAE_avg': 1.3001534938812256, 'RMSE_avg': 2.2748951077324553, 'sMAPE_avg': 3.6288955390491866, 'R2_avg': 0.9920399866906946}",COMPLETE
7,3.591821551322937,2026-04-06 04:34:02.768440,2026-04-06 04:34:04.968215,0 days 00:00:02.199775,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 3.2155864238739014, 'RMSE_15m': 4.267941024329906, 'sMAPE_15m': 9.81180534955913, 'R2_15m': 0.9737360907014359, 'MAE_30m': 3.9680566787719727, 'RMSE_30m': 5.488689236392547, 'sMAPE_30m': 11.577076875037795, 'R2_30m': 0.9565700130716499, 'MAE_avg': 3.591821551322937, 'RMSE_avg': 4.878315130361226, 'sMAPE_avg': 10.694441112298463, 'R2_avg': 0.9651530518865429}",COMPLETE
8,1.2806822061538696,2026-04-06 04:34:04.985415,2026-04-06 04:34:08.406635,0 days 00:00:03.421220,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[397, 395]","{'MAE_15m': 0.9983323812484741, 'RMSE_15m': 1.7583521713886896, 'sMAPE_15m': 2.86125886358508, 'R2_15m': 0.9955420591395897, 'MAE_30m': 1.5630320310592651, 'RMSE_30m': 3.1125951606880036, 'sMAPE_30m': 4.206350697492361, 'R2_30m': 0.9860331743654829, 'MAE_avg': 1.2806822061538696, 'RMSE_avg': 2.4354736660383467, 'sMAPE_avg': 3.5338047805387207, 'R2_avg': 0.9907876167525362}",COMPLETE
9,1.6935535073280334,2026-04-06 04:34:08.408216,2026-04-06 04:34:10.556884,0 days 00:00:02.148668,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[68, 48]","{'MAE_15m': 1.1570757627487183, 'RMSE_15m': 2.255995286422567, 'sMAPE_15m': 2.9480772256018284, 'R2_15m': 0.9926616404382785, 'MAE_30m': 2.2300312519073486, 'RMSE_30m': 4.717789103711569, 'sMAPE_30m': 5.425437817185939, 'R2_30m': 0.9679129734684911, 'MAE_avg': 1.6935535073280334, 'RMSE_avg': 3.486892195067068, 'sMAPE_avg': 4.186757521393884, 'R2_avg': 0.9802873069533848}",COMPLETE
10,1.4452308416366577,2026-04-06 04:34:10.558538,2026-04-06 04:34:13.452969,0 days 00:00:02.894431,0.8277250010609204,3.3342913754128913,0.03018055303192452,2,5,1200,14.73099293843444,0.6071847502459278,"[232, 526]","{'MAE_15m': 1.1303972005844116, 'RMSE_15m': 2.4409149896367346, 'sMAPE_15m': 3.167226053814148, 'R2_15m': 0.9914093125315807, 'MAE_30m': 1.7600644826889038, 'RMSE_30m': 3.4634234797837506, 'sMAPE_30m': 4.611303674447241, 'R2_30m': 0.9827072681350975, 'MAE_avg': 1.4452308416366577, 'RMSE_avg': 2.952169234710243, 'sMAPE_avg': 3.8892648641306944, 'R2_avg': 0.9870582903333391}",COMPLETE
11,1.2608030438423157,2026-04-06 04:34:13.457861,2026-04-06 04:34:16.068771,0 days 00:00:02.610910,0.9193086824158574,1.4641156868781677,0.037329022558038195,6,4,1000,0.017149951883385934,0.7087816896188164,"[141, 145]","{'MAE_15m': 1.0442895889282227, 'RMSE_15m': 1.828297533550079, 'sMAPE_15m': 2.540707226021341, 'R2_15m': 0.9951803411054487, 'MAE_30m': 1.4773164987564087, 'RMSE_30m': 2.7081878525223395, 'sMAPE_30m': 3.790404048030733, 'R2_30m': 0.9894267137690526, 'MAE_avg': 1.2608030438423157, 'RMSE_avg': 2.268242693036209, 'sMAPE_avg': 3.1655556370260367, 'R2_avg': 0.9923035274372507}",COMPLETE
12,1.112457275390625,2026-04-06 04:34:16.076133,2026-04-06 04:34:19.056435,0 days 00:00:02.980302,0.8901261882154125,0.2254704704908792,0.024423270176764048,4,3,800,0.07341932500560953,0.6857486542395244,"[351, 262]","{'MAE_15m': 0.821076512336731, 'RMSE_15m': 1.2836661004394005, 'sMAPE_15m': 2.0751173364684186, 'R2_15m': 0.997624107564472, 'MAE_30m': 1.403838038444519, 'RMSE_30m': 2.6021627014451805, 'sMAPE_30m': 3.6650739564194845, 'R2_30m': 0.9902383937327578, 'MAE_avg': 1.112457275390625, 'RMSE_avg': 1.9429144009422905, 'sMAPE_avg': 2.8700956464439518, 'R2_avg': 0.9939312506486149}",COMPLETE
13,1.1739723682403564,2026-04-06 04:34:19.058793,2026-04-06 04:34:22.131830,0 days 00:00:03.073037,0.8610981157732503,0.01703529883193572,0.027143157197441686,4,6,400,0.21657899158484487,0.6908556046603515,"[299, 235]","{'MAE_15m': 0.913205623626709, 'RMSE_15m': 1.4317944952696844, 'sMAPE_15m': 2.4380948267551794, 'R2_15m': 0.9970441395233084, 'MAE_30m': 1.434739112854004, 'RMSE_30m': 2.718920472160881, 'sMAPE_30m': 3.772081348067164, 'R2_30m': 0.9893427443262174, 'MAE_avg': 1.1739723682403564, 'RMSE_avg': 2.0753574837152824, 'sMAPE_avg': 3.105088087411172, 'R2_avg': 0.9931934419247629}",COMPLETE
14,1.2040259838104248,2026-04-06 04:34:22.133647,2026-04-06 04:34:24.322346,0 days 00:00:02.188699,0.7926819325261493,3.0339296150721604,0.06667640285832162,4,3,1000,0.04949525628233036,0.6265070033696021,"[104, 120]","{'MAE_15m': 0.9723256826400757, 'RMSE_15m': 1.5169862749287297, 'sMAPE_15m': 2.6118400129778627, 'R2_15m': 0.996681927196682, 'MAE_30m': 1.435726284980774, 'RMSE_30m': 2.5895935213886494, 'sMAPE_30m': 3.798693936640485, 'R2_30m': 0.9903324690710719, 'MAE_avg': 1.2040259838104248, 'RMSE_avg': 2.0532898981586896, 'sMAPE_avg': 3.2052669748091738, 'R2_avg': 0.993507198133877}",COMPLETE
