number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.9546710848808289,2026-04-06 04:34:25.622852,2026-04-06 04:34:27.415181,0 days 00:00:01.792329,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[0, 0]","{'MAE_15m': 1.9257501363754272, 'RMSE_15m': 2.54567676277085, 'sMAPE_15m': 2.5781530290778143, 'R2_15m': -0.045881457881554955, 'MAE_30m': 1.9835920333862305, 'RMSE_30m': 2.607937536790477, 'sMAPE_30m': 2.6550952918178874, 'R2_30m': -0.07632969863990668, 'MAE_avg': 1.9546710848808289, 'RMSE_avg': 2.5768071497806635, 'sMAPE_avg': 2.616624160447851, 'R2_avg': -0.06110557826073082}",COMPLETE
1,1.9599472284317017,2026-04-06 04:34:27.419944,2026-04-06 04:34:29.203164,0 days 00:00:01.783220,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[0, 17]","{'MAE_15m': 1.9516011476516724, 'RMSE_15m': 2.571997186068928, 'sMAPE_15m': 2.6131190418470913, 'R2_15m': -0.06762052442076882, 'MAE_30m': 1.968293309211731, 'RMSE_30m': 2.5821272793224375, 'sMAPE_30m': 2.634444071274626, 'R2_30m': -0.05513067715608422, 'MAE_avg': 1.9599472284317017, 'RMSE_avg': 2.577062232695683, 'sMAPE_avg': 2.623781556560859, 'R2_avg': -0.06137560078842652}",COMPLETE
2,1.9673377871513367,2026-04-06 04:34:29.221383,2026-04-06 04:34:30.757242,0 days 00:00:01.535859,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[1, 0]","{'MAE_15m': 1.955273985862732, 'RMSE_15m': 2.5735510740250005, 'sMAPE_15m': 2.6180730571552124, 'R2_15m': -0.06891095668248681, 'MAE_30m': 1.9794015884399414, 'RMSE_30m': 2.6026855427527824, 'sMAPE_30m': 2.649417144124875, 'R2_30m': -0.07199889694737971, 'MAE_avg': 1.9673377871513367, 'RMSE_avg': 2.5881183083888915, 'sMAPE_avg': 2.6337451006400436, 'R2_avg': -0.07045492681493326}",COMPLETE
3,1.9662538170814514,2026-04-06 04:34:30.758577,2026-04-06 04:34:32.386076,0 days 00:00:01.627499,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[0, 0]","{'MAE_15m': 1.950945496559143, 'RMSE_15m': 2.570084674791028, 'sMAPE_15m': 2.612233495845057, 'R2_15m': -0.0660333188034985, 'MAE_30m': 1.9815621376037598, 'RMSE_30m': 2.6068661443998455, 'sMAPE_30m': 2.652339913402986, 'R2_30m': -0.07544535335844982, 'MAE_avg': 1.9662538170814514, 'RMSE_avg': 2.5884754095954365, 'sMAPE_avg': 2.6322867046240215, 'R2_avg': -0.07073933608097416}",COMPLETE
4,1.9740865230560303,2026-04-06 04:34:32.397193,2026-04-06 04:34:33.880966,0 days 00:00:01.483773,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[0, 0]","{'MAE_15m': 1.9615803956985474, 'RMSE_15m': 2.5788483500806367, 'sMAPE_15m': 2.626619466780383, 'R2_15m': -0.07331581275449062, 'MAE_30m': 1.9865926504135132, 'RMSE_30m': 2.6271813729547007, 'sMAPE_30m': 2.6592284259875547, 'R2_30m': -0.09227260054171071, 'MAE_avg': 1.9740865230560303, 'RMSE_avg': 2.6030148615176687, 'sMAPE_avg': 2.642923946383969, 'R2_avg': -0.08279420664810067}",COMPLETE
5,1.9606993198394775,2026-04-06 04:34:33.883986,2026-04-06 04:34:35.459601,0 days 00:00:01.575615,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[0, 1]","{'MAE_15m': 1.9508625268936157, 'RMSE_15m': 2.571429812718652, 'sMAPE_15m': 2.6121196229593373, 'R2_15m': -0.06714953056452466, 'MAE_30m': 1.9705361127853394, 'RMSE_30m': 2.5988385944393526, 'sMAPE_30m': 2.6374165404641614, 'R2_30m': -0.06883235348209316, 'MAE_avg': 1.9606993198394775, 'RMSE_avg': 2.5851342035790026, 'sMAPE_avg': 2.6247680817117494, 'R2_avg': -0.06799094202330891}",COMPLETE
6,1.9557490944862366,2026-04-06 04:34:35.461174,2026-04-06 04:34:37.194025,0 days 00:00:01.732851,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[0, 1]","{'MAE_15m': 1.9522552490234375, 'RMSE_15m': 2.5717471678473394, 'sMAPE_15m': 2.6140136970375236, 'R2_15m': -0.06741300025641439, 'MAE_30m': 1.9592429399490356, 'RMSE_30m': 2.5800552078372823, 'sMAPE_30m': 2.6221779046603, 'R2_30m': -0.05343793784036954, 'MAE_avg': 1.9557490944862366, 'RMSE_avg': 2.5759011878423106, 'sMAPE_avg': 2.618095800848912, 'R2_avg': -0.06042546904839197}",COMPLETE
7,1.961244821548462,2026-04-06 04:34:37.195822,2026-04-06 04:34:38.897846,0 days 00:00:01.702024,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[18, 1]","{'MAE_15m': 1.9488579034805298, 'RMSE_15m': 2.5722044500840573, 'sMAPE_15m': 2.609412650255867, 'R2_15m': -0.06779258679155342, 'MAE_30m': 1.973631739616394, 'RMSE_30m': 2.6010489658614344, 'sMAPE_30m': 2.6416054583697166, 'R2_30m': -0.07065116542407024, 'MAE_avg': 1.961244821548462, 'RMSE_avg': 2.586626707972746, 'sMAPE_avg': 2.6255090543127917, 'R2_avg': -0.06922187610781183}",COMPLETE
8,1.9625927805900574,2026-04-06 04:34:38.901310,2026-04-06 04:34:40.540297,0 days 00:00:01.638987,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[0, 0]","{'MAE_15m': 1.949570655822754, 'RMSE_15m': 2.5708893009896623, 'sMAPE_15m': 2.610371769546575, 'R2_15m': -0.0667009777947638, 'MAE_30m': 1.9756149053573608, 'RMSE_30m': 2.6022606448460537, 'sMAPE_30m': 2.6442889696258725, 'R2_30m': -0.0716487876003904, 'MAE_avg': 1.9625927805900574, 'RMSE_avg': 2.586574972917858, 'sMAPE_avg': 2.6273303695862236, 'R2_avg': -0.0691748826975771}",COMPLETE
9,1.9729102849960327,2026-04-06 04:34:40.541764,2026-04-06 04:34:42.496378,0 days 00:00:01.954614,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[0, 0]","{'MAE_15m': 1.9699476957321167, 'RMSE_15m': 2.599017482127815, 'sMAPE_15m': 2.637983520720116, 'R2_15m': -0.09017031714298485, 'MAE_30m': 1.9758728742599487, 'RMSE_30m': 2.6036164478145243, 'sMAPE_30m': 2.6446264534850603, 'R2_30m': -0.0727659142554089, 'MAE_avg': 1.9729102849960327, 'RMSE_avg': 2.6013169649711694, 'sMAPE_avg': 2.641304987102588, 'R2_avg': -0.08146811569919687}",COMPLETE
10,1.9671381115913391,2026-04-06 04:34:42.497818,2026-04-06 04:34:44.213599,0 days 00:00:01.715781,0.6061470949312417,4.8806994992899755,0.07139614686948192,8,5,1200,0.011219967035034627,0.6071847502459278,"[2, 0]","{'MAE_15m': 1.9489030838012695, 'RMSE_15m': 2.575762689469781, 'sMAPE_15m': 2.6096864213932225, 'R2_15m': -0.0707488880496141, 'MAE_30m': 1.9853731393814087, 'RMSE_30m': 2.6125949933609527, 'sMAPE_30m': 2.6576144391992034, 'R2_30m': -0.08017744627191492, 'MAE_avg': 1.9671381115913391, 'RMSE_avg': 2.594178841415367, 'sMAPE_avg': 2.633650430296213, 'R2_avg': -0.07546316716076451}",COMPLETE
