number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,3.4249695539474487,2026-04-06 04:34:51.335791,2026-04-06 04:34:53.361849,0 days 00:00:02.026058,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[38, 47]","{'MAE_15m': 2.838470697402954, 'RMSE_15m': 5.315821607789781, 'sMAPE_15m': 5.737257636292158, 'R2_15m': 0.8945340668154589, 'MAE_30m': 4.011468410491943, 'RMSE_30m': 7.508613980291522, 'sMAPE_30m': 8.07616662407414, 'R2_30m': 0.7894845015250045, 'MAE_avg': 3.4249695539474487, 'RMSE_avg': 6.412217794040652, 'sMAPE_avg': 6.906712130183149, 'R2_avg': 0.8420092841702317}",COMPLETE
1,3.0453637838363647,2026-04-06 04:34:53.364332,2026-04-06 04:34:57.257285,0 days 00:00:03.892953,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[404, 487]","{'MAE_15m': 2.5219247341156006, 'RMSE_15m': 4.796948957339072, 'sMAPE_15m': 4.914550678017638, 'R2_15m': 0.9141181084619833, 'MAE_30m': 3.568802833557129, 'RMSE_30m': 7.125723015758783, 'sMAPE_30m': 6.985274330838194, 'R2_30m': 0.8104069531583652, 'MAE_avg': 3.0453637838363647, 'RMSE_avg': 5.961335986548928, 'sMAPE_avg': 5.949912504427916, 'R2_avg': 0.8622625308101742}",COMPLETE
2,2.847573161125183,2026-04-06 04:34:57.259515,2026-04-06 04:34:59.627837,0 days 00:00:02.368322,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[127, 128]","{'MAE_15m': 2.197805404663086, 'RMSE_15m': 4.346918939824986, 'sMAPE_15m': 4.305818148201153, 'R2_15m': 0.9294764023681829, 'MAE_30m': 3.4973409175872803, 'RMSE_30m': 6.908385071907747, 'sMAPE_30m': 6.795799095451148, 'R2_30m': 0.821795932192239, 'MAE_avg': 2.847573161125183, 'RMSE_avg': 5.627652005866366, 'sMAPE_avg': 5.5508086218261505, 'R2_avg': 0.8756361672802109}",COMPLETE
3,2.973496437072754,2026-04-06 04:34:59.632034,2026-04-06 04:35:02.619596,0 days 00:00:02.987562,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[208, 248]","{'MAE_15m': 2.5071098804473877, 'RMSE_15m': 5.001258882354041, 'sMAPE_15m': 5.026610013600115, 'R2_15m': 0.9066466225836579, 'MAE_30m': 3.43988299369812, 'RMSE_30m': 7.067491506025609, 'sMAPE_30m': 6.727248424024553, 'R2_30m': 0.813493003700906, 'MAE_avg': 2.973496437072754, 'RMSE_avg': 6.034375194189826, 'sMAPE_avg': 5.876929218812334, 'R2_avg': 0.8600698131422819}",COMPLETE
4,2.9376829862594604,2026-04-06 04:35:02.623520,2026-04-06 04:35:04.304054,0 days 00:00:01.680534,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[20, 25]","{'MAE_15m': 2.389444351196289, 'RMSE_15m': 5.034015724627397, 'sMAPE_15m': 4.612634124358766, 'R2_15m': 0.9054197338316403, 'MAE_30m': 3.485921621322632, 'RMSE_30m': 7.033433363264934, 'sMAPE_30m': 6.847380411084895, 'R2_30m': 0.8152862348265177, 'MAE_avg': 2.9376829862594604, 'RMSE_avg': 6.033724543946166, 'sMAPE_avg': 5.730007267721831, 'R2_avg': 0.860352984329079}",COMPLETE
5,3.8234783411026,2026-04-06 04:35:04.305710,2026-04-06 04:35:06.624961,0 days 00:00:02.319251,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 3.433936834335327, 'RMSE_15m': 5.1693782253944836, 'sMAPE_15m': 6.672130298329152, 'R2_15m': 0.9002649051381462, 'MAE_30m': 4.213019847869873, 'RMSE_30m': 6.920908841114129, 'sMAPE_30m': 7.845211049872293, 'R2_30m': 0.8211492394259476, 'MAE_avg': 3.8234783411026, 'RMSE_avg': 6.045143533254306, 'sMAPE_avg': 7.258670674100722, 'R2_avg': 0.8607070722820469}",COMPLETE
6,2.6573777198791504,2026-04-06 04:35:06.627198,2026-04-06 04:35:08.499273,0 days 00:00:01.872075,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[33, 32]","{'MAE_15m': 1.9515304565429688, 'RMSE_15m': 4.3533373077826205, 'sMAPE_15m': 3.7046692024469094, 'R2_15m': 0.9292679803253094, 'MAE_30m': 3.363224983215332, 'RMSE_30m': 6.815320192401174, 'sMAPE_30m': 6.522701498573218, 'R2_30m': 0.8265648772961876, 'MAE_avg': 2.6573777198791504, 'RMSE_avg': 5.584328750091897, 'sMAPE_avg': 5.113685350510064, 'R2_avg': 0.8779164288107485}",COMPLETE
7,3.53631591796875,2026-04-06 04:35:08.500673,2026-04-06 04:35:10.661982,0 days 00:00:02.161309,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 2.8546910285949707, 'RMSE_15m': 4.656700163720542, 'sMAPE_15m': 5.229137854587707, 'R2_15m': 0.9190665662247288, 'MAE_30m': 4.217940807342529, 'RMSE_30m': 6.97099151827075, 'sMAPE_30m': 7.832431242789982, 'R2_30m': 0.8185513927645816, 'MAE_avg': 3.53631591796875, 'RMSE_avg': 5.813845840995645, 'sMAPE_avg': 6.530784548688844, 'R2_avg': 0.8688089794946552}",COMPLETE
8,2.9737203121185303,2026-04-06 04:35:10.664562,2026-04-06 04:35:14.000184,0 days 00:00:03.335622,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[383, 284]","{'MAE_15m': 2.4837656021118164, 'RMSE_15m': 4.646692900690778, 'sMAPE_15m': 5.048755379125812, 'R2_15m': 0.9194140481664711, 'MAE_30m': 3.463675022125244, 'RMSE_30m': 6.843127914791826, 'sMAPE_30m': 6.7436962149960715, 'R2_30m': 0.8251466957856789, 'MAE_avg': 2.9737203121185303, 'RMSE_avg': 5.744910407741302, 'sMAPE_avg': 5.896225797060942, 'R2_avg': 0.872280371976075}",COMPLETE
9,3.082802653312683,2026-04-06 04:35:14.001662,2026-04-06 04:35:15.974403,0 days 00:00:01.972741,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[43, 37]","{'MAE_15m': 2.5061960220336914, 'RMSE_15m': 5.387886745086691, 'sMAPE_15m': 4.8873511762357005, 'R2_15m': 0.8916551361723482, 'MAE_30m': 3.659409284591675, 'RMSE_30m': 7.035724216645046, 'sMAPE_30m': 6.991136751536129, 'R2_30m': 0.8151658928782965, 'MAE_avg': 3.082802653312683, 'RMSE_avg': 6.211805480865868, 'sMAPE_avg': 5.9392439638859145, 'R2_avg': 0.8534105145253224}",COMPLETE
