number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.0123290419578552,2026-04-06 04:35:25.685340,2026-04-06 04:35:27.749938,0 days 00:00:02.064598,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[51, 48]","{'MAE_15m': 0.6506365537643433, 'RMSE_15m': 0.8945631996012926, 'sMAPE_15m': 0.8527790179663967, 'R2_15m': -0.6451252403071777, 'MAE_30m': 1.3740215301513672, 'RMSE_30m': 2.1585982431371193, 'sMAPE_30m': 1.8302884528240713, 'R2_30m': -8.492690804115307, 'MAE_avg': 1.0123290419578552, 'RMSE_avg': 1.526580721369206, 'sMAPE_avg': 1.341533735395234, 'R2_avg': -4.568908022211242}",COMPLETE
1,0.8541643023490906,2026-04-06 04:35:27.751507,2026-04-06 04:35:32.243886,0 days 00:00:04.492379,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[490, 508]","{'MAE_15m': 0.6532158851623535, 'RMSE_15m': 0.8535326643929868, 'sMAPE_15m': 0.8554377950897928, 'R2_15m': -0.49767371977165564, 'MAE_30m': 1.0551127195358276, 'RMSE_30m': 1.4993491350163632, 'sMAPE_30m': 1.392695386275809, 'R2_30m': -3.5798499796349965, 'MAE_avg': 0.8541643023490906, 'RMSE_avg': 1.1764408997046751, 'sMAPE_avg': 1.124066590682801, 'R2_avg': -2.038761849703326}",COMPLETE
2,0.8244975209236145,2026-04-06 04:35:32.245666,2026-04-06 04:35:34.682795,0 days 00:00:02.437129,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[158, 163]","{'MAE_15m': 0.625895619392395, 'RMSE_15m': 0.8301144580743238, 'sMAPE_15m': 0.8194971222651307, 'R2_15m': -0.41661836886442427, 'MAE_30m': 1.023099422454834, 'RMSE_30m': 1.4148110784574137, 'sMAPE_30m': 1.3493110993063788, 'R2_30m': -3.077956677382443, 'MAE_avg': 0.8244975209236145, 'RMSE_avg': 1.1224627682658688, 'sMAPE_avg': 1.0844041107857547, 'R2_avg': -1.7472875231234335}",COMPLETE
3,0.8716541826725006,2026-04-06 04:35:34.694769,2026-04-06 04:35:38.063380,0 days 00:00:03.368611,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[308, 301]","{'MAE_15m': 0.6576369404792786, 'RMSE_15m': 0.8524702291240535, 'sMAPE_15m': 0.8613512236286501, 'R2_15m': -0.49394760182418773, 'MAE_30m': 1.0856714248657227, 'RMSE_30m': 1.5931137161184512, 'sMAPE_30m': 1.4358481957748128, 'R2_30m': -4.170580362346451, 'MAE_avg': 0.8716541826725006, 'RMSE_avg': 1.2227919726212524, 'sMAPE_avg': 1.1485997097017315, 'R2_avg': -2.332263982085319}",COMPLETE
4,0.9237249493598938,2026-04-06 04:35:38.064862,2026-04-06 04:35:39.894825,0 days 00:00:01.829963,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[28, 23]","{'MAE_15m': 0.6216480731964111, 'RMSE_15m': 0.7684256652566044, 'sMAPE_15m': 0.8132850770770762, 'R2_15m': -0.21389369123054602, 'MAE_30m': 1.2258018255233765, 'RMSE_30m': 1.9434764117553154, 'sMAPE_30m': 1.6302746844836187, 'R2_30m': -6.694922124994169, 'MAE_avg': 0.9237249493598938, 'RMSE_avg': 1.3559510385059599, 'sMAPE_avg': 1.2217798807803475, 'R2_avg': -3.4544079081123575}",COMPLETE
5,2.867037057876587,2026-04-06 04:35:39.896583,2026-04-06 04:35:42.546920,0 days 00:00:02.650337,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 2.615438938140869, 'RMSE_15m': 2.7124873851008147, 'sMAPE_15m': 3.4762900824798804, 'R2_15m': -14.125591632928195, 'MAE_30m': 3.1186351776123047, 'RMSE_30m': 3.2312339974160227, 'sMAPE_30m': 4.161910084512207, 'R2_30m': -20.270737276976103, 'MAE_avg': 2.867037057876587, 'RMSE_avg': 2.971860691258419, 'sMAPE_avg': 3.8191000834960436, 'R2_avg': -17.19816445495215}",COMPLETE
6,0.7637564837932587,2026-04-06 04:35:42.548645,2026-04-06 04:35:44.259238,0 days 00:00:01.710593,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[44, 30]","{'MAE_15m': 0.6121994853019714, 'RMSE_15m': 0.7856028031860498, 'sMAPE_15m': 0.8009029489859669, 'R2_15m': -0.26877009568750587, 'MAE_30m': 0.9153134822845459, 'RMSE_30m': 1.1364566985951015, 'sMAPE_30m': 1.2021897853946968, 'R2_30m': -1.6311856561828213, 'MAE_avg': 0.7637564837932587, 'RMSE_avg': 0.9610297508905756, 'sMAPE_avg': 1.0015463671903317, 'R2_avg': -0.9499778759351636}",COMPLETE
7,2.9130603075027466,2026-04-06 04:35:44.262773,2026-04-06 04:35:46.343234,0 days 00:00:02.080461,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 2.6328399181365967, 'RMSE_15m': 2.723838516624735, 'sMAPE_15m': 3.4996033897047147, 'R2_15m': -14.252451012546373, 'MAE_30m': 3.1932806968688965, 'RMSE_30m': 3.271699648933941, 'sMAPE_30m': 4.262016173129178, 'R2_30m': -20.806832352986916, 'MAE_avg': 2.9130603075027466, 'RMSE_avg': 2.997769082779338, 'sMAPE_avg': 3.8808097814169464, 'R2_avg': -17.529641682766645}",COMPLETE
8,0.8224180042743683,2026-04-06 04:35:46.347460,2026-04-06 04:35:49.749285,0 days 00:00:03.401825,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[394, 387]","{'MAE_15m': 0.6192463040351868, 'RMSE_15m': 0.7959306768896981, 'sMAPE_15m': 0.8104263860966305, 'R2_15m': -0.30234905442418336, 'MAE_30m': 1.0255897045135498, 'RMSE_30m': 1.3412508679588901, 'sMAPE_30m': 1.3511657789008138, 'R2_30m': -2.664930432934208, 'MAE_avg': 0.8224180042743683, 'RMSE_avg': 1.0685907724242942, 'sMAPE_avg': 1.0807960824987222, 'R2_avg': -1.4836397436791957}",COMPLETE
9,0.8971879780292511,2026-04-06 04:35:49.751234,2026-04-06 04:35:51.862461,0 days 00:00:02.111227,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[67, 49]","{'MAE_15m': 0.6490201354026794, 'RMSE_15m': 0.8814794890905558, 'sMAPE_15m': 0.8507003993318697, 'R2_15m': -0.5973547214610766, 'MAE_30m': 1.1453558206558228, 'RMSE_30m': 1.6497628908585855, 'sMAPE_30m': 1.5152333218015832, 'R2_30m': -4.5448370590606775, 'MAE_avg': 0.8971879780292511, 'RMSE_avg': 1.2656211899745706, 'sMAPE_avg': 1.1829668605667265, 'R2_avg': -2.571095890260877}",COMPLETE
