number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1.784122109413147,2026-04-06 04:36:04.246774,2026-04-06 04:36:05.898015,0 days 00:00:01.651241,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[10, 14]","{'MAE_15m': 1.868851661682129, 'RMSE_15m': 3.55769090473996, 'sMAPE_15m': 2.585318498178534, 'R2_15m': -0.21686061368433296, 'MAE_30m': 1.699392557144165, 'RMSE_30m': 2.1444659891951416, 'sMAPE_30m': 2.256193363881846, 'R2_30m': -0.5835249638278084, 'MAE_avg': 1.784122109413147, 'RMSE_avg': 2.8510784469675508, 'sMAPE_avg': 2.42075593103019, 'R2_avg': -0.40019278875607067}",COMPLETE
1,1.6760680079460144,2026-04-06 04:36:05.899364,2026-04-06 04:36:08.537460,0 days 00:00:02.638096,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[144, 212]","{'MAE_15m': 1.723238229751587, 'RMSE_15m': 3.5101115078072964, 'sMAPE_15m': 2.39161517138619, 'R2_15m': -0.18453057696112496, 'MAE_30m': 1.628897786140442, 'RMSE_30m': 2.3450694121476507, 'sMAPE_30m': 2.179271771527687, 'R2_30m': -0.8936422497746117, 'MAE_avg': 1.6760680079460144, 'RMSE_avg': 2.9275904599774734, 'sMAPE_avg': 2.2854434714569383, 'R2_avg': -0.5390864133678683}",COMPLETE
2,1.70069420337677,2026-04-06 04:36:08.542720,2026-04-06 04:36:10.497903,0 days 00:00:01.955183,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[52, 51]","{'MAE_15m': 1.7491848468780518, 'RMSE_15m': 3.487395341731598, 'sMAPE_15m': 2.423947888887409, 'R2_15m': -0.16924838002318254, 'MAE_30m': 1.6522035598754883, 'RMSE_30m': 2.109146670946672, 'sMAPE_30m': 2.193430736950552, 'R2_30m': -0.531793176603538, 'MAE_avg': 1.70069420337677, 'RMSE_avg': 2.798271006339135, 'sMAPE_avg': 2.3086893129189807, 'R2_avg': -0.35052077831336026}",COMPLETE
3,1.7157626748085022,2026-04-06 04:36:10.501553,2026-04-06 04:36:12.783657,0 days 00:00:02.282104,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[55, 97]","{'MAE_15m': 1.8128069639205933, 'RMSE_15m': 3.5541020508617156, 'sMAPE_15m': 2.5118970891221544, 'R2_15m': -0.21440678220418286, 'MAE_30m': 1.6187183856964111, 'RMSE_30m': 2.0832766588767453, 'sMAPE_30m': 2.1496603095293083, 'R2_30m': -0.4944469016653035, 'MAE_avg': 1.7157626748085022, 'RMSE_avg': 2.8186893548692304, 'sMAPE_avg': 2.330778699325731, 'R2_avg': -0.35442684193474316}",COMPLETE
4,1.6899072527885437,2026-04-06 04:36:12.788749,2026-04-06 04:36:14.444629,0 days 00:00:01.655880,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[5, 12]","{'MAE_15m': 1.7530781030654907, 'RMSE_15m': 3.3460793626018615, 'sMAPE_15m': 2.4254609987123406, 'R2_15m': -0.07640790441309475, 'MAE_30m': 1.6267364025115967, 'RMSE_30m': 2.018684253862097, 'sMAPE_30m': 2.156842412547981, 'R2_30m': -0.4032122194068304, 'MAE_avg': 1.6899072527885437, 'RMSE_avg': 2.6823818082319795, 'sMAPE_avg': 2.2911517056301607, 'R2_avg': -0.23981006190996257}",COMPLETE
5,1.6312116980552673,2026-04-06 04:36:14.445953,2026-04-06 04:36:16.813347,0 days 00:00:02.367394,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[192, 198]","{'MAE_15m': 1.6994166374206543, 'RMSE_15m': 3.4317277474978662, 'sMAPE_15m': 2.3543915663300523, 'R2_15m': -0.13221800038499865, 'MAE_30m': 1.5630067586898804, 'RMSE_30m': 1.9623160209187993, 'sMAPE_30m': 2.0707653304332645, 'R2_30m': -0.3259416863028839, 'MAE_avg': 1.6312116980552673, 'RMSE_avg': 2.6970218842083327, 'sMAPE_avg': 2.2125784483816586, 'R2_avg': -0.22907984334394127}",COMPLETE
6,1.6387269496917725,2026-04-06 04:36:16.816267,2026-04-06 04:36:18.405391,0 days 00:00:01.589124,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[7, 9]","{'MAE_15m': 1.7328664064407349, 'RMSE_15m': 3.643992164377274, 'sMAPE_15m': 2.4160366324586997, 'R2_15m': -0.27661309363835485, 'MAE_30m': 1.54458749294281, 'RMSE_30m': 1.9074872488693073, 'sMAPE_30m': 2.045239812073862, 'R2_30m': -0.2528810777170092, 'MAE_avg': 1.6387269496917725, 'RMSE_avg': 2.7757397066232907, 'sMAPE_avg': 2.230638222266281, 'R2_avg': -0.264747085677682}",COMPLETE
7,1.5987038612365723,2026-04-06 04:36:18.407207,2026-04-06 04:36:20.429284,0 days 00:00:02.022077,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1.6892651319503784, 'RMSE_15m': 3.5015168309159246, 'sMAPE_15m': 2.3473484571589496, 'R2_15m': -0.1787368719732969, 'MAE_30m': 1.5081425905227661, 'RMSE_30m': 1.8646787764631445, 'sMAPE_30m': 1.9966511084146168, 'R2_30m': -0.1972768451318927, 'MAE_avg': 1.5987038612365723, 'RMSE_avg': 2.6830978036895345, 'sMAPE_avg': 2.1719997827867834, 'R2_avg': -0.1880068585525948}",COMPLETE
8,1.6665639877319336,2026-04-06 04:36:20.431354,2026-04-06 04:36:22.326753,0 days 00:00:01.895399,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[114, 110]","{'MAE_15m': 1.7608662843704224, 'RMSE_15m': 3.6413415031839653, 'sMAPE_15m': 2.4536935516750407, 'R2_15m': -0.2747565611911513, 'MAE_30m': 1.5722616910934448, 'RMSE_30m': 1.9409615143503514, 'sMAPE_30m': 2.0808209840728984, 'R2_30m': -0.2972403065396063, 'MAE_avg': 1.6665639877319336, 'RMSE_avg': 2.7911515087671583, 'sMAPE_avg': 2.2672572678739695, 'R2_avg': -0.2859984338653788}",COMPLETE
9,1.7760330438613892,2026-04-06 04:36:22.328232,2026-04-06 04:36:24.086100,0 days 00:00:01.757868,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[23, 15]","{'MAE_15m': 1.8984192609786987, 'RMSE_15m': 4.462860494632973, 'sMAPE_15m': 2.714909917965793, 'R2_15m': -0.9148335837355239, 'MAE_30m': 1.6536468267440796, 'RMSE_30m': 2.1171356983111584, 'sMAPE_30m': 2.193208885745903, 'R2_30m': -0.5434192692982012, 'MAE_avg': 1.7760330438613892, 'RMSE_avg': 3.2899980964720656, 'sMAPE_avg': 2.454059401855848, 'R2_avg': -0.7291264265168625}",COMPLETE
10,1.5711899399757385,2026-04-06 04:36:24.088518,2026-04-06 04:36:26.301799,0 days 00:00:02.213281,0.768161603273759,3.382861898713898,0.03018055303192452,2,5,1200,16.035821770966244,0.6071847502459278,"[80, 140]","{'MAE_15m': 1.6745861768722534, 'RMSE_15m': 3.5359233887947545, 'sMAPE_15m': 2.331286700827575, 'R2_15m': -0.2020155441598237, 'MAE_30m': 1.4677937030792236, 'RMSE_30m': 1.9453101713480665, 'sMAPE_30m': 1.9494574724979892, 'R2_30m': -0.30305954122748346, 'MAE_avg': 1.5711899399757385, 'RMSE_avg': 2.7406167800714103, 'sMAPE_avg': 2.140372086662782, 'R2_avg': -0.2525375426936536}",COMPLETE
11,1.5708717107772827,2026-04-06 04:36:26.308212,2026-04-06 04:36:28.022557,0 days 00:00:01.714345,0.7734976846635433,3.405501048018993,0.03201786023399872,2,5,1200,19.0311867924606,0.6046395533640769,"[84, 140]","{'MAE_15m': 1.6728514432907104, 'RMSE_15m': 3.56113206801362, 'sMAPE_15m': 2.331092672373147, 'R2_15m': -0.21921559421736347, 'MAE_30m': 1.468891978263855, 'RMSE_30m': 1.987110265270804, 'sMAPE_30m': 1.9531869919832352, 'R2_30m': -0.3596604646296684, 'MAE_avg': 1.5708717107772827, 'RMSE_avg': 2.774121166642212, 'sMAPE_avg': 2.142139832178191, 'R2_avg': -0.28943802942351593}",COMPLETE
12,1.5696552991867065,2026-04-06 04:36:28.024351,2026-04-06 04:36:30.085944,0 days 00:00:02.061593,0.782646706199276,3.5117174227195105,0.03325900508660437,2,5,1200,19.575094459216185,0.6014301271458979,"[80, 195]","{'MAE_15m': 1.6734566688537598, 'RMSE_15m': 3.5518374241404143, 'sMAPE_15m': 2.331075378341207, 'R2_15m': -0.21285971412521154, 'MAE_30m': 1.4658539295196533, 'RMSE_30m': 2.0308778862128802, 'sMAPE_30m': 1.9518004219805933, 'R2_30m': -0.4202153107340565, 'MAE_avg': 1.5696552991867065, 'RMSE_avg': 2.7913576551766472, 'sMAPE_avg': 2.1414379001609003, 'R2_avg': -0.316537512429634}",COMPLETE
13,1.5817205905914307,2026-04-06 04:36:30.087534,2026-04-06 04:36:32.032049,0 days 00:00:01.944515,0.8056891692692756,3.6371107744002913,0.024705044787345688,2,6,1200,19.90331362835953,0.6038855939114581,"[90, 137]","{'MAE_15m': 1.6816476583480835, 'RMSE_15m': 3.5611206864578553, 'sMAPE_15m': 2.3425878355219383, 'R2_15m': -0.21920796280041088, 'MAE_30m': 1.4817935228347778, 'RMSE_30m': 1.951697903922546, 'sMAPE_30m': 1.967849829924019, 'R2_30m': -0.31163108719528276, 'MAE_avg': 1.5817205905914307, 'RMSE_avg': 2.756409295190201, 'sMAPE_avg': 2.1552188327229787, 'R2_avg': -0.2654195249978468}",COMPLETE
14,1.5926856398582458,2026-04-06 04:36:32.044439,2026-04-06 04:36:33.854301,0 days 00:00:01.809862,0.8733018679858948,3.1051462800837695,0.05964961144406224,3,4,1000,7.164408834304608,0.6638123593227387,"[50, 46]","{'MAE_15m': 1.6724387407302856, 'RMSE_15m': 3.5347139366334255, 'sMAPE_15m': 2.328452594070287, 'R2_15m': -0.20119336154972323, 'MAE_30m': 1.512932538986206, 'RMSE_30m': 1.8850466820074159, 'sMAPE_30m': 2.0034003539150755, 'R2_30m': -0.22357561630659628, 'MAE_avg': 1.5926856398582458, 'RMSE_avg': 2.709880309320421, 'sMAPE_avg': 2.1659264739926813, 'R2_avg': -0.21238448892815975}",COMPLETE
