number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,3.1205337047576904,2026-04-06 04:36:34.511425,2026-04-06 04:36:36.552688,0 days 00:00:02.041263,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[40, 39]","{'MAE_15m': 2.7294530868530273, 'RMSE_15m': 3.4239611254383693, 'sMAPE_15m': 3.5460568720969308, 'R2_15m': 0.4217102393568515, 'MAE_30m': 3.5116143226623535, 'RMSE_30m': 4.170188076983113, 'sMAPE_30m': 4.589178731980248, 'R2_30m': 0.19961882917893925, 'MAE_avg': 3.1205337047576904, 'RMSE_avg': 3.797074601210741, 'sMAPE_avg': 4.06761780203859, 'R2_avg': 0.31066453426789536}",COMPLETE
1,2.9374555349349976,2026-04-06 04:36:36.554873,2026-04-06 04:36:41.573210,0 days 00:00:05.018337,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[795, 404]","{'MAE_15m': 2.470501184463501, 'RMSE_15m': 3.2082716370302338, 'sMAPE_15m': 3.202592339667708, 'R2_15m': 0.492273227576172, 'MAE_30m': 3.404409885406494, 'RMSE_30m': 4.019265035371585, 'sMAPE_30m': 4.45102603425289, 'R2_30m': 0.2565036844587265, 'MAE_avg': 2.9374555349349976, 'RMSE_avg': 3.613768336200909, 'sMAPE_avg': 3.8268091869602987, 'R2_avg': 0.37438845601744924}",COMPLETE
2,2.9867769479751587,2026-04-06 04:36:41.574579,2026-04-06 04:36:44.203914,0 days 00:00:02.629335,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[265, 101]","{'MAE_15m': 2.3895070552825928, 'RMSE_15m': 3.065963188283842, 'sMAPE_15m': 3.1003835034735987, 'R2_15m': 0.5363164917219246, 'MAE_30m': 3.5840468406677246, 'RMSE_30m': 4.192615174705858, 'sMAPE_30m': 4.685087912697606, 'R2_30m': 0.19098688539592334, 'MAE_avg': 2.9867769479751587, 'RMSE_avg': 3.62928918149485, 'sMAPE_avg': 3.892735708085602, 'R2_avg': 0.363651688558924}",COMPLETE
3,3.0480096340179443,2026-04-06 04:36:44.209163,2026-04-06 04:36:47.383798,0 days 00:00:03.174635,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[318, 149]","{'MAE_15m': 2.5345520973205566, 'RMSE_15m': 3.2510974204968135, 'sMAPE_15m': 3.2936725459782537, 'R2_15m': 0.4786278969637482, 'MAE_30m': 3.561467170715332, 'RMSE_30m': 4.141171746774009, 'sMAPE_30m': 4.654199089234198, 'R2_30m': 0.21071815677757744, 'MAE_avg': 3.0480096340179443, 'RMSE_avg': 3.696134583635411, 'sMAPE_avg': 3.973935817606226, 'R2_avg': 0.3446730268706628}",COMPLETE
4,3.019044280052185,2026-04-06 04:36:47.385508,2026-04-06 04:36:49.421667,0 days 00:00:02.036159,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[45, 14]","{'MAE_15m': 2.6433589458465576, 'RMSE_15m': 3.4348925324665873, 'sMAPE_15m': 3.4325623455038525, 'R2_15m': 0.4180118292236007, 'MAE_30m': 3.3947296142578125, 'RMSE_30m': 3.9569884709326915, 'sMAPE_30m': 4.432250227726034, 'R2_30m': 0.27936532057877106, 'MAE_avg': 3.019044280052185, 'RMSE_avg': 3.6959405016996394, 'sMAPE_avg': 3.9324062866149436, 'R2_avg': 0.3486885749011859}",COMPLETE
5,3.2650314569473267,2026-04-06 04:36:49.425086,2026-04-06 04:36:51.910096,0 days 00:00:02.485010,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 2.871588945388794, 'RMSE_15m': 3.474243899632451, 'sMAPE_15m': 3.738159081505747, 'R2_15m': 0.40460053541501273, 'MAE_30m': 3.6584739685058594, 'RMSE_30m': 4.261583810378012, 'sMAPE_30m': 4.781864011893122, 'R2_30m': 0.1641513457331848, 'MAE_avg': 3.2650314569473267, 'RMSE_avg': 3.8679138550052317, 'sMAPE_avg': 4.260011546699435, 'R2_avg': 0.28437594057409876}",COMPLETE
6,2.9807634353637695,2026-04-06 04:36:51.921963,2026-04-06 04:36:53.790952,0 days 00:00:01.868989,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[107, 51]","{'MAE_15m': 2.3940837383270264, 'RMSE_15m': 3.0721172435162947, 'sMAPE_15m': 3.102711798927731, 'R2_15m': 0.5344531623526896, 'MAE_30m': 3.5674431324005127, 'RMSE_30m': 4.195462982490868, 'sMAPE_30m': 4.663152296670099, 'R2_30m': 0.18988741715262625, 'MAE_avg': 2.9807634353637695, 'RMSE_avg': 3.6337901130035815, 'sMAPE_avg': 3.8829320477989153, 'R2_avg': 0.3621702897526579}",COMPLETE
7,3.4007081985473633,2026-04-06 04:36:53.794151,2026-04-06 04:36:56.102030,0 days 00:00:02.307879,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 186]","{'MAE_15m': 3.039855480194092, 'RMSE_15m': 3.6336662355786715, 'sMAPE_15m': 3.9581705671917975, 'R2_15m': 0.3487048474646324, 'MAE_30m': 3.7615609169006348, 'RMSE_30m': 4.3868646232285515, 'sMAPE_30m': 4.916556058192157, 'R2_30m': 0.114284842390462, 'MAE_avg': 3.4007081985473633, 'RMSE_avg': 4.010265429403612, 'sMAPE_avg': 4.437363312691977, 'R2_avg': 0.23149484492754718}",COMPLETE
8,3.1170419454574585,2026-04-06 04:36:56.106189,2026-04-06 04:36:59.058842,0 days 00:00:02.952653,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[395, 203]","{'MAE_15m': 2.6206140518188477, 'RMSE_15m': 3.223291544861977, 'sMAPE_15m': 3.4063136635187563, 'R2_15m': 0.48750807226862425, 'MAE_30m': 3.6134698390960693, 'RMSE_30m': 4.233974761628191, 'sMAPE_30m': 4.7230403351313806, 'R2_30m': 0.17494653796744875, 'MAE_avg': 3.1170419454574585, 'RMSE_avg': 3.7286331532450836, 'sMAPE_avg': 4.064676999325068, 'R2_avg': 0.3312273051180365}",COMPLETE
9,2.9989367723464966,2026-04-06 04:36:59.060370,2026-04-06 04:37:01.177283,0 days 00:00:02.116913,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[90, 24]","{'MAE_15m': 2.4483771324157715, 'RMSE_15m': 3.241925111746997, 'sMAPE_15m': 3.176036903180047, 'R2_15m': 0.48156568595529803, 'MAE_30m': 3.5494964122772217, 'RMSE_30m': 4.149163191661668, 'sMAPE_30m': 4.639347088676417, 'R2_30m': 0.20766898130380362, 'MAE_avg': 2.9989367723464966, 'RMSE_avg': 3.6955441517043326, 'sMAPE_avg': 3.907691995928232, 'R2_avg': 0.3446173336295508}",COMPLETE
10,3.213544487953186,2026-04-06 04:37:01.181918,2026-04-06 04:37:03.575283,0 days 00:00:02.393365,0.993065495809967,0.06153773875051782,0.03018055303192452,2,5,1200,0.011258457726173733,0.6071847502459278,"[380, 154]","{'MAE_15m': 2.6833133697509766, 'RMSE_15m': 3.2556237202416827, 'sMAPE_15m': 3.486300229106375, 'R2_15m': 0.47717516806870364, 'MAE_30m': 3.7437756061553955, 'RMSE_30m': 4.382121584147007, 'sMAPE_30m': 4.893191155999829, 'R2_30m': 0.11619909942599427, 'MAE_avg': 3.213544487953186, 'RMSE_avg': 3.8188726521943446, 'sMAPE_avg': 4.189745692553102, 'R2_avg': 0.29668713374734895}",COMPLETE
11,3.020155906677246,2026-04-06 04:37:03.577566,2026-04-06 04:37:05.539803,0 days 00:00:01.962237,0.9879840537924733,4.721383939142848,0.19550036878811203,3,9,1000,0.38972138655576866,0.9783238879894853,"[100, 90]","{'MAE_15m': 2.525078296661377, 'RMSE_15m': 3.153577976562535, 'sMAPE_15m': 3.2790896060649355, 'R2_15m': 0.509436784012042, 'MAE_30m': 3.5152335166931152, 'RMSE_30m': 4.142932867664124, 'sMAPE_30m': 4.5938686367737205, 'R2_30m': 0.21004674276407098, 'MAE_avg': 3.020155906677246, 'RMSE_avg': 3.6482554221133294, 'sMAPE_avg': 3.936479121419328, 'R2_avg': 0.35974176338805647}",COMPLETE
12,2.978044867515564,2026-04-06 04:37:05.541446,2026-04-06 04:37:07.692147,0 days 00:00:02.150701,0.916587732899981,3.4496805889926763,0.07156814860221865,4,5,800,17.46015890353747,0.9882175921905896,"[107, 177]","{'MAE_15m': 2.5223562717437744, 'RMSE_15m': 3.1745679726616842, 'sMAPE_15m': 3.277235949182394, 'R2_15m': 0.5028847568112973, 'MAE_30m': 3.4337334632873535, 'RMSE_30m': 4.0659409255855605, 'sMAPE_30m': 4.488289474448658, 'R2_30m': 0.2391347569143567, 'MAE_avg': 2.978044867515564, 'RMSE_avg': 3.6202544491236224, 'sMAPE_avg': 3.882762711815526, 'R2_avg': 0.371009756862827}",COMPLETE
13,3.055040717124939,2026-04-06 04:37:07.696546,2026-04-06 04:37:10.104569,0 days 00:00:02.408023,0.899463556436505,3.3950388897878963,0.06621144138151741,6,5,800,19.90331362835953,0.9984066126989742,"[100, 117]","{'MAE_15m': 2.649135112762451, 'RMSE_15m': 3.2754484204520002, 'sMAPE_15m': 3.446721063619728, 'R2_15m': 0.4707883799668563, 'MAE_30m': 3.4609463214874268, 'RMSE_30m': 4.1026565691113195, 'sMAPE_30m': 4.524202065377273, 'R2_30m': 0.22533142447136656, 'MAE_avg': 3.055040717124939, 'RMSE_avg': 3.68905249478166, 'sMAPE_avg': 3.9854615644985003, 'R2_avg': 0.34805990221911143}",COMPLETE
14,2.961722493171692,2026-04-06 04:37:10.107315,2026-04-06 04:37:12.883683,0 days 00:00:02.776368,0.8962197875869464,3.4370516458019047,0.05557788823889991,4,4,1000,0.03684446905458317,0.8578694741072342,"[306, 157]","{'MAE_15m': 2.423365592956543, 'RMSE_15m': 3.1359210110370093, 'sMAPE_15m': 3.144922695653084, 'R2_15m': 0.5149147551609774, 'MAE_30m': 3.500079393386841, 'RMSE_30m': 4.146108774718984, 'sMAPE_30m': 4.574186638964531, 'R2_30m': 0.20883513921892016, 'MAE_avg': 2.961722493171692, 'RMSE_avg': 3.6410148928779966, 'sMAPE_avg': 3.8595546673088075, 'R2_avg': 0.3618749471899488}",COMPLETE
